key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,10045
28425641,1,500,810,10045
79093151,1,500,828,10045
28425641,1,500,860,10045
66489138,1,500,955,10045
44594109,1,500,961,10045
99970880,1,500,1019,10045
87926431,1,500,1072,10045
67959054,1,1000,1077,10045
19819569,1,1000,1205,10045
28425641,1,500,1242,10045
34262661,1,1000,1276,10045
86971226,1,500,1284,10045
10718755,1,500,1339,10045
34262661,1,1000,1387,10045
19819569,1,1500,1524,10045
32747133,1,1000,1549,10045
95290079,1,1500,1551,10045
31895428,1,1000,1553,10045
19819569,1,1000,1614,10045
4448187,1,1000,1626,10045
28425641,1,500,1643,10045
19819569,1,1000,1646,10045
95290079,1,1500,1719,10045
67959054,1,1000,1721,10045
19819569,1,1500,1728,10045
73418408,1,1500,1772,10045
95290079,1,1500,1775,10045
71725719,1,500,1791,10045
63804775,1,1000,1793,10045
73418408,1,1500,1798,10045
89636884,1,1000,1802,10045
87926431,1,500,1882,10045
95290079,1,1500,1915,10045
19819569,1,1000,1971,10045
19819569,1,1500,1995,10045
19819569,1,1000,2008,10045
84484364,1,500,2027,10045
19819569,1,1500,2068,10045
99048844,1,1000,2175,10045
79093151,1,500,2193,10045
45585267,1,2000,2267,10045
68817033,1,2000,2299,10045
73418408,1,1500,2308,10045
58357722,1,1500,2360,10045
7278441,1,2000,2410,10045
28425641,1,500,2418,10045
21863909,1,500,2423,10045
1296214,1,1000,2490,10045
19819569,1,1000,2490,10045
93776043,1,1000,2526,10045
22726351,1,2500,2534,10045
28425641,1,500,2556,10045
32227697,1,1000,2636,10045
95290079,1,1500,2667,10045
25804512,1,2500,2670,10045
93776043,1,1000,2730,10045
82758559,1,500,2758,10045
72523281,1,2500,2771,10045
95290079,1,1500,2786,10045
19819569,1,1000,2794,10045
96673993,1,2000,2824,10045
79093151,1,500,2867,10045
28425641,1,500,2888,10045
77221734,1,2000,2903,10045
28425641,1,500,2907,10045
28425641,1,500,2925,10045
23374822,1,2500,2937,10045
77589042,1,1500,2996,10045
51209364,1,0,3012,10045
25804512,1,2000,3058,10045
28425641,1,500,3105,10045
28425641,1,500,3117,10045
19819569,1,1000,3123,10045
28425641,1,500,3139,10045
25804512,1,2500,3142,10045
79093151,1,3000,3171,10045
19819569,1,1000,3186,10045
72523281,1,2500,3203,10045
32412154,1,1000,3225,10045
95290079,1,1500,3226,10045
32922355,1,2500,3231,10045
86308065,1,3000,3238,10045
22726351,1,2500,3249,10045
28425641,1,500,3254,10045
19819569,1,1500,3277,10045
22726351,1,2500,3279,10045
30003784,1,2000,3309,10045
58357722,1,1500,3327,10045
22726351,1,2500,3342,10045
11723396,1,2000,3345,10045
16133749,1,2000,3364,10045
58357722,1,1500,3369,10045
19819569,1,1500,3380,10045
95290079,1,1500,3401,10045
43581846,1,1500,3413,10045
19819569,1,1500,3427,10045
33071850,1,1000,3444,10045
6456186,1,2000,3490,10045
6456186,1,2000,3506,10045
56511357,1,1500,3508,10045
85360088,1,2500,3514,10045
36488048,1,3500,3533,10045
91599990,1,2500,3540,10045
36374194,1,2000,3553,10045
75282642,1,3500,3553,10045
5023913,1,2000,3557,10045
32412154,1,1000,3566,10045
66538156,1,2500,3571,10045
79093151,1,500,3578,10045
7544903,1,3500,3590,10045
31895428,1,1000,3590,10045
21559768,1,3500,3605,10045
4853279,1,2500,3616,10045
87926431,1,500,3654,10045
19819569,1,1500,3672,10045
58357722,1,1500,3681,10045
99027874,1,2500,3697,10045
44594109,1,3500,3721,10045
25737248,1,2000,3724,10045
43990469,1,3000,3725,10045
51209364,1,500,3729,10045
83488764,1,3000,3756,10045
28425641,1,500,3756,10045
83488764,1,3000,3768,10045
84484364,1,500,3782,10045
5956451,1,500,3783,10045
86308065,1,3000,3785,10045
19819569,1,1500,3789,10045
59066148,1,1000,3790,10045
19819569,1,1500,3817,10045
81783800,1,3000,3837,10045
30003784,1,2000,3852,10045
33071850,1,1000,3881,10045
83488764,1,3000,3914,10045
8345360,1,2000,3926,10045
33071850,1,1000,3930,10045
22701764,1,3000,3932,10045
2673143,1,2500,3937,10045
28425641,1,500,3938,10045
44594109,1,3500,3941,10045
5956451,1,3500,3941,10045
91599990,1,2000,3953,10045
87926431,1,500,3956,10045
