key,value,eventTime,arrivalTime,processedTime
10109,1010904,500,794,12042
60102,6010204,500,810,12042
30202,3020206,500,828,12042
30202,3020206,500,860,12042
60303,6030302,500,955,12042
10103,1010302,500,961,12042
20310,2031001,500,1019,12042
10210,1021004,500,1072,12042
10212,1021209,1000,1077,12042
40106,4010601,1000,1205,12042
20310,2031001,500,1242,12042
30203,3020304,1000,1276,12042
30202,3020206,500,1284,12042
10109,1010905,500,1339,12042
10102,1010203,1000,1387,12042
10109,1010904,1500,1524,12042
10109,1010907,1000,1549,12042
10207,1020705,1500,1551,12042
10206,1020601,1000,1553,12042
10102,1010202,1000,1614,12042
10109,1010906,1000,1626,12042
10109,1010906,500,1643,12042
30306,3030605,1000,1646,12042
60201,6020101,1500,1719,12042
20310,2031001,1000,1721,12042
10209,1020901,1500,1728,12042
10102,1010202,1500,1772,12042
20101,2010102,1500,1775,12042
10102,1010202,500,1791,12042
30307,3030701,1000,1793,12042
30202,3020201,1500,1798,12042
10103,1010302,1000,1802,12042
40202,4020201,500,1882,12042
10202,1020202,1500,1915,12042
10106,1010602,1000,1971,12042
10101,1010101,1500,1995,12042
10206,1020603,1000,2008,12042
20310,2031001,500,2027,12042
10201,1020106,1500,2068,12042
10212,1021202,1000,2175,12042
10102,1010204,500,2193,12042
10208,1020802,2000,2267,12042
60101,6010104,2000,2299,12042
20101,2010101,1500,2308,12042
30202,3020206,1500,2360,12042
20309,2030901,2000,2410,12042
20310,2031001,500,2418,12042
40201,4020101,500,2423,12042
30101,3010102,1000,2490,12042
10206,1020601,1000,2490,12042
10206,1020601,1000,2526,12042
10206,1020601,2500,2534,12042
10104,1010401,500,2556,12042
20101,2010101,1000,2636,12042
10109,1010907,1500,2667,12042
10102,1010202,2500,2670,12042
20310,2031001,1000,2730,12042
60305,6030501,500,2758,12042
10201,1020101,2500,2771,12042
40201,4020101,1500,2786,12042
30202,3020204,1000,2794,12042
60102,6010201,2000,2824,12042
10103,1010302,500,2867,12042
20310,2031001,500,2888,12042
10104,1010401,2000,2903,12042
60101,6010104,500,2907,12042
20101,2010101,500,2925,12042
10105,1010502,2500,2937,12042
10202,1020204,1500,2996,12042
40201,4020101,0,3012,12042
20101,2010101,2000,3058,12042
10108,1010802,500,3105,12042
10201,1020101,500,3117,12042
20310,2031001,1000,3123,12042
10211,1021102,500,3139,12042
20310,2031001,2500,3142,12042
10211,1021101,3000,3171,12042
60304,6030401,1000,3186,12042
10201,1020101,2500,3203,12042
30202,3020206,1000,3225,12042
30307,3030701,1500,3226,12042
20310,2031001,2500,3231,12042
30202,3020204,3000,3238,12042
10206,1020602,2500,3249,12042
10206,1020602,500,3254,12042
10106,1010602,1500,3277,12042
30101,3010102,2500,3279,12042
40105,4010501,2000,3309,12042
20310,2031001,1500,3327,12042
10206,1020601,2500,3342,12042
10109,1010905,2000,3345,12042
10103,1010302,2000,3364,12042
10101,1010101,1500,3369,12042
10102,1010202,1500,3380,12042
20310,2031001,1500,3401,12042
10105,1010504,1500,3413,12042
40202,4020201,1500,3427,12042
10206,1020602,1000,3444,12042
10109,1010905,2000,3490,12042
10203,1020304,2000,3506,12042
10212,1021205,1500,3508,12042
10206,1020601,2500,3514,12042
30202,3020206,3500,3533,12042
10107,1010702,2500,3540,12042
60302,6030201,2000,3553,12042
10109,1010901,3500,3553,12042
30101,3010101,2000,3557,12042
10206,1020602,1000,3566,12042
60301,6030101,2500,3571,12042
10105,1010503,500,3578,12042
10109,1010905,3500,3590,12042
10106,1010602,1000,3590,12042
10105,1010505,3500,3605,12042
10109,1010905,2500,3616,12042
30301,3030102,500,3654,12042
10109,1010905,1500,3672,12042
60301,6030101,1500,3681,12042
10213,1021301,2500,3697,12042
60101,6010102,3500,3721,12042
10206,1020601,2000,3724,12042
30203,3020301,3000,3725,12042
10102,1010202,500,3729,12042
10101,1010105,3000,3756,12042
10101,1010103,500,3756,12042
30202,3020206,3000,3768,12042
10209,1020901,500,3782,12042
20310,2031001,500,3783,12042
10106,1010602,3000,3785,12042
10109,1010905,1500,3789,12042
10107,1010703,1000,3790,12042
10109,1010905,1500,3817,12042
20310,2031001,3000,3837,12042
10105,1010503,2000,3852,12042
10101,1010101,1000,3881,12042
10207,1020708,3000,3914,12042
10206,1020601,2000,3926,12042
60103,6010301,1000,3930,12042
20310,2031001,3000,3932,12042
10102,1010202,2500,3937,12042
60103,6010301,500,3938,12042
10206,1020602,3500,3941,12042
60302,6030201,3500,3941,12042
20310,2031001,2000,3953,12042
60303,6030301,500,3956,12042
20310,2031001,2500,3963,12042
10206,1020602,500,3983,12042
30307,3030701,1500,3984,12042
20101,2010102,1500,4010,12042
20310,2031001,1500,4042,12042
10105,1010502,3500,4049,12042
10210,1021002,4000,4062,12042
30202,3020206,500,4070,12042
10206,1020601,500,4100,12042
60303,6030301,3000,4121,12042
60304,6030401,4000,4129,12042
10203,1020304,2000,4140,12042
10207,1020706,1500,4159,12042
10105,1010503,2000,4177,12042
10206,1020602,4000,4178,12042
30202,3020205,3000,4184,12042
10109,1010901,1500,4191,12042
10106,1010602,1000,4201,12042
40102,4010201,1000,4204,12042
10101,1010101,3000,4207,12042
10212,1021207,2500,4210,12042
20310,2031001,4000,4249,12042
10207,1020706,4000,4288,12042
60102,6010201,2000,4289,12042
10101,1010101,1500,4300,12042
10102,1010201,3000,4302,12042
10102,1010204,4000,4307,12042
10201,1020101,2000,4308,12042
40104,4010401,2000,4309,12042
10206,1020602,1000,4313,12042
60301,6030101,2500,4319,12042
10102,1010202,1000,4370,12042
20310,2031001,2000,4398,12042
60303,6030301,3500,4399,12042
30307,3030701,3500,4422,12042
10104,1010401,2000,4428,12042
10213,1021301,3000,4460,12042
10206,1020601,2500,4489,12042
20310,2031001,1500,4490,12042
10109,1010904,1500,4505,12042
60304,6030401,1000,4509,12042
60304,6030401,500,4550,12042
60101,6010104,2000,4559,12042
10109,1010906,2500,4561,12042
40202,4020201,500,4581,12042
10101,1010105,1000,4601,12042
60103,6010301,1500,4609,12042
40202,4020201,1500,4629,12042
10206,1020601,4500,4632,12042
10102,1010204,1000,4661,12042
10109,1010903,3500,4682,12042
10206,1020603,3500,4683,12042
10103,1010302,500,4694,12042
10201,1020101,2500,4707,12042
20101,2010101,3500,4707,12042
10103,1010302,2000,4709,12042
20310,2031001,4500,4710,12042
10101,1010101,1500,4715,12042
60303,6030301,2500,4715,12042
20101,2010102,2000,4728,12042
10208,1020802,1500,4729,12042
10109,1010906,3000,4734,12042
10102,1010203,3500,4759,12042
60103,6010301,3000,4771,12042
30101,3010101,2000,4790,12042
60301,6030101,1000,4799,12042
10105,1010502,500,4802,12042
40201,4020101,4500,4804,12042
30101,3010102,2500,4843,12042
60102,6010206,1000,4874,12042
10201,1020101,500,4884,12042
10201,1020101,2000,4894,12042
40202,4020201,4000,4943,12042
20310,2031001,1000,4962,12042
20208,2020801,2000,4976,12042
10109,1010905,4500,5003,12042
20310,2031001,500,5005,12042
10206,1020603,1000,5006,12042
60303,6030302,3500,5012,12042
