key,value,eventTime,arrivalTime,processedTime
10109,1010904,500,794,10038
60102,6010204,500,810,10038
30202,3020206,500,828,10038
30202,3020206,500,860,10038
60303,6030302,500,955,10038
10103,1010302,500,961,10038
20310,2031001,500,1019,10038
10210,1021004,500,1072,10038
10212,1021209,1000,1077,10038
40106,4010601,1000,1205,10038
20310,2031001,500,1242,10038
30203,3020304,1000,1276,10038
30202,3020206,500,1284,10038
10109,1010905,500,1339,10038
10102,1010203,1000,1387,10038
10109,1010904,1500,1524,10038
10109,1010907,1000,1549,10038
10207,1020705,1500,1551,10038
10206,1020601,1000,1553,10038
10102,1010202,1000,1614,10038
10109,1010906,1000,1626,10038
10109,1010906,500,1643,10038
30306,3030605,1000,1646,10038
60201,6020101,1500,1719,10038
20310,2031001,1000,1721,10038
10209,1020901,1500,1728,10038
10102,1010202,1500,1772,10038
20101,2010102,1500,1775,10038
10102,1010202,500,1791,10038
30307,3030701,1000,1793,10038
30202,3020201,1500,1798,10038
10103,1010302,1000,1802,10038
40202,4020201,500,1882,10038
10202,1020202,1500,1915,10038
10106,1010602,1000,1971,10038
10101,1010101,1500,1995,10038
10206,1020603,1000,2008,10038
20310,2031001,500,2027,10038
10201,1020106,1500,2068,10038
10212,1021202,1000,2175,10038
10102,1010204,500,2193,10038
10208,1020802,2000,2267,10038
60101,6010104,2000,2299,10038
20101,2010101,1500,2308,10038
30202,3020206,1500,2360,10038
20309,2030901,2000,2410,10038
20310,2031001,500,2418,10038
40201,4020101,500,2423,10038
30101,3010102,1000,2490,10038
10206,1020601,1000,2490,10038
10206,1020601,1000,2526,10038
10206,1020601,2500,2534,10038
10104,1010401,500,2556,10038
20101,2010101,1000,2636,10038
10109,1010907,1500,2667,10038
10102,1010202,2500,2670,10038
20310,2031001,1000,2730,10038
60305,6030501,500,2758,10038
10201,1020101,2500,2771,10038
40201,4020101,1500,2786,10038
30202,3020204,1000,2794,10038
60102,6010201,2000,2824,10038
10103,1010302,500,2867,10038
20310,2031001,500,2888,10038
10104,1010401,2000,2903,10038
60101,6010104,500,2907,10038
20101,2010101,500,2925,10038
10105,1010502,2500,2937,10038
10202,1020204,1500,2996,10038
40201,4020101,0,3012,10038
20101,2010101,2000,3058,10038
10108,1010802,500,3105,10038
10201,1020101,500,3117,10038
20310,2031001,1000,3123,10038
10211,1021102,500,3139,10038
20310,2031001,2500,3142,10038
10211,1021101,3000,3171,10038
60304,6030401,1000,3186,10038
10201,1020101,2500,3203,10038
30202,3020206,1000,3225,10038
30307,3030701,1500,3226,10038
20310,2031001,2500,3231,10038
30202,3020204,3000,3238,10038
10206,1020602,2500,3249,10038
10206,1020602,500,3254,10038
10106,1010602,1500,3277,10038
30101,3010102,2500,3279,10038
40105,4010501,2000,3309,10038
20310,2031001,1500,3327,10038
10206,1020601,2500,3342,10038
10109,1010905,2000,3345,10038
10103,1010302,2000,3364,10038
10101,1010101,1500,3369,10038
10102,1010202,1500,3380,10038
20310,2031001,1500,3401,10038
10105,1010504,1500,3413,10038
40202,4020201,1500,3427,10038
10206,1020602,1000,3444,10038
10109,1010905,2000,3490,10038
10203,1020304,2000,3506,10038
10212,1021205,1500,3508,10038
10206,1020601,2500,3514,10038
30202,3020206,3500,3533,10038
10107,1010702,2500,3540,10038
60302,6030201,2000,3553,10038
10109,1010901,3500,3553,10038
30101,3010101,2000,3557,10038
10206,1020602,1000,3566,10038
60301,6030101,2500,3571,10038
10105,1010503,500,3578,10038
10109,1010905,3500,3590,10038
10106,1010602,1000,3590,10038
10105,1010505,3500,3605,10038
10109,1010905,2500,3616,10038
30301,3030102,500,3654,10038
10109,1010905,1500,3672,10038
60301,6030101,1500,3681,10038
10213,1021301,2500,3697,10038
60101,6010102,3500,3721,10038
10206,1020601,2000,3724,10038
30203,3020301,3000,3725,10038
10102,1010202,500,3729,10038
10101,1010105,3000,3756,10038
10101,1010103,500,3756,10038
30202,3020206,3000,3768,10038
10209,1020901,500,3782,10038
20310,2031001,500,3783,10038
10106,1010602,3000,3785,10038
10109,1010905,1500,3789,10038
10107,1010703,1000,3790,10038
10109,1010905,1500,3817,10038
20310,2031001,3000,3837,10038
10105,1010503,2000,3852,10038
10101,1010101,1000,3881,10038
10207,1020708,3000,3914,10038
10206,1020601,2000,3926,10038
60103,6010301,1000,3930,10038
20310,2031001,3000,3932,10038
10102,1010202,2500,3937,10038
60103,6010301,500,3938,10038
10206,1020602,3500,3941,10038
60302,6030201,3500,3941,10038
20310,2031001,2000,3953,10038
60303,6030301,500,3956,10038
20310,2031001,2500,3963,10038
10206,1020602,500,3983,10038
30307,3030701,1500,3984,10038
20101,2010102,1500,4010,10038
20310,2031001,1500,4042,10038
10105,1010502,3500,4049,10038
10210,1021002,4000,4062,10038
30202,3020206,500,4070,10038
10206,1020601,500,4100,10038
60303,6030301,3000,4121,10038
60304,6030401,4000,4129,10038
10203,1020304,2000,4140,10038
10207,1020706,1500,4159,10038
10105,1010503,2000,4177,10038
10206,1020602,4000,4178,10038
30202,3020205,3000,4184,10038
10109,1010901,1500,4191,10038
10106,1010602,1000,4201,10038
40102,4010201,1000,4204,10038
10101,1010101,3000,4207,10038
10212,1021207,2500,4210,10038
20310,2031001,4000,4249,10038
