key,value,eventTime,arrivalTime,processedTime
10109,1010904,500,794,12000
60102,6010204,500,810,12000
30202,3020206,500,828,12000
30202,3020206,500,860,12000
60303,6030302,500,955,12000
10103,1010302,500,961,12000
20310,2031001,500,1019,12000
10210,1021004,500,1072,12000
10212,1021209,1000,1077,12000
40106,4010601,1000,1205,12000
20310,2031001,500,1242,12000
30203,3020304,1000,1276,12000
30202,3020206,500,1284,12000
10109,1010905,500,1339,12000
10102,1010203,1000,1387,12000
10109,1010904,1500,1524,12000
10109,1010907,1000,1549,12000
10207,1020705,1500,1551,12000
10206,1020601,1000,1553,12000
10102,1010202,1000,1614,12000
10109,1010906,1000,1626,12000
10109,1010906,500,1643,12000
30306,3030605,1000,1646,12000
60201,6020101,1500,1719,12000
20310,2031001,1000,1721,12000
10209,1020901,1500,1728,12000
10102,1010202,1500,1772,12000
20101,2010102,1500,1775,12000
10102,1010202,500,1791,12000
30307,3030701,1000,1793,12000
30202,3020201,1500,1798,12000
10103,1010302,1000,1802,12000
40202,4020201,500,1882,12000
10202,1020202,1500,1915,12000
10106,1010602,1000,1971,12000
10101,1010101,1500,1995,12000
10206,1020603,1000,2008,12000
20310,2031001,500,2027,12000
10201,1020106,1500,2068,12000
10212,1021202,1000,2175,12000
10102,1010204,500,2193,12000
10208,1020802,2000,2267,12000
60101,6010104,2000,2299,12000
20101,2010101,1500,2308,12000
30202,3020206,1500,2360,12000
20309,2030901,2000,2410,12000
20310,2031001,500,2418,12000
40201,4020101,500,2423,12000
30101,3010102,1000,2490,12000
10206,1020601,1000,2490,12000
10206,1020601,1000,2526,12000
10206,1020601,2500,2534,12000
10104,1010401,500,2556,12000
20101,2010101,1000,2636,12000
10109,1010907,1500,2667,12000
10102,1010202,2500,2670,12000
20310,2031001,1000,2730,12000
60305,6030501,500,2758,12000
10201,1020101,2500,2771,12000
40201,4020101,1500,2786,12000
30202,3020204,1000,2794,12000
60102,6010201,2000,2824,12000
10103,1010302,500,2867,12000
20310,2031001,500,2888,12000
10104,1010401,2000,2903,12000
60101,6010104,500,2907,12000
20101,2010101,500,2925,12000
10105,1010502,2500,2937,12000
10202,1020204,1500,2996,12000
40201,4020101,0,3012,12000
20101,2010101,2000,3058,12000
10108,1010802,500,3105,12000
10201,1020101,500,3117,12000
20310,2031001,1000,3123,12000
10211,1021102,500,3139,12000
20310,2031001,2500,3142,12000
10211,1021101,3000,3171,12000
60304,6030401,1000,3186,12000
10201,1020101,2500,3203,12000
30202,3020206,1000,3225,12000
30307,3030701,1500,3226,12000
20310,2031001,2500,3231,12000
30202,3020204,3000,3238,12000
10206,1020602,2500,3249,12000
10206,1020602,500,3254,12000
10106,1010602,1500,3277,12000
30101,3010102,2500,3279,12000
40105,4010501,2000,3309,12000
20310,2031001,1500,3327,12000
10206,1020601,2500,3342,12000
10109,1010905,2000,3345,12000
10103,1010302,2000,3364,12000
10101,1010101,1500,3369,12000
10102,1010202,1500,3380,12000
20310,2031001,1500,3401,12000
10105,1010504,1500,3413,12000
40202,4020201,1500,3427,12000
10206,1020602,1000,3444,12000
10109,1010905,2000,3490,12000
10203,1020304,2000,3506,12000
10212,1021205,1500,3508,12000
10206,1020601,2500,3514,12000
30202,3020206,3500,3533,12000
10107,1010702,2500,3540,12000
60302,6030201,2000,3553,12000
10109,1010901,3500,3553,12000
