key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,10062
28425641,1,500,810,10062
79093151,1,500,828,10062
28425641,1,500,860,10062
66489138,1,500,955,10062
44594109,1,500,961,10062
99970880,1,500,1019,10062
87926431,1,500,1072,10062
67959054,1,1000,1077,10062
19819569,1,1000,1205,10062
28425641,1,500,1242,10062
34262661,1,1000,1276,10062
86971226,1,500,1284,10062
10718755,1,500,1339,10062
34262661,1,1000,1387,10062
19819569,1,1500,1524,10062
32747133,1,1000,1549,10062
95290079,1,1500,1551,10062
31895428,1,1000,1553,10062
19819569,1,1000,1614,10062
4448187,1,1000,1626,10062
28425641,1,500,1643,10062
19819569,1,1000,1646,10062
95290079,1,1500,1719,10062
67959054,1,1000,1721,10062
19819569,1,1500,1728,10062
73418408,1,1500,1772,10062
95290079,1,1500,1775,10062
71725719,1,500,1791,10062
63804775,1,1000,1793,10062
73418408,1,1500,1798,10062
89636884,1,1000,1802,10062
87926431,1,500,1882,10062
95290079,1,1500,1915,10062
19819569,1,1000,1971,10062
19819569,1,1500,1995,10062
19819569,1,1000,2008,10062
84484364,1,500,2027,10062
19819569,1,1500,2068,10062
99048844,1,1000,2175,10062
79093151,1,500,2193,10062
45585267,1,2000,2267,10062
68817033,1,2000,2299,10062
73418408,1,1500,2308,10062
58357722,1,1500,2360,10062
7278441,1,2000,2410,10062
28425641,1,500,2418,10062
21863909,1,500,2423,10062
1296214,1,1000,2490,10062
19819569,1,1000,2490,10062
93776043,1,1000,2526,10062
22726351,1,2500,2534,10062
28425641,1,500,2556,10062
32227697,1,1000,2636,10062
95290079,1,1500,2667,10062
25804512,1,2500,2670,10062
93776043,1,1000,2730,10062
82758559,1,500,2758,10062
72523281,1,2500,2771,10062
95290079,1,1500,2786,10062
19819569,1,1000,2794,10062
96673993,1,2000,2824,10062
79093151,1,500,2867,10062
28425641,1,500,2888,10062
77221734,1,2000,2903,10062
28425641,1,500,2907,10062
28425641,1,500,2925,10062
23374822,1,2500,2937,10062
77589042,1,1500,2996,10062
51209364,1,0,3012,10062
25804512,1,2000,3058,10062
28425641,1,500,3105,10062
28425641,1,500,3117,10062
19819569,1,1000,3123,10062
28425641,1,500,3139,10062
25804512,1,2500,3142,10062
79093151,1,3000,3171,10062
19819569,1,1000,3186,10062
72523281,1,2500,3203,10062
32412154,1,1000,3225,10062
95290079,1,1500,3226,10062
32922355,1,2500,3231,10062
86308065,1,3000,3238,10062
22726351,1,2500,3249,10062
28425641,1,500,3254,10062
19819569,1,1500,3277,10062
22726351,1,2500,3279,10062
30003784,1,2000,3309,10062
58357722,1,1500,3327,10062
22726351,1,2500,3342,10062
11723396,1,2000,3345,10062
16133749,1,2000,3364,10062
58357722,1,1500,3369,10062
19819569,1,1500,3380,10062
95290079,1,1500,3401,10062
43581846,1,1500,3413,10062
19819569,1,1500,3427,10062
33071850,1,1000,3444,10062
6456186,1,2000,3490,10062
6456186,1,2000,3506,10062
56511357,1,1500,3508,10062
