key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,393950
89528679,1,5500,6569,393950
4312958,1,6500,6693,393950
51133312,1,6000,7942,393950
22726351,1,2500,9277,393950
36488048,1,3500,9923,393950
67549101,1,7000,10743,393950
95290079,1,1500,11554,393950
4312958,1,7000,11632,393950
75282642,1,3500,14040,393950
31412746,1,6000,14586,393950
58169160,1,8000,15926,393950
91962132,1,4000,16202,393950
67959054,1,1000,16346,393950
7149962,1,7500,17563,393950
99027874,1,9500,18723,393950
59956325,1,8500,20608,393950
80685420,1,9500,21247,393950
7544903,1,3500,21428,393950
88354479,1,6000,22993,393950
21559768,1,3500,24349,393950
31412746,1,5500,25537,393950
32464878,1,9500,25901,393950
32747133,1,5000,27916,393950
97472415,1,7000,28314,393950
27613627,1,5500,29237,393950
3330322,1,4000,29729,393950
462432,1,6500,29870,393950
65282171,1,4500,30817,393950
43581846,1,7000,32145,393950
85360088,1,10000,33361,393950
51133312,1,7000,34848,393950
25804512,1,2500,36374,393950
79093151,1,3000,37159,393950
40639323,1,4000,39569,393950
94713929,1,6000,41658,393950
19819569,1,1000,41889,393950
4312958,1,7000,44007,393950
95290079,1,1500,45149,393950
53520052,1,4500,46324,393950
67075263,1,8500,46470,393950
45023542,1,8500,46835,393950
19819569,1,1500,47001,393950
44594109,1,3500,47671,393950
50330067,1,7000,47873,393950
86308065,1,3000,50470,393950
85360088,1,9000,51353,393950
62178153,1,6000,52714,393950
91962132,1,4000,53759,393950
92044895,1,8500,53782,393950
45585267,1,2000,55343,393950
73418408,1,1500,55744,393950
34262661,1,1000,56031,393950
95290079,1,1500,56302,393950
58169160,1,8500,56605,393950
72523281,1,2500,56658,393950
12476853,1,9000,57401,393950
50330067,1,7000,58695,393950
25737248,1,9000,58994,393950
28425641,1,500,59234,393950
83752923,1,7000,59478,393950
73418408,1,1500,61055,393950
14838691,1,4000,61538,393950
68817033,1,2000,61641,393950
28425641,1,500,62425,393950
15079656,1,8500,63418,393950
62524424,1,4500,65169,393950
17718341,1,4000,65268,393950
79093151,1,500,66031,393950
85360088,1,10000,67099,393950
71332311,1,5000,69162,393950
85420429,1,9500,70334,393950
32967234,1,9000,70474,393950
57349059,1,6000,71237,393950
28425641,1,500,72459,393950
18004662,1,7000,72574,393950
85360088,1,10000,74909,393950
53520052,1,5500,77565,393950
34262661,1,1000,78268,393950
17668543,1,9000,83461,393950
7278441,1,2000,83808,393950
95290079,1,1500,84475,393950
42568529,1,7500,85707,393950
31133703,1,6000,87294,393950
23374822,1,2500,89867,393950
42568529,1,7500,90088,393950
66489138,1,500,91342,393950
44594109,1,3500,91556,393950
5956451,1,3500,91625,393950
294203,1,8000,91748,393950
29386080,1,6000,92157,393950
44594109,1,500,92608,393950
35944328,1,9500,94905,393950
85360088,1,10000,96384,393950
53520052,1,5000,97235,393950
11723396,1,6500,98557,393950
35944328,1,9500,100362,393950
19819569,1,1500,100423,393950
50330067,1,8000,100785,393950
31412746,1,6000,101771,393950
66304266,1,6000,102386,393950
99970880,1,500,104299,393950
68486918,1,4500,105059,393950
25804512,1,9000,105359,393950
85360088,1,10000,106400,393950
61118106,1,4500,107644,393950
15079656,1,6500,109278,393950
32747133,1,1000,110785,393950
27613627,1,5000,111166,393950
73877266,1,4500,111289,393950
31895428,1,1000,111426,393950
18004662,1,6000,112674,393950
86308065,1,3500,113228,393950
87926431,1,500,114868,393950
19819569,1,1500,114987,393950
41089930,1,9500,118853,393950
31412746,1,6000,121014,393950
89528679,1,4500,122650,393950
63804775,1,4500,122709,393950
19819569,1,1000,123707,393950
12476853,1,9000,123888,393950
99275943,1,9000,125317,393950
72165418,1,5000,126006,393950
4448187,1,1000,126111,393950
85360088,1,10000,126345,393950
30758909,1,5000,127123,393950
50330067,1,7500,127161,393950
53520052,1,5000,130033,393950
19819569,1,1000,130184,393950
88261051,1,8500,130223,393950
81340523,1,8000,130387,393950
68817033,1,9500,130509,393950
7149962,1,7500,130655,393950
25804512,1,2500,130891,393950
79247076,1,5000,132409,393950
92887819,1,7500,132654,393950
31412746,1,5500,133615,393950
32464878,1,9000,134537,393950
23374822,1,9000,137625,393950
17442783,1,4500,138040,393950
65282171,1,4500,140961,393950
54921975,1,8500,141527,393950
72523281,1,2500,142994,393950
