key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,586840
89528679,1,5500,6569,586840
4312958,1,6500,6693,586840
51133312,1,6000,7942,586840
22726351,1,2500,9277,586840
36488048,1,3500,9923,586840
67549101,1,7000,10743,586840
95290079,1,1500,11554,586840
4312958,1,7000,11632,586840
75282642,1,3500,14040,586840
31412746,1,6000,14586,586840
58169160,1,8000,15926,586840
91962132,1,4000,16202,586840
67959054,1,1000,16346,586840
7149962,1,7500,17563,586840
99027874,1,9500,18723,586840
59956325,1,8500,20608,586840
80685420,1,9500,21247,586840
7544903,1,3500,21428,586840
88354479,1,6000,22993,586840
21559768,1,3500,24349,586840
31412746,1,5500,25537,586840
32464878,1,9500,25901,586840
32747133,1,5000,27916,586840
97472415,1,7000,28314,586840
27613627,1,5500,29237,586840
3330322,1,4000,29729,586840
462432,1,6500,29870,586840
65282171,1,4500,30817,586840
43581846,1,7000,32145,586840
85360088,1,10000,33361,586840
51133312,1,7000,34848,586840
25804512,1,2500,36374,586840
79093151,1,3000,37159,586840
40639323,1,4000,39569,586840
94713929,1,6000,41658,586840
19819569,1,1000,41889,586840
4312958,1,7000,44007,586840
95290079,1,1500,45149,586840
53520052,1,4500,46324,586840
67075263,1,8500,46470,586840
45023542,1,8500,46835,586840
19819569,1,1500,47001,586840
44594109,1,3500,47671,586840
50330067,1,7000,47873,586840
86308065,1,3000,50470,586840
85360088,1,9000,51353,586840
62178153,1,6000,52714,586840
91962132,1,4000,53759,586840
92044895,1,8500,53782,586840
45585267,1,2000,55343,586840
73418408,1,1500,55744,586840
34262661,1,1000,56031,586840
95290079,1,1500,56302,586840
58169160,1,8500,56605,586840
72523281,1,2500,56658,586840
12476853,1,9000,57401,586840
50330067,1,7000,58695,586840
25737248,1,9000,58994,586840
28425641,1,500,59234,586840
83752923,1,7000,59478,586840
73418408,1,1500,61055,586840
14838691,1,4000,61538,586840
68817033,1,2000,61641,586840
28425641,1,500,62425,586840
15079656,1,8500,63418,586840
62524424,1,4500,65169,586840
17718341,1,4000,65268,586840
79093151,1,500,66031,586840
85360088,1,10000,67099,586840
71332311,1,5000,69162,586840
85420429,1,9500,70334,586840
32967234,1,9000,70474,586840
57349059,1,6000,71237,586840
28425641,1,500,72459,586840
18004662,1,7000,72574,586840
85360088,1,10000,74909,586840
53520052,1,5500,77565,586840
34262661,1,1000,78268,586840
17668543,1,9000,83461,586840
7278441,1,2000,83808,586840
95290079,1,1500,84475,586840
42568529,1,7500,85707,586840
31133703,1,6000,87294,586840
23374822,1,2500,89867,586840
42568529,1,7500,90088,586840
66489138,1,500,91342,586840
44594109,1,3500,91556,586840
5956451,1,3500,91625,586840
294203,1,8000,91748,586840
29386080,1,6000,92157,586840
44594109,1,500,92608,586840
35944328,1,9500,94905,586840
85360088,1,10000,96384,586840
53520052,1,5000,97235,586840
11723396,1,6500,98557,586840
35944328,1,9500,100362,586840
19819569,1,1500,100423,586840
50330067,1,8000,100785,586840
