key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,7057
28425641,1,500,810,7057
79093151,1,500,828,7057
28425641,1,500,860,7057
66489138,1,500,955,7057
44594109,1,500,961,7057
99970880,1,500,1019,7057
87926431,1,500,1072,7057
67959054,1,1000,1077,7057
19819569,1,1000,1205,7057
28425641,1,500,1242,7057
34262661,1,1000,1276,7057
86971226,1,500,1284,7057
10718755,1,500,1339,7057
34262661,1,1000,1387,7057
19819569,1,1500,1524,7057
32747133,1,1000,1549,7057
95290079,1,1500,1551,7057
31895428,1,1000,1553,7057
19819569,1,1000,1614,7057
4448187,1,1000,1626,7057
28425641,1,500,1643,7057
19819569,1,1000,1646,7057
95290079,1,1500,1719,7057
67959054,1,1000,1721,7057
19819569,1,1500,1728,7057
73418408,1,1500,1772,7057
95290079,1,1500,1775,7057
71725719,1,500,1791,7057
63804775,1,1000,1793,7057
73418408,1,1500,1798,7057
89636884,1,1000,1802,7057
87926431,1,500,1882,7057
95290079,1,1500,1915,7057
19819569,1,1000,1971,7057
19819569,1,1500,1995,7057
19819569,1,1000,2008,7057
84484364,1,500,2027,7057
19819569,1,1500,2068,7057
99048844,1,1000,2175,7057
79093151,1,500,2193,7057
45585267,1,2000,2267,7057
68817033,1,2000,2299,7057
73418408,1,1500,2308,7057
58357722,1,1500,2360,7057
7278441,1,2000,2410,7057
28425641,1,500,2418,7057
21863909,1,500,2423,7057
1296214,1,1000,2490,7057
19819569,1,1000,2490,7057
93776043,1,1000,2526,7057
22726351,1,2500,2534,7057
28425641,1,500,2556,7057
32227697,1,1000,2636,7057
95290079,1,1500,2667,7057
25804512,1,2500,2670,7057
93776043,1,1000,2730,7057
82758559,1,500,2758,7057
72523281,1,2500,2771,7057
95290079,1,1500,2786,7057
19819569,1,1000,2794,7057
96673993,1,2000,2824,7057
79093151,1,500,2867,7057
28425641,1,500,2888,7057
77221734,1,2000,2903,7057
28425641,1,500,2907,7057
28425641,1,500,2925,7057
23374822,1,2500,2937,7057
77589042,1,1500,2996,7057
51209364,1,0,3012,7057
25804512,1,2000,3058,7057
28425641,1,500,3105,7057
28425641,1,500,3117,7057
19819569,1,1000,3123,7057
28425641,1,500,3139,7057
25804512,1,2500,3142,7057
79093151,1,3000,3171,7057
19819569,1,1000,3186,7057
72523281,1,2500,3203,7057
32412154,1,1000,3225,7057
95290079,1,1500,3226,7057
32922355,1,2500,3231,7057
86308065,1,3000,3238,7057
22726351,1,2500,3249,7057
28425641,1,500,3254,7057
19819569,1,1500,3277,7057
22726351,1,2500,3279,7057
30003784,1,2000,3309,7057
58357722,1,1500,3327,7057
22726351,1,2500,3342,7057
11723396,1,2000,3345,7057
16133749,1,2000,3364,7057
58357722,1,1500,3369,7057
19819569,1,1500,3380,7057
95290079,1,1500,3401,7057
43581846,1,1500,3413,7057
19819569,1,1500,3427,7057
33071850,1,1000,3444,7057
6456186,1,2000,3490,7057
6456186,1,2000,3506,7057
56511357,1,1500,3508,7057
85360088,1,2500,3514,7057
36488048,1,3500,3533,7057
91599990,1,2500,3540,7057
36374194,1,2000,3553,7057
75282642,1,3500,3553,7057
5023913,1,2000,3557,7057
32412154,1,1000,3566,7057
66538156,1,2500,3571,7057
79093151,1,500,3578,7057
7544903,1,3500,3590,7057
31895428,1,1000,3590,7057
21559768,1,3500,3605,7057
4853279,1,2500,3616,7057
87926431,1,500,3654,7057
19819569,1,1500,3672,7057
58357722,1,1500,3681,7057
99027874,1,2500,3697,7057
44594109,1,3500,3721,7057
25737248,1,2000,3724,7057
43990469,1,3000,3725,7057
51209364,1,500,3729,7057
83488764,1,3000,3756,7057
28425641,1,500,3756,7057
83488764,1,3000,3768,7057
84484364,1,500,3782,7057
5956451,1,500,3783,7057
86308065,1,3000,3785,7057
19819569,1,1500,3789,7057
59066148,1,1000,3790,7057
19819569,1,1500,3817,7057
81783800,1,3000,3837,7057
30003784,1,2000,3852,7057
33071850,1,1000,3881,7057
83488764,1,3000,3914,7057
8345360,1,2000,3926,7057
33071850,1,1000,3930,7057
22701764,1,3000,3932,7057
2673143,1,2500,3937,7057
28425641,1,500,3938,7057
44594109,1,3500,3941,7057
5956451,1,3500,3941,7057
91599990,1,2000,3953,7057
87926431,1,500,3956,7057
72523281,1,2500,3963,7057
28425641,1,500,3983,7057
95290079,1,1500,3984,7057
95290079,1,1500,4010,7057
19819569,1,1500,4042,7057
86308065,1,3500,4049,7057
91962132,1,4000,4062,7057
51209364,1,500,4070,7057
28425641,1,500,4100,7057
83488764,1,3000,4121,7057
3330322,1,4000,4129,7057
16133749,1,2000,4140,7057
