key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,10076
28425641,1,500,810,10076
79093151,1,500,828,10076
28425641,1,500,860,10076
66489138,1,500,955,10076
44594109,1,500,961,10076
99970880,1,500,1019,10076
87926431,1,500,1072,10076
67959054,1,1000,1077,10076
19819569,1,1000,1205,10076
28425641,1,500,1242,10076
34262661,1,1000,1276,10076
86971226,1,500,1284,10076
10718755,1,500,1339,10076
34262661,1,1000,1387,10076
19819569,1,1500,1524,10076
32747133,1,1000,1549,10076
95290079,1,1500,1551,10076
31895428,1,1000,1553,10076
19819569,1,1000,1614,10076
4448187,1,1000,1626,10076
28425641,1,500,1643,10076
19819569,1,1000,1646,10076
95290079,1,1500,1719,10076
67959054,1,1000,1721,10076
19819569,1,1500,1728,10076
73418408,1,1500,1772,10076
95290079,1,1500,1775,10076
71725719,1,500,1791,10076
63804775,1,1000,1793,10076
73418408,1,1500,1798,10076
89636884,1,1000,1802,10076
87926431,1,500,1882,10076
95290079,1,1500,1915,10076
19819569,1,1000,1971,10076
19819569,1,1500,1995,10076
19819569,1,1000,2008,10076
84484364,1,500,2027,10076
19819569,1,1500,2068,10076
99048844,1,1000,2175,10076
79093151,1,500,2193,10076
45585267,1,2000,2267,10076
68817033,1,2000,2299,10076
73418408,1,1500,2308,10076
58357722,1,1500,2360,10076
7278441,1,2000,2410,10076
28425641,1,500,2418,10076
21863909,1,500,2423,10076
1296214,1,1000,2490,10076
19819569,1,1000,2490,10076
93776043,1,1000,2526,10076
22726351,1,2500,2534,10076
28425641,1,500,2556,10076
32227697,1,1000,2636,10076
95290079,1,1500,2667,10076
25804512,1,2500,2670,10076
93776043,1,1000,2730,10076
82758559,1,500,2758,10076
72523281,1,2500,2771,10076
95290079,1,1500,2786,10076
19819569,1,1000,2794,10076
96673993,1,2000,2824,10076
79093151,1,500,2867,10076
28425641,1,500,2888,10076
77221734,1,2000,2903,10076
28425641,1,500,2907,10076
28425641,1,500,2925,10076
23374822,1,2500,2937,10076
77589042,1,1500,2996,10076
51209364,1,0,3012,10076
25804512,1,2000,3058,10076
28425641,1,500,3105,10076
28425641,1,500,3117,10076
19819569,1,1000,3123,10076
28425641,1,500,3139,10076
25804512,1,2500,3142,10076
79093151,1,3000,3171,10076
19819569,1,1000,3186,10076
72523281,1,2500,3203,10076
32412154,1,1000,3225,10076
95290079,1,1500,3226,10076
32922355,1,2500,3231,10076
86308065,1,3000,3238,10076
22726351,1,2500,3249,10076
28425641,1,500,3254,10076
19819569,1,1500,3277,10076
22726351,1,2500,3279,10076
30003784,1,2000,3309,10076
58357722,1,1500,3327,10076
22726351,1,2500,3342,10076
11723396,1,2000,3345,10076
16133749,1,2000,3364,10076
58357722,1,1500,3369,10076
19819569,1,1500,3380,10076
95290079,1,1500,3401,10076
43581846,1,1500,3413,10076
19819569,1,1500,3427,10076
33071850,1,1000,3444,10076
6456186,1,2000,3490,10076
6456186,1,2000,3506,10076
56511357,1,1500,3508,10076
85360088,1,2500,3514,10076
36488048,1,3500,3533,10076
91599990,1,2500,3540,10076
36374194,1,2000,3553,10076
75282642,1,3500,3553,10076
5023913,1,2000,3557,10076
32412154,1,1000,3566,10076
66538156,1,2500,3571,10076
79093151,1,500,3578,10076
7544903,1,3500,3590,10076
31895428,1,1000,3590,10076
21559768,1,3500,3605,10076
4853279,1,2500,3616,10076
87926431,1,500,3654,10076
19819569,1,1500,3672,10076
58357722,1,1500,3681,10076
99027874,1,2500,3697,10076
44594109,1,3500,3721,10076
25737248,1,2000,3724,10076
43990469,1,3000,3725,10076
51209364,1,500,3729,10076
83488764,1,3000,3756,10076
28425641,1,500,3756,10076
83488764,1,3000,3768,10076
84484364,1,500,3782,10076
5956451,1,500,3783,10076
86308065,1,3000,3785,10076
19819569,1,1500,3789,10076
59066148,1,1000,3790,10076
19819569,1,1500,3817,10076
81783800,1,3000,3837,10076
30003784,1,2000,3852,10076
33071850,1,1000,3881,10076
83488764,1,3000,3914,10076
8345360,1,2000,3926,10076
