key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,10050
28425641,1,500,810,10050
79093151,1,500,828,10050
28425641,1,500,860,10050
66489138,1,500,955,10050
44594109,1,500,961,10050
99970880,1,500,1019,10050
87926431,1,500,1072,10050
67959054,1,1000,1077,10050
19819569,1,1000,1205,10050
28425641,1,500,1242,10050
34262661,1,1000,1276,10050
86971226,1,500,1284,10050
10718755,1,500,1339,10050
34262661,1,1000,1387,10050
19819569,1,1500,1524,10050
32747133,1,1000,1549,10050
95290079,1,1500,1551,10050
31895428,1,1000,1553,10050
19819569,1,1000,1614,10050
4448187,1,1000,1626,10050
28425641,1,500,1643,10050
19819569,1,1000,1646,10050
95290079,1,1500,1719,10050
67959054,1,1000,1721,10050
19819569,1,1500,1728,10050
73418408,1,1500,1772,10050
95290079,1,1500,1775,10050
71725719,1,500,1791,10050
63804775,1,1000,1793,10050
73418408,1,1500,1798,10050
89636884,1,1000,1802,10050
87926431,1,500,1882,10050
95290079,1,1500,1915,10050
19819569,1,1000,1971,10050
19819569,1,1500,1995,10050
19819569,1,1000,2008,10050
84484364,1,500,2027,10050
19819569,1,1500,2068,10050
99048844,1,1000,2175,10050
79093151,1,500,2193,10050
45585267,1,2000,2267,10050
68817033,1,2000,2299,10050
73418408,1,1500,2308,10050
58357722,1,1500,2360,10050
7278441,1,2000,2410,10050
28425641,1,500,2418,10050
21863909,1,500,2423,10050
1296214,1,1000,2490,10050
19819569,1,1000,2490,10050
93776043,1,1000,2526,10050
22726351,1,2500,2534,10050
28425641,1,500,2556,10050
32227697,1,1000,2636,10050
95290079,1,1500,2667,10050
25804512,1,2500,2670,10050
93776043,1,1000,2730,10050
82758559,1,500,2758,10050
72523281,1,2500,2771,10050
95290079,1,1500,2786,10050
19819569,1,1000,2794,10050
96673993,1,2000,2824,10050
79093151,1,500,2867,10050
28425641,1,500,2888,10050
77221734,1,2000,2903,10050
28425641,1,500,2907,10050
28425641,1,500,2925,10050
23374822,1,2500,2937,10050
77589042,1,1500,2996,10050
51209364,1,0,3012,10050
25804512,1,2000,3058,10050
28425641,1,500,3105,10050
28425641,1,500,3117,10050
19819569,1,1000,3123,10050
28425641,1,500,3139,10050
25804512,1,2500,3142,10050
79093151,1,3000,3171,10050
19819569,1,1000,3186,10050
72523281,1,2500,3203,10050
32412154,1,1000,3225,10050
95290079,1,1500,3226,10050
32922355,1,2500,3231,10050
86308065,1,3000,3238,10050
22726351,1,2500,3249,10050
28425641,1,500,3254,10050
19819569,1,1500,3277,10050
22726351,1,2500,3279,10050
30003784,1,2000,3309,10050
58357722,1,1500,3327,10050
22726351,1,2500,3342,10050
11723396,1,2000,3345,10050
16133749,1,2000,3364,10050
58357722,1,1500,3369,10050
19819569,1,1500,3380,10050
95290079,1,1500,3401,10050
43581846,1,1500,3413,10050
19819569,1,1500,3427,10050
33071850,1,1000,3444,10050
6456186,1,2000,3490,10050
6456186,1,2000,3506,10050
56511357,1,1500,3508,10050
85360088,1,2500,3514,10050
36488048,1,3500,3533,10050
91599990,1,2500,3540,10050
36374194,1,2000,3553,10050
75282642,1,3500,3553,10050
5023913,1,2000,3557,10050
32412154,1,1000,3566,10050
66538156,1,2500,3571,10050
79093151,1,500,3578,10050
7544903,1,3500,3590,10050
31895428,1,1000,3590,10050
21559768,1,3500,3605,10050
4853279,1,2500,3616,10050
87926431,1,500,3654,10050
19819569,1,1500,3672,10050
58357722,1,1500,3681,10050
99027874,1,2500,3697,10050
44594109,1,3500,3721,10050
25737248,1,2000,3724,10050
43990469,1,3000,3725,10050
51209364,1,500,3729,10050
83488764,1,3000,3756,10050
28425641,1,500,3756,10050
83488764,1,3000,3768,10050
84484364,1,500,3782,10050
5956451,1,500,3783,10050
86308065,1,3000,3785,10050
19819569,1,1500,3789,10050
59066148,1,1000,3790,10050
19819569,1,1500,3817,10050
81783800,1,3000,3837,10050
30003784,1,2000,3852,10050
33071850,1,1000,3881,10050
83488764,1,3000,3914,10050
8345360,1,2000,3926,10050
33071850,1,1000,3930,10050
22701764,1,3000,3932,10050
2673143,1,2500,3937,10050
28425641,1,500,3938,10050
44594109,1,3500,3941,10050
5956451,1,3500,3941,10050
91599990,1,2000,3953,10050
87926431,1,500,3956,10050
72523281,1,2500,3963,10050
28425641,1,500,3983,10050
95290079,1,1500,3984,10050
95290079,1,1500,4010,10050
19819569,1,1500,4042,10050
86308065,1,3500,4049,10050
91962132,1,4000,4062,10050
51209364,1,500,4070,10050
28425641,1,500,4100,10050
83488764,1,3000,4121,10050
3330322,1,4000,4129,10050
16133749,1,2000,4140,10050
98997765,1,1500,4159,10050
18591930,1,2000,4177,10050
40639323,1,4000,4178,10050
44594109,1,3000,4184,10050
95290079,1,1500,4191,10050
19819569,1,1000,4201,10050
93776043,1,1000,4204,10050
83488764,1,3000,4207,10050
72523281,1,2500,4210,10050
91962132,1,4000,4249,10050
14838691,1,4000,4288,10050
58169160,1,2000,4289,10050
19819569,1,1500,4300,10050
7544903,1,3000,4302,10050
17718341,1,4000,4307,10050
