key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,707189
89528679,1,5500,6569,707189
4312958,1,6500,6693,707189
51133312,1,6000,7942,707189
22726351,1,2500,9277,707189
36488048,1,3500,9923,707189
67549101,1,7000,10743,707189
95290079,1,1500,11554,707189
4312958,1,7000,11632,707189
75282642,1,3500,14040,707189
31412746,1,6000,14586,707189
58169160,1,8000,15926,707189
91962132,1,4000,16202,707189
67959054,1,1000,16346,707189
7149962,1,7500,17563,707189
99027874,1,9500,18723,707189
59956325,1,8500,20608,707189
80685420,1,9500,21247,707189
7544903,1,3500,21428,707189
88354479,1,6000,22993,707189
21559768,1,3500,24349,707189
31412746,1,5500,25537,707189
32464878,1,9500,25901,707189
32747133,1,5000,27916,707189
97472415,1,7000,28314,707189
27613627,1,5500,29237,707189
3330322,1,4000,29729,707189
462432,1,6500,29870,707189
65282171,1,4500,30817,707189
43581846,1,7000,32145,707189
85360088,1,10000,33361,707189
51133312,1,7000,34848,707189
25804512,1,2500,36374,707189
79093151,1,3000,37159,707189
40639323,1,4000,39569,707189
94713929,1,6000,41658,707189
19819569,1,1000,41889,707189
4312958,1,7000,44007,707189
95290079,1,1500,45149,707189
53520052,1,4500,46324,707189
67075263,1,8500,46470,707189
45023542,1,8500,46835,707189
19819569,1,1500,47001,707189
44594109,1,3500,47671,707189
50330067,1,7000,47873,707189
86308065,1,3000,50470,707189
85360088,1,9000,51353,707189
62178153,1,6000,52714,707189
91962132,1,4000,53759,707189
92044895,1,8500,53782,707189
45585267,1,2000,55343,707189
73418408,1,1500,55744,707189
34262661,1,1000,56031,707189
95290079,1,1500,56302,707189
58169160,1,8500,56605,707189
72523281,1,2500,56658,707189
12476853,1,9000,57401,707189
50330067,1,7000,58695,707189
25737248,1,9000,58994,707189
28425641,1,500,59234,707189
83752923,1,7000,59478,707189
73418408,1,1500,61055,707189
14838691,1,4000,61538,707189
68817033,1,2000,61641,707189
28425641,1,500,62425,707189
15079656,1,8500,63418,707189
62524424,1,4500,65169,707189
17718341,1,4000,65268,707189
79093151,1,500,66031,707189
85360088,1,10000,67099,707189
71332311,1,5000,69162,707189
85420429,1,9500,70334,707189
32967234,1,9000,70474,707189
57349059,1,6000,71237,707189
28425641,1,500,72459,707189
18004662,1,7000,72574,707189
85360088,1,10000,74909,707189
53520052,1,5500,77565,707189
34262661,1,1000,78268,707189
17668543,1,9000,83461,707189
7278441,1,2000,83808,707189
95290079,1,1500,84475,707189
42568529,1,7500,85707,707189
31133703,1,6000,87294,707189
23374822,1,2500,89867,707189
42568529,1,7500,90088,707189
66489138,1,500,91342,707189
44594109,1,3500,91556,707189
5956451,1,3500,91625,707189
294203,1,8000,91748,707189
29386080,1,6000,92157,707189
44594109,1,500,92608,707189
35944328,1,9500,94905,707189
85360088,1,10000,96384,707189
53520052,1,5000,97235,707189
11723396,1,6500,98557,707189
35944328,1,9500,100362,707189
19819569,1,1500,100423,707189
50330067,1,8000,100785,707189
31412746,1,6000,101771,707189
66304266,1,6000,102386,707189
99970880,1,500,104299,707189
68486918,1,4500,105059,707189
25804512,1,9000,105359,707189
85360088,1,10000,106400,707189
61118106,1,4500,107644,707189
15079656,1,6500,109278,707189
32747133,1,1000,110785,707189
27613627,1,5000,111166,707189
73877266,1,4500,111289,707189
31895428,1,1000,111426,707189
18004662,1,6000,112674,707189
86308065,1,3500,113228,707189
87926431,1,500,114868,707189
19819569,1,1500,114987,707189
41089930,1,9500,118853,707189
31412746,1,6000,121014,707189
89528679,1,4500,122650,707189
63804775,1,4500,122709,707189
19819569,1,1000,123707,707189
12476853,1,9000,123888,707189
99275943,1,9000,125317,707189
72165418,1,5000,126006,707189
4448187,1,1000,126111,707189
85360088,1,10000,126345,707189
30758909,1,5000,127123,707189
50330067,1,7500,127161,707189
53520052,1,5000,130033,707189
19819569,1,1000,130184,707189
88261051,1,8500,130223,707189
81340523,1,8000,130387,707189
68817033,1,9500,130509,707189
7149962,1,7500,130655,707189
25804512,1,2500,130891,707189
79247076,1,5000,132409,707189
92887819,1,7500,132654,707189
31412746,1,5500,133615,707189
32464878,1,9000,134537,707189
23374822,1,9000,137625,707189
17442783,1,4500,138040,707189
65282171,1,4500,140961,707189
54921975,1,8500,141527,707189
72523281,1,2500,142994,707189
67959054,1,1000,145081,707189
31412746,1,5500,145898,707189
87926431,1,5500,145904,707189
82934310,1,8500,146587,707189
74875857,1,10000,147250,707189
43990469,1,3000,147980,707189
42568529,1,7500,148060,707189
39485041,1,9500,148392,707189
32922355,1,2500,148605,707189
28425641,1,500,148872,707189
83752923,1,8000,151763,707189
22726351,1,2500,152300,707189
99027874,1,9500,153206,707189
83488764,1,3000,154061,707189
43581846,1,7000,156485,707189
83488764,1,3000,156547,707189
86971226,1,500,157128,707189
58169160,1,7000,158050,707189
22726351,1,2500,158259,707189
84816354,1,8000,158930,707189
63804775,1,1000,159408,707189
86308065,1,3000,159845,707189
31412746,1,4500,160659,707189
44139210,1,6000,160951,707189
89636884,1,1000,161263,707189
73418408,1,1500,162993,707189
25804512,1,9000,166332,707189
96673993,1,2000,166601,707189
10718755,1,500,168264,707189
85360088,1,10000,168569,707189
17442783,1,4500,168615,707189
99970880,1,5500,168794,707189
81783800,1,3000,170229,707189
22726351,1,2500,170895,707189
85360088,1,10000,171163,707189
85360088,1,10000,172746,707189
58357722,1,1500,173326,707189
67549101,1,8000,177842,707189
59956325,1,8500,178475,707189
4312958,1,6000,181412,707189
30758909,1,5500,181896,707189
77221734,1,2000,182471,707189
75282642,1,3500,183292,707189
83488764,1,3000,185675,707189
99027874,1,9000,185813,707189
25110633,1,8500,186195,707189
85360088,1,10000,186218,707189
7149962,1,7500,186435,707189
44594109,1,3500,187734,707189
22701764,1,3000,189244,707189
22726351,1,9500,190061,707189
89886461,1,4000,192409,707189
5537834,1,8500,192418,707189
19819569,1,1000,195106,707189
53520052,1,4500,195698,707189
73877266,1,4500,197599,707189
21391522,1,7500,199399,707189
58169160,1,7500,200722,707189
35944328,1,9500,201598,707189
19819569,1,1000,202555,707189
15079656,1,7000,204072,707189
6456186,1,8500,205148,707189
85360088,1,2500,205210,707189
32967234,1,9000,205579,707189
91599990,1,2500,210398,707189
2673143,1,8500,210817,707189
42568529,1,7500,211427,707189
31412746,1,5500,211522,707189
25804512,1,2000,213423,707189
65282171,1,4500,213891,707189
66538156,1,2500,216529,707189
85360088,1,10000,216688,707189
57349059,1,6000,219144,707189
85360088,1,10000,220159,707189
74875857,1,10000,220251,707189
16234480,1,4500,222186,707189
31133703,1,6000,222678,707189
72948369,1,4500,223102,707189
58169160,1,8000,223154,707189
62957492,1,7000,224000,707189
11723396,1,6500,224535,707189
4853279,1,2500,225627,707189
83488764,1,3000,227020,707189
45023542,1,9000,227569,707189
28425641,1,500,229097,707189
50330067,1,6500,229135,707189
4312958,1,6500,233221,707189
72480768,1,8000,234146,707189
95290079,1,1500,234899,707189
67549101,1,8000,235820,707189
99048844,1,1000,235934,707189
29386080,1,4500,236894,707189
99970880,1,5500,237496,707189
44594109,1,3000,239662,707189
36488048,1,3500,239713,707189
36488048,1,3500,240013,707189
3628,1,4500,240240,707189
58169160,1,8500,240750,707189
99027874,1,2500,241774,707189
51799292,1,4000,241827,707189
72948369,1,4500,242179,707189
85360088,1,10000,243679,707189
83488764,1,3000,244257,707189
99027874,1,9500,244264,707189
79093151,1,3500,244812,707189
17442783,1,4000,244886,707189
462432,1,8000,247208,707189
58444660,1,8000,247402,707189
34438281,1,4500,249969,707189
1438364,1,4000,250783,707189
45051218,1,4000,252563,707189
4312958,1,7000,254861,707189
5956451,1,3500,255250,707189
27308352,1,5500,255288,707189
51799292,1,4000,256490,707189
71725719,1,500,258589,707189
95290079,1,1500,258655,707189
43581846,1,7000,259291,707189
15633768,1,5500,260469,707189
59956325,1,8500,262545,707189
7544903,1,3000,263383,707189
30003784,1,2000,263607,707189
44594109,1,4000,263804,707189
67549101,1,8000,265289,707189
294203,1,8000,265889,707189
25804512,1,9000,267974,707189
85360088,1,10000,268154,707189
11723396,1,2000,270888,707189
4439928,1,8000,271014,707189
32967234,1,9000,271177,707189
72165418,1,5000,272204,707189
