key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,585279
89528679,1,5500,6569,585279
4312958,1,6500,6693,585279
51133312,1,6000,7942,585279
22726351,1,2500,9277,585279
36488048,1,3500,9923,585279
67549101,1,7000,10743,585279
95290079,1,1500,11554,585279
4312958,1,7000,11632,585279
75282642,1,3500,14040,585279
31412746,1,6000,14586,585279
58169160,1,8000,15926,585279
91962132,1,4000,16202,585279
67959054,1,1000,16346,585279
7149962,1,7500,17563,585279
99027874,1,9500,18723,585279
59956325,1,8500,20608,585279
80685420,1,9500,21247,585279
7544903,1,3500,21428,585279
88354479,1,6000,22993,585279
21559768,1,3500,24349,585279
31412746,1,5500,25537,585279
32464878,1,9500,25901,585279
32747133,1,5000,27916,585279
97472415,1,7000,28314,585279
27613627,1,5500,29237,585279
3330322,1,4000,29729,585279
462432,1,6500,29870,585279
65282171,1,4500,30817,585279
43581846,1,7000,32145,585279
85360088,1,10000,33361,585279
51133312,1,7000,34848,585279
25804512,1,2500,36374,585279
79093151,1,3000,37159,585279
40639323,1,4000,39569,585279
94713929,1,6000,41658,585279
19819569,1,1000,41889,585279
4312958,1,7000,44007,585279
95290079,1,1500,45149,585279
53520052,1,4500,46324,585279
67075263,1,8500,46470,585279
45023542,1,8500,46835,585279
19819569,1,1500,47001,585279
44594109,1,3500,47671,585279
50330067,1,7000,47873,585279
86308065,1,3000,50470,585279
85360088,1,9000,51353,585279
62178153,1,6000,52714,585279
91962132,1,4000,53759,585279
92044895,1,8500,53782,585279
45585267,1,2000,55343,585279
73418408,1,1500,55744,585279
34262661,1,1000,56031,585279
95290079,1,1500,56302,585279
58169160,1,8500,56605,585279
72523281,1,2500,56658,585279
12476853,1,9000,57401,585279
50330067,1,7000,58695,585279
25737248,1,9000,58994,585279
28425641,1,500,59234,585279
83752923,1,7000,59478,585279
73418408,1,1500,61055,585279
14838691,1,4000,61538,585279
68817033,1,2000,61641,585279
28425641,1,500,62425,585279
15079656,1,8500,63418,585279
62524424,1,4500,65169,585279
17718341,1,4000,65268,585279
79093151,1,500,66031,585279
85360088,1,10000,67099,585279
71332311,1,5000,69162,585279
85420429,1,9500,70334,585279
32967234,1,9000,70474,585279
57349059,1,6000,71237,585279
28425641,1,500,72459,585279
18004662,1,7000,72574,585279
85360088,1,10000,74909,585279
53520052,1,5500,77565,585279
34262661,1,1000,78268,585279
17668543,1,9000,83461,585279
7278441,1,2000,83808,585279
95290079,1,1500,84475,585279
42568529,1,7500,85707,585279
31133703,1,6000,87294,585279
23374822,1,2500,89867,585279
42568529,1,7500,90088,585279
66489138,1,500,91342,585279
44594109,1,3500,91556,585279
5956451,1,3500,91625,585279
294203,1,8000,91748,585279
29386080,1,6000,92157,585279
44594109,1,500,92608,585279
35944328,1,9500,94905,585279
85360088,1,10000,96384,585279
53520052,1,5000,97235,585279
11723396,1,6500,98557,585279
35944328,1,9500,100362,585279
19819569,1,1500,100423,585279
50330067,1,8000,100785,585279
31412746,1,6000,101771,585279
66304266,1,6000,102386,585279
99970880,1,500,104299,585279
68486918,1,4500,105059,585279
25804512,1,9000,105359,585279
85360088,1,10000,106400,585279
61118106,1,4500,107644,585279
15079656,1,6500,109278,585279
32747133,1,1000,110785,585279
27613627,1,5000,111166,585279
73877266,1,4500,111289,585279
31895428,1,1000,111426,585279
18004662,1,6000,112674,585279
86308065,1,3500,113228,585279
87926431,1,500,114868,585279
19819569,1,1500,114987,585279
41089930,1,9500,118853,585279
31412746,1,6000,121014,585279
89528679,1,4500,122650,585279
63804775,1,4500,122709,585279
19819569,1,1000,123707,585279
12476853,1,9000,123888,585279
99275943,1,9000,125317,585279
72165418,1,5000,126006,585279
4448187,1,1000,126111,585279
85360088,1,10000,126345,585279
30758909,1,5000,127123,585279
50330067,1,7500,127161,585279
53520052,1,5000,130033,585279
19819569,1,1000,130184,585279
88261051,1,8500,130223,585279
81340523,1,8000,130387,585279
68817033,1,9500,130509,585279
7149962,1,7500,130655,585279
25804512,1,2500,130891,585279
79247076,1,5000,132409,585279
92887819,1,7500,132654,585279
31412746,1,5500,133615,585279
32464878,1,9000,134537,585279
23374822,1,9000,137625,585279
17442783,1,4500,138040,585279
65282171,1,4500,140961,585279
54921975,1,8500,141527,585279
72523281,1,2500,142994,585279
67959054,1,1000,145081,585279
31412746,1,5500,145898,585279
