key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,48846
89528679,1,5500,6569,48846
4312958,1,6500,6693,48846
51133312,1,6000,7942,48846
22726351,1,2500,9277,48846
36488048,1,3500,9923,48846
67549101,1,7000,10743,48846
95290079,1,1500,11554,48846
4312958,1,7000,11632,48846
75282642,1,3500,14040,48846
31412746,1,6000,14586,48846
58169160,1,8000,15926,48846
91962132,1,4000,16202,48846
67959054,1,1000,16346,48846
7149962,1,7500,17563,48846
99027874,1,9500,18723,48846
59956325,1,8500,20608,48846
80685420,1,9500,21247,48846
7544903,1,3500,21428,48846
88354479,1,6000,22993,48846
21559768,1,3500,24349,48846
31412746,1,5500,25537,48846
32464878,1,9500,25901,48846
32747133,1,5000,27916,48846
97472415,1,7000,28314,48846
27613627,1,5500,29237,48846
3330322,1,4000,29729,48846
462432,1,6500,29870,48846
65282171,1,4500,30817,48846
43581846,1,7000,32145,48846
85360088,1,10000,33361,48846
51133312,1,7000,34848,48846
25804512,1,2500,36374,48846
79093151,1,3000,37159,48846
40639323,1,4000,39569,48846
94713929,1,6000,41658,48846
19819569,1,1000,41889,48846
4312958,1,7000,44007,48846
95290079,1,1500,45149,48846
53520052,1,4500,46324,48846
67075263,1,8500,46470,48846
45023542,1,8500,46835,48846
19819569,1,1500,47001,48846
44594109,1,3500,47671,48846
50330067,1,7000,47873,48846
