key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,500756
89528679,1,5500,6569,500756
4312958,1,6500,6693,500756
51133312,1,6000,7942,500756
22726351,1,2500,9277,500756
36488048,1,3500,9923,500756
67549101,1,7000,10743,500756
95290079,1,1500,11554,500756
4312958,1,7000,11632,500756
75282642,1,3500,14040,500756
31412746,1,6000,14586,500756
58169160,1,8000,15926,500756
91962132,1,4000,16202,500756
67959054,1,1000,16346,500756
7149962,1,7500,17563,500756
99027874,1,9500,18723,500756
59956325,1,8500,20608,500756
80685420,1,9500,21247,500756
7544903,1,3500,21428,500756
88354479,1,6000,22993,500756
21559768,1,3500,24349,500756
31412746,1,5500,25537,500756
32464878,1,9500,25901,500756
32747133,1,5000,27916,500756
97472415,1,7000,28314,500756
27613627,1,5500,29237,500756
3330322,1,4000,29729,500756
462432,1,6500,29870,500756
65282171,1,4500,30817,500756
43581846,1,7000,32145,500756
85360088,1,10000,33361,500756
51133312,1,7000,34848,500756
25804512,1,2500,36374,500756
79093151,1,3000,37159,500756
40639323,1,4000,39569,500756
94713929,1,6000,41658,500756
19819569,1,1000,41889,500756
4312958,1,7000,44007,500756
95290079,1,1500,45149,500756
53520052,1,4500,46324,500756
67075263,1,8500,46470,500756
45023542,1,8500,46835,500756
19819569,1,1500,47001,500756
44594109,1,3500,47671,500756
50330067,1,7000,47873,500756
86308065,1,3000,50470,500756
85360088,1,9000,51353,500756
62178153,1,6000,52714,500756
91962132,1,4000,53759,500756
92044895,1,8500,53782,500756
45585267,1,2000,55343,500756
73418408,1,1500,55744,500756
34262661,1,1000,56031,500756
95290079,1,1500,56302,500756
58169160,1,8500,56605,500756
72523281,1,2500,56658,500756
12476853,1,9000,57401,500756
50330067,1,7000,58695,500756
25737248,1,9000,58994,500756
28425641,1,500,59234,500756
83752923,1,7000,59478,500756
73418408,1,1500,61055,500756
14838691,1,4000,61538,500756
68817033,1,2000,61641,500756
28425641,1,500,62425,500756
15079656,1,8500,63418,500756
62524424,1,4500,65169,500756
17718341,1,4000,65268,500756
79093151,1,500,66031,500756
85360088,1,10000,67099,500756
71332311,1,5000,69162,500756
85420429,1,9500,70334,500756
32967234,1,9000,70474,500756
57349059,1,6000,71237,500756
28425641,1,500,72459,500756
18004662,1,7000,72574,500756
85360088,1,10000,74909,500756
53520052,1,5500,77565,500756
34262661,1,1000,78268,500756
17668543,1,9000,83461,500756
7278441,1,2000,83808,500756
95290079,1,1500,84475,500756
42568529,1,7500,85707,500756
31133703,1,6000,87294,500756
23374822,1,2500,89867,500756
42568529,1,7500,90088,500756
66489138,1,500,91342,500756
44594109,1,3500,91556,500756
5956451,1,3500,91625,500756
294203,1,8000,91748,500756
29386080,1,6000,92157,500756
44594109,1,500,92608,500756
35944328,1,9500,94905,500756
85360088,1,10000,96384,500756
53520052,1,5000,97235,500756
11723396,1,6500,98557,500756
35944328,1,9500,100362,500756
19819569,1,1500,100423,500756
50330067,1,8000,100785,500756
31412746,1,6000,101771,500756
66304266,1,6000,102386,500756
99970880,1,500,104299,500756
68486918,1,4500,105059,500756
25804512,1,9000,105359,500756
85360088,1,10000,106400,500756
61118106,1,4500,107644,500756
15079656,1,6500,109278,500756
32747133,1,1000,110785,500756
27613627,1,5000,111166,500756
73877266,1,4500,111289,500756
31895428,1,1000,111426,500756
18004662,1,6000,112674,500756
86308065,1,3500,113228,500756
87926431,1,500,114868,500756
19819569,1,1500,114987,500756
41089930,1,9500,118853,500756
31412746,1,6000,121014,500756
89528679,1,4500,122650,500756
63804775,1,4500,122709,500756
19819569,1,1000,123707,500756
12476853,1,9000,123888,500756
99275943,1,9000,125317,500756
72165418,1,5000,126006,500756
4448187,1,1000,126111,500756
85360088,1,10000,126345,500756
30758909,1,5000,127123,500756
50330067,1,7500,127161,500756
53520052,1,5000,130033,500756
19819569,1,1000,130184,500756
88261051,1,8500,130223,500756
81340523,1,8000,130387,500756
68817033,1,9500,130509,500756
7149962,1,7500,130655,500756
25804512,1,2500,130891,500756
79247076,1,5000,132409,500756
92887819,1,7500,132654,500756
31412746,1,5500,133615,500756
32464878,1,9000,134537,500756
23374822,1,9000,137625,500756
17442783,1,4500,138040,500756
65282171,1,4500,140961,500756
54921975,1,8500,141527,500756
72523281,1,2500,142994,500756
67959054,1,1000,145081,500756
31412746,1,5500,145898,500756
87926431,1,5500,145904,500756
82934310,1,8500,146587,500756
74875857,1,10000,147250,500756
43990469,1,3000,147980,500756
42568529,1,7500,148060,500756
39485041,1,9500,148392,500756
32922355,1,2500,148605,500756
28425641,1,500,148872,500756
83752923,1,8000,151763,500756
22726351,1,2500,152300,500756
