key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,51552
89528679,1,5500,6569,51552
4312958,1,6500,6693,51552
51133312,1,6000,7942,51552
22726351,1,2500,9277,51552
36488048,1,3500,9923,51552
67549101,1,7000,10743,51552
95290079,1,1500,11554,51552
4312958,1,7000,11632,51552
75282642,1,3500,14040,51552
31412746,1,6000,14586,51552
58169160,1,8000,15926,51552
91962132,1,4000,16202,51552
67959054,1,1000,16346,51552
7149962,1,7500,17563,51552
99027874,1,9500,18723,51552
59956325,1,8500,20608,51552
80685420,1,9500,21247,51552
7544903,1,3500,21428,51552
88354479,1,6000,22993,51552
21559768,1,3500,24349,51552
31412746,1,5500,25537,51552
32464878,1,9500,25901,51552
32747133,1,5000,27916,51552
97472415,1,7000,28314,51552
27613627,1,5500,29237,51552
3330322,1,4000,29729,51552
462432,1,6500,29870,51552
65282171,1,4500,30817,51552
43581846,1,7000,32145,51552
85360088,1,10000,33361,51552
51133312,1,7000,34848,51552
25804512,1,2500,36374,51552
79093151,1,3000,37159,51552
40639323,1,4000,39569,51552
94713929,1,6000,41658,51552
19819569,1,1000,41889,51552
4312958,1,7000,44007,51552
95290079,1,1500,45149,51552
53520052,1,4500,46324,51552
67075263,1,8500,46470,51552
45023542,1,8500,46835,51552
19819569,1,1500,47001,51552
44594109,1,3500,47671,51552
50330067,1,7000,47873,51552
