key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,51551
89528679,1,5500,6569,51551
4312958,1,6500,6693,51551
51133312,1,6000,7942,51551
22726351,1,2500,9277,51551
36488048,1,3500,9923,51551
67549101,1,7000,10743,51551
95290079,1,1500,11554,51551
4312958,1,7000,11632,51551
75282642,1,3500,14040,51551
31412746,1,6000,14586,51551
58169160,1,8000,15926,51551
91962132,1,4000,16202,51551
67959054,1,1000,16346,51551
7149962,1,7500,17563,51551
99027874,1,9500,18723,51551
59956325,1,8500,20608,51551
80685420,1,9500,21247,51551
7544903,1,3500,21428,51551
88354479,1,6000,22993,51551
21559768,1,3500,24349,51551
31412746,1,5500,25537,51551
32464878,1,9500,25901,51551
32747133,1,5000,27916,51551
97472415,1,7000,28314,51551
27613627,1,5500,29237,51551
3330322,1,4000,29729,51551
462432,1,6500,29870,51551
65282171,1,4500,30817,51551
43581846,1,7000,32145,51551
85360088,1,10000,33361,51551
51133312,1,7000,34848,51551
25804512,1,2500,36374,51551
79093151,1,3000,37159,51551
40639323,1,4000,39569,51551
94713929,1,6000,41658,51551
19819569,1,1000,41889,51551
4312958,1,7000,44007,51551
95290079,1,1500,45149,51551
53520052,1,4500,46324,51551
67075263,1,8500,46470,51551
45023542,1,8500,46835,51551
19819569,1,1500,47001,51551
44594109,1,3500,47671,51551
50330067,1,7000,47873,51551
