key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,11048
28425641,1,500,810,11048
79093151,1,500,828,11048
28425641,1,500,860,11048
66489138,1,500,955,11048
44594109,1,500,961,11048
99970880,1,500,1019,11048
87926431,1,500,1072,11048
67959054,1,1000,1077,11048
19819569,1,1000,1205,11048
28425641,1,500,1242,11048
34262661,1,1000,1276,11048
86971226,1,500,1284,11048
10718755,1,500,1339,11048
34262661,1,1000,1387,11048
19819569,1,1500,1524,11048
32747133,1,1000,1549,11048
95290079,1,1500,1551,11048
31895428,1,1000,1553,11048
19819569,1,1000,1614,11048
4448187,1,1000,1626,11048
28425641,1,500,1643,11048
19819569,1,1000,1646,11048
95290079,1,1500,1719,11048
67959054,1,1000,1721,11048
19819569,1,1500,1728,11048
73418408,1,1500,1772,11048
95290079,1,1500,1775,11048
71725719,1,500,1791,11048
63804775,1,1000,1793,11048
73418408,1,1500,1798,11048
89636884,1,1000,1802,11048
87926431,1,500,1882,11048
95290079,1,1500,1915,11048
19819569,1,1000,1971,11048
19819569,1,1500,1995,11048
19819569,1,1000,2008,11048
84484364,1,500,2027,11048
19819569,1,1500,2068,11048
99048844,1,1000,2175,11048
79093151,1,500,2193,11048
45585267,1,2000,2267,11048
68817033,1,2000,2299,11048
73418408,1,1500,2308,11048
58357722,1,1500,2360,11048
7278441,1,2000,2410,11048
28425641,1,500,2418,11048
21863909,1,500,2423,11048
1296214,1,1000,2490,11048
19819569,1,1000,2490,11048
93776043,1,1000,2526,11048
22726351,1,2500,2534,11048
28425641,1,500,2556,11048
32227697,1,1000,2636,11048
95290079,1,1500,2667,11048
25804512,1,2500,2670,11048
93776043,1,1000,2730,11048
82758559,1,500,2758,11048
72523281,1,2500,2771,11048
95290079,1,1500,2786,11048
19819569,1,1000,2794,11048
96673993,1,2000,2824,11048
79093151,1,500,2867,11048
28425641,1,500,2888,11048
77221734,1,2000,2903,11048
28425641,1,500,2907,11048
28425641,1,500,2925,11048
23374822,1,2500,2937,11048
77589042,1,1500,2996,11048
51209364,1,0,3012,11048
25804512,1,2000,3058,11048
28425641,1,500,3105,11048
28425641,1,500,3117,11048
19819569,1,1000,3123,11048
28425641,1,500,3139,11048
25804512,1,2500,3142,11048
79093151,1,3000,3171,11048
19819569,1,1000,3186,11048
72523281,1,2500,3203,11048
32412154,1,1000,3225,11048
95290079,1,1500,3226,11048
32922355,1,2500,3231,11048
86308065,1,3000,3238,11048
22726351,1,2500,3249,11048
28425641,1,500,3254,11048
19819569,1,1500,3277,11048
22726351,1,2500,3279,11048
30003784,1,2000,3309,11048
58357722,1,1500,3327,11048
22726351,1,2500,3342,11048
11723396,1,2000,3345,11048
16133749,1,2000,3364,11048
58357722,1,1500,3369,11048
19819569,1,1500,3380,11048
95290079,1,1500,3401,11048
43581846,1,1500,3413,11048
19819569,1,1500,3427,11048
33071850,1,1000,3444,11048
6456186,1,2000,3490,11048
6456186,1,2000,3506,11048
56511357,1,1500,3508,11048
85360088,1,2500,3514,11048
36488048,1,3500,3533,11048
91599990,1,2500,3540,11048
36374194,1,2000,3553,11048
75282642,1,3500,3553,11048
5023913,1,2000,3557,11048
32412154,1,1000,3566,11048
66538156,1,2500,3571,11048
79093151,1,500,3578,11048
7544903,1,3500,3590,11048
31895428,1,1000,3590,11048
21559768,1,3500,3605,11048
4853279,1,2500,3616,11048
87926431,1,500,3654,11048
19819569,1,1500,3672,11048
58357722,1,1500,3681,11048
99027874,1,2500,3697,11048
44594109,1,3500,3721,11048
25737248,1,2000,3724,11048
43990469,1,3000,3725,11048
51209364,1,500,3729,11048
83488764,1,3000,3756,11048
28425641,1,500,3756,11048
83488764,1,3000,3768,11048
84484364,1,500,3782,11048
5956451,1,500,3783,11048
86308065,1,3000,3785,11048
19819569,1,1500,3789,11048
59066148,1,1000,3790,11048
19819569,1,1500,3817,11048
81783800,1,3000,3837,11048
30003784,1,2000,3852,11048
33071850,1,1000,3881,11048
83488764,1,3000,3914,11048
8345360,1,2000,3926,11048
33071850,1,1000,3930,11048
22701764,1,3000,3932,11048
2673143,1,2500,3937,11048
28425641,1,500,3938,11048
44594109,1,3500,3941,11048
5956451,1,3500,3941,11048
91599990,1,2000,3953,11048
87926431,1,500,3956,11048
72523281,1,2500,3963,11048
28425641,1,500,3983,11048
95290079,1,1500,3984,11048
95290079,1,1500,4010,11048
19819569,1,1500,4042,11048
86308065,1,3500,4049,11048
91962132,1,4000,4062,11048
51209364,1,500,4070,11048
28425641,1,500,4100,11048
83488764,1,3000,4121,11048
3330322,1,4000,4129,11048
16133749,1,2000,4140,11048
98997765,1,1500,4159,11048
18591930,1,2000,4177,11048
40639323,1,4000,4178,11048
44594109,1,3000,4184,11048
95290079,1,1500,4191,11048
19819569,1,1000,4201,11048
93776043,1,1000,4204,11048
83488764,1,3000,4207,11048
72523281,1,2500,4210,11048
91962132,1,4000,4249,11048
14838691,1,4000,4288,11048
58169160,1,2000,4289,11048
19819569,1,1500,4300,11048
7544903,1,3000,4302,11048
17718341,1,4000,4307,11048
85420429,1,2000,4308,11048
18591930,1,2000,4309,11048
4448187,1,1000,4313,11048
80694968,1,2500,4319,11048
68486918,1,1000,4370,11048
11723396,1,2000,4398,11048
75282642,1,3500,4399,11048
44594109,1,3500,4422,11048
7278441,1,2000,4428,11048
22701764,1,3000,4460,11048
22726351,1,2500,4489,11048
58357722,1,1500,4490,11048
95290079,1,1500,4505,11048
19819569,1,1000,4509,11048
28425641,1,500,4550,11048
31508574,1,2000,4559,11048
25804512,1,2500,4561,11048
28425641,1,500,4581,11048
53520052,1,1000,4601,11048
58357722,1,1500,4609,11048
70395304,1,1500,4629,11048
65282171,1,4500,4632,11048
93776043,1,1000,4661,11048
36488048,1,3500,4682,11048
36488048,1,3500,4683,11048
28425641,1,500,4694,11048
22726351,1,2500,4707,11048
79093151,1,3500,4707,11048
30003784,1,2000,4709,11048
53520052,1,4500,4710,11048
95290079,1,1500,4715,11048
4853279,1,2500,4715,11048
91599990,1,2000,4728,11048
95290079,1,1500,4729,11048
66538156,1,3000,4734,11048
5956451,1,3500,4759,11048
7544903,1,3000,4771,11048
2982962,1,2000,4790,11048
33200804,1,1000,4799,11048
16234480,1,500,4802,11048
62524424,1,4500,4804,11048
