key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,8055
28425641,1,500,810,8055
79093151,1,500,828,8055
28425641,1,500,860,8055
66489138,1,500,955,8055
44594109,1,500,961,8055
99970880,1,500,1019,8055
87926431,1,500,1072,8055
67959054,1,1000,1077,8055
19819569,1,1000,1205,8055
28425641,1,500,1242,8055
34262661,1,1000,1276,8055
86971226,1,500,1284,8055
10718755,1,500,1339,8055
34262661,1,1000,1387,8055
19819569,1,1500,1524,8055
32747133,1,1000,1549,8055
95290079,1,1500,1551,8055
31895428,1,1000,1553,8055
19819569,1,1000,1614,8055
4448187,1,1000,1626,8055
28425641,1,500,1643,8055
19819569,1,1000,1646,8055
95290079,1,1500,1719,8055
67959054,1,1000,1721,8055
19819569,1,1500,1728,8055
73418408,1,1500,1772,8055
95290079,1,1500,1775,8055
71725719,1,500,1791,8055
63804775,1,1000,1793,8055
73418408,1,1500,1798,8055
89636884,1,1000,1802,8055
87926431,1,500,1882,8055
95290079,1,1500,1915,8055
19819569,1,1000,1971,8055
19819569,1,1500,1995,8055
19819569,1,1000,2008,8055
84484364,1,500,2027,8055
19819569,1,1500,2068,8055
99048844,1,1000,2175,8055
79093151,1,500,2193,8055
45585267,1,2000,2267,8055
68817033,1,2000,2299,8055
73418408,1,1500,2308,8055
58357722,1,1500,2360,8055
7278441,1,2000,2410,8055
28425641,1,500,2418,8055
21863909,1,500,2423,8055
1296214,1,1000,2490,8055
19819569,1,1000,2490,8055
93776043,1,1000,2526,8055
22726351,1,2500,2534,8055
28425641,1,500,2556,8055
32227697,1,1000,2636,8055
95290079,1,1500,2667,8055
25804512,1,2500,2670,8055
93776043,1,1000,2730,8055
82758559,1,500,2758,8055
72523281,1,2500,2771,8055
95290079,1,1500,2786,8055
19819569,1,1000,2794,8055
96673993,1,2000,2824,8055
79093151,1,500,2867,8055
28425641,1,500,2888,8055
77221734,1,2000,2903,8055
28425641,1,500,2907,8055
28425641,1,500,2925,8055
23374822,1,2500,2937,8055
77589042,1,1500,2996,8055
51209364,1,0,3012,8055
25804512,1,2000,3058,8055
28425641,1,500,3105,8055
28425641,1,500,3117,8055
19819569,1,1000,3123,8055
28425641,1,500,3139,8055
25804512,1,2500,3142,8055
79093151,1,3000,3171,8055
19819569,1,1000,3186,8055
72523281,1,2500,3203,8055
32412154,1,1000,3225,8055
95290079,1,1500,3226,8055
32922355,1,2500,3231,8055
86308065,1,3000,3238,8055
22726351,1,2500,3249,8055
28425641,1,500,3254,8055
19819569,1,1500,3277,8055
22726351,1,2500,3279,8055
30003784,1,2000,3309,8055
58357722,1,1500,3327,8055
22726351,1,2500,3342,8055
11723396,1,2000,3345,8055
16133749,1,2000,3364,8055
58357722,1,1500,3369,8055
19819569,1,1500,3380,8055
95290079,1,1500,3401,8055
43581846,1,1500,3413,8055
19819569,1,1500,3427,8055
33071850,1,1000,3444,8055
6456186,1,2000,3490,8055
6456186,1,2000,3506,8055
56511357,1,1500,3508,8055
85360088,1,2500,3514,8055
36488048,1,3500,3533,8055
91599990,1,2500,3540,8055
36374194,1,2000,3553,8055
75282642,1,3500,3553,8055
5023913,1,2000,3557,8055
32412154,1,1000,3566,8055
66538156,1,2500,3571,8055
79093151,1,500,3578,8055
7544903,1,3500,3590,8055
31895428,1,1000,3590,8055
21559768,1,3500,3605,8055
4853279,1,2500,3616,8055
87926431,1,500,3654,8055
19819569,1,1500,3672,8055
58357722,1,1500,3681,8055
99027874,1,2500,3697,8055
44594109,1,3500,3721,8055
25737248,1,2000,3724,8055
43990469,1,3000,3725,8055
51209364,1,500,3729,8055
83488764,1,3000,3756,8055
28425641,1,500,3756,8055
83488764,1,3000,3768,8055
84484364,1,500,3782,8055
5956451,1,500,3783,8055
86308065,1,3000,3785,8055
19819569,1,1500,3789,8055
59066148,1,1000,3790,8055
19819569,1,1500,3817,8055
81783800,1,3000,3837,8055
30003784,1,2000,3852,8055
33071850,1,1000,3881,8055
83488764,1,3000,3914,8055
8345360,1,2000,3926,8055
33071850,1,1000,3930,8055
22701764,1,3000,3932,8055
2673143,1,2500,3937,8055
28425641,1,500,3938,8055
44594109,1,3500,3941,8055
5956451,1,3500,3941,8055
91599990,1,2000,3953,8055
87926431,1,500,3956,8055
72523281,1,2500,3963,8055
28425641,1,500,3983,8055
95290079,1,1500,3984,8055
95290079,1,1500,4010,8055
19819569,1,1500,4042,8055
86308065,1,3500,4049,8055
91962132,1,4000,4062,8055
51209364,1,500,4070,8055
28425641,1,500,4100,8055
83488764,1,3000,4121,8055
3330322,1,4000,4129,8055
16133749,1,2000,4140,8055
98997765,1,1500,4159,8055
18591930,1,2000,4177,8055
40639323,1,4000,4178,8055
44594109,1,3000,4184,8055
95290079,1,1500,4191,8055
19819569,1,1000,4201,8055
93776043,1,1000,4204,8055
83488764,1,3000,4207,8055
72523281,1,2500,4210,8055
91962132,1,4000,4249,8055
14838691,1,4000,4288,8055
58169160,1,2000,4289,8055
19819569,1,1500,4300,8055
7544903,1,3000,4302,8055
17718341,1,4000,4307,8055
85420429,1,2000,4308,8055
18591930,1,2000,4309,8055
4448187,1,1000,4313,8055
80694968,1,2500,4319,8055
68486918,1,1000,4370,8055
11723396,1,2000,4398,8055
75282642,1,3500,4399,8055
44594109,1,3500,4422,8055
7278441,1,2000,4428,8055
22701764,1,3000,4460,8055
22726351,1,2500,4489,8055
58357722,1,1500,4490,8055
95290079,1,1500,4505,8055
19819569,1,1000,4509,8055
28425641,1,500,4550,8055
31508574,1,2000,4559,8055
25804512,1,2500,4561,8055
28425641,1,500,4581,8055
53520052,1,1000,4601,8055
58357722,1,1500,4609,8055
70395304,1,1500,4629,8055
65282171,1,4500,4632,8055
93776043,1,1000,4661,8055
36488048,1,3500,4682,8055
36488048,1,3500,4683,8055
28425641,1,500,4694,8055
22726351,1,2500,4707,8055
79093151,1,3500,4707,8055
30003784,1,2000,4709,8055
53520052,1,4500,4710,8055
95290079,1,1500,4715,8055
4853279,1,2500,4715,8055
91599990,1,2000,4728,8055
95290079,1,1500,4729,8055
66538156,1,3000,4734,8055
5956451,1,3500,4759,8055
7544903,1,3000,4771,8055
2982962,1,2000,4790,8055
33200804,1,1000,4799,8055
16234480,1,500,4802,8055
62524424,1,4500,4804,8055
72523281,1,2500,4843,8055
4448187,1,1000,4874,8055
87926431,1,500,4884,8055
96673993,1,2000,4894,8055
89886461,1,4000,4943,8055
34262661,1,1000,4962,8055
22311271,1,2000,4976,8055
68486918,1,4500,5003,8055
84484364,1,500,5005,8055
62607824,1,1000,5006,8055
86308065,1,3500,5012,8055
61118106,1,4500,5016,8055
63670604,1,2000,5033,8055
73877266,1,4500,5034,8055
95290079,1,1500,5048,8055
4853279,1,2500,5052,8055
28425641,1,500,5055,8055
32747133,1,1000,5059,8055
79093151,1,500,5067,8055
89915804,1,2000,5067,8055
96673993,1,2000,5071,8055
35200765,1,3000,5087,8055
89528679,1,4500,5091,8055
63804775,1,4500,5092,8055
28425641,1,500,5094,8055
28425641,1,500,5106,8055
32747133,1,5000,5115,8055
91599990,1,2500,5164,8055
17442783,1,4500,5168,8055
65282171,1,4500,5183,8055
44594109,1,3500,5187,8055
51799292,1,4000,5190,8055
83488764,1,3000,5192,8055
17442783,1,4000,5205,8055
83488764,1,3000,5216,8055
97064747,1,3500,5217,8055
28425641,1,500,5221,8055
1438364,1,4000,5234,8055
45051218,1,4000,5243,8055
19819569,1,1000,5249,8055
51799292,1,4000,5263,8055
83488764,1,3000,5273,8055
31412746,1,4500,5281,8055
86308065,1,3000,5282,8055
22726351,1,2500,5299,8055
44594109,1,4000,5300,8055
81340523,1,2000,5302,8055
71332311,1,5000,5321,8055
17442783,1,4500,5321,8055
73418408,1,1500,5324,8055
83488764,1,3000,5336,8055
19819569,1,1000,5352,8055
22726351,1,2500,5356,8055
58357722,1,1500,5393,8055
99283724,1,4000,5398,8055
97339803,1,3000,5416,8055
72523281,1,2500,5419,8055
89886461,1,4000,5421,8055
6456186,1,2000,5434,8055
91599990,1,2000,5442,8055
53520052,1,4500,5456,8055
53520052,1,5000,5462,8055
73877266,1,4500,5466,8055
75282642,1,3500,5496,8055
89528679,1,5500,5506,8055
83488764,1,3000,5515,8055
5956451,1,3500,5520,8055
19819569,1,1500,5524,8055
27613627,1,5000,5531,8055
96673993,1,2000,5532,8055
65282171,1,4500,5547,8055
11683730,1,1000,5557,8055
16234480,1,4500,5589,8055
72948369,1,4500,5594,8055
31412746,1,5500,5601,8055
72165418,1,5000,5606,8055
30758909,1,5000,5611,8055
27613627,1,5500,5619,8055
53520052,1,5000,5626,8055
99283724,1,4000,5632,8055
79247076,1,5000,5638,8055
30003784,1,2000,5641,8055
89886461,1,4000,5652,8055
29386080,1,4500,5662,8055
3628,1,4500,5679,8055
44594109,1,4000,5689,8055
72948369,1,4500,5689,8055
3887941,1,4000,5691,8055
83488764,1,3000,5723,8055
34438281,1,4500,5728,8055
27605310,1,3500,5741,8055
73418408,1,1500,5750,8055
57006,1,4000,5772,8055
54482435,1,1000,5798,8055
87095283,1,3500,5812,8055
19819569,1,1000,5824,8055
19819569,1,1500,5841,8055
3225441,1,3500,5847,8055
53520052,1,5500,5861,8055
75282642,1,3500,5870,8055
22726351,1,2500,5879,8055
19819569,1,1000,5880,8055
80694968,1,2500,5887,8055
1379020,1,2500,5887,8055
7544903,1,3500,5917,8055
83488764,1,3000,5917,8055
70395304,1,2000,5920,8055
60557969,1,3000,5923,8055
19819569,1,1000,5933,8055
45585267,1,2000,5949,8055
31412746,1,4500,5949,8055
99283724,1,4500,5970,8055
88354479,1,4500,5978,8055
20588947,1,1000,5995,8055
58357722,1,1500,6002,8055
95290079,1,1500,6004,8055
51133312,1,6000,6010,8055
25804512,1,2500,6031,8055
17442783,1,4000,6033,8055
31412746,1,6000,6043,8055
22726351,1,2500,6043,8055
88354479,1,4500,6076,8055
44594109,1,3500,6079,8055
88354479,1,6000,6085,8055
95290079,1,1500,6097,8055
44594109,1,3000,6106,8055
31412746,1,5500,6141,8055
19819569,1,1500,6151,8055
75282642,1,3500,6165,8055
65282171,1,4500,6174,8055
94713929,1,6000,6179,8055
31412746,1,5500,6202,8055
25737248,1,2500,6203,8055
87926431,1,5500,6203,8055
36374194,1,2000,6208,8055
83488764,1,3000,6221,8055
88354479,1,4500,6232,8055
62178153,1,6000,6234,8055
36374194,1,2000,6242,8055
86308065,1,3000,6250,8055
99970880,1,5500,6317,8055
57349059,1,6000,6327,8055
72165418,1,5000,6337,8055
27308352,1,5000,6347,8055
22726351,1,2500,6350,8055
68817033,1,2000,6355,8055
66538156,1,2500,6357,8055
52568071,1,2000,6370,8055
30758909,1,5500,6382,8055
72523281,1,2000,6403,8055
31133703,1,6000,6407,8055
37569104,1,5000,6408,8055
22701764,1,3000,6410,8055
25323265,1,2000,6415,8055
75282642,1,3500,6420,8055
29386080,1,6000,6431,8055
30758909,1,5000,6458,8055
31412746,1,6000,6479,8055
66304266,1,6000,6482,8055
22726351,1,2500,6496,8055
4312958,1,6500,6501,8055
27613627,1,5000,6506,8055
65282171,1,4500,6519,8055
92634603,1,4000,6530,8055
31412746,1,5500,6531,8055
18004662,1,6000,6534,8055
89886461,1,4000,6555,8055
75282642,1,3500,6564,8055
31412746,1,6000,6576,8055
7544903,1,3500,6601,8055
25323265,1,2000,6615,8055
462432,1,6500,6617,8055
83488764,1,3000,6621,8055
80685420,1,2500,6623,8055
43059832,1,3500,6632,8055
83488764,1,3000,6634,8055
91962132,1,4000,6636,8055
8281885,1,4000,6654,8055
99970880,1,5500,6660,8055
74668080,1,5000,6664,8055
53520052,1,4500,6673,8055
83488764,1,3000,6678,8055
76486238,1,3500,6702,8055
83488764,1,3000,6726,8055
54770126,1,5000,6739,8055
27308352,1,5500,6749,8055
32244519,1,5000,6756,8055
44139210,1,6000,6775,8055
15633768,1,5500,6775,8055
95670526,1,4500,6777,8055
99283724,1,4500,6796,8055
54921975,1,2000,6814,8055
22726351,1,2500,6820,8055
23374822,1,2500,6826,8055
2673143,1,3000,6835,8055
65325847,1,5500,6847,8055
86308065,1,3000,6858,8055
4312958,1,6000,6878,8055
83752923,1,2000,6881,8055
99970880,1,5500,6901,8055
25804512,1,2500,6914,8055
37569104,1,5000,6918,8055
81783800,1,2000,6930,8055
11723396,1,6500,6961,8055
91599990,1,2500,6964,8055
17442783,1,4500,6966,8055
1379020,1,2500,6967,8055
89886461,1,4000,6967,8055
75282642,1,3500,6998,8055
15079656,1,6500,7014,8055
67549101,1,7000,7019,8055
4312958,1,7000,7024,8055
30758909,1,5000,7025,8055
72523281,1,2500,7026,8055
30758909,1,5500,7047,8055
30758909,1,5500,7059,8055
57349059,1,6000,7066,8055
81685553,1,4500,7071,8055
91599990,1,2500,7075,8055
31133703,1,6000,7084,8055
12476853,1,2500,7093,8055
97472415,1,7000,7107,8055
66538156,1,2500,7112,8055
36488048,1,3000,7114,8055
83488764,1,3000,7118,8055
43581846,1,7000,7126,8055
80685420,1,2500,7131,8055
31412746,1,5000,7133,8055
45051218,1,4000,7134,8055
86308065,1,3000,7138,8055
51133312,1,7000,7140,8055
89886461,1,4000,7147,8055
44594109,1,3500,7155,8055
4312958,1,7000,7186,8055
51799292,1,4000,7195,8055
50330067,1,7000,7205,8055
30758909,1,5500,7228,8055
83488764,1,3000,7250,8055
50330067,1,7000,7259,8055
83752923,1,7000,7263,8055
31412746,1,5500,7265,8055
79093151,1,3500,7267,8055
51120765,1,3500,7293,8055
44594109,1,3500,7303,8055
99283724,1,4000,7312,8055
65282171,1,4500,7315,8055
18004662,1,7000,7328,8055
29386080,1,5000,7347,8055
44594109,1,4000,7361,8055
73877266,1,4500,7375,8055
75282642,1,3500,7378,8055
91962132,1,4000,7379,8055
97339803,1,3500,7397,8055
27613627,1,5000,7399,8055
30758909,1,5000,7412,8055
66538156,1,2500,7419,8055
53520052,1,5000,7429,8055
27613627,1,5000,7458,8055
22701764,1,3000,7485,8055
52161111,1,5500,7492,8055
83488764,1,3000,7511,8055
89528679,1,6000,7545,8055
7149962,1,7500,7551,8055
43994260,1,4000,7560,8055
31412746,1,4500,7563,8055
99970880,1,5500,7564,8055
44594109,1,4000,7566,8055
27308352,1,5000,7582,8055
11723396,1,6500,7591,8055
65282171,1,4500,7593,8055
83488764,1,3000,7596,8055
31412746,1,6000,7611,8055
83488764,1,3000,7612,8055
50330067,1,6500,7614,8055
4312958,1,6500,7634,8055
61118106,1,4500,7650,8055
32747133,1,5500,7656,8055
44594109,1,3500,7676,8055
87926431,1,5500,7689,8055
35089198,1,4500,7693,8055
15633768,1,4500,7712,8055
30758909,1,5000,7722,8055
27613627,1,5500,7724,8055
31412746,1,5500,7739,8055
43581846,1,7000,7748,8055
45023542,1,3000,7752,8055
58169160,1,7000,7756,8055
79093151,1,3500,7756,8055
60827800,1,5000,7770,8055
65282171,1,4500,7772,8055
30758909,1,5000,7786,8055
30758909,1,5500,7820,8055
44594109,1,4000,7824,8055
35200765,1,3000,7829,8055
54770126,1,5000,7834,8055
30758909,1,5500,7850,8055
62178153,1,6000,7873,8055
22701764,1,3000,7888,8055
42568529,1,7500,7892,8055
42568529,1,7500,7913,8055
57061850,1,3000,7925,8055
44594109,1,4000,7929,8055
31412746,1,5500,7945,8055
60557969,1,3000,7948,8055
41009277,1,6000,7950,8055
15079656,1,7000,7986,8055
