key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,107525
28425641,1,500,810,107525
79093151,1,500,828,107525
28425641,1,500,860,107525
66489138,1,500,955,107525
44594109,1,500,961,107525
99970880,1,500,1019,107525
87926431,1,500,1072,107525
67959054,1,1000,1077,107525
19819569,1,1000,1205,107525
28425641,1,500,1242,107525
34262661,1,1000,1276,107525
86971226,1,500,1284,107525
10718755,1,500,1339,107525
34262661,1,1000,1387,107525
19819569,1,1500,1524,107525
32747133,1,1000,1549,107525
95290079,1,1500,1551,107525
31895428,1,1000,1553,107525
19819569,1,1000,1614,107525
4448187,1,1000,1626,107525
28425641,1,500,1643,107525
19819569,1,1000,1646,107525
95290079,1,1500,1719,107525
67959054,1,1000,1721,107525
19819569,1,1500,1728,107525
73418408,1,1500,1772,107525
95290079,1,1500,1775,107525
71725719,1,500,1791,107525
63804775,1,1000,1793,107525
73418408,1,1500,1798,107525
89636884,1,1000,1802,107525
87926431,1,500,1882,107525
95290079,1,1500,1915,107525
19819569,1,1000,1971,107525
19819569,1,1500,1995,107525
19819569,1,1000,2008,107525
84484364,1,500,2027,107525
19819569,1,1500,2068,107525
99048844,1,1000,2175,107525
79093151,1,500,2193,107525
45585267,1,2000,2267,107525
68817033,1,2000,2299,107525
73418408,1,1500,2308,107525
58357722,1,1500,2360,107525
7278441,1,2000,2410,107525
28425641,1,500,2418,107525
21863909,1,500,2423,107525
1296214,1,1000,2490,107525
19819569,1,1000,2490,107525
93776043,1,1000,2526,107525
22726351,1,2500,2534,107525
28425641,1,500,2556,107525
32227697,1,1000,2636,107525
95290079,1,1500,2667,107525
25804512,1,2500,2670,107525
93776043,1,1000,2730,107525
82758559,1,500,2758,107525
72523281,1,2500,2771,107525
95290079,1,1500,2786,107525
19819569,1,1000,2794,107525
96673993,1,2000,2824,107525
79093151,1,500,2867,107525
28425641,1,500,2888,107525
77221734,1,2000,2903,107525
28425641,1,500,2907,107525
28425641,1,500,2925,107525
23374822,1,2500,2937,107525
77589042,1,1500,2996,107525
51209364,1,0,3012,107525
25804512,1,2000,3058,107525
28425641,1,500,3105,107525
28425641,1,500,3117,107525
19819569,1,1000,3123,107525
28425641,1,500,3139,107525
25804512,1,2500,3142,107525
79093151,1,3000,3171,107525
19819569,1,1000,3186,107525
72523281,1,2500,3203,107525
32412154,1,1000,3225,107525
95290079,1,1500,3226,107525
32922355,1,2500,3231,107525
86308065,1,3000,3238,107525
22726351,1,2500,3249,107525
28425641,1,500,3254,107525
19819569,1,1500,3277,107525
22726351,1,2500,3279,107525
30003784,1,2000,3309,107525
58357722,1,1500,3327,107525
22726351,1,2500,3342,107525
11723396,1,2000,3345,107525
16133749,1,2000,3364,107525
58357722,1,1500,3369,107525
19819569,1,1500,3380,107525
95290079,1,1500,3401,107525
43581846,1,1500,3413,107525
19819569,1,1500,3427,107525
33071850,1,1000,3444,107525
6456186,1,2000,3490,107525
6456186,1,2000,3506,107525
56511357,1,1500,3508,107525
85360088,1,2500,3514,107525
36488048,1,3500,3533,107525
91599990,1,2500,3540,107525
36374194,1,2000,3553,107525
75282642,1,3500,3553,107525
5023913,1,2000,3557,107525
32412154,1,1000,3566,107525
66538156,1,2500,3571,107525
79093151,1,500,3578,107525
7544903,1,3500,3590,107525
31895428,1,1000,3590,107525
21559768,1,3500,3605,107525
4853279,1,2500,3616,107525
87926431,1,500,3654,107525
19819569,1,1500,3672,107525
58357722,1,1500,3681,107525
99027874,1,2500,3697,107525
44594109,1,3500,3721,107525
25737248,1,2000,3724,107525
43990469,1,3000,3725,107525
51209364,1,500,3729,107525
83488764,1,3000,3756,107525
28425641,1,500,3756,107525
83488764,1,3000,3768,107525
84484364,1,500,3782,107525
5956451,1,500,3783,107525
86308065,1,3000,3785,107525
19819569,1,1500,3789,107525
59066148,1,1000,3790,107525
19819569,1,1500,3817,107525
81783800,1,3000,3837,107525
30003784,1,2000,3852,107525
33071850,1,1000,3881,107525
83488764,1,3000,3914,107525
8345360,1,2000,3926,107525
33071850,1,1000,3930,107525
22701764,1,3000,3932,107525
2673143,1,2500,3937,107525
28425641,1,500,3938,107525
44594109,1,3500,3941,107525
5956451,1,3500,3941,107525
91599990,1,2000,3953,107525
87926431,1,500,3956,107525
72523281,1,2500,3963,107525
28425641,1,500,3983,107525
95290079,1,1500,3984,107525
95290079,1,1500,4010,107525
19819569,1,1500,4042,107525
86308065,1,3500,4049,107525
91962132,1,4000,4062,107525
51209364,1,500,4070,107525
28425641,1,500,4100,107525
83488764,1,3000,4121,107525
3330322,1,4000,4129,107525
16133749,1,2000,4140,107525
98997765,1,1500,4159,107525
18591930,1,2000,4177,107525
40639323,1,4000,4178,107525
44594109,1,3000,4184,107525
95290079,1,1500,4191,107525
19819569,1,1000,4201,107525
93776043,1,1000,4204,107525
83488764,1,3000,4207,107525
72523281,1,2500,4210,107525
91962132,1,4000,4249,107525
14838691,1,4000,4288,107525
58169160,1,2000,4289,107525
19819569,1,1500,4300,107525
7544903,1,3000,4302,107525
17718341,1,4000,4307,107525
85420429,1,2000,4308,107525
18591930,1,2000,4309,107525
4448187,1,1000,4313,107525
80694968,1,2500,4319,107525
68486918,1,1000,4370,107525
11723396,1,2000,4398,107525
75282642,1,3500,4399,107525
44594109,1,3500,4422,107525
7278441,1,2000,4428,107525
22701764,1,3000,4460,107525
22726351,1,2500,4489,107525
58357722,1,1500,4490,107525
95290079,1,1500,4505,107525
19819569,1,1000,4509,107525
28425641,1,500,4550,107525
31508574,1,2000,4559,107525
25804512,1,2500,4561,107525
28425641,1,500,4581,107525
53520052,1,1000,4601,107525
58357722,1,1500,4609,107525
70395304,1,1500,4629,107525
65282171,1,4500,4632,107525
93776043,1,1000,4661,107525
36488048,1,3500,4682,107525
36488048,1,3500,4683,107525
28425641,1,500,4694,107525
22726351,1,2500,4707,107525
79093151,1,3500,4707,107525
30003784,1,2000,4709,107525
53520052,1,4500,4710,107525
95290079,1,1500,4715,107525
4853279,1,2500,4715,107525
91599990,1,2000,4728,107525
95290079,1,1500,4729,107525
66538156,1,3000,4734,107525
5956451,1,3500,4759,107525
7544903,1,3000,4771,107525
2982962,1,2000,4790,107525
33200804,1,1000,4799,107525
16234480,1,500,4802,107525
62524424,1,4500,4804,107525
72523281,1,2500,4843,107525
4448187,1,1000,4874,107525
87926431,1,500,4884,107525
96673993,1,2000,4894,107525
89886461,1,4000,4943,107525
34262661,1,1000,4962,107525
22311271,1,2000,4976,107525
68486918,1,4500,5003,107525
84484364,1,500,5005,107525
62607824,1,1000,5006,107525
86308065,1,3500,5012,107525
61118106,1,4500,5016,107525
63670604,1,2000,5033,107525
73877266,1,4500,5034,107525
95290079,1,1500,5048,107525
4853279,1,2500,5052,107525
28425641,1,500,5055,107525
32747133,1,1000,5059,107525
79093151,1,500,5067,107525
89915804,1,2000,5067,107525
96673993,1,2000,5071,107525
35200765,1,3000,5087,107525
89528679,1,4500,5091,107525
63804775,1,4500,5092,107525
28425641,1,500,5094,107525
28425641,1,500,5106,107525
32747133,1,5000,5115,107525
91599990,1,2500,5164,107525
17442783,1,4500,5168,107525
65282171,1,4500,5183,107525
44594109,1,3500,5187,107525
51799292,1,4000,5190,107525
83488764,1,3000,5192,107525
17442783,1,4000,5205,107525
83488764,1,3000,5216,107525
97064747,1,3500,5217,107525
28425641,1,500,5221,107525
1438364,1,4000,5234,107525
45051218,1,4000,5243,107525
19819569,1,1000,5249,107525
51799292,1,4000,5263,107525
83488764,1,3000,5273,107525
31412746,1,4500,5281,107525
86308065,1,3000,5282,107525
22726351,1,2500,5299,107525
44594109,1,4000,5300,107525
81340523,1,2000,5302,107525
71332311,1,5000,5321,107525
17442783,1,4500,5321,107525
73418408,1,1500,5324,107525
83488764,1,3000,5336,107525
19819569,1,1000,5352,107525
22726351,1,2500,5356,107525
58357722,1,1500,5393,107525
99283724,1,4000,5398,107525
97339803,1,3000,5416,107525
72523281,1,2500,5419,107525
89886461,1,4000,5421,107525
6456186,1,2000,5434,107525
91599990,1,2000,5442,107525
53520052,1,4500,5456,107525
53520052,1,5000,5462,107525
73877266,1,4500,5466,107525
75282642,1,3500,5496,107525
89528679,1,5500,5506,107525
83488764,1,3000,5515,107525
5956451,1,3500,5520,107525
19819569,1,1500,5524,107525
27613627,1,5000,5531,107525
96673993,1,2000,5532,107525
65282171,1,4500,5547,107525
11683730,1,1000,5557,107525
16234480,1,4500,5589,107525
72948369,1,4500,5594,107525
31412746,1,5500,5601,107525
72165418,1,5000,5606,107525
30758909,1,5000,5611,107525
27613627,1,5500,5619,107525
53520052,1,5000,5626,107525
99283724,1,4000,5632,107525
79247076,1,5000,5638,107525
30003784,1,2000,5641,107525
89886461,1,4000,5652,107525
29386080,1,4500,5662,107525
3628,1,4500,5679,107525
44594109,1,4000,5689,107525
72948369,1,4500,5689,107525
3887941,1,4000,5691,107525
83488764,1,3000,5723,107525
34438281,1,4500,5728,107525
27605310,1,3500,5741,107525
73418408,1,1500,5750,107525
57006,1,4000,5772,107525
54482435,1,1000,5798,107525
87095283,1,3500,5812,107525
19819569,1,1000,5824,107525
19819569,1,1500,5841,107525
3225441,1,3500,5847,107525
53520052,1,5500,5861,107525
75282642,1,3500,5870,107525
22726351,1,2500,5879,107525
19819569,1,1000,5880,107525
80694968,1,2500,5887,107525
1379020,1,2500,5887,107525
7544903,1,3500,5917,107525
83488764,1,3000,5917,107525
70395304,1,2000,5920,107525
60557969,1,3000,5923,107525
19819569,1,1000,5933,107525
45585267,1,2000,5949,107525
31412746,1,4500,5949,107525
99283724,1,4500,5970,107525
88354479,1,4500,5978,107525
20588947,1,1000,5995,107525
58357722,1,1500,6002,107525
95290079,1,1500,6004,107525
51133312,1,6000,6010,107525
25804512,1,2500,6031,107525
17442783,1,4000,6033,107525
31412746,1,6000,6043,107525
22726351,1,2500,6043,107525
88354479,1,4500,6076,107525
44594109,1,3500,6079,107525
88354479,1,6000,6085,107525
95290079,1,1500,6097,107525
44594109,1,3000,6106,107525
31412746,1,5500,6141,107525
19819569,1,1500,6151,107525
75282642,1,3500,6165,107525
65282171,1,4500,6174,107525
94713929,1,6000,6179,107525
31412746,1,5500,6202,107525
25737248,1,2500,6203,107525
87926431,1,5500,6203,107525
36374194,1,2000,6208,107525
83488764,1,3000,6221,107525
88354479,1,4500,6232,107525
62178153,1,6000,6234,107525
36374194,1,2000,6242,107525
86308065,1,3000,6250,107525
99970880,1,5500,6317,107525
57349059,1,6000,6327,107525
72165418,1,5000,6337,107525
27308352,1,5000,6347,107525
22726351,1,2500,6350,107525
68817033,1,2000,6355,107525
66538156,1,2500,6357,107525
52568071,1,2000,6370,107525
30758909,1,5500,6382,107525
72523281,1,2000,6403,107525
31133703,1,6000,6407,107525
37569104,1,5000,6408,107525
22701764,1,3000,6410,107525
25323265,1,2000,6415,107525
75282642,1,3500,6420,107525
29386080,1,6000,6431,107525
30758909,1,5000,6458,107525
31412746,1,6000,6479,107525
66304266,1,6000,6482,107525
22726351,1,2500,6496,107525
4312958,1,6500,6501,107525
27613627,1,5000,6506,107525
65282171,1,4500,6519,107525
92634603,1,4000,6530,107525
31412746,1,5500,6531,107525
18004662,1,6000,6534,107525
89886461,1,4000,6555,107525
75282642,1,3500,6564,107525
31412746,1,6000,6576,107525
7544903,1,3500,6601,107525
25323265,1,2000,6615,107525
462432,1,6500,6617,107525
83488764,1,3000,6621,107525
80685420,1,2500,6623,107525
43059832,1,3500,6632,107525
83488764,1,3000,6634,107525
91962132,1,4000,6636,107525
8281885,1,4000,6654,107525
99970880,1,5500,6660,107525
74668080,1,5000,6664,107525
53520052,1,4500,6673,107525
83488764,1,3000,6678,107525
76486238,1,3500,6702,107525
83488764,1,3000,6726,107525
54770126,1,5000,6739,107525
27308352,1,5500,6749,107525
32244519,1,5000,6756,107525
44139210,1,6000,6775,107525
15633768,1,5500,6775,107525
95670526,1,4500,6777,107525
99283724,1,4500,6796,107525
54921975,1,2000,6814,107525
22726351,1,2500,6820,107525
23374822,1,2500,6826,107525
2673143,1,3000,6835,107525
65325847,1,5500,6847,107525
86308065,1,3000,6858,107525
4312958,1,6000,6878,107525
83752923,1,2000,6881,107525
99970880,1,5500,6901,107525
25804512,1,2500,6914,107525
37569104,1,5000,6918,107525
81783800,1,2000,6930,107525
11723396,1,6500,6961,107525
91599990,1,2500,6964,107525
17442783,1,4500,6966,107525
1379020,1,2500,6967,107525
89886461,1,4000,6967,107525
75282642,1,3500,6998,107525
15079656,1,6500,7014,107525
67549101,1,7000,7019,107525
4312958,1,7000,7024,107525
30758909,1,5000,7025,107525
72523281,1,2500,7026,107525
