key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,94424
28425641,1,500,810,94424
79093151,1,500,828,94424
28425641,1,500,860,94424
66489138,1,500,955,94424
44594109,1,500,961,94424
99970880,1,500,1019,94424
87926431,1,500,1072,94424
67959054,1,1000,1077,94424
19819569,1,1000,1205,94424
28425641,1,500,1242,94424
34262661,1,1000,1276,94424
86971226,1,500,1284,94424
10718755,1,500,1339,94424
34262661,1,1000,1387,94424
19819569,1,1500,1524,94424
32747133,1,1000,1549,94424
95290079,1,1500,1551,94424
31895428,1,1000,1553,94424
19819569,1,1000,1614,94424
4448187,1,1000,1626,94424
28425641,1,500,1643,94424
19819569,1,1000,1646,94424
95290079,1,1500,1719,94424
67959054,1,1000,1721,94424
19819569,1,1500,1728,94424
73418408,1,1500,1772,94424
95290079,1,1500,1775,94424
71725719,1,500,1791,94424
63804775,1,1000,1793,94424
73418408,1,1500,1798,94424
89636884,1,1000,1802,94424
87926431,1,500,1882,94424
95290079,1,1500,1915,94424
19819569,1,1000,1971,94424
19819569,1,1500,1995,94424
19819569,1,1000,2008,94424
84484364,1,500,2027,94424
19819569,1,1500,2068,94424
99048844,1,1000,2175,94424
79093151,1,500,2193,94424
45585267,1,2000,2267,94424
68817033,1,2000,2299,94424
73418408,1,1500,2308,94424
58357722,1,1500,2360,94424
7278441,1,2000,2410,94424
28425641,1,500,2418,94424
21863909,1,500,2423,94424
1296214,1,1000,2490,94424
19819569,1,1000,2490,94424
93776043,1,1000,2526,94424
22726351,1,2500,2534,94424
28425641,1,500,2556,94424
32227697,1,1000,2636,94424
95290079,1,1500,2667,94424
25804512,1,2500,2670,94424
93776043,1,1000,2730,94424
82758559,1,500,2758,94424
72523281,1,2500,2771,94424
95290079,1,1500,2786,94424
19819569,1,1000,2794,94424
96673993,1,2000,2824,94424
79093151,1,500,2867,94424
28425641,1,500,2888,94424
77221734,1,2000,2903,94424
28425641,1,500,2907,94424
28425641,1,500,2925,94424
23374822,1,2500,2937,94424
77589042,1,1500,2996,94424
51209364,1,0,3012,94424
25804512,1,2000,3058,94424
28425641,1,500,3105,94424
28425641,1,500,3117,94424
19819569,1,1000,3123,94424
28425641,1,500,3139,94424
25804512,1,2500,3142,94424
79093151,1,3000,3171,94424
19819569,1,1000,3186,94424
72523281,1,2500,3203,94424
32412154,1,1000,3225,94424
95290079,1,1500,3226,94424
32922355,1,2500,3231,94424
86308065,1,3000,3238,94424
22726351,1,2500,3249,94424
28425641,1,500,3254,94424
19819569,1,1500,3277,94424
22726351,1,2500,3279,94424
30003784,1,2000,3309,94424
58357722,1,1500,3327,94424
22726351,1,2500,3342,94424
11723396,1,2000,3345,94424
16133749,1,2000,3364,94424
58357722,1,1500,3369,94424
19819569,1,1500,3380,94424
95290079,1,1500,3401,94424
43581846,1,1500,3413,94424
19819569,1,1500,3427,94424
33071850,1,1000,3444,94424
6456186,1,2000,3490,94424
6456186,1,2000,3506,94424
56511357,1,1500,3508,94424
85360088,1,2500,3514,94424
36488048,1,3500,3533,94424
91599990,1,2500,3540,94424
36374194,1,2000,3553,94424
75282642,1,3500,3553,94424
5023913,1,2000,3557,94424
32412154,1,1000,3566,94424
66538156,1,2500,3571,94424
79093151,1,500,3578,94424
7544903,1,3500,3590,94424
31895428,1,1000,3590,94424
21559768,1,3500,3605,94424
4853279,1,2500,3616,94424
87926431,1,500,3654,94424
19819569,1,1500,3672,94424
58357722,1,1500,3681,94424
99027874,1,2500,3697,94424
44594109,1,3500,3721,94424
25737248,1,2000,3724,94424
43990469,1,3000,3725,94424
51209364,1,500,3729,94424
83488764,1,3000,3756,94424
28425641,1,500,3756,94424
83488764,1,3000,3768,94424
84484364,1,500,3782,94424
5956451,1,500,3783,94424
86308065,1,3000,3785,94424
19819569,1,1500,3789,94424
59066148,1,1000,3790,94424
19819569,1,1500,3817,94424
81783800,1,3000,3837,94424
30003784,1,2000,3852,94424
33071850,1,1000,3881,94424
83488764,1,3000,3914,94424
8345360,1,2000,3926,94424
33071850,1,1000,3930,94424
22701764,1,3000,3932,94424
2673143,1,2500,3937,94424
28425641,1,500,3938,94424
44594109,1,3500,3941,94424
5956451,1,3500,3941,94424
91599990,1,2000,3953,94424
87926431,1,500,3956,94424
72523281,1,2500,3963,94424
28425641,1,500,3983,94424
95290079,1,1500,3984,94424
95290079,1,1500,4010,94424
19819569,1,1500,4042,94424
86308065,1,3500,4049,94424
91962132,1,4000,4062,94424
51209364,1,500,4070,94424
28425641,1,500,4100,94424
83488764,1,3000,4121,94424
3330322,1,4000,4129,94424
16133749,1,2000,4140,94424
98997765,1,1500,4159,94424
18591930,1,2000,4177,94424
40639323,1,4000,4178,94424
44594109,1,3000,4184,94424
95290079,1,1500,4191,94424
19819569,1,1000,4201,94424
93776043,1,1000,4204,94424
83488764,1,3000,4207,94424
72523281,1,2500,4210,94424
91962132,1,4000,4249,94424
14838691,1,4000,4288,94424
58169160,1,2000,4289,94424
19819569,1,1500,4300,94424
7544903,1,3000,4302,94424
17718341,1,4000,4307,94424
85420429,1,2000,4308,94424
18591930,1,2000,4309,94424
4448187,1,1000,4313,94424
80694968,1,2500,4319,94424
68486918,1,1000,4370,94424
11723396,1,2000,4398,94424
75282642,1,3500,4399,94424
44594109,1,3500,4422,94424
7278441,1,2000,4428,94424
22701764,1,3000,4460,94424
22726351,1,2500,4489,94424
58357722,1,1500,4490,94424
95290079,1,1500,4505,94424
19819569,1,1000,4509,94424
28425641,1,500,4550,94424
31508574,1,2000,4559,94424
25804512,1,2500,4561,94424
28425641,1,500,4581,94424
53520052,1,1000,4601,94424
58357722,1,1500,4609,94424
70395304,1,1500,4629,94424
65282171,1,4500,4632,94424
93776043,1,1000,4661,94424
36488048,1,3500,4682,94424
36488048,1,3500,4683,94424
28425641,1,500,4694,94424
22726351,1,2500,4707,94424
79093151,1,3500,4707,94424
30003784,1,2000,4709,94424
53520052,1,4500,4710,94424
95290079,1,1500,4715,94424
4853279,1,2500,4715,94424
91599990,1,2000,4728,94424
95290079,1,1500,4729,94424
66538156,1,3000,4734,94424
5956451,1,3500,4759,94424
7544903,1,3000,4771,94424
2982962,1,2000,4790,94424
33200804,1,1000,4799,94424
16234480,1,500,4802,94424
62524424,1,4500,4804,94424
72523281,1,2500,4843,94424
4448187,1,1000,4874,94424
87926431,1,500,4884,94424
96673993,1,2000,4894,94424
89886461,1,4000,4943,94424
34262661,1,1000,4962,94424
22311271,1,2000,4976,94424
68486918,1,4500,5003,94424
84484364,1,500,5005,94424
62607824,1,1000,5006,94424
86308065,1,3500,5012,94424
61118106,1,4500,5016,94424
63670604,1,2000,5033,94424
73877266,1,4500,5034,94424
95290079,1,1500,5048,94424
4853279,1,2500,5052,94424
28425641,1,500,5055,94424
32747133,1,1000,5059,94424
79093151,1,500,5067,94424
89915804,1,2000,5067,94424
96673993,1,2000,5071,94424
35200765,1,3000,5087,94424
89528679,1,4500,5091,94424
63804775,1,4500,5092,94424
28425641,1,500,5094,94424
28425641,1,500,5106,94424
32747133,1,5000,5115,94424
91599990,1,2500,5164,94424
17442783,1,4500,5168,94424
65282171,1,4500,5183,94424
44594109,1,3500,5187,94424
51799292,1,4000,5190,94424
83488764,1,3000,5192,94424
17442783,1,4000,5205,94424
83488764,1,3000,5216,94424
97064747,1,3500,5217,94424
28425641,1,500,5221,94424
1438364,1,4000,5234,94424
45051218,1,4000,5243,94424
19819569,1,1000,5249,94424
51799292,1,4000,5263,94424
83488764,1,3000,5273,94424
31412746,1,4500,5281,94424
86308065,1,3000,5282,94424
22726351,1,2500,5299,94424
44594109,1,4000,5300,94424
81340523,1,2000,5302,94424
71332311,1,5000,5321,94424
17442783,1,4500,5321,94424
73418408,1,1500,5324,94424
83488764,1,3000,5336,94424
19819569,1,1000,5352,94424
22726351,1,2500,5356,94424
58357722,1,1500,5393,94424
99283724,1,4000,5398,94424
97339803,1,3000,5416,94424
72523281,1,2500,5419,94424
89886461,1,4000,5421,94424
6456186,1,2000,5434,94424
91599990,1,2000,5442,94424
53520052,1,4500,5456,94424
53520052,1,5000,5462,94424
73877266,1,4500,5466,94424
75282642,1,3500,5496,94424
89528679,1,5500,5506,94424
83488764,1,3000,5515,94424
5956451,1,3500,5520,94424
19819569,1,1500,5524,94424
27613627,1,5000,5531,94424
96673993,1,2000,5532,94424
65282171,1,4500,5547,94424
11683730,1,1000,5557,94424
16234480,1,4500,5589,94424
72948369,1,4500,5594,94424
31412746,1,5500,5601,94424
72165418,1,5000,5606,94424
30758909,1,5000,5611,94424
27613627,1,5500,5619,94424
53520052,1,5000,5626,94424
99283724,1,4000,5632,94424
79247076,1,5000,5638,94424
30003784,1,2000,5641,94424
89886461,1,4000,5652,94424
29386080,1,4500,5662,94424
3628,1,4500,5679,94424
44594109,1,4000,5689,94424
72948369,1,4500,5689,94424
3887941,1,4000,5691,94424
83488764,1,3000,5723,94424
34438281,1,4500,5728,94424
27605310,1,3500,5741,94424
73418408,1,1500,5750,94424
57006,1,4000,5772,94424
54482435,1,1000,5798,94424
87095283,1,3500,5812,94424
19819569,1,1000,5824,94424
19819569,1,1500,5841,94424
3225441,1,3500,5847,94424
53520052,1,5500,5861,94424
75282642,1,3500,5870,94424
22726351,1,2500,5879,94424
19819569,1,1000,5880,94424
80694968,1,2500,5887,94424
1379020,1,2500,5887,94424
7544903,1,3500,5917,94424
83488764,1,3000,5917,94424
70395304,1,2000,5920,94424
60557969,1,3000,5923,94424
19819569,1,1000,5933,94424
45585267,1,2000,5949,94424
31412746,1,4500,5949,94424
99283724,1,4500,5970,94424
88354479,1,4500,5978,94424
20588947,1,1000,5995,94424
58357722,1,1500,6002,94424
