key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,5038
28425641,1,500,810,5038
79093151,1,500,828,5038
28425641,1,500,860,5038
66489138,1,500,955,5038
44594109,1,500,961,5038
99970880,1,500,1019,5038
87926431,1,500,1072,5038
67959054,1,1000,1077,5038
19819569,1,1000,1205,5038
28425641,1,500,1242,5038
34262661,1,1000,1276,5038
86971226,1,500,1284,5038
10718755,1,500,1339,5038
34262661,1,1000,1387,5038
19819569,1,1500,1524,5038
32747133,1,1000,1549,5038
95290079,1,1500,1551,5038
31895428,1,1000,1553,5038
19819569,1,1000,1614,5038
4448187,1,1000,1626,5038
28425641,1,500,1643,5038
19819569,1,1000,1646,5038
95290079,1,1500,1719,5038
67959054,1,1000,1721,5038
19819569,1,1500,1728,5038
73418408,1,1500,1772,5038
95290079,1,1500,1775,5038
71725719,1,500,1791,5038
63804775,1,1000,1793,5038
73418408,1,1500,1798,5038
89636884,1,1000,1802,5038
87926431,1,500,1882,5038
95290079,1,1500,1915,5038
19819569,1,1000,1971,5038
19819569,1,1500,1995,5038
19819569,1,1000,2008,5038
84484364,1,500,2027,5038
19819569,1,1500,2068,5038
99048844,1,1000,2175,5038
79093151,1,500,2193,5038
45585267,1,2000,2267,5038
68817033,1,2000,2299,5038
73418408,1,1500,2308,5038
58357722,1,1500,2360,5038
7278441,1,2000,2410,5038
28425641,1,500,2418,5038
21863909,1,500,2423,5038
1296214,1,1000,2490,5038
19819569,1,1000,2490,5038
93776043,1,1000,2526,5038
22726351,1,2500,2534,5038
28425641,1,500,2556,5038
32227697,1,1000,2636,5038
95290079,1,1500,2667,5038
25804512,1,2500,2670,5038
93776043,1,1000,2730,5038
82758559,1,500,2758,5038
72523281,1,2500,2771,5038
95290079,1,1500,2786,5038
19819569,1,1000,2794,5038
96673993,1,2000,2824,5038
79093151,1,500,2867,5038
28425641,1,500,2888,5038
77221734,1,2000,2903,5038
28425641,1,500,2907,5038
28425641,1,500,2925,5038
23374822,1,2500,2937,5038
77589042,1,1500,2996,5038
51209364,1,0,3012,5038
25804512,1,2000,3058,5038
28425641,1,500,3105,5038
28425641,1,500,3117,5038
19819569,1,1000,3123,5038
28425641,1,500,3139,5038
25804512,1,2500,3142,5038
79093151,1,3000,3171,5038
19819569,1,1000,3186,5038
72523281,1,2500,3203,5038
32412154,1,1000,3225,5038
95290079,1,1500,3226,5038
32922355,1,2500,3231,5038
86308065,1,3000,3238,5038
22726351,1,2500,3249,5038
28425641,1,500,3254,5038
19819569,1,1500,3277,5038
22726351,1,2500,3279,5038
30003784,1,2000,3309,5038
58357722,1,1500,3327,5038
22726351,1,2500,3342,5038
11723396,1,2000,3345,5038
16133749,1,2000,3364,5038
58357722,1,1500,3369,5038
19819569,1,1500,3380,5038
95290079,1,1500,3401,5038
43581846,1,1500,3413,5038
19819569,1,1500,3427,5038
33071850,1,1000,3444,5038
6456186,1,2000,3490,5038
6456186,1,2000,3506,5038
56511357,1,1500,3508,5038
85360088,1,2500,3514,5038
36488048,1,3500,3533,5038
91599990,1,2500,3540,5038
36374194,1,2000,3553,5038
75282642,1,3500,3553,5038
5023913,1,2000,3557,5038
32412154,1,1000,3566,5038
66538156,1,2500,3571,5038
79093151,1,500,3578,5038
7544903,1,3500,3590,5038
31895428,1,1000,3590,5038
21559768,1,3500,3605,5038
4853279,1,2500,3616,5038
87926431,1,500,3654,5038
19819569,1,1500,3672,5038
58357722,1,1500,3681,5038
99027874,1,2500,3697,5038
44594109,1,3500,3721,5038
25737248,1,2000,3724,5038
43990469,1,3000,3725,5038
51209364,1,500,3729,5038
83488764,1,3000,3756,5038
28425641,1,500,3756,5038
83488764,1,3000,3768,5038
84484364,1,500,3782,5038
5956451,1,500,3783,5038
86308065,1,3000,3785,5038
19819569,1,1500,3789,5038
59066148,1,1000,3790,5038
19819569,1,1500,3817,5038
81783800,1,3000,3837,5038
30003784,1,2000,3852,5038
33071850,1,1000,3881,5038
83488764,1,3000,3914,5038
8345360,1,2000,3926,5038
33071850,1,1000,3930,5038
22701764,1,3000,3932,5038
2673143,1,2500,3937,5038
28425641,1,500,3938,5038
44594109,1,3500,3941,5038
5956451,1,3500,3941,5038
91599990,1,2000,3953,5038
87926431,1,500,3956,5038
72523281,1,2500,3963,5038
28425641,1,500,3983,5038
95290079,1,1500,3984,5038
95290079,1,1500,4010,5038
19819569,1,1500,4042,5038
86308065,1,3500,4049,5038
91962132,1,4000,4062,5038
51209364,1,500,4070,5038
28425641,1,500,4100,5038
83488764,1,3000,4121,5038
3330322,1,4000,4129,5038
16133749,1,2000,4140,5038
98997765,1,1500,4159,5038
18591930,1,2000,4177,5038
40639323,1,4000,4178,5038
44594109,1,3000,4184,5038
95290079,1,1500,4191,5038
19819569,1,1000,4201,5038
93776043,1,1000,4204,5038
83488764,1,3000,4207,5038
72523281,1,2500,4210,5038
91962132,1,4000,4249,5038
14838691,1,4000,4288,5038
58169160,1,2000,4289,5038
19819569,1,1500,4300,5038
7544903,1,3000,4302,5038
17718341,1,4000,4307,5038
85420429,1,2000,4308,5038
18591930,1,2000,4309,5038
4448187,1,1000,4313,5038
80694968,1,2500,4319,5038
68486918,1,1000,4370,5038
11723396,1,2000,4398,5038
75282642,1,3500,4399,5038
44594109,1,3500,4422,5038
7278441,1,2000,4428,5038
22701764,1,3000,4460,5038
22726351,1,2500,4489,5038
58357722,1,1500,4490,5038
95290079,1,1500,4505,5038
19819569,1,1000,4509,5038
28425641,1,500,4550,5038
31508574,1,2000,4559,5038
25804512,1,2500,4561,5038
28425641,1,500,4581,5038
53520052,1,1000,4601,5038
58357722,1,1500,4609,5038
70395304,1,1500,4629,5038
65282171,1,4500,4632,5038
93776043,1,1000,4661,5038
36488048,1,3500,4682,5038
36488048,1,3500,4683,5038
28425641,1,500,4694,5038
22726351,1,2500,4707,5038
79093151,1,3500,4707,5038
30003784,1,2000,4709,5038
53520052,1,4500,4710,5038
95290079,1,1500,4715,5038
4853279,1,2500,4715,5038
91599990,1,2000,4728,5038
95290079,1,1500,4729,5038
66538156,1,3000,4734,5038
5956451,1,3500,4759,5038
7544903,1,3000,4771,5038
2982962,1,2000,4790,5038
33200804,1,1000,4799,5038
16234480,1,500,4802,5038
62524424,1,4500,4804,5038
72523281,1,2500,4843,5038
4448187,1,1000,4874,5038
87926431,1,500,4884,5038
96673993,1,2000,4894,5038
89886461,1,4000,4943,5038
34262661,1,1000,4962,5038
22311271,1,2000,4976,5038
68486918,1,4500,5003,5038
