key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,12838
28425641,1,500,810,12838
79093151,1,500,828,12838
28425641,1,500,860,12838
66489138,1,500,955,12838
44594109,1,500,961,12838
99970880,1,500,1019,12838
87926431,1,500,1072,12838
67959054,1,1000,1077,12838
19819569,1,1000,1205,12838
28425641,1,500,1242,12838
34262661,1,1000,1276,12838
86971226,1,500,1284,12838
10718755,1,500,1339,12838
34262661,1,1000,1387,12838
19819569,1,1500,1524,12838
32747133,1,1000,1549,12838
95290079,1,1500,1551,12838
31895428,1,1000,1553,12838
19819569,1,1000,1614,12838
4448187,1,1000,1626,12838
28425641,1,500,1643,12838
19819569,1,1000,1646,12838
95290079,1,1500,1719,12838
67959054,1,1000,1721,12838
19819569,1,1500,1728,12838
73418408,1,1500,1772,12838
95290079,1,1500,1775,12838
71725719,1,500,1791,12838
63804775,1,1000,1793,12838
73418408,1,1500,1798,12838
89636884,1,1000,1802,12838
87926431,1,500,1882,12838
95290079,1,1500,1915,12838
19819569,1,1000,1971,12838
19819569,1,1500,1995,12838
19819569,1,1000,2008,12838
84484364,1,500,2027,12838
19819569,1,1500,2068,12838
99048844,1,1000,2175,12838
79093151,1,500,2193,12838
45585267,1,2000,2267,12838
68817033,1,2000,2299,12838
73418408,1,1500,2308,12838
58357722,1,1500,2360,12838
7278441,1,2000,2410,12838
28425641,1,500,2418,12838
21863909,1,500,2423,12838
1296214,1,1000,2490,12838
19819569,1,1000,2490,12838
93776043,1,1000,2526,12838
22726351,1,2500,2534,12838
28425641,1,500,2556,12838
32227697,1,1000,2636,12838
95290079,1,1500,2667,12838
25804512,1,2500,2670,12838
93776043,1,1000,2730,12838
82758559,1,500,2758,12838
72523281,1,2500,2771,12838
95290079,1,1500,2786,12838
19819569,1,1000,2794,12838
96673993,1,2000,2824,12838
79093151,1,500,2867,12838
28425641,1,500,2888,12838
77221734,1,2000,2903,12838
28425641,1,500,2907,12838
28425641,1,500,2925,12838
23374822,1,2500,2937,12838
77589042,1,1500,2996,12838
51209364,1,0,3012,12838
25804512,1,2000,3058,12838
