key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,699731
89528679,1,5500,6569,699731
4312958,1,6500,6693,699731
51133312,1,6000,7942,699731
22726351,1,2500,9277,699731
36488048,1,3500,9923,699731
67549101,1,7000,10743,699731
95290079,1,1500,11554,699731
4312958,1,7000,11632,699731
75282642,1,3500,14040,699731
31412746,1,6000,14586,699731
58169160,1,8000,15926,699731
91962132,1,4000,16202,699731
67959054,1,1000,16346,699731
7149962,1,7500,17563,699731
99027874,1,9500,18723,699731
59956325,1,8500,20608,699731
80685420,1,9500,21247,699731
7544903,1,3500,21428,699731
88354479,1,6000,22993,699731
21559768,1,3500,24349,699731
31412746,1,5500,25537,699731
32464878,1,9500,25901,699731
32747133,1,5000,27916,699731
97472415,1,7000,28314,699731
27613627,1,5500,29237,699731
3330322,1,4000,29729,699731
462432,1,6500,29870,699731
65282171,1,4500,30817,699731
43581846,1,7000,32145,699731
85360088,1,10000,33361,699731
51133312,1,7000,34848,699731
25804512,1,2500,36374,699731
79093151,1,3000,37159,699731
40639323,1,4000,39569,699731
94713929,1,6000,41658,699731
19819569,1,1000,41889,699731
4312958,1,7000,44007,699731
95290079,1,1500,45149,699731
53520052,1,4500,46324,699731
67075263,1,8500,46470,699731
45023542,1,8500,46835,699731
19819569,1,1500,47001,699731
44594109,1,3500,47671,699731
50330067,1,7000,47873,699731
86308065,1,3000,50470,699731
85360088,1,9000,51353,699731
62178153,1,6000,52714,699731
91962132,1,4000,53759,699731
92044895,1,8500,53782,699731
45585267,1,2000,55343,699731
73418408,1,1500,55744,699731
34262661,1,1000,56031,699731
95290079,1,1500,56302,699731
58169160,1,8500,56605,699731
72523281,1,2500,56658,699731
12476853,1,9000,57401,699731
50330067,1,7000,58695,699731
25737248,1,9000,58994,699731
28425641,1,500,59234,699731
83752923,1,7000,59478,699731
73418408,1,1500,61055,699731
14838691,1,4000,61538,699731
68817033,1,2000,61641,699731
28425641,1,500,62425,699731
15079656,1,8500,63418,699731
62524424,1,4500,65169,699731
17718341,1,4000,65268,699731
79093151,1,500,66031,699731
85360088,1,10000,67099,699731
71332311,1,5000,69162,699731
85420429,1,9500,70334,699731
32967234,1,9000,70474,699731
57349059,1,6000,71237,699731
28425641,1,500,72459,699731
18004662,1,7000,72574,699731
85360088,1,10000,74909,699731
53520052,1,5500,77565,699731
34262661,1,1000,78268,699731
17668543,1,9000,83461,699731
7278441,1,2000,83808,699731
95290079,1,1500,84475,699731
42568529,1,7500,85707,699731
31133703,1,6000,87294,699731
23374822,1,2500,89867,699731
42568529,1,7500,90088,699731
66489138,1,500,91342,699731
44594109,1,3500,91556,699731
5956451,1,3500,91625,699731
294203,1,8000,91748,699731
29386080,1,6000,92157,699731
44594109,1,500,92608,699731
35944328,1,9500,94905,699731
85360088,1,10000,96384,699731
53520052,1,5000,97235,699731
11723396,1,6500,98557,699731
35944328,1,9500,100362,699731
19819569,1,1500,100423,699731
50330067,1,8000,100785,699731
31412746,1,6000,101771,699731
66304266,1,6000,102386,699731
99970880,1,500,104299,699731
68486918,1,4500,105059,699731
25804512,1,9000,105359,699731
85360088,1,10000,106400,699731
61118106,1,4500,107644,699731
15079656,1,6500,109278,699731
32747133,1,1000,110785,699731
27613627,1,5000,111166,699731
73877266,1,4500,111289,699731
31895428,1,1000,111426,699731
18004662,1,6000,112674,699731
86308065,1,3500,113228,699731
87926431,1,500,114868,699731
19819569,1,1500,114987,699731
41089930,1,9500,118853,699731
31412746,1,6000,121014,699731
89528679,1,4500,122650,699731
63804775,1,4500,122709,699731
19819569,1,1000,123707,699731
12476853,1,9000,123888,699731
99275943,1,9000,125317,699731
72165418,1,5000,126006,699731
4448187,1,1000,126111,699731
85360088,1,10000,126345,699731
30758909,1,5000,127123,699731
50330067,1,7500,127161,699731
53520052,1,5000,130033,699731
19819569,1,1000,130184,699731
88261051,1,8500,130223,699731
81340523,1,8000,130387,699731
68817033,1,9500,130509,699731
7149962,1,7500,130655,699731
25804512,1,2500,130891,699731
79247076,1,5000,132409,699731
92887819,1,7500,132654,699731
31412746,1,5500,133615,699731
32464878,1,9000,134537,699731
23374822,1,9000,137625,699731
17442783,1,4500,138040,699731
65282171,1,4500,140961,699731
54921975,1,8500,141527,699731
72523281,1,2500,142994,699731
67959054,1,1000,145081,699731
31412746,1,5500,145898,699731
87926431,1,5500,145904,699731
82934310,1,8500,146587,699731
74875857,1,10000,147250,699731
43990469,1,3000,147980,699731
42568529,1,7500,148060,699731
39485041,1,9500,148392,699731
32922355,1,2500,148605,699731
28425641,1,500,148872,699731
83752923,1,8000,151763,699731
22726351,1,2500,152300,699731
99027874,1,9500,153206,699731
83488764,1,3000,154061,699731
43581846,1,7000,156485,699731
83488764,1,3000,156547,699731
86971226,1,500,157128,699731
58169160,1,7000,158050,699731
22726351,1,2500,158259,699731
84816354,1,8000,158930,699731
63804775,1,1000,159408,699731
86308065,1,3000,159845,699731
31412746,1,4500,160659,699731
44139210,1,6000,160951,699731
89636884,1,1000,161263,699731
73418408,1,1500,162993,699731
25804512,1,9000,166332,699731
96673993,1,2000,166601,699731
10718755,1,500,168264,699731
85360088,1,10000,168569,699731
17442783,1,4500,168615,699731
99970880,1,5500,168794,699731
81783800,1,3000,170229,699731
22726351,1,2500,170895,699731
85360088,1,10000,171163,699731
85360088,1,10000,172746,699731
58357722,1,1500,173326,699731
67549101,1,8000,177842,699731
