key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,100090
28425641,1,500,810,100090
79093151,1,500,828,100090
28425641,1,500,860,100090
66489138,1,500,955,100090
44594109,1,500,961,100090
99970880,1,500,1019,100090
87926431,1,500,1072,100090
67959054,1,1000,1077,100090
19819569,1,1000,1205,100090
28425641,1,500,1242,100090
34262661,1,1000,1276,100090
86971226,1,500,1284,100090
10718755,1,500,1339,100090
34262661,1,1000,1387,100090
19819569,1,1500,1524,100090
32747133,1,1000,1549,100090
95290079,1,1500,1551,100090
31895428,1,1000,1553,100090
19819569,1,1000,1614,100090
4448187,1,1000,1626,100090
28425641,1,500,1643,100090
19819569,1,1000,1646,100090
95290079,1,1500,1719,100090
67959054,1,1000,1721,100090
19819569,1,1500,1728,100090
73418408,1,1500,1772,100090
95290079,1,1500,1775,100090
71725719,1,500,1791,100090
63804775,1,1000,1793,100090
73418408,1,1500,1798,100090
89636884,1,1000,1802,100090
87926431,1,500,1882,100090
95290079,1,1500,1915,100090
19819569,1,1000,1971,100090
19819569,1,1500,1995,100090
19819569,1,1000,2008,100090
84484364,1,500,2027,100090
19819569,1,1500,2068,100090
99048844,1,1000,2175,100090
79093151,1,500,2193,100090
45585267,1,2000,2267,100090
68817033,1,2000,2299,100090
73418408,1,1500,2308,100090
58357722,1,1500,2360,100090
7278441,1,2000,2410,100090
28425641,1,500,2418,100090
21863909,1,500,2423,100090
1296214,1,1000,2490,100090
19819569,1,1000,2490,100090
93776043,1,1000,2526,100090
22726351,1,2500,2534,100090
28425641,1,500,2556,100090
32227697,1,1000,2636,100090
95290079,1,1500,2667,100090
25804512,1,2500,2670,100090
93776043,1,1000,2730,100090
82758559,1,500,2758,100090
72523281,1,2500,2771,100090
95290079,1,1500,2786,100090
19819569,1,1000,2794,100090
96673993,1,2000,2824,100090
79093151,1,500,2867,100090
28425641,1,500,2888,100090
77221734,1,2000,2903,100090
28425641,1,500,2907,100090
28425641,1,500,2925,100090
23374822,1,2500,2937,100090
77589042,1,1500,2996,100090
51209364,1,0,3012,100090
25804512,1,2000,3058,100090
28425641,1,500,3105,100090
28425641,1,500,3117,100090
