key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,12050
28425641,1,500,810,12050
79093151,1,500,828,12050
28425641,1,500,860,12050
66489138,1,500,955,12050
44594109,1,500,961,12050
99970880,1,500,1019,12050
87926431,1,500,1072,12050
67959054,1,1000,1077,12050
19819569,1,1000,1205,12050
28425641,1,500,1242,12050
34262661,1,1000,1276,12050
86971226,1,500,1284,12050
10718755,1,500,1339,12050
34262661,1,1000,1387,12050
19819569,1,1500,1524,12050
32747133,1,1000,1549,12050
95290079,1,1500,1551,12050
31895428,1,1000,1553,12050
19819569,1,1000,1614,12050
4448187,1,1000,1626,12050
28425641,1,500,1643,12050
19819569,1,1000,1646,12050
95290079,1,1500,1719,12050
67959054,1,1000,1721,12050
19819569,1,1500,1728,12050
73418408,1,1500,1772,12050
95290079,1,1500,1775,12050
71725719,1,500,1791,12050
63804775,1,1000,1793,12050
73418408,1,1500,1798,12050
89636884,1,1000,1802,12050
87926431,1,500,1882,12050
95290079,1,1500,1915,12050
19819569,1,1000,1971,12050
19819569,1,1500,1995,12050
19819569,1,1000,2008,12050
84484364,1,500,2027,12050
19819569,1,1500,2068,12050
99048844,1,1000,2175,12050
79093151,1,500,2193,12050
45585267,1,2000,2267,12050
68817033,1,2000,2299,12050
73418408,1,1500,2308,12050
58357722,1,1500,2360,12050
7278441,1,2000,2410,12050
28425641,1,500,2418,12050
21863909,1,500,2423,12050
1296214,1,1000,2490,12050
19819569,1,1000,2490,12050
93776043,1,1000,2526,12050
22726351,1,2500,2534,12050
28425641,1,500,2556,12050
32227697,1,1000,2636,12050
95290079,1,1500,2667,12050
25804512,1,2500,2670,12050
93776043,1,1000,2730,12050
82758559,1,500,2758,12050
72523281,1,2500,2771,12050
95290079,1,1500,2786,12050
19819569,1,1000,2794,12050
96673993,1,2000,2824,12050
79093151,1,500,2867,12050
28425641,1,500,2888,12050
77221734,1,2000,2903,12050
28425641,1,500,2907,12050
28425641,1,500,2925,12050
23374822,1,2500,2937,12050
77589042,1,1500,2996,12050
51209364,1,0,3012,12050
25804512,1,2000,3058,12050
28425641,1,500,3105,12050
28425641,1,500,3117,12050
19819569,1,1000,3123,12050
28425641,1,500,3139,12050
25804512,1,2500,3142,12050
79093151,1,3000,3171,12050
19819569,1,1000,3186,12050
72523281,1,2500,3203,12050
32412154,1,1000,3225,12050
95290079,1,1500,3226,12050
32922355,1,2500,3231,12050
86308065,1,3000,3238,12050
