key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,399438
89528679,1,5500,6569,399438
4312958,1,6500,6693,399438
51133312,1,6000,7942,399438
22726351,1,2500,9277,399438
36488048,1,3500,9923,399438
67549101,1,7000,10743,399438
95290079,1,1500,11554,399438
4312958,1,7000,11632,399438
75282642,1,3500,14040,399438
31412746,1,6000,14586,399438
58169160,1,8000,15926,399438
91962132,1,4000,16202,399438
67959054,1,1000,16346,399438
7149962,1,7500,17563,399438
99027874,1,9500,18723,399438
59956325,1,8500,20608,399438
80685420,1,9500,21247,399438
7544903,1,3500,21428,399438
88354479,1,6000,22993,399438
21559768,1,3500,24349,399438
31412746,1,5500,25537,399438
32464878,1,9500,25901,399438
32747133,1,5000,27916,399438
97472415,1,7000,28314,399438
27613627,1,5500,29237,399438
3330322,1,4000,29729,399438
462432,1,6500,29870,399438
65282171,1,4500,30817,399438
43581846,1,7000,32145,399438
85360088,1,10000,33361,399438
51133312,1,7000,34848,399438
25804512,1,2500,36374,399438
79093151,1,3000,37159,399438
40639323,1,4000,39569,399438
94713929,1,6000,41658,399438
19819569,1,1000,41889,399438
4312958,1,7000,44007,399438
95290079,1,1500,45149,399438
53520052,1,4500,46324,399438
67075263,1,8500,46470,399438
45023542,1,8500,46835,399438
19819569,1,1500,47001,399438
44594109,1,3500,47671,399438
50330067,1,7000,47873,399438
86308065,1,3000,50470,399438
85360088,1,9000,51353,399438
62178153,1,6000,52714,399438
91962132,1,4000,53759,399438
92044895,1,8500,53782,399438
45585267,1,2000,55343,399438
73418408,1,1500,55744,399438
34262661,1,1000,56031,399438
95290079,1,1500,56302,399438
58169160,1,8500,56605,399438
72523281,1,2500,56658,399438
12476853,1,9000,57401,399438
50330067,1,7000,58695,399438
25737248,1,9000,58994,399438
28425641,1,500,59234,399438
83752923,1,7000,59478,399438
73418408,1,1500,61055,399438
14838691,1,4000,61538,399438
68817033,1,2000,61641,399438
28425641,1,500,62425,399438
15079656,1,8500,63418,399438
62524424,1,4500,65169,399438
17718341,1,4000,65268,399438
79093151,1,500,66031,399438
85360088,1,10000,67099,399438
71332311,1,5000,69162,399438
85420429,1,9500,70334,399438
32967234,1,9000,70474,399438
57349059,1,6000,71237,399438
28425641,1,500,72459,399438
18004662,1,7000,72574,399438
85360088,1,10000,74909,399438
53520052,1,5500,77565,399438
34262661,1,1000,78268,399438
17668543,1,9000,83461,399438
7278441,1,2000,83808,399438
95290079,1,1500,84475,399438
42568529,1,7500,85707,399438
31133703,1,6000,87294,399438
23374822,1,2500,89867,399438
42568529,1,7500,90088,399438
66489138,1,500,91342,399438
44594109,1,3500,91556,399438
5956451,1,3500,91625,399438
294203,1,8000,91748,399438
29386080,1,6000,92157,399438
44594109,1,500,92608,399438
35944328,1,9500,94905,399438
85360088,1,10000,96384,399438
53520052,1,5000,97235,399438
11723396,1,6500,98557,399438
35944328,1,9500,100362,399438
19819569,1,1500,100423,399438
50330067,1,8000,100785,399438
31412746,1,6000,101771,399438
66304266,1,6000,102386,399438
99970880,1,500,104299,399438
68486918,1,4500,105059,399438
25804512,1,9000,105359,399438
85360088,1,10000,106400,399438
61118106,1,4500,107644,399438
15079656,1,6500,109278,399438
32747133,1,1000,110785,399438
27613627,1,5000,111166,399438
73877266,1,4500,111289,399438
31895428,1,1000,111426,399438
18004662,1,6000,112674,399438
86308065,1,3500,113228,399438
87926431,1,500,114868,399438
19819569,1,1500,114987,399438
41089930,1,9500,118853,399438
31412746,1,6000,121014,399438
89528679,1,4500,122650,399438
63804775,1,4500,122709,399438
19819569,1,1000,123707,399438
12476853,1,9000,123888,399438
99275943,1,9000,125317,399438
72165418,1,5000,126006,399438
4448187,1,1000,126111,399438
85360088,1,10000,126345,399438
30758909,1,5000,127123,399438
50330067,1,7500,127161,399438
53520052,1,5000,130033,399438
19819569,1,1000,130184,399438
88261051,1,8500,130223,399438
81340523,1,8000,130387,399438
68817033,1,9500,130509,399438
7149962,1,7500,130655,399438
25804512,1,2500,130891,399438
79247076,1,5000,132409,399438
92887819,1,7500,132654,399438
31412746,1,5500,133615,399438
32464878,1,9000,134537,399438
23374822,1,9000,137625,399438
17442783,1,4500,138040,399438
65282171,1,4500,140961,399438
54921975,1,8500,141527,399438
72523281,1,2500,142994,399438
67959054,1,1000,145081,399438
31412746,1,5500,145898,399438
87926431,1,5500,145904,399438
82934310,1,8500,146587,399438
74875857,1,10000,147250,399438
43990469,1,3000,147980,399438
42568529,1,7500,148060,399438
39485041,1,9500,148392,399438
32922355,1,2500,148605,399438
28425641,1,500,148872,399438
83752923,1,8000,151763,399438
22726351,1,2500,152300,399438
99027874,1,9500,153206,399438
83488764,1,3000,154061,399438
43581846,1,7000,156485,399438
83488764,1,3000,156547,399438
86971226,1,500,157128,399438
58169160,1,7000,158050,399438
22726351,1,2500,158259,399438
84816354,1,8000,158930,399438
63804775,1,1000,159408,399438
86308065,1,3000,159845,399438
31412746,1,4500,160659,399438
44139210,1,6000,160951,399438
89636884,1,1000,161263,399438
73418408,1,1500,162993,399438
25804512,1,9000,166332,399438
96673993,1,2000,166601,399438
10718755,1,500,168264,399438
85360088,1,10000,168569,399438
17442783,1,4500,168615,399438
99970880,1,5500,168794,399438
81783800,1,3000,170229,399438
22726351,1,2500,170895,399438
85360088,1,10000,171163,399438
85360088,1,10000,172746,399438
58357722,1,1500,173326,399438
67549101,1,8000,177842,399438
59956325,1,8500,178475,399438
4312958,1,6000,181412,399438
30758909,1,5500,181896,399438
77221734,1,2000,182471,399438
75282642,1,3500,183292,399438
83488764,1,3000,185675,399438
99027874,1,9000,185813,399438
25110633,1,8500,186195,399438
85360088,1,10000,186218,399438
7149962,1,7500,186435,399438
44594109,1,3500,187734,399438
22701764,1,3000,189244,399438
22726351,1,9500,190061,399438
89886461,1,4000,192409,399438
5537834,1,8500,192418,399438
19819569,1,1000,195106,399438
53520052,1,4500,195698,399438
73877266,1,4500,197599,399438
21391522,1,7500,199399,399438
58169160,1,7500,200722,399438
35944328,1,9500,201598,399438
19819569,1,1000,202555,399438
15079656,1,7000,204072,399438
6456186,1,8500,205148,399438
85360088,1,2500,205210,399438
32967234,1,9000,205579,399438
91599990,1,2500,210398,399438
2673143,1,8500,210817,399438
42568529,1,7500,211427,399438
31412746,1,5500,211522,399438
25804512,1,2000,213423,399438
65282171,1,4500,213891,399438
66538156,1,2500,216529,399438
85360088,1,10000,216688,399438
57349059,1,6000,219144,399438
85360088,1,10000,220159,399438
74875857,1,10000,220251,399438
16234480,1,4500,222186,399438
31133703,1,6000,222678,399438
72948369,1,4500,223102,399438
58169160,1,8000,223154,399438
62957492,1,7000,224000,399438
11723396,1,6500,224535,399438
4853279,1,2500,225627,399438
83488764,1,3000,227020,399438
45023542,1,9000,227569,399438
28425641,1,500,229097,399438
50330067,1,6500,229135,399438
4312958,1,6500,233221,399438
72480768,1,8000,234146,399438
95290079,1,1500,234899,399438
67549101,1,8000,235820,399438
99048844,1,1000,235934,399438
29386080,1,4500,236894,399438
99970880,1,5500,237496,399438
44594109,1,3000,239662,399438
36488048,1,3500,239713,399438
36488048,1,3500,240013,399438
3628,1,4500,240240,399438
58169160,1,8500,240750,399438
99027874,1,2500,241774,399438
51799292,1,4000,241827,399438
72948369,1,4500,242179,399438
85360088,1,10000,243679,399438
83488764,1,3000,244257,399438
99027874,1,9500,244264,399438
79093151,1,3500,244812,399438
17442783,1,4000,244886,399438
462432,1,8000,247208,399438
58444660,1,8000,247402,399438
34438281,1,4500,249969,399438
1438364,1,4000,250783,399438
45051218,1,4000,252563,399438
4312958,1,7000,254861,399438
5956451,1,3500,255250,399438
27308352,1,5500,255288,399438
51799292,1,4000,256490,399438
71725719,1,500,258589,399438
95290079,1,1500,258655,399438
43581846,1,7000,259291,399438
15633768,1,5500,260469,399438
59956325,1,8500,262545,399438
7544903,1,3000,263383,399438
30003784,1,2000,263607,399438
44594109,1,4000,263804,399438
67549101,1,8000,265289,399438
294203,1,8000,265889,399438
25804512,1,9000,267974,399438
85360088,1,10000,268154,399438
11723396,1,2000,270888,399438
4439928,1,8000,271014,399438
32967234,1,9000,271177,399438
72165418,1,5000,272204,399438
27308352,1,5000,274201,399438
69564860,1,8500,274664,399438
16133749,1,2000,274759,399438
65325847,1,5500,274852,399438
87926431,1,500,276857,399438
38210322,1,8000,279740,399438
99283724,1,4000,283407,399438
99970880,1,5500,285553,399438
37569104,1,5000,286553,399438
97747889,1,8500,287205,399438
89886461,1,4000,288152,399438
2673143,1,2500,289873,399438
294203,1,8000,293522,399438
31412746,1,4500,294258,399438
