key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,686841
89528679,1,5500,6569,686841
4312958,1,6500,6693,686841
51133312,1,6000,7942,686841
22726351,1,2500,9277,686841
36488048,1,3500,9923,686841
67549101,1,7000,10743,686841
95290079,1,1500,11554,686841
4312958,1,7000,11632,686841
75282642,1,3500,14040,686841
31412746,1,6000,14586,686841
58169160,1,8000,15926,686841
91962132,1,4000,16202,686841
67959054,1,1000,16346,686841
7149962,1,7500,17563,686841
99027874,1,9500,18723,686841
59956325,1,8500,20608,686841
80685420,1,9500,21247,686841
7544903,1,3500,21428,686841
88354479,1,6000,22993,686841
21559768,1,3500,24349,686841
31412746,1,5500,25537,686841
32464878,1,9500,25901,686841
32747133,1,5000,27916,686841
97472415,1,7000,28314,686841
27613627,1,5500,29237,686841
3330322,1,4000,29729,686841
462432,1,6500,29870,686841
65282171,1,4500,30817,686841
43581846,1,7000,32145,686841
85360088,1,10000,33361,686841
51133312,1,7000,34848,686841
25804512,1,2500,36374,686841
79093151,1,3000,37159,686841
40639323,1,4000,39569,686841
94713929,1,6000,41658,686841
19819569,1,1000,41889,686841
4312958,1,7000,44007,686841
95290079,1,1500,45149,686841
53520052,1,4500,46324,686841
67075263,1,8500,46470,686841
45023542,1,8500,46835,686841
19819569,1,1500,47001,686841
44594109,1,3500,47671,686841
50330067,1,7000,47873,686841
86308065,1,3000,50470,686841
85360088,1,9000,51353,686841
62178153,1,6000,52714,686841
91962132,1,4000,53759,686841
92044895,1,8500,53782,686841
45585267,1,2000,55343,686841
73418408,1,1500,55744,686841
34262661,1,1000,56031,686841
95290079,1,1500,56302,686841
58169160,1,8500,56605,686841
72523281,1,2500,56658,686841
12476853,1,9000,57401,686841
50330067,1,7000,58695,686841
25737248,1,9000,58994,686841
28425641,1,500,59234,686841
83752923,1,7000,59478,686841
73418408,1,1500,61055,686841
14838691,1,4000,61538,686841
68817033,1,2000,61641,686841
28425641,1,500,62425,686841
15079656,1,8500,63418,686841
62524424,1,4500,65169,686841
17718341,1,4000,65268,686841
79093151,1,500,66031,686841
85360088,1,10000,67099,686841
71332311,1,5000,69162,686841
85420429,1,9500,70334,686841
32967234,1,9000,70474,686841
57349059,1,6000,71237,686841
28425641,1,500,72459,686841
18004662,1,7000,72574,686841
85360088,1,10000,74909,686841
53520052,1,5500,77565,686841
34262661,1,1000,78268,686841
17668543,1,9000,83461,686841
7278441,1,2000,83808,686841
95290079,1,1500,84475,686841
42568529,1,7500,85707,686841
31133703,1,6000,87294,686841
23374822,1,2500,89867,686841
42568529,1,7500,90088,686841
66489138,1,500,91342,686841
44594109,1,3500,91556,686841
5956451,1,3500,91625,686841
294203,1,8000,91748,686841
29386080,1,6000,92157,686841
44594109,1,500,92608,686841
35944328,1,9500,94905,686841
85360088,1,10000,96384,686841
53520052,1,5000,97235,686841
11723396,1,6500,98557,686841
35944328,1,9500,100362,686841
19819569,1,1500,100423,686841
50330067,1,8000,100785,686841
31412746,1,6000,101771,686841
66304266,1,6000,102386,686841
99970880,1,500,104299,686841
68486918,1,4500,105059,686841
25804512,1,9000,105359,686841
85360088,1,10000,106400,686841
61118106,1,4500,107644,686841
15079656,1,6500,109278,686841
32747133,1,1000,110785,686841
27613627,1,5000,111166,686841
73877266,1,4500,111289,686841
31895428,1,1000,111426,686841
18004662,1,6000,112674,686841
86308065,1,3500,113228,686841
87926431,1,500,114868,686841
19819569,1,1500,114987,686841
41089930,1,9500,118853,686841
31412746,1,6000,121014,686841
89528679,1,4500,122650,686841
63804775,1,4500,122709,686841
19819569,1,1000,123707,686841
12476853,1,9000,123888,686841
99275943,1,9000,125317,686841
72165418,1,5000,126006,686841
4448187,1,1000,126111,686841
85360088,1,10000,126345,686841
30758909,1,5000,127123,686841
50330067,1,7500,127161,686841
53520052,1,5000,130033,686841
19819569,1,1000,130184,686841
88261051,1,8500,130223,686841
81340523,1,8000,130387,686841
68817033,1,9500,130509,686841
7149962,1,7500,130655,686841
25804512,1,2500,130891,686841
79247076,1,5000,132409,686841
92887819,1,7500,132654,686841
31412746,1,5500,133615,686841
32464878,1,9000,134537,686841
23374822,1,9000,137625,686841
17442783,1,4500,138040,686841
65282171,1,4500,140961,686841
54921975,1,8500,141527,686841
72523281,1,2500,142994,686841
67959054,1,1000,145081,686841
31412746,1,5500,145898,686841
87926431,1,5500,145904,686841
82934310,1,8500,146587,686841
74875857,1,10000,147250,686841
43990469,1,3000,147980,686841
42568529,1,7500,148060,686841
39485041,1,9500,148392,686841
32922355,1,2500,148605,686841
28425641,1,500,148872,686841
83752923,1,8000,151763,686841
22726351,1,2500,152300,686841
99027874,1,9500,153206,686841
83488764,1,3000,154061,686841
43581846,1,7000,156485,686841
