key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,201845
89528679,1,5500,6569,201845
4312958,1,6500,6693,201845
51133312,1,6000,7942,201845
22726351,1,2500,9277,201845
36488048,1,3500,9923,201845
67549101,1,7000,10743,201845
95290079,1,1500,11554,201845
4312958,1,7000,11632,201845
75282642,1,3500,14040,201845
31412746,1,6000,14586,201845
58169160,1,8000,15926,201845
91962132,1,4000,16202,201845
67959054,1,1000,16346,201845
7149962,1,7500,17563,201845
99027874,1,9500,18723,201845
59956325,1,8500,20608,201845
80685420,1,9500,21247,201845
7544903,1,3500,21428,201845
88354479,1,6000,22993,201845
21559768,1,3500,24349,201845
31412746,1,5500,25537,201845
32464878,1,9500,25901,201845
32747133,1,5000,27916,201845
97472415,1,7000,28314,201845
27613627,1,5500,29237,201845
3330322,1,4000,29729,201845
462432,1,6500,29870,201845
65282171,1,4500,30817,201845
43581846,1,7000,32145,201845
85360088,1,10000,33361,201845
51133312,1,7000,34848,201845
25804512,1,2500,36374,201845
79093151,1,3000,37159,201845
40639323,1,4000,39569,201845
94713929,1,6000,41658,201845
19819569,1,1000,41889,201845
4312958,1,7000,44007,201845
95290079,1,1500,45149,201845
53520052,1,4500,46324,201845
67075263,1,8500,46470,201845
45023542,1,8500,46835,201845
19819569,1,1500,47001,201845
44594109,1,3500,47671,201845
50330067,1,7000,47873,201845
86308065,1,3000,50470,201845
85360088,1,9000,51353,201845
62178153,1,6000,52714,201845
91962132,1,4000,53759,201845
92044895,1,8500,53782,201845
45585267,1,2000,55343,201845
73418408,1,1500,55744,201845
34262661,1,1000,56031,201845
95290079,1,1500,56302,201845
58169160,1,8500,56605,201845
72523281,1,2500,56658,201845
12476853,1,9000,57401,201845
50330067,1,7000,58695,201845
25737248,1,9000,58994,201845
28425641,1,500,59234,201845
83752923,1,7000,59478,201845
73418408,1,1500,61055,201845
14838691,1,4000,61538,201845
68817033,1,2000,61641,201845
28425641,1,500,62425,201845
15079656,1,8500,63418,201845
62524424,1,4500,65169,201845
17718341,1,4000,65268,201845
79093151,1,500,66031,201845
85360088,1,10000,67099,201845
71332311,1,5000,69162,201845
85420429,1,9500,70334,201845
32967234,1,9000,70474,201845
57349059,1,6000,71237,201845
28425641,1,500,72459,201845
18004662,1,7000,72574,201845
85360088,1,10000,74909,201845
53520052,1,5500,77565,201845
34262661,1,1000,78268,201845
17668543,1,9000,83461,201845
7278441,1,2000,83808,201845
95290079,1,1500,84475,201845
42568529,1,7500,85707,201845
31133703,1,6000,87294,201845
23374822,1,2500,89867,201845
42568529,1,7500,90088,201845
66489138,1,500,91342,201845
44594109,1,3500,91556,201845
5956451,1,3500,91625,201845
294203,1,8000,91748,201845
29386080,1,6000,92157,201845
44594109,1,500,92608,201845
35944328,1,9500,94905,201845
85360088,1,10000,96384,201845
53520052,1,5000,97235,201845
11723396,1,6500,98557,201845
35944328,1,9500,100362,201845
19819569,1,1500,100423,201845
50330067,1,8000,100785,201845
31412746,1,6000,101771,201845
66304266,1,6000,102386,201845
99970880,1,500,104299,201845
68486918,1,4500,105059,201845
25804512,1,9000,105359,201845
85360088,1,10000,106400,201845
61118106,1,4500,107644,201845
15079656,1,6500,109278,201845
32747133,1,1000,110785,201845
27613627,1,5000,111166,201845
73877266,1,4500,111289,201845
31895428,1,1000,111426,201845
18004662,1,6000,112674,201845
86308065,1,3500,113228,201845
87926431,1,500,114868,201845
19819569,1,1500,114987,201845
41089930,1,9500,118853,201845
31412746,1,6000,121014,201845
89528679,1,4500,122650,201845
63804775,1,4500,122709,201845
19819569,1,1000,123707,201845
12476853,1,9000,123888,201845
99275943,1,9000,125317,201845
72165418,1,5000,126006,201845
4448187,1,1000,126111,201845
85360088,1,10000,126345,201845
30758909,1,5000,127123,201845
50330067,1,7500,127161,201845
53520052,1,5000,130033,201845
19819569,1,1000,130184,201845
88261051,1,8500,130223,201845
81340523,1,8000,130387,201845
68817033,1,9500,130509,201845
7149962,1,7500,130655,201845
25804512,1,2500,130891,201845
79247076,1,5000,132409,201845
92887819,1,7500,132654,201845
31412746,1,5500,133615,201845
32464878,1,9000,134537,201845
23374822,1,9000,137625,201845
17442783,1,4500,138040,201845
65282171,1,4500,140961,201845
54921975,1,8500,141527,201845
72523281,1,2500,142994,201845
67959054,1,1000,145081,201845
31412746,1,5500,145898,201845
87926431,1,5500,145904,201845
82934310,1,8500,146587,201845
74875857,1,10000,147250,201845
43990469,1,3000,147980,201845
42568529,1,7500,148060,201845
39485041,1,9500,148392,201845
32922355,1,2500,148605,201845
28425641,1,500,148872,201845
83752923,1,8000,151763,201845
22726351,1,2500,152300,201845
99027874,1,9500,153206,201845
83488764,1,3000,154061,201845
43581846,1,7000,156485,201845
