key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,48149
89528679,1,5500,6569,48149
4312958,1,6500,6693,48149
51133312,1,6000,7942,48149
22726351,1,2500,9277,48149
36488048,1,3500,9923,48149
67549101,1,7000,10743,48149
95290079,1,1500,11554,48149
4312958,1,7000,11632,48149
75282642,1,3500,14040,48149
31412746,1,6000,14586,48149
58169160,1,8000,15926,48149
91962132,1,4000,16202,48149
67959054,1,1000,16346,48149
7149962,1,7500,17563,48149
99027874,1,9500,18723,48149
59956325,1,8500,20608,48149
80685420,1,9500,21247,48149
7544903,1,3500,21428,48149
88354479,1,6000,22993,48149
21559768,1,3500,24349,48149
31412746,1,5500,25537,48149
32464878,1,9500,25901,48149
32747133,1,5000,27916,48149
97472415,1,7000,28314,48149
27613627,1,5500,29237,48149
3330322,1,4000,29729,48149
462432,1,6500,29870,48149
65282171,1,4500,30817,48149
43581846,1,7000,32145,48149
85360088,1,10000,33361,48149
51133312,1,7000,34848,48149
25804512,1,2500,36374,48149
79093151,1,3000,37159,48149
40639323,1,4000,39569,48149
94713929,1,6000,41658,48149
19819569,1,1000,41889,48149
4312958,1,7000,44007,48149
95290079,1,1500,45149,48149
53520052,1,4500,46324,48149
67075263,1,8500,46470,48149
45023542,1,8500,46835,48149
19819569,1,1500,47001,48149
44594109,1,3500,47671,48149
50330067,1,7000,47873,48149
