key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,2013,99685
95290079,1,1500,2606,99685
67959054,1,1000,2688,99685
22726351,1,2500,3246,99685
36488048,1,3500,4207,99685
75282642,1,3500,4660,99685
91962132,1,4000,5343,99685
7544903,1,3500,5473,99685
19819569,1,1000,5498,99685
89528679,1,5500,5618,99685
21559768,1,3500,5794,99685
51133312,1,6000,6214,99685
25804512,1,2500,6227,99685
95290079,1,1500,6302,99685
19819569,1,1500,6506,99685
4312958,1,6500,6522,99685
79093151,1,3000,6758,99685
3330322,1,4000,6831,99685
31412746,1,6000,6945,99685
28425641,1,500,6961,99685
34262661,1,1000,7054,99685
28425641,1,500,7312,99685
65282171,1,4500,7395,99685
67549101,1,7000,7412,99685
73418408,1,1500,7467,99685
4312958,1,7000,7510,99685
32747133,1,5000,7521,99685
95290079,1,1500,7529,99685
31412746,1,5500,7705,99685
79093151,1,500,7709,99685
45585267,1,2000,7868,99685
88354479,1,6000,7870,99685
40639323,1,4000,7913,99685
73418408,1,1500,8051,99685
27613627,1,5500,8112,99685
86308065,1,3000,8222,99685
44594109,1,3500,8359,99685
28425641,1,500,8416,99685
72523281,1,2500,8458,99685
68817033,1,2000,8561,99685
7149962,1,7500,8607,99685
58169160,1,8000,8872,99685
462432,1,6500,9071,99685
53520052,1,4500,9101,99685
97472415,1,7000,9345,99685
91962132,1,4000,9474,99685
34262661,1,1000,9500,99685
43581846,1,7000,9766,99685
59956325,1,8500,9832,99685
94713929,1,6000,9923,99685
51133312,1,7000,10064,99685
14838691,1,4000,10330,99685
66489138,1,500,10493,99685
99027874,1,9500,10515,99685
95290079,1,1500,10628,99685
44594109,1,500,10632,99685
17718341,1,4000,10740,99685
70494155,1,10500,10742,0
80685420,1,9500,10793,99685
7278441,1,2000,10999,99685
4312958,1,7000,11071,99685
62178153,1,6000,11139,99685
62524424,1,4500,11174,99685
32464878,1,9500,11305,99685
13334730,1,10500,11337,0
85360088,1,10500,11340,0
50330067,1,7000,11496,99685
71683416,1,11500,11877,0
99970880,1,500,11918,99685
34445637,1,12000,12037,0
71332311,1,5000,12058,99685
23374822,1,2500,12111,99685
19819569,1,1500,12382,99685
85360088,1,10000,12570,99685
67075263,1,8500,12677,99685
50330067,1,7000,12687,99685
45023542,1,8500,12717,99685
83752923,1,7000,12773,99685
76676821,1,11500,13061,0
32747133,1,1000,13077,99685
87926431,1,500,13081,99685
31895428,1,1000,13147,99685
57349059,1,6000,13176,99685
44594109,1,3500,13187,99685
5956451,1,3500,13194,99685
53520052,1,5500,13428,99685
92044895,1,8500,13481,99685
76676821,1,13000,13590,0
85360088,1,9000,13659,99685
58169160,1,8500,13792,99685
91517763,1,12500,13811,0
19819569,1,1500,13984,99685
18004662,1,7000,14214,99685
12476853,1,9000,14325,99685
85341266,1,12500,14391,0
76676821,1,13000,14418,0
19819569,1,1000,14498,99685
25737248,1,9000,14500,99685
15079656,1,8500,14541,99685
68222005,1,13500,14553,0
11261638,1,12500,14704,0
4448187,1,1000,14763,99685
71560424,1,13500,14841,0
31133703,1,6000,14943,99685
86599166,1,14500,14966,0
53520052,1,5000,15146,99685
19819569,1,1000,15211,99685
8281885,1,14000,15368,0
29386080,1,6000,15478,99685
68486918,1,4500,15562,99685
86308065,1,3500,15571,99685
85360088,1,10500,15651,0
33295187,1,15500,15697,0
32967234,1,9000,15763,99685
82168464,1,12500,15798,0
61118106,1,4500,15846,99685
18305203,1,11000,15897,0
42568529,1,7500,16103,99685
33200804,1,13000,16122,0
85420429,1,9500,16192,99685
73877266,1,4500,16247,99685
85360088,1,10000,16281,99685
25804512,1,10500,16534,0
31412746,1,6000,16535,99685
11683730,1,16500,16563,0
43994260,1,14500,16574,0
42568529,1,7500,16585,99685
66304266,1,6000,16603,99685
25804512,1,2500,16623,99685
11723396,1,6500,16627,99685
27613627,1,5000,16679,99685
28425641,1,500,16821,99685
67959054,1,1000,16849,99685
76676821,1,13000,16931,0
49025917,1,12000,17066,0
68093010,1,16500,17066,0
12169971,1,15000,17107,0
85360088,1,10000,17140,99685
71683416,1,11000,17144,0
17668543,1,9000,17191,99685
91962132,1,16000,17193,0
294203,1,8000,17213,99685
89528679,1,4500,17497,99685
63804775,1,4500,17503,99685
91962132,1,15500,17562,0
47529556,1,15000,17662,0
80501257,1,15000,17711,0
86971226,1,500,17729,99685
18004662,1,6000,17735,99685
11182774,1,16500,17745,0
91962132,1,13500,17757,0
15079656,1,6500,17806,99685
61517939,1,17500,17820,0
26901526,1,10500,17829,0
72523281,1,2500,17955,99685
33200804,1,11500,17988,0
79093151,1,17500,18017,0
77185371,1,17500,18070,0
69598968,1,14500,18169,0
50330067,1,8000,18207,99685
71560424,1,14500,18246,0
72165418,1,5000,18311,99685
62309874,1,15000,18352,0
71560424,1,14000,18367,0
63804775,1,1000,18425,99685
30758909,1,5000,18434,99685
8281885,1,13500,18508,0
32922355,1,2500,18572,99685
89636884,1,1000,18629,99685
31412746,1,6000,18652,99685
53520052,1,5000,18754,99685
65763195,1,11000,18763,0
83999598,1,18500,18786,0
35944328,1,9500,18895,99685
76676821,1,13000,18934,0
43990469,1,3000,18948,99685
