key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,1920,184158
67959054,1,1000,2382,184158
95290079,1,1500,2405,184158
22726351,1,2500,3110,184158
36488048,1,3500,4079,184158
75282642,1,3500,4449,184158
19819569,1,1000,4680,184158
91962132,1,4000,5099,184158
7544903,1,3500,5114,184158
21559768,1,3500,5377,184158
95290079,1,1500,5429,184158
25804512,1,2500,5549,184158
19819569,1,1500,5596,184158
89528679,1,5500,5597,184158
28425641,1,500,5787,184158
34262661,1,1000,5953,184158
28425641,1,500,6074,184158
79093151,1,3000,6075,184158
51133312,1,6000,6175,184158
3330322,1,4000,6316,184158
73418408,1,1500,6382,184158
79093151,1,500,6398,184158
95290079,1,1500,6433,184158
4312958,1,6500,6518,184158
31412746,1,6000,6773,184158
45585267,1,2000,6801,184158
73418408,1,1500,6860,184158
65282171,1,4500,6869,184158
28425641,1,500,6977,184158
32747133,1,5000,7063,184158
40639323,1,4000,7202,184158
86308065,1,3000,7273,184158
31412746,1,5500,7304,184158
67549101,1,7000,7337,184158
68817033,1,2000,7368,184158
72523281,1,2500,7375,184158
4312958,1,7000,7417,184158
44594109,1,3500,7476,184158
88354479,1,6000,7530,184158
27613627,1,5500,7637,184158
34262661,1,1000,7955,184158
53520052,1,4500,8265,184158
7149962,1,7500,8406,184158
91962132,1,4000,8479,184158
462432,1,6500,8604,184158
66489138,1,500,8676,184158
58169160,1,8000,8714,184158
44594109,1,500,8790,184158
97472415,1,7000,8919,184158
95290079,1,1500,8968,184158
14838691,1,4000,9179,184158
94713929,1,6000,9210,184158
43581846,1,7000,9263,184158
7278441,1,2000,9363,184158
51133312,1,7000,9507,184158
17718341,1,4000,9515,184158
59956325,1,8500,9590,184158
99970880,1,500,9842,184158
62524424,1,4500,9961,184158
62178153,1,6000,10205,184158
4312958,1,7000,10331,184158
99027874,1,9500,10331,184158
23374822,1,2500,10363,184158
19819569,1,1500,10404,184158
80685420,1,9500,10558,184158
50330067,1,7000,10679,184158
71332311,1,5000,10775,184158
87926431,1,500,10794,184158
32747133,1,1000,10881,184158
31895428,1,1000,10939,184158
32464878,1,9500,10977,184158
44594109,1,3500,11426,184158
5956451,1,3500,11432,184158
50330067,1,7000,11653,184158
19819569,1,1500,11714,184158
83752923,1,7000,11723,184158
57349059,1,6000,11872,184158
67075263,1,8500,11918,184158
45023542,1,8500,11951,184158
53520052,1,5500,11986,184158
19819569,1,1000,12044,184158
85360088,1,10000,12103,184158
4448187,1,1000,12260,184158
