key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,2432,100073
95290079,1,1500,3511,100073
22726351,1,2500,3856,100073
67959054,1,1000,4070,100073
36488048,1,3500,4785,100073
75282642,1,3500,5608,100073
89528679,1,5500,5714,100073
51133312,1,6000,6389,100073
91962132,1,4000,6441,100073
4312958,1,6500,6539,100073
7544903,1,3500,7086,100073
21559768,1,3500,7670,100073
31412746,1,6000,7718,100073
67549101,1,7000,7749,100073
4312958,1,7000,7927,100073
3330322,1,4000,9146,100073
19819569,1,1000,9178,100073
25804512,1,2500,9275,100073
88354479,1,6000,9399,100073
31412746,1,5500,9508,100073
7149962,1,7500,9513,100073
32747133,1,5000,9584,100073
58169160,1,8000,9586,100073
65282171,1,4500,9764,100073
79093151,1,3000,9832,100073
95290079,1,1500,10230,100073
27613627,1,5500,10248,100073
19819569,1,1500,10601,100073
59956325,1,8500,10922,100073
70494155,1,10500,10940,0
40639323,1,4000,11114,100073
462432,1,6500,11174,100073
97472415,1,7000,11263,100073
99027874,1,9500,11345,100073
80685420,1,9500,11850,100073
34262661,1,1000,12007,100073
13334730,1,10500,12021,0
85360088,1,10500,12027,0
43581846,1,7000,12029,100073
34445637,1,12000,12067,0
71683416,1,11500,12184,0
28425641,1,500,12247,100073
44594109,1,3500,12335,100073
73418408,1,1500,12349,100073
95290079,1,1500,12461,100073
86308065,1,3000,12494,100073
51133312,1,7000,12570,100073
45585267,1,2000,12669,100073
32464878,1,9500,12781,100073
53520052,1,4500,12865,100073
28425641,1,500,12885,100073
94713929,1,6000,13132,100073
72523281,1,2500,13332,100073
73418408,1,1500,13411,100073
79093151,1,500,13607,100073
68817033,1,2000,13929,100073
91962132,1,4000,13952,100073
76676821,1,13000,14072,0
76676821,1,11500,14339,0
4312958,1,7000,14402,100073
85360088,1,10000,14673,100073
91517763,1,12500,14884,0
28425641,1,500,14892,100073
50330067,1,7000,15175,100073
62178153,1,6000,15343,100073
86599166,1,14500,15346,0
68222005,1,13500,15415,0
14838691,1,4000,15508,100073
76676821,1,13000,15578,0
33295187,1,15500,15857,0
85341266,1,12500,15938,0
71560424,1,13500,15938,0
67075263,1,8500,16094,100073
45023542,1,8500,16167,100073
17718341,1,4000,16254,100073
34262661,1,1000,16454,100073
8281885,1,14000,16487,0
11261638,1,12500,16506,0
11683730,1,16500,16614,0
62524424,1,4500,16634,100073
50330067,1,7000,17339,100073
85360088,1,9000,17471,100073
83752923,1,7000,17496,100073
68093010,1,16500,17529,0
92044895,1,8500,17557,100073
71332311,1,5000,17833,100073
61517939,1,17500,18081,0
95290079,1,1500,18095,100073
58169160,1,8500,18121,100073
91962132,1,16000,18168,0
43994260,1,14500,18270,0
7278441,1,2000,18362,100073
79093151,1,17500,18439,0
82168464,1,12500,18496,0
