key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,1920,100072
67959054,1,1000,2382,100072
95290079,1,1500,2405,100072
22726351,1,2500,3110,100072
36488048,1,3500,4079,100072
75282642,1,3500,4449,100072
19819569,1,1000,4680,100072
91962132,1,4000,5099,100072
7544903,1,3500,5114,100072
21559768,1,3500,5377,100072
95290079,1,1500,5429,100072
25804512,1,2500,5549,100072
19819569,1,1500,5596,100072
89528679,1,5500,5597,100072
28425641,1,500,5787,100072
34262661,1,1000,5953,100072
28425641,1,500,6074,100072
79093151,1,3000,6075,100072
51133312,1,6000,6175,100072
3330322,1,4000,6316,100072
73418408,1,1500,6382,100072
79093151,1,500,6398,100072
95290079,1,1500,6433,100072
4312958,1,6500,6518,100072
31412746,1,6000,6773,100072
45585267,1,2000,6801,100072
73418408,1,1500,6860,100072
65282171,1,4500,6869,100072
28425641,1,500,6977,100072
32747133,1,5000,7063,100072
40639323,1,4000,7202,100072
86308065,1,3000,7273,100072
31412746,1,5500,7304,100072
67549101,1,7000,7337,100072
68817033,1,2000,7368,100072
72523281,1,2500,7375,100072
4312958,1,7000,7417,100072
44594109,1,3500,7476,100072
88354479,1,6000,7530,100072
27613627,1,5500,7637,100072
34262661,1,1000,7955,100072
53520052,1,4500,8265,100072
7149962,1,7500,8406,100072
91962132,1,4000,8479,100072
462432,1,6500,8604,100072
66489138,1,500,8676,100072
58169160,1,8000,8714,100072
44594109,1,500,8790,100072
97472415,1,7000,8919,100072
95290079,1,1500,8968,100072
14838691,1,4000,9179,100072
94713929,1,6000,9210,100072
43581846,1,7000,9263,100072
7278441,1,2000,9363,100072
51133312,1,7000,9507,100072
17718341,1,4000,9515,100072
59956325,1,8500,9590,100072
99970880,1,500,9842,100072
62524424,1,4500,9961,100072
62178153,1,6000,10205,100072
4312958,1,7000,10331,100072
99027874,1,9500,10331,100072
23374822,1,2500,10363,100072
19819569,1,1500,10404,100072
80685420,1,9500,10558,100072
50330067,1,7000,10679,100072
71332311,1,5000,10775,100072
87926431,1,500,10794,100072
32747133,1,1000,10881,100072
31895428,1,1000,10939,100072
32464878,1,9500,10977,100072
44594109,1,3500,11426,100072
5956451,1,3500,11432,100072
50330067,1,7000,11653,100072
19819569,1,1500,11714,100072
83752923,1,7000,11723,100072
57349059,1,6000,11872,100072
67075263,1,8500,11918,100072
45023542,1,8500,11951,100072
53520052,1,5500,11986,100072
19819569,1,1000,12044,100072
85360088,1,10000,12103,100072
4448187,1,1000,12260,100072
92044895,1,8500,12576,100072
19819569,1,1000,12627,100072
85360088,1,9000,12812,100072
58169160,1,8500,12830,100072
18004662,1,7000,12902,100072
53520052,1,5000,13302,100072
31133703,1,6000,13317,100072
12476853,1,9000,13357,100072
86308065,1,3500,13376,100072
15079656,1,8500,13443,100072
25737248,1,9000,13500,100072
68486918,1,4500,13551,100072
29386080,1,6000,13755,100072
61118106,1,4500,13783,100072
28425641,1,500,13854,100072
67959054,1,1000,13968,100072
25804512,1,2500,14056,100072
73877266,1,4500,14111,100072
32967234,1,9000,14533,100072
42568529,1,7500,14539,100072
27613627,1,5000,14555,100072
86971226,1,500,14597,100072
31412746,1,6000,14620,100072
66304266,1,6000,14675,100072
11723396,1,6500,14786,100072
42568529,1,7500,14933,100072
85420429,1,9500,14976,100072
89528679,1,4500,15134,100072
85360088,1,10000,15139,100072
63804775,1,4500,15139,100072
72523281,1,2500,15145,100072
63804775,1,1000,15257,100072
89636884,1,1000,15424,100072
294203,1,8000,15538,100072
10718755,1,500,15599,100072
18004662,1,6000,15601,100072
32922355,1,2500,15650,100072
17668543,1,9000,15702,100072
15079656,1,6500,15751,100072
85360088,1,10000,15842,100072
72165418,1,5000,15891,100072
22726351,1,2500,15982,100072
30758909,1,5000,15992,100072
73418408,1,1500,16035,100072
43990469,1,3000,16049,100072
53520052,1,5000,16253,100072
50330067,1,8000,16351,100072
31412746,1,6000,16352,100072
79247076,1,5000,16467,100072
17442783,1,4500,16519,100072
22726351,1,2500,16519,100072
83488764,1,3000,16596,100072
65282171,1,4500,16782,100072
96673993,1,2000,16815,100072
83488764,1,3000,16820,100072
58357722,1,1500,16965,100072
31412746,1,5500,17031,100072
86308065,1,3000,17116,100072
35944328,1,9500,17187,100072
22726351,1,2500,17656,100072
25804512,1,9000,17673,100072
35944328,1,9500,17678,100072
85360088,1,10000,17775,100072
81783800,1,3000,18051,100072
31412746,1,5500,18136,100072
87926431,1,5500,18137,100072
77221734,1,2000,18243,100072
50330067,1,7500,18270,100072
19819569,1,1000,18470,100072
31412746,1,4500,18555,100072
7149962,1,7500,18584,100072
85360088,1,10000,18676,100072
92887819,1,7500,18764,100072
81340523,1,8000,19015,100072
19819569,1,1000,19140,100072
17442783,1,4500,19271,100072
12476853,1,9000,19340,100072
41089930,1,9500,19342,100072
83488764,1,3000,19441,100072
88261051,1,8500,19456,100072
99275943,1,9000,19469,100072
75282642,1,3500,19682,100072
22701764,1,3000,19762,100072
44139210,1,6000,19946,100072
44594109,1,3500,20082,100072
42568529,1,7500,20151,100072
99970880,1,5500,20197,100072
32464878,1,9000,20299,100072
68817033,1,9500,20391,100072
43581846,1,7000,20454,100072
85360088,1,10000,20471,100072
54921975,1,8500,20473,100072
23374822,1,9000,20577,100072
58169160,1,7000,20595,100072
85360088,1,2500,20744,100072
82934310,1,8500,20928,100072
83752923,1,8000,20939,100072
89886461,1,4000,20957,100072
25804512,1,2000,21029,100072
28425641,1,500,21074,100072
91599990,1,2500,21211,100072
30758909,1,5500,21376,100072
84816354,1,8000,21584,100072
53520052,1,4500,21708,100072
66538156,1,2500,21763,100072
4312958,1,6000,21788,100072
73877266,1,4500,21879,100072
39485041,1,9500,22001,100072
99048844,1,1000,22145,100072
74875857,1,10000,22353,100072
99027874,1,9500,22434,100072
95290079,1,1500,22506,100072
4853279,1,2500,22582,100072
25804512,1,9000,23160,100072
83488764,1,3000,23162,100072
67549101,1,8000,23286,100072
65282171,1,4500,23346,100072
7149962,1,7500,23605,100072
71725719,1,500,23728,100072
59956325,1,8500,23798,100072
99027874,1,2500,24035,100072
31412746,1,5500,24042,100072
16234480,1,4500,24092,100072
72948369,1,4500,24175,100072
85360088,1,10000,24272,100072
44594109,1,3000,24300,100072
25110633,1,8500,24493,100072
85360088,1,10000,24505,100072
95290079,1,1500,24644,100072
