key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,2013,11133
95290079,1,1500,2606,11133
67959054,1,1000,2688,11133
22726351,1,2500,3246,11133
36488048,1,3500,4207,11133
75282642,1,3500,4660,11133
91962132,1,4000,5343,11133
7544903,1,3500,5473,11133
19819569,1,1000,5498,11133
89528679,1,5500,5618,11133
21559768,1,3500,5794,11133
51133312,1,6000,6214,11133
25804512,1,2500,6227,11133
95290079,1,1500,6302,11133
19819569,1,1500,6506,11133
4312958,1,6500,6522,11133
79093151,1,3000,6758,11133
3330322,1,4000,6831,11133
31412746,1,6000,6945,11133
28425641,1,500,6961,11133
34262661,1,1000,7054,11133
28425641,1,500,7312,11133
65282171,1,4500,7395,11133
67549101,1,7000,7412,11133
73418408,1,1500,7467,11133
4312958,1,7000,7510,11133
32747133,1,5000,7521,11133
95290079,1,1500,7529,11133
31412746,1,5500,7705,11133
79093151,1,500,7709,11133
45585267,1,2000,7868,11133
88354479,1,6000,7870,11133
40639323,1,4000,7913,11133
73418408,1,1500,8051,11133
27613627,1,5500,8112,11133
86308065,1,3000,8222,11133
44594109,1,3500,8359,11133
28425641,1,500,8416,11133
72523281,1,2500,8458,11133
68817033,1,2000,8561,11133
7149962,1,7500,8607,11133
58169160,1,8000,8872,11133
462432,1,6500,9071,11133
53520052,1,4500,9101,11133
97472415,1,7000,9345,11133
91962132,1,4000,9474,11133
34262661,1,1000,9500,11133
43581846,1,7000,9766,11133
59956325,1,8500,9832,11133
94713929,1,6000,9923,11133
51133312,1,7000,10064,11133
