key,value,eventTime,arrivalTime,processedTime
96,0,125,159,16680
98,0,125,196,16680
2,0,250,328,16680
32,0,250,334,16680
22,0,250,355,16680
84,0,125,370,16680
72,0,250,421,16680
26,0,125,434,16680
93,0,375,436,16680
56,0,375,462,16680
36,0,250,470,16680
11,0,125,484,16680
13,0,125,528,16680
49,0,250,551,16680
17,0,250,567,16680
54,0,250,604,16680
37,0,500,627,16680
89,0,250,634,16680
75,0,625,686,16680
46,0,500,694,16680
60,0,500,708,16680
25,0,250,720,16680
56,0,375,721,16680
44,0,625,725,16680
71,0,125,727,16680
13,0,500,728,16680
1,0,250,752,16680
89,0,750,763,16680
67,0,250,769,16680
63,0,375,770,16680
78,0,125,774,16680
68,0,375,786,16680
11,0,625,811,16680
82,0,625,812,16680
53,0,375,834,16680
74,0,375,859,16680
97,0,125,878,16680
26,0,375,885,16680
91,0,875,920,16680
54,0,750,923,16680
26,0,750,930,16680
13,0,500,972,16680
42,0,125,977,16680
4,0,875,986,16680
9,0,250,1011,16680
83,0,125,1012,16680
24,0,250,1021,16680
96,0,625,1027,16680
52,0,1000,1029,16680
59,0,500,1067,16680
83,0,875,1068,16680
38,0,500,1071,16680
82,0,250,1072,16680
7,0,750,1073,16680
72,0,625,1080,16680
89,0,750,1104,16680
48,0,1000,1138,16680
74,0,500,1141,16680
18,0,500,1149,16680
28,0,875,1154,16680
25,0,875,1167,16680
86,0,750,1176,16680
8,0,1125,1178,16680
39,0,750,1204,16680
27,0,250,1211,16680
6,0,625,1228,16680
22,0,1000,1237,16680
12,0,250,1250,16680
8,0,125,1272,16680
35,0,1125,1273,16680
30,0,1000,1301,16680
51,0,1250,1306,16680
100,0,500,1309,16680
21,0,125,1311,16680
56,0,125,1314,16680
96,0,500,1316,16680
99,0,1000,1319,16680
65,0,875,1323,16680
27,0,1125,1325,16680
27,0,125,1356,16680
93,0,1250,1378,16680
57,0,1250,1391,16680
53,0,250,1396,16680
73,0,500,1397,16680
36,0,625,1407,16680
89,0,625,1408,16680
58,0,375,1415,16680
72,0,625,1418,16680
89,0,1000,1419,16680
13,0,125,1420,16680
89,0,1375,1425,16680
38,0,625,1429,16680
76,0,1125,1431,16680
66,0,500,1437,16680
11,0,250,1451,16680
52,0,1375,1455,16680
57,0,125,1485,16680
76,0,1250,1494,16680
41,0,1000,1498,16680
14,0,1375,1503,16680
21,0,375,1509,16680
63,0,250,1512,16680
87,0,875,1530,16680
95,0,125,1547,16680
48,0,750,1564,16680
99,0,500,1589,16680
7,0,1500,1607,16680
76,0,1000,1623,16680
54,0,875,1641,16680
86,0,125,1652,16680
67,0,625,1652,16680
64,0,1125,1655,16680
89,0,1250,1658,16680
60,0,750,1661,16680
22,0,750,1664,16680
3,0,1375,1688,16680
11,0,375,1700,16680
89,0,375,1706,16680
91,0,500,1711,16680
76,0,1000,1716,16680
10,0,500,1728,16680
23,0,1375,1739,16680
24,0,750,1750,16680
19,0,1375,1754,16680
73,0,625,1757,16680
36,0,250,1759,16680
30,0,625,1761,16680
56,0,125,1765,16680
47,0,1500,1778,16680
80,0,750,1790,16680
89,0,125,1809,16680
37,0,1375,1817,16680
68,0,1375,1819,16680
35,0,1125,1833,16680
72,0,1250,1849,16680
81,0,875,1868,16680
80,0,1750,1868,16680
23,0,1750,1871,16680
49,0,1750,1872,16680
43,0,1125,1873,16680
21,0,750,1873,16680
64,0,1625,1877,16680
83,0,500,1889,16680
12,0,125,1899,16680
57,0,1750,1911,16680
6,0,125,1912,16680
36,0,1625,1916,16680
84,0,625,1927,16680
72,0,1000,1940,16680
84,0,500,1940,16680
19,0,1625,1943,16680
93,0,1375,1943,16680
70,0,750,1947,16680
71,0,1375,1951,16680
33,0,1500,1974,16680
38,0,1875,1979,16680
41,0,1750,1998,16680
48,0,125,2005,16680
92,0,625,2011,16680
67,0,625,2023,16680
29,0,875,2030,16680
41,0,250,2039,16680
19,0,625,2050,16680
43,0,1125,2065,16680
1,0,1125,2069,16680
1,0,1000,2081,16680
74,0,375,2091,16680
10,0,500,2091,16680
59,0,375,2093,16680
55,0,500,2095,16680
78,0,1375,2096,16680
73,0,375,2099,16680
61,0,2000,2108,16680
2,0,125,2109,16680
55,0,125,2109,16680
14,0,625,2109,16680
43,0,750,2117,16680
89,0,1625,2119,16680
17,0,875,2129,16680
78,0,1750,2131,16680
10,0,625,2134,16680
36,0,875,2142,16680
4,0,1750,2147,16680
88,0,1625,2155,16680
41,0,1500,2163,16680
77,0,1500,2190,16680
4,0,750,2193,16680
57,0,1875,2203,16680
49,0,500,2207,16680
42,0,250,2207,16680
5,0,125,2212,16680
40,0,1375,2214,16680
46,0,1625,2224,16680
73,0,1000,2226,16680
100,0,1625,2270,16680
64,0,1750,2282,16680
96,0,1875,2293,16680
23,0,1250,2296,16680
90,0,500,2297,16680
63,0,1875,2301,16680
14,0,1000,2303,16680
39,0,1750,2309,16680
19,0,625,2317,16680
23,0,1750,2318,16680
37,0,1500,2320,16680
53,0,1125,2324,16680
42,0,875,2337,16680
93,0,375,2342,16680
54,0,1625,2343,16680
65,0,250,2348,16680
16,0,750,2349,16680
72,0,1500,2350,16680
78,0,1750,2360,16680
89,0,1750,2371,16680
9,0,2125,2372,16680
69,0,1125,2392,16680
1,0,1125,2393,16680
47,0,1625,2395,16680
77,0,1875,2406,16680
100,0,1250,2411,16680
27,0,1500,2414,16680
74,0,875,2415,16680
39,0,750,2416,16680
71,0,1625,2423,16680
48,0,625,2424,16680
58,0,1625,2428,16680
65,0,625,2430,16680
22,0,1125,2433,16680
70,0,1875,2434,16680
83,0,1250,2446,16680
77,0,2125,2451,16680
51,0,2375,2452,16680
32,0,2250,2457,16680
10,0,2125,2458,16680
77,0,2250,2464,16680
82,0,250,2468,16680
59,0,1625,2475,16680
70,0,1625,2476,16680
53,0,375,2481,16680
51,0,2250,2491,16680
79,0,2000,2492,16680
20,0,1750,2494,16680
92,0,750,2494,16680
10,0,1875,2499,16680
89,0,2375,2502,16680
100,0,625,2502,16680
97,0,625,2511,16680
1,0,1375,2523,16680
68,0,1750,2524,16680
72,0,1250,2525,16680
9,0,1125,2526,16680
54,0,250,2535,16680
73,0,1625,2540,16680
16,0,125,2544,16680
49,0,1250,2545,16680
25,0,500,2563,16680
40,0,1750,2569,16680
27,0,1125,2570,16680
96,0,250,2572,16680
22,0,2375,2574,16680
16,0,2375,2579,16680
36,0,500,2587,16680
69,0,500,2589,16680
46,0,250,2590,16680
100,0,1250,2590,16680
69,0,125,2598,16680
96,0,2125,2604,16680
97,0,1875,2605,16680
69,0,875,2606,16680
41,0,625,2614,16680
27,0,1875,2614,16680
30,0,2125,2617,16680
85,0,1000,2618,16680
59,0,2625,2626,16680
91,0,1875,2627,16680
47,0,750,2629,16680
52,0,875,2635,16680
8,0,1875,2638,16680
44,0,2000,2641,16680
36,0,250,2643,16680
10,0,2625,2644,16680
77,0,1625,2646,16680
95,0,1000,2652,16680
98,0,1250,2656,16680
47,0,2625,2662,16680
48,0,1250,2662,16680
51,0,2375,2665,16680
3,0,1500,2669,16680
87,0,625,2670,16680
40,0,1250,2674,16680
39,0,2125,2675,16680
2,0,2250,2675,16680
24,0,375,2680,16680
79,0,2625,2696,16680
11,0,2125,2697,16680
29,0,1500,2698,16680
30,0,2125,2700,16680
62,0,1500,2700,16680
41,0,2000,2700,16680
48,0,2250,2701,16680
85,0,1500,2715,16680
74,0,2250,2715,16680
45,0,1125,2715,16680
55,0,375,2718,16680
80,0,375,2719,16680
61,0,1125,2721,16680
7,0,2125,2725,16680
52,0,2500,2726,16680
48,0,1625,2726,16680
81,0,1750,2731,16680
97,0,0,2731,16680
26,0,500,2732,16680
13,0,625,2740,16680
68,0,1000,2743,16680
75,0,2125,2750,16680
36,0,2000,2752,16680
73,0,2625,2754,16680
1,0,1750,2757,16680
98,0,2125,2759,16680
46,0,875,2760,16680
52,0,1000,2766,16680
76,0,2750,2767,16680
39,0,2375,2777,16680
16,0,2750,2778,16680
88,0,1750,2782,16680
20,0,875,2786,16680
72,0,500,2789,16680
30,0,125,2793,16680
49,0,1000,2811,16680
60,0,1875,2814,16680
13,0,875,2816,16680
39,0,1500,2823,16680
39,0,500,2825,16680
51,0,1625,2838,16680
89,0,2250,2840,16680
27,0,875,2850,16680
71,0,1875,2852,16680
13,0,875,2857,16680
50,0,1875,2861,16680
59,0,2625,2861,16680
45,0,2250,2862,16680
65,0,2250,2871,16680
71,0,1875,2875,16680
46,0,2500,2877,16680
21,0,2000,2878,16680
11,0,2750,2884,16680
36,0,375,2895,16680
37,0,1875,2896,16680
17,0,2750,2901,16680
94,0,375,2912,16680
42,0,750,2914,16680
11,0,1500,2917,16680
58,0,1000,2924,16680
13,0,2375,2925,16680
53,0,1875,2934,16680
95,0,1500,2936,16680
12,0,875,2937,16680
3,0,125,2938,16680
16,0,375,2946,16680
44,0,2500,2956,16680
20,0,1000,2960,16680
70,0,125,2960,16680
59,0,125,2964,16680
14,0,1250,2983,16680
79,0,2500,2994,16680
52,0,2125,2995,16680
100,0,2000,2995,16680
15,0,1625,3009,16680
34,0,1750,3010,16680
1,0,2375,3015,16680
92,0,500,3015,16680
12,0,1000,3018,16680
51,0,2625,3024,16680
54,0,1375,3024,16680
9,0,1875,3028,16680
100,0,2750,3033,16680
56,0,2875,3040,16680
21,0,2375,3044,16680
89,0,625,3044,16680
52,0,125,3052,16680
11,0,1125,3056,16680
59,0,2875,3057,16680
54,0,1375,3060,16680
59,0,2875,3062,16680
82,0,875,3065,16680
80,0,500,3066,16680
1,0,1625,3066,16680
24,0,1875,3067,16680
18,0,2875,3072,16680
36,0,2000,3083,16680
90,0,2875,3084,16680
76,0,2750,3086,16680
79,0,2375,3097,16680
35,0,2000,3099,16680
22,0,1875,3101,16680
71,0,1125,3102,16680
99,0,625,3103,16680
94,0,125,3108,16680
66,0,875,3111,16680
3,0,1500,3114,16680
41,0,125,3116,16680
77,0,2000,3117,16680
52,0,1000,3117,16680
81,0,3000,3119,16680
44,0,1375,3119,16680
43,0,1250,3138,16680
27,0,625,3141,16680
27,0,500,3143,16680
14,0,250,3146,16680
81,0,2250,3153,16680
66,0,1250,3155,16680
39,0,375,3156,16680
51,0,375,3156,16680
86,0,500,3160,16680
74,0,2875,3160,16680
1,0,2250,3169,16680
33,0,3125,3174,16680
17,0,3000,3183,16680
50,0,750,3186,16680
45,0,1125,3187,16680
56,0,2500,3187,16680
48,0,2375,3196,16680
45,0,1000,3197,16680
24,0,2625,3202,16680
42,0,2625,3203,16680
63,0,875,3206,16680
17,0,375,3208,16680
49,0,1125,3208,16680
55,0,250,3209,16680
53,0,1500,3210,16680
49,0,2125,3212,16680
57,0,1000,3216,16680
28,0,1375,3219,16680
1,0,3000,3221,16680
47,0,2875,3221,16680
52,0,2500,3231,16680
62,0,2375,3236,16680
50,0,750,3245,16680
92,0,2125,3258,16680
60,0,1500,3261,16680
11,0,2250,3263,16680
29,0,2750,3270,16680
91,0,1500,3272,16680
13,0,2625,3272,16680
27,0,500,3278,16680
57,0,2625,3283,16680
74,0,2000,3303,16680
34,0,1000,3304,16680
94,0,250,3305,16680
84,0,2375,3307,16680
18,0,1875,3307,16680
9,0,2500,3308,16680
42,0,1500,3316,16680
22,0,2875,3328,16680
90,0,1250,3330,16680
16,0,2375,3330,16680
3,0,1125,3330,16680
8,0,3000,3335,16680
48,0,1250,3336,16680
37,0,2125,3342,16680
37,0,1375,3344,16680
69,0,375,3356,16680
69,0,250,3364,16680
32,0,875,3364,16680
81,0,2125,3367,16680
65,0,3000,3367,16680
38,0,1375,3379,16680
85,0,1500,3398,16680
8,0,2750,3399,16680
20,0,125,3405,16680
80,0,1125,3414,16680
60,0,125,3420,16680
78,0,3375,3420,16680
98,0,2750,3420,16680
35,0,2375,3424,16680
85,0,1750,3427,16680
13,0,2250,3431,16680
46,0,2625,3434,16680
66,0,1375,3436,16680
88,0,2375,3444,16680
11,0,1000,3451,16680
53,0,3250,3458,16680
92,0,1625,3459,16680
91,0,2750,3469,16680
82,0,1500,3469,16680
94,0,2250,3471,16680
83,0,500,3473,16680
29,0,2500,3478,16680
16,0,2125,3480,16680
9,0,2625,3483,16680
32,0,3250,3484,16680
20,0,250,3490,16680
48,0,2875,3492,16680
17,0,875,3497,16680
86,0,2875,3499,16680
18,0,625,3501,16680
79,0,2375,3501,16680
40,0,2250,3503,16680
42,0,3375,3507,16680
7,0,1000,3508,16680
37,0,3375,3510,16680
16,0,375,3510,16680
43,0,2125,3518,16680
99,0,3000,3518,16680
71,0,1750,3536,16680
92,0,1500,3544,16680
57,0,2125,3547,16680
85,0,750,3553,16680
26,0,3000,3557,16680
3,0,2750,3562,16680
44,0,2000,3563,16680
94,0,2375,3563,16680
93,0,1500,3563,16680
49,0,2250,3564,16680
97,0,2375,3575,16680
93,0,2250,3577,16680
78,0,125,3584,16680
27,0,1125,3585,16680
71,0,1000,3602,16680
40,0,3125,3603,16680
54,0,250,3607,16680
36,0,625,3611,16680
100,0,2250,3614,16680
75,0,1125,3625,16680
55,0,750,3631,16680
66,0,2875,3638,16680
92,0,1375,3642,16680
99,0,1500,3650,16680
14,0,1625,3652,16680
47,0,2125,3653,16680
15,0,1250,3655,16680
32,0,1375,3661,16680
74,0,625,3663,16680
69,0,3125,3663,16680
97,0,3500,3676,16680
66,0,625,3681,16680
92,0,750,3682,16680
79,0,2375,3689,16680
100,0,875,3695,16680
11,0,3000,3695,16680
57,0,3625,3696,16680
59,0,1625,3698,16680
37,0,500,3701,16680
15,0,2500,3704,16680
71,0,1125,3706,16680
61,0,3250,3708,16680
67,0,500,3715,16680
97,0,250,3725,16680
98,0,875,3733,16680
42,0,2000,3745,16680
52,0,250,3747,16680
61,0,1875,3757,16680
68,0,3125,3761,16680
68,0,1375,3763,16680
27,0,3375,3763,16680
93,0,1750,3772,16680
43,0,1250,3772,16680
88,0,375,3773,16680
17,0,1125,3779,16680
80,0,1500,3782,16680
34,0,875,3785,16680
67,0,125,3791,16680
91,0,2000,3793,16680
85,0,500,3803,16680
96,0,3750,3806,16680
27,0,1625,3817,16680
52,0,2125,3823,16680
50,0,2250,3823,16680
86,0,2125,3825,16680
29,0,125,3827,16680
54,0,1500,3840,16680
32,0,875,3842,16680
12,0,750,3842,16680
43,0,625,3846,16680
53,0,3500,3851,16680
85,0,125,3856,16680
39,0,2875,3856,16680
16,0,875,3860,16680
19,0,2750,3867,16680
32,0,1250,3867,16680
19,0,2000,3868,16680
67,0,1250,3869,16680
88,0,875,3869,16680
45,0,2125,3878,16680
77,0,2000,3879,16680
9,0,2125,3879,16680
4,0,2000,3883,16680
54,0,2875,3885,16680
61,0,3625,3895,16680
29,0,500,3896,16680
43,0,500,3903,16680
16,0,3750,3904,16680
31,0,2500,3907,16680
6,0,1625,3909,16680
37,0,2250,3912,16680
33,0,3000,3917,16680
99,0,3000,3921,16680
8,0,3250,3924,16680
81,0,500,3925,16680
21,0,3875,3925,16680
75,0,500,3928,16680
82,0,1750,3928,16680
70,0,1875,3930,16680
27,0,2375,3934,16680
26,0,2000,3940,16680
85,0,2625,3941,16680
32,0,3750,3942,16680
1,0,1500,3943,16680
48,0,1125,3944,16680
36,0,3250,3944,16680
45,0,2875,3946,16680
66,0,500,3947,16680
27,0,2375,3956,16680
66,0,2625,3956,16680
76,0,2875,3962,16680
79,0,3375,3963,16680
24,0,1875,3964,16680
52,0,2500,3965,16680
38,0,2125,3966,16680
26,0,2125,3967,16680
93,0,625,3968,16680
53,0,3750,3972,16680
76,0,1000,3974,16680
89,0,3125,3979,16680
24,0,1500,3980,16680
22,0,2125,3980,16680
33,0,1875,3983,16680
24,0,750,3983,16680
64,0,3500,3992,16680
49,0,1125,3994,16680
55,0,750,4001,16680
90,0,1125,4002,16680
97,0,2625,4007,16680
56,0,1000,4009,16680
95,0,3250,4016,16680
96,0,2625,4017,16680
29,0,500,4021,16680
61,0,625,4024,16680
15,0,2875,4029,16680
66,0,1375,4031,16680
26,0,1000,4032,16680
93,0,3500,4038,16680
73,0,875,4039,16680
53,0,3375,4040,16680
99,0,3250,4041,16680
35,0,250,4044,16680
90,0,1250,4046,16680
95,0,2625,4048,16680
69,0,1500,4050,16680
44,0,4000,4050,16680
93,0,1500,4052,16680
56,0,125,4054,16680
91,0,2875,4059,16680
15,0,3000,4063,16680
75,0,2750,4065,16680
82,0,3375,4065,16680
23,0,375,4068,16680
76,0,2875,4072,16680
94,0,750,4088,16680
25,0,1125,4089,16680
62,0,2250,4090,16680
65,0,2750,4095,16680
49,0,2000,4096,16680
99,0,875,4097,16680
28,0,2750,4099,16680
8,0,375,4110,16680
29,0,125,4112,16680
6,0,1000,4115,16680
20,0,3125,4115,16680
85,0,3750,4117,16680
21,0,3625,4118,16680
10,0,4000,4133,16680
29,0,1875,4137,16680
92,0,1375,4138,16680
96,0,3625,4142,16680
12,0,3750,4143,16680
83,0,1750,4148,16680
47,0,4125,4157,16680
82,0,750,4158,16680
42,0,2125,4159,16680
52,0,2375,4160,16680
79,0,250,4163,16680
72,0,3500,4172,16680
70,0,2500,4186,16680
19,0,1250,4190,16680
25,0,2125,4195,16680
80,0,375,4197,16680
98,0,2375,4205,16680
5,0,2750,4213,16680
27,0,125,4213,16680
28,0,1375,4217,16680
41,0,1750,4219,16680
14,0,750,4221,16680
65,0,1250,4222,16680
82,0,2375,4225,16680
64,0,1625,4226,16680
40,0,3625,4234,16680
72,0,2000,4236,16680
7,0,1250,4237,16680
69,0,3750,4238,16680
43,0,500,4238,16680
86,0,3125,4240,16680
60,0,1250,4250,16680
56,0,1875,4256,16680
49,0,1625,4257,16680
35,0,1375,4260,16680
93,0,1625,4261,16680
51,0,1000,4265,16680
12,0,1250,4269,16680
5,0,2375,4269,16680
25,0,2375,4270,16680
82,0,1125,4279,16680
29,0,1375,4281,16680
81,0,1625,4286,16680
67,0,3125,4291,16680
91,0,1625,4292,16680
50,0,500,4297,16680
49,0,1500,4301,16680
89,0,3625,4311,16680
7,0,2750,4316,16680
71,0,2500,4317,16680
84,0,250,4319,16680
21,0,2500,4325,16680
16,0,3875,4326,16680
57,0,2875,4328,16680
46,0,2500,4328,16680
60,0,3125,4329,16680
92,0,3500,4331,16680
57,0,1500,4339,16680
43,0,3500,4341,16680
21,0,3625,4346,16680
58,0,3375,4346,16680
91,0,375,4346,16680
29,0,4000,4348,16680
1,0,2125,4355,16680
74,0,1000,4360,16680
35,0,2750,4361,16680
24,0,1000,4362,16680
41,0,1750,4363,16680
7,0,1875,4364,16680
42,0,375,4368,16680
84,0,2250,4376,16680
47,0,625,4379,16680
55,0,4375,4382,16680
69,0,4000,4387,16680
68,0,1250,4391,16680
85,0,4125,4395,16680
38,0,1000,4395,16680
54,0,3250,4398,16680
95,0,625,4400,16680
54,0,3000,4402,16680
82,0,2000,4412,16680
4,0,750,4418,16680
91,0,1000,4427,16680
16,0,250,4430,16680
78,0,1750,4430,16680
78,0,3250,4431,16680
71,0,4250,4435,16680
88,0,2750,4437,16680
15,0,125,4438,16680
98,0,2000,4439,16680
3,0,2250,4441,16680
44,0,375,4444,16680
16,0,2250,4445,16680
9,0,250,4445,16680
32,0,1500,4449,16680
92,0,750,4450,16680
87,0,2625,4451,16680
78,0,2875,4452,16680
19,0,3500,4454,16680
12,0,3875,4455,16680
10,0,1125,4456,16680
41,0,3875,4456,16680
77,0,2625,4459,16680
29,0,125,4460,16680
23,0,2500,4461,16680
78,0,3000,4464,16680
2,0,875,4465,16680
84,0,500,4467,16680
99,0,2750,4479,16680
42,0,125,4479,16680
14,0,2125,4480,16680
89,0,1125,4483,16680
58,0,4125,4483,16680
1,0,2250,4497,16680
3,0,3000,4499,16680
59,0,1625,4504,16680
94,0,375,4508,16680
94,0,2875,4510,16680
46,0,250,4510,16680
28,0,1125,4515,16680
21,0,1250,4522,16680
100,0,4000,4525,16680
97,0,3875,4528,16680
60,0,4250,4530,16680
54,0,500,4534,16680
36,0,1250,4535,16680
54,0,3750,4544,16680
37,0,1000,4545,16680
81,0,3625,4546,16680
91,0,3000,4549,16680
34,0,3625,4555,16680
87,0,2000,4559,16680
65,0,3500,4559,16680
88,0,2125,4560,16680
67,0,750,4562,16680
92,0,625,4562,16680
38,0,1250,4565,16680
50,0,250,4566,16680
26,0,375,4568,16680
30,0,2750,4568,16680
15,0,3250,4570,16680
90,0,3250,4575,16680
39,0,3125,4575,16680
71,0,3750,4576,16680
27,0,3250,4580,16680
60,0,3000,4582,16680
26,0,3875,4588,16680
61,0,2875,4590,16680
65,0,4000,4600,16680
82,0,750,4600,16680
46,0,2500,4607,16680
80,0,3625,4607,16680
25,0,2375,4607,16680
29,0,2000,4609,16680
59,0,3125,4611,16680
31,0,2125,4612,16680
45,0,1750,4618,16680
40,0,2875,4618,16680
48,0,2000,4619,16680
98,0,375,4621,16680
98,0,4375,4628,16680
53,0,500,4631,16680
94,0,4000,4631,16680
25,0,4375,4631,16680
7,0,625,4632,16680
10,0,375,4635,16680
29,0,3000,4639,16680
74,0,750,4639,16680
79,0,2875,4641,16680
77,0,2000,4642,16680
6,0,4625,4647,16680
66,0,3000,4648,16680
39,0,1125,4656,16680
92,0,1750,4657,16680
47,0,1375,4659,16680
53,0,250,4659,16680
99,0,1250,4663,16680
63,0,1875,4672,16680
91,0,750,4674,16680
29,0,2500,4678,16680
78,0,2250,4678,16680
71,0,2375,4681,16680
46,0,4625,4687,16680
24,0,3125,4689,16680
56,0,3125,4691,16680
60,0,4500,4693,16680
68,0,1125,4694,16680
44,0,2000,4694,16680
7,0,375,4696,16680
92,0,1000,4696,16680
39,0,3875,4698,16680
70,0,3625,4710,16680
42,0,3250,4712,16680
39,0,1125,4713,16680
62,0,4375,4724,16680
15,0,3250,4725,16680
70,0,875,4728,16680
74,0,1875,4728,16680
53,0,4000,4733,16680
2,0,2500,4735,16680
97,0,4000,4737,16680
41,0,3250,4738,16680
75,0,1625,4739,16680
48,0,750,4744,16680
78,0,2250,4746,16680
78,0,3250,4751,16680
17,0,2750,4755,16680
47,0,2375,4760,16680
43,0,2875,4762,16680
22,0,3250,4763,16680
93,0,1375,4765,16680
13,0,1375,4767,16680
68,0,1375,4768,16680
51,0,3375,4769,16680
34,0,2500,4770,16680
53,0,2250,4775,16680
48,0,375,4776,16680
17,0,3125,4776,16680
15,0,1500,4776,16680
91,0,2250,4780,16680
54,0,1375,4783,16680
93,0,3500,4785,16680
76,0,1750,4785,16680
89,0,1250,4785,16680
60,0,1250,4786,16680
4,0,3875,4787,16680
75,0,3750,4788,16680
41,0,2750,4791,16680
39,0,3875,4793,16680
90,0,250,4793,16680
5,0,1375,4795,16680
71,0,4625,4797,16680
38,0,3250,4804,16680
77,0,250,4805,16680
29,0,3125,4807,16680
44,0,2000,4808,16680
15,0,3375,4816,16680
53,0,2500,4823,16680
37,0,4250,4827,16680
12,0,1875,4829,16680
18,0,1125,4831,16680
25,0,3375,4835,16680
51,0,3125,4840,16680
56,0,4750,4840,16680
58,0,4125,4842,16680
20,0,4125,4846,16680
47,0,3875,4852,16680
77,0,2625,4863,16680
13,0,250,4864,16680
24,0,4125,4865,16680
78,0,3875,4868,16680
10,0,1500,4869,16680
89,0,4750,4871,16680
85,0,375,4872,16680
84,0,3125,4875,16680
85,0,3500,4877,16680
73,0,4000,4878,16680
15,0,2500,4879,16680
11,0,875,4882,16680
58,0,1000,4883,16680
18,0,2500,4883,16680
36,0,375,4887,16680
49,0,2875,4889,16680
36,0,1125,4893,16680
80,0,1875,4893,16680
13,0,3375,4894,16680
10,0,2625,4895,16680
89,0,4875,4898,16680
32,0,4250,4906,16680
