key,value,eventTime,arrivalTime,processedTime
96,0,2500,2534,10049
98,0,2500,2571,10049
97,0,0,2731,10049
84,0,2500,2745,10049
26,0,2500,2809,10049
11,0,2500,2859,10049
13,0,2500,2903,10049
71,0,2500,3102,10049
78,0,2500,3149,10049
97,0,2500,3253,10049
42,0,2500,3352,10049
83,0,2500,3387,10049
8,0,2500,3647,10049
21,0,2500,3686,10049
56,0,2500,3689,10049
27,0,2500,3731,10049
13,0,2500,3795,10049
57,0,2500,3860,10049
95,0,2500,3922,10049
86,0,2500,4027,10049
56,0,2500,4140,10049
89,0,2500,4184,10049
12,0,2500,4274,10049
6,0,2500,4287,10049
48,0,2500,4380,10049
2,0,2500,4484,10049
55,0,2500,4484,10049
5,0,2500,4587,10049
16,0,2500,4919,10049
69,0,2500,4973,10049
2,0,5000,5078,10049
32,0,5000,5084,10049
22,0,5000,5105,10049
30,0,2500,5168,10049
72,0,5000,5171,10049
36,0,5000,5220,10049
49,0,5000,5301,10049
3,0,2500,5313,10049
17,0,5000,5317,10049
70,0,2500,5335,10049
59,0,2500,5339,10049
54,0,5000,5354,10049
89,0,5000,5384,10049
52,0,2500,5427,10049
25,0,5000,5470,10049
94,0,2500,5483,10049
41,0,2500,5491,10049
1,0,5000,5502,10049
67,0,5000,5519,10049
9,0,5000,5761,10049
24,0,5000,5771,10049
20,0,2500,5780,10049
60,0,2500,5795,10049
82,0,5000,5822,10049
78,0,2500,5959,10049
27,0,5000,5961,10049
12,0,5000,6000,10049
53,0,5000,6146,10049
67,0,2500,6166,10049
11,0,5000,6201,10049
29,0,2500,6202,10049
85,0,2500,6231,10049
63,0,5000,6262,10049
56,0,2500,6429,10049
29,0,2500,6487,10049
36,0,5000,6509,10049
27,0,2500,6588,10049
41,0,5000,6789,10049
15,0,2500,6813,10049
29,0,2500,6835,10049
42,0,2500,6854,10049
42,0,5000,6957,10049
65,0,5000,7098,10049
82,0,5000,7218,10049
54,0,5000,7285,10049
96,0,5000,7322,10049
46,0,5000,7340,10049
39,0,2500,7345,10049
27,0,2500,7354,10049
36,0,5000,7393,10049
93,0,7500,7561,10049
56,0,7500,7587,10049
56,0,7500,7846,10049
63,0,7500,7895,10049
14,0,5000,7896,10049
68,0,7500,7911,10049
53,0,7500,7959,10049
55,0,5000,7959,10049
74,0,7500,7984,10049
26,0,7500,8010,10049
94,0,5000,8055,10049
69,0,5000,8114,10049
20,0,5000,8240,10049
54,0,5000,8357,10049
97,0,5000,8475,10049
52,0,5000,8497,10049
58,0,7500,8540,10049
21,0,7500,8634,10049
35,0,5000,8794,10049
11,0,7500,8825,10049
89,0,7500,8831,10049
79,0,5000,8913,10049
84,0,5000,9069,10049
16,0,5000,9180,10049
9,0,5000,9195,10049
74,0,7500,9216,10049
59,0,7500,9218,10049
73,0,7500,9224,10049
46,0,5000,9260,10049
50,0,5000,9316,10049
53,0,5000,9409,10049
93,0,7500,9467,10049
90,0,5000,9543,10049
77,0,5000,9555,10049
53,0,7500,9606,10049
13,0,5000,9614,10049
24,0,7500,9805,10049
55,0,7500,9843,10049
80,0,7500,9844,10049
86,0,5000,9884,10049
10,0,5000,9900,10049
