key,value,eventTime,arrivalTime,processedTime
96,0,1000,1034,10063
98,0,1000,1071,10063
84,0,1000,1245,10063
26,0,1000,1309,10063
11,0,1000,1359,10063
13,0,1000,1403,10063
71,0,1000,1602,10063
78,0,1000,1649,10063
97,0,1000,1753,10063
42,0,1000,1852,10063
83,0,1000,1887,10063
2,0,2000,2078,10063
32,0,2000,2084,10063
22,0,2000,2105,10063
8,0,1000,2147,10063
72,0,2000,2171,10063
21,0,1000,2186,10063
56,0,1000,2189,10063
36,0,2000,2220,10063
27,0,1000,2231,10063
13,0,1000,2295,10063
49,0,2000,2301,10063
17,0,2000,2317,10063
54,0,2000,2354,10063
57,0,1000,2360,10063
89,0,2000,2384,10063
95,0,1000,2422,10063
25,0,2000,2470,10063
1,0,2000,2502,10063
67,0,2000,2519,10063
86,0,1000,2527,10063
56,0,1000,2640,10063
89,0,1000,2684,10063
97,0,0,2731,10063
9,0,2000,2761,10063
24,0,2000,2771,10063
12,0,1000,2774,10063
6,0,1000,2787,10063
82,0,2000,2822,10063
48,0,1000,2880,10063
27,0,2000,2961,10063
2,0,1000,2984,10063
55,0,1000,2984,10063
12,0,2000,3000,10063
93,0,3000,3061,10063
56,0,3000,3087,10063
5,0,1000,3087,10063
53,0,2000,3146,10063
11,0,2000,3201,10063
63,0,2000,3262,10063
56,0,3000,3346,10063
63,0,3000,3395,10063
68,0,3000,3411,10063
16,0,1000,3419,10063
53,0,3000,3459,10063
69,0,1000,3473,10063
74,0,3000,3484,10063
36,0,2000,3509,10063
26,0,3000,3510,10063
30,0,1000,3668,10063
41,0,2000,3789,10063
3,0,1000,3813,10063
70,0,1000,3835,10063
59,0,1000,3839,10063
52,0,1000,3927,10063
42,0,2000,3957,10063
94,0,1000,3983,10063
41,0,1000,3991,10063
58,0,3000,4040,10063
65,0,2000,4098,10063
37,0,4000,4127,10063
21,0,3000,4134,10063
46,0,4000,4194,10063
60,0,4000,4208,10063
82,0,2000,4218,10063
13,0,4000,4228,10063
20,0,1000,4280,10063
54,0,2000,4285,10063
60,0,1000,4295,10063
96,0,2000,4322,10063
11,0,3000,4325,10063
89,0,3000,4331,10063
46,0,2000,4340,10063
36,0,2000,4393,10063
78,0,1000,4459,10063
13,0,4000,4472,10063
59,0,4000,4567,10063
38,0,4000,4571,10063
74,0,4000,4641,10063
18,0,4000,4649,10063
67,0,1000,4666,10063
29,0,1000,4702,10063
74,0,3000,4716,10063
59,0,3000,4718,10063
73,0,3000,4724,10063
85,0,1000,4731,10063
100,0,4000,4809,10063
96,0,4000,4816,10063
14,0,2000,4896,10063
73,0,4000,4897,10063
56,0,1000,4929,10063
66,0,4000,4937,10063
55,0,2000,4959,10063
93,0,3000,4967,10063
29,0,1000,4987,10063
94,0,2000,5055,10063
75,0,5000,5061,10063
27,0,1000,5088,10063
99,0,4000,5089,10063
44,0,5000,5100,10063
53,0,3000,5106,10063
69,0,2000,5114,10063
11,0,5000,5186,10063
82,0,5000,5187,10063
91,0,4000,5211,10063
10,0,4000,5228,10063
20,0,2000,5240,10063
24,0,3000,5305,10063
15,0,1000,5313,10063
29,0,1000,5335,10063
55,0,3000,5343,10063
80,0,3000,5344,10063
42,0,1000,5354,10063
54,0,2000,5357,10063
83,0,4000,5389,10063
96,0,5000,5402,10063
84,0,4000,5440,10063
72,0,5000,5455,10063
97,0,2000,5475,10063
52,0,2000,5497,10063
36,0,3000,5520,10063
94,0,3000,5537,10063
16,0,3000,5571,10063
10,0,4000,5591,10063
55,0,4000,5595,10063
6,0,5000,5603,10063
49,0,4000,5707,10063
39,0,3000,5781,10063
51,0,3000,5781,10063
36,0,5000,5782,10063
89,0,5000,5783,10063
72,0,5000,5793,10063
35,0,2000,5794,10063
90,0,4000,5797,10063
38,0,5000,5804,10063
17,0,3000,5833,10063
39,0,1000,5845,10063
27,0,1000,5854,10063
79,0,2000,5913,10063
69,0,3000,5981,10063
89,0,6000,6013,10063
67,0,5000,6027,10063
25,0,4000,6063,10063
84,0,2000,6069,10063
36,0,4000,6087,10063
69,0,4000,6089,10063
73,0,5000,6132,10063
16,0,3000,6135,10063
30,0,5000,6136,10063
54,0,6000,6173,10063
26,0,6000,6180,10063
16,0,2000,6180,10063
9,0,2000,6195,10063
26,0,4000,6232,10063
46,0,2000,6260,10063
72,0,4000,6289,10063
84,0,5000,6302,10063
50,0,2000,6316,10063
7,0,6000,6323,10063
39,0,4000,6325,10063
89,0,6000,6354,10063
92,0,5000,6386,10063
88,0,3000,6398,10063
67,0,5000,6398,10063
53,0,2000,6409,10063
19,0,5000,6425,10063
86,0,6000,6426,10063
39,0,6000,6454,10063
14,0,5000,6484,10063
10,0,5000,6509,10063
92,0,4000,6515,10063
90,0,2000,6543,10063
77,0,2000,6555,10063
80,0,4000,6566,10063
13,0,2000,6614,10063
27,0,4000,6643,10063
86,0,4000,6660,10063
19,0,5000,6692,10063
23,0,3000,6693,10063
8,0,3000,6735,10063
27,0,4000,6778,10063
48,0,5000,6799,10063
65,0,5000,6805,10063
48,0,6000,6814,10063
80,0,3000,6822,10063
100,0,5000,6877,10063
86,0,2000,6884,10063
97,0,5000,6886,10063
10,0,2000,6900,10063
60,0,6000,6911,10063
22,0,6000,6914,10063
91,0,3000,6971,10063
83,0,4000,6973,10063
41,0,5000,6989,10063
42,0,3000,6993,10063
24,0,6000,7000,10063
80,0,6000,7040,10063
91,0,7000,7045,10063
87,0,5000,7045,10063
44,0,3000,7069,10063
4,0,7000,7111,10063
13,0,5000,7115,10063
21,0,6000,7123,10063
94,0,3000,7133,10063
26,0,3000,7193,10063
83,0,7000,7193,10063
70,0,6000,7197,10063
37,0,4000,7201,10063
67,0,4000,7215,10063
98,0,3000,7246,10063
10,0,3000,7260,10063
28,0,7000,7279,10063
25,0,7000,7292,10063
85,0,4000,7303,10063
7,0,3000,7321,10063
43,0,6000,7367,10063
29,0,4000,7396,10063
48,0,3000,7401,10063
43,0,4000,7403,10063
89,0,5000,7419,10063
81,0,4000,7425,10063
75,0,4000,7428,10063
4,0,6000,7443,10063
66,0,4000,7447,10063
65,0,7000,7448,10063
99,0,5000,7478,10063
85,0,3000,7497,10063
36,0,3000,7512,10063
27,0,5000,7516,10063
29,0,4000,7521,10063
31,0,3000,7581,10063
95,0,3000,7582,10063
16,0,6000,7599,10063
8,0,3000,7627,10063
87,0,7000,7655,10063
39,0,6000,7666,10063
62,0,3000,7680,10063
43,0,4000,7738,10063
92,0,6000,7744,10063
54,0,7000,7766,10063
50,0,4000,7797,10063
85,0,3000,7804,10063
12,0,3000,7808,10063
18,0,5000,7876,10063
47,0,6000,7879,10063
68,0,3000,7957,10063
84,0,4000,7967,10063
36,0,5000,7986,10063
81,0,7000,7993,10063
52,0,8000,8029,10063
54,0,4000,8034,10063
74,0,5000,8038,10063
66,0,5000,8056,10063
53,0,4000,8131,10063
48,0,8000,8138,10063
29,0,7000,8155,10063
42,0,6000,8164,10063
43,0,5000,8221,10063
22,0,8000,8237,10063
17,0,7000,8254,10063
36,0,7000,8267,10063
30,0,8000,8301,10063
99,0,8000,8319,10063
93,0,5000,8343,10063
61,0,5000,8399,10063
59,0,4000,8410,10063
89,0,8000,8419,10063
50,0,6000,8436,10063
42,0,7000,8462,10063
50,0,6000,8495,10063
41,0,8000,8498,10063
74,0,7000,8540,10063
76,0,8000,8623,10063
76,0,8000,8716,10063
69,0,7000,8731,10063
47,0,5000,8754,10063
52,0,7000,8760,10063
95,0,5000,8775,10063
85,0,6000,8803,10063
55,0,6000,8881,10063
46,0,7000,8885,10063
84,0,4000,8892,10063
20,0,7000,8911,10063
92,0,6000,8932,10063
92,0,5000,8937,10063
72,0,8000,8940,10063
13,0,7000,8941,10063
27,0,7000,8975,10063
13,0,7000,8982,10063
7,0,5000,9007,10063
8,0,9000,9053,10063
12,0,7000,9062,10063
1,0,8000,9081,10063
12,0,6000,9092,10063
35,0,9000,9148,10063
82,0,7000,9190,10063
27,0,9000,9200,10063
73,0,8000,9226,10063
24,0,6000,9233,10063
66,0,7000,9236,10063
55,0,6000,9251,10063
14,0,8000,9303,10063
76,0,9000,9306,10063
95,0,5000,9306,10063
63,0,7000,9331,10063
94,0,6000,9338,10063
82,0,6000,9408,10063
97,0,5000,9425,10063
51,0,5000,9438,10063
14,0,6000,9471,10063
32,0,7000,9489,10063
64,0,9000,9530,10063
58,0,5000,9570,10063
59,0,5000,9597,10063
85,0,8000,9618,10063
17,0,7000,9622,10063
95,0,8000,9652,10063
4,0,6000,9668,10063
92,0,6000,9700,10063
35,0,9000,9708,10063
71,0,5000,9737,10063
68,0,8000,9743,10063
43,0,9000,9748,10063
52,0,8000,9766,10063
79,0,5000,9793,10063
49,0,8000,9811,10063
67,0,6000,9812,10063
100,0,7000,9820,10063
82,0,6000,9850,10063
98,0,7000,9858,10063
1,0,5000,9880,10063
74,0,6000,9889,10063
34,0,7000,9910,10063
58,0,8000,9924,10063
91,0,6000,9924,10063
43,0,9000,9940,10063
1,0,9000,9944,10063
20,0,8000,9960,10063
32,0,7000,9967,10063
16,0,7000,9985,10063
88,0,7000,9994,10063
48,0,6000,9994,10063
