key,value,eventTime,arrivalTime,processedTime
96,0,125,159,10485
98,0,125,196,10485
2,0,250,328,10485
32,0,250,334,10485
22,0,250,355,10485
84,0,125,370,10485
72,0,250,421,10485
26,0,125,434,10485
93,0,375,436,10485
56,0,375,462,10485
36,0,250,470,10485
11,0,125,484,10485
13,0,125,528,10485
49,0,250,551,10485
17,0,250,567,10485
54,0,250,604,10485
37,0,500,627,10485
89,0,250,634,10485
75,0,625,686,10485
46,0,500,694,10485
60,0,500,708,10485
25,0,250,720,10485
56,0,375,721,10485
44,0,625,725,10485
71,0,125,727,10485
13,0,500,728,10485
1,0,250,752,10485
89,0,750,763,10485
67,0,250,769,10485
63,0,375,770,10485
78,0,125,774,10485
68,0,375,786,10485
11,0,625,811,10485
82,0,625,812,10485
53,0,375,834,10485
74,0,375,859,10485
97,0,125,878,10485
26,0,375,885,10485
91,0,875,920,10485
54,0,750,923,10485
26,0,750,930,10485
13,0,500,972,10485
42,0,125,977,10485
4,0,875,986,10485
9,0,250,1011,10485
83,0,125,1012,10485
24,0,250,1021,10485
96,0,625,1027,10485
52,0,1000,1029,10485
59,0,500,1067,10485
83,0,875,1068,10485
38,0,500,1071,10485
82,0,250,1072,10485
7,0,750,1073,10485
72,0,625,1080,10485
89,0,750,1104,10485
48,0,1000,1138,10485
74,0,500,1141,10485
18,0,500,1149,10485
28,0,875,1154,10485
25,0,875,1167,10485
86,0,750,1176,10485
8,0,1125,1178,10485
39,0,750,1204,10485
27,0,250,1211,10485
6,0,625,1228,10485
22,0,1000,1237,10485
12,0,250,1250,10485
8,0,125,1272,10485
35,0,1125,1273,10485
30,0,1000,1301,10485
51,0,1250,1306,10485
100,0,500,1309,10485
21,0,125,1311,10485
56,0,125,1314,10485
96,0,500,1316,10485
99,0,1000,1319,10485
65,0,875,1323,10485
27,0,1125,1325,10485
27,0,125,1356,10485
93,0,1250,1378,10485
57,0,1250,1391,10485
53,0,250,1396,10485
73,0,500,1397,10485
36,0,625,1407,10485
89,0,625,1408,10485
58,0,375,1415,10485
72,0,625,1418,10485
89,0,1000,1419,10485
13,0,125,1420,10485
89,0,1375,1425,10485
38,0,625,1429,10485
76,0,1125,1431,10485
66,0,500,1437,10485
11,0,250,1451,10485
52,0,1375,1455,10485
57,0,125,1485,10485
76,0,1250,1494,10485
41,0,1000,1498,10485
14,0,1375,1503,10485
21,0,375,1509,10485
63,0,250,1512,10485
87,0,875,1530,10485
95,0,125,1547,10485
48,0,750,1564,10485
99,0,500,1589,10485
7,0,1500,1607,10485
76,0,1000,1623,10485
54,0,875,1641,10485
86,0,125,1652,10485
67,0,625,1652,10485
64,0,1125,1655,10485
89,0,1250,1658,10485
60,0,750,1661,10485
22,0,750,1664,10485
3,0,1375,1688,10485
11,0,375,1700,10485
89,0,375,1706,10485
91,0,500,1711,10485
76,0,1000,1716,10485
10,0,500,1728,10485
23,0,1375,1739,10485
24,0,750,1750,10485
19,0,1375,1754,10485
73,0,625,1757,10485
36,0,250,1759,10485
30,0,625,1761,10485
56,0,125,1765,10485
47,0,1500,1778,10485
80,0,750,1790,10485
89,0,125,1809,10485
37,0,1375,1817,10485
68,0,1375,1819,10485
35,0,1125,1833,10485
72,0,1250,1849,10485
81,0,875,1868,10485
80,0,1750,1868,10485
23,0,1750,1871,10485
49,0,1750,1872,10485
43,0,1125,1873,10485
21,0,750,1873,10485
64,0,1625,1877,10485
83,0,500,1889,10485
12,0,125,1899,10485
