key,value,eventTime,arrivalTime,processedTime
10,0,500,534,10074
10,0,500,571,10074
9,0,500,745,10074
3,0,500,809,10074
2,0,500,859,10074
2,0,500,903,10074
1,0,1000,1078,10074
4,0,1000,1084,10074
8,0,500,1102,10074
3,0,1000,1105,10074
8,0,500,1149,10074
8,0,1000,1171,10074
4,0,1000,1220,10074
10,0,500,1253,10074
5,0,1000,1301,10074
2,0,1000,1317,10074
5,0,500,1352,10074
6,0,1000,1354,10074
9,0,1000,1384,10074
9,0,500,1387,10074
3,0,1000,1470,10074
1,0,1000,1502,10074
7,0,1000,1519,10074
10,0,1500,1561,10074
6,0,1500,1587,10074
1,0,500,1647,10074
3,0,500,1686,10074
6,0,500,1689,10074
3,0,500,1731,10074
1,0,1000,1761,10074
3,0,1000,1771,10074
2,0,500,1795,10074
9,0,1000,1822,10074
6,0,1500,1846,10074
6,0,500,1860,10074
7,0,1500,1895,10074
7,0,1500,1911,10074
10,0,500,1922,10074
6,0,1500,1959,10074
3,0,1000,1961,10074
8,0,1500,1984,10074
2,0,1000,2000,10074
3,0,1500,2010,10074
9,0,500,2027,10074
4,0,2000,2127,10074
6,0,500,2140,10074
6,0,1000,2146,10074
9,0,500,2184,10074
5,0,2000,2194,10074
2,0,1000,2201,10074
6,0,2000,2208,10074
2,0,2000,2228,10074
7,0,1000,2262,10074
2,0,500,2274,10074
1,0,500,2287,10074
5,0,500,2380,10074
2,0,2000,2472,10074
6,0,500,2484,10074
1,0,500,2484,10074
4,0,1000,2509,10074
6,0,1500,2540,10074
8,0,2500,2561,10074
6,0,2000,2567,10074
4,0,2000,2571,10074
1,0,500,2587,10074
5,0,2500,2600,10074
3,0,1500,2634,10074
8,0,2000,2641,10074
2,0,2000,2649,10074
2,0,2500,2686,10074
9,0,2500,2687,10074
10,0,0,2731,10074
5,0,1000,2789,10074
10,0,2000,2809,10074
10,0,2000,2816,10074
2,0,1500,2825,10074
9,0,1500,2831,10074
8,0,2000,2897,10074
10,0,2500,2902,10074
2,0,500,2919,10074
7,0,2000,2937,10074
8,0,2500,2955,10074
5,0,1000,2957,10074
7,0,500,2973,10074
9,0,3000,3013,10074
10,0,2000,3089,10074
7,0,1000,3098,10074
1,0,2500,3103,10074
3,0,500,3168,10074
6,0,3000,3173,10074
3,0,3000,3180,10074
10,0,2000,3211,10074
8,0,1500,3216,10074
6,0,1500,3218,10074
9,0,1000,3218,10074
8,0,1500,3224,10074
1,0,2000,3228,10074
4,0,2500,3282,10074
9,0,2500,3283,10074
6,0,1000,3285,10074
8,0,2500,3293,10074
4,0,2500,3304,10074
1,0,500,3313,10074
10,0,1000,3322,10074
1,0,3000,3323,10074
7,0,500,3335,10074
6,0,500,3339,10074
5,0,1000,3340,10074
9,0,3000,3354,10074
9,0,2000,3389,10074
4,0,1000,3393,10074
9,0,3000,3426,10074
6,0,500,3427,10074
9,0,2000,3440,10074
4,0,3000,3454,10074
10,0,1500,3467,10074
10,0,500,3483,10074
5,0,500,3491,10074
7,0,2500,3527,10074
10,0,3500,3545,10074
1,0,2000,3591,10074
