key,value,eventTime,arrivalTime,processedTime
477,0,500,534,10070
487,0,500,571,10070
419,0,500,745,10070
130,0,500,809,10070
55,0,500,859,10070
64,0,500,903,10070
9,0,1000,1078,10070
157,0,1000,1084,10070
351,0,500,1102,10070
109,0,1000,1105,10070
388,0,500,1149,10070
359,0,1000,1171,10070
180,0,1000,1220,10070
483,0,500,1253,10070
242,0,1000,1301,10070
85,0,1000,1317,10070
207,0,500,1352,10070
266,0,1000,1354,10070
441,0,1000,1384,10070
413,0,500,1387,10070
123,0,1000,1470,10070
2,0,1000,1502,10070
331,0,1000,1519,10070
464,0,1500,1561,10070
278,0,1500,1587,10070
36,0,500,1647,10070
105,0,500,1686,10070
276,0,500,1689,10070
131,0,500,1731,10070
41,0,1000,1761,10070
119,0,1000,1771,10070
62,0,500,1795,10070
410,0,1000,1822,10070
278,0,1500,1846,10070
284,0,500,1860,10070
315,0,1500,1895,10070
340,0,1500,1911,10070
473,0,500,1922,10070
264,0,1500,1959,10070
135,0,1000,1961,10070
366,0,1500,1984,10070
59,0,1000,2000,10070
128,0,1500,2010,10070
428,0,500,2027,10070
183,0,2000,2127,10070
276,0,500,2140,10070
264,0,1000,2146,10070
441,0,500,2184,10070
228,0,2000,2194,10070
55,0,1000,2201,10070
298,0,2000,2208,10070
62,0,2000,2228,10070
311,0,1000,2262,10070
59,0,500,2274,10070
27,0,500,2287,10070
239,0,500,2380,10070
65,0,2000,2472,10070
271,0,500,2484,10070
7,0,500,2484,10070
179,0,1000,2509,10070
289,0,1500,2540,10070
374,0,2500,2561,10070
292,0,2000,2567,10070
189,0,2000,2571,10070
23,0,500,2587,10070
217,0,2500,2600,10070
104,0,1500,2634,10070
370,0,2000,2641,10070
90,0,2000,2649,10070
53,0,2500,2686,10070
406,0,2500,2687,10070
481,0,0,2731,10070
201,0,1000,2789,10070
500,0,2000,2809,10070
478,0,2000,2816,10070
55,0,1500,2825,10070
445,0,1500,2831,10070
363,0,2000,2897,10070
477,0,2500,2902,10070
76,0,500,2919,10070
327,0,2000,2937,10070
357,0,2500,2955,10070
209,0,1000,2957,10070
342,0,500,2973,10070
441,0,3000,3013,10070
492,0,2000,3089,10070
325,0,1000,3098,10070
28,0,2500,3103,10070
148,0,500,3168,10070
268,0,3000,3173,10070
126,0,3000,3180,10070
453,0,2000,3211,10070
367,0,1500,3216,10070
292,0,1500,3218,10070
408,0,1000,3218,10070
363,0,1500,3224,10070
47,0,2000,3228,10070
178,0,2500,3282,10070
443,0,2500,3283,10070
268,0,1000,3285,10070
358,0,2500,3293,10070
188,0,2500,3304,10070
15,0,500,3313,10070
478,0,1000,3322,10070
32,0,3000,3323,10070
349,0,500,3335,10070
295,0,500,3339,10070
230,0,1000,3340,10070
442,0,3000,3354,10070
413,0,2000,3389,10070
179,0,1000,3393,10070
430,0,3000,3426,10070
256,0,500,3427,10070
419,0,2000,3440,10070
191,0,3000,3454,10070
463,0,1500,3467,10070
470,0,500,3483,10070
205,0,500,3491,10070
