key,value,eventTime,arrivalTime,processedTime
477,0,500,534,10052
487,0,500,571,10052
419,0,500,745,10052
130,0,500,809,10052
55,0,500,859,10052
64,0,500,903,10052
9,0,1000,1078,10052
157,0,1000,1084,10052
351,0,500,1102,10052
109,0,1000,1105,10052
388,0,500,1149,10052
359,0,1000,1171,10052
180,0,1000,1220,10052
483,0,500,1253,10052
242,0,1000,1301,10052
85,0,1000,1317,10052
207,0,500,1352,10052
266,0,1000,1354,10052
441,0,1000,1384,10052
413,0,500,1387,10052
123,0,1000,1470,10052
2,0,1000,1502,10052
331,0,1000,1519,10052
464,0,1500,1561,10052
278,0,1500,1587,10052
36,0,500,1647,10052
105,0,500,1686,10052
276,0,500,1689,10052
131,0,500,1731,10052
41,0,1000,1761,10052
119,0,1000,1771,10052
62,0,500,1795,10052
410,0,1000,1822,10052
278,0,1500,1846,10052
284,0,500,1860,10052
315,0,1500,1895,10052
340,0,1500,1911,10052
473,0,500,1922,10052
264,0,1500,1959,10052
135,0,1000,1961,10052
366,0,1500,1984,10052
59,0,1000,2000,10052
128,0,1500,2010,10052
428,0,500,2027,10052
183,0,2000,2127,10052
276,0,500,2140,10052
264,0,1000,2146,10052
441,0,500,2184,10052
228,0,2000,2194,10052
55,0,1000,2201,10052
298,0,2000,2208,10052
62,0,2000,2228,10052
311,0,1000,2262,10052
59,0,500,2274,10052
27,0,500,2287,10052
239,0,500,2380,10052
65,0,2000,2472,10052
271,0,500,2484,10052
7,0,500,2484,10052
179,0,1000,2509,10052
289,0,1500,2540,10052
374,0,2500,2561,10052
292,0,2000,2567,10052
189,0,2000,2571,10052
23,0,500,2587,10052
217,0,2500,2600,10052
104,0,1500,2634,10052
370,0,2000,2641,10052
90,0,2000,2649,10052
53,0,2500,2686,10052
406,0,2500,2687,10052
481,0,0,2731,10052
201,0,1000,2789,10052
500,0,2000,2809,10052
478,0,2000,2816,10052
55,0,1500,2825,10052
445,0,1500,2831,10052
363,0,2000,2897,10052
477,0,2500,2902,10052
76,0,500,2919,10052
327,0,2000,2937,10052
357,0,2500,2955,10052
209,0,1000,2957,10052
342,0,500,2973,10052
441,0,3000,3013,10052
492,0,2000,3089,10052
325,0,1000,3098,10052
28,0,2500,3103,10052
148,0,500,3168,10052
268,0,3000,3173,10052
126,0,3000,3180,10052
453,0,2000,3211,10052
367,0,1500,3216,10052
292,0,1500,3218,10052
408,0,1000,3218,10052
363,0,1500,3224,10052
47,0,2000,3228,10052
178,0,2500,3282,10052
443,0,2500,3283,10052
268,0,1000,3285,10052
358,0,2500,3293,10052
188,0,2500,3304,10052
15,0,500,3313,10052
478,0,1000,3322,10052
32,0,3000,3323,10052
349,0,500,3335,10052
295,0,500,3339,10052
230,0,1000,3340,10052
442,0,3000,3354,10052
413,0,2000,3389,10052
179,0,1000,3393,10052
430,0,3000,3426,10052
256,0,500,3427,10052
419,0,2000,3440,10052
191,0,3000,3454,10052
463,0,1500,3467,10052
470,0,500,3483,10052
205,0,500,3491,10052
331,0,2500,3527,10052
451,0,3500,3545,10052
50,0,2000,3591,10052
271,0,2000,3595,10052
263,0,1500,3606,10052
16,0,3500,3611,10052
363,0,2500,3632,10052
147,0,2500,3636,10052
415,0,3500,3693,10052
244,0,2000,3707,10052
139,0,3500,3779,10052
97,0,500,3780,10052
123,0,3500,3792,10052
297,0,500,3795,10052
448,0,2000,3797,10052
420,0,2500,3802,10052
116,0,1500,3805,10052
240,0,3000,3814,10052
273,0,1500,3843,10052
