key,value,eventTime,arrivalTime,processedTime
1908,0,500,534,10066
1947,0,500,571,10066
1674,0,500,745,10066
517,0,500,809,10066
219,0,500,859,10066
254,0,500,903,10066
36,0,1000,1078,10066
627,0,1000,1084,10066
1401,0,500,1102,10066
435,0,1000,1105,10066
1552,0,500,1149,10066
1434,0,1000,1171,10066
717,0,1000,1220,10066
1930,0,500,1253,10066
968,0,1000,1301,10066
337,0,1000,1317,10066
826,0,500,1352,10066
1062,0,1000,1354,10066
1761,0,1000,1384,10066
1651,0,500,1387,10066
490,0,1000,1470,10066
5,0,1000,1502,10066
1323,0,1000,1519,10066
1856,0,1500,1561,10066
1111,0,1500,1587,10066
143,0,500,1647,10066
419,0,500,1686,10066
1101,0,500,1689,10066
524,0,500,1731,10066
163,0,1000,1761,10066
474,0,1000,1771,10066
246,0,500,1795,10066
1637,0,1000,1822,10066
1109,0,1500,1846,10066
1133,0,500,1860,10066
1259,0,1500,1895,10066
1357,0,1500,1911,10066
1889,0,500,1922,10066
1055,0,1500,1959,10066
539,0,1000,1961,10066
1462,0,1500,1984,10066
236,0,1000,2000,10066
512,0,1500,2010,10066
1709,0,500,2027,10066
729,0,2000,2127,10066
1101,0,500,2140,10066
1056,0,1000,2146,10066
1763,0,500,2184,10066
911,0,2000,2194,10066
220,0,1000,2201,10066
1191,0,2000,2208,10066
247,0,2000,2228,10066
1242,0,1000,2262,10066
234,0,500,2274,10066
106,0,500,2287,10066
954,0,500,2380,10066
259,0,2000,2472,10066
1084,0,500,2484,10066
27,0,500,2484,10066
713,0,1000,2509,10066
1153,0,1500,2540,10066
1494,0,2500,2561,10066
1168,0,2000,2567,10066
754,0,2000,2571,10066
91,0,500,2587,10066
868,0,2500,2600,10066
416,0,1500,2634,10066
1477,0,2000,2641,10066
360,0,2000,2649,10066
209,0,2500,2686,10066
1621,0,2500,2687,10066
1923,0,0,2731,10066
804,0,1000,2789,10066
1997,0,2000,2809,10066
1910,0,2000,2816,10066
217,0,1500,2825,10066
1778,0,1500,2831,10066
1450,0,2000,2897,10066
1908,0,2500,2902,10066
304,0,500,2919,10066
1307,0,2000,2937,10066
1427,0,2500,2955,10066
834,0,1000,2957,10066
1365,0,500,2973,10066
1763,0,3000,3013,10066
1966,0,2000,3089,10066
1297,0,1000,3098,10066
110,0,2500,3103,10066
592,0,500,3168,10066
1072,0,3000,3173,10066
504,0,3000,3180,10066
1809,0,2000,3211,10066
1468,0,1500,3216,10066
1168,0,1500,3218,10066
1631,0,1000,3218,10066
1449,0,1500,3224,10066
186,0,2000,3228,10066
711,0,2500,3282,10066
1772,0,2500,3283,10066
1069,0,1000,3285,10066
1432,0,2500,3293,10066
750,0,2500,3304,10066
57,0,500,3313,10066
1912,0,1000,3322,10066
127,0,3000,3323,10066
1395,0,500,3335,10066
1177,0,500,3339,10066
920,0,1000,3340,10066
1765,0,3000,3354,10066
1652,0,2000,3389,10066
715,0,1000,3393,10066
1718,0,3000,3426,10066
1024,0,500,3427,10066
1674,0,2000,3440,10066
763,0,3000,3454,10066
1851,0,1500,3467,10066
1877,0,500,3483,10066
819,0,500,3491,10066
1324,0,2500,3527,10066
1801,0,3500,3545,10066
197,0,2000,3591,10066
1083,0,2000,3595,10066
1051,0,1500,3606,10066
62,0,3500,3611,10066
1449,0,2500,3632,10066
585,0,2500,3636,10066
1658,0,3500,3693,10066
976,0,2000,3707,10066
554,0,3500,3779,10066
385,0,500,3780,10066
489,0,3500,3792,10066
1186,0,500,3795,10066
1789,0,2000,3797,10066
1677,0,2500,3802,10066
463,0,1500,3805,10066
957,0,3000,3814,10066
