key,value,eventTime,arrivalTime,processedTime
1908,0,500,534,10054
1947,0,500,571,10054
1674,0,500,745,10054
517,0,500,809,10054
219,0,500,859,10054
254,0,500,903,10054
36,0,1000,1078,10054
627,0,1000,1084,10054
1401,0,500,1102,10054
435,0,1000,1105,10054
1552,0,500,1149,10054
1434,0,1000,1171,10054
717,0,1000,1220,10054
1930,0,500,1253,10054
968,0,1000,1301,10054
337,0,1000,1317,10054
826,0,500,1352,10054
1062,0,1000,1354,10054
1761,0,1000,1384,10054
1651,0,500,1387,10054
490,0,1000,1470,10054
5,0,1000,1502,10054
1323,0,1000,1519,10054
1856,0,1500,1561,10054
1111,0,1500,1587,10054
143,0,500,1647,10054
419,0,500,1686,10054
1101,0,500,1689,10054
524,0,500,1731,10054
163,0,1000,1761,10054
474,0,1000,1771,10054
246,0,500,1795,10054
1637,0,1000,1822,10054
1109,0,1500,1846,10054
1133,0,500,1860,10054
1259,0,1500,1895,10054
1357,0,1500,1911,10054
1889,0,500,1922,10054
1055,0,1500,1959,10054
539,0,1000,1961,10054
1462,0,1500,1984,10054
236,0,1000,2000,10054
512,0,1500,2010,10054
1709,0,500,2027,10054
729,0,2000,2127,10054
1101,0,500,2140,10054
1056,0,1000,2146,10054
1763,0,500,2184,10054
911,0,2000,2194,10054
220,0,1000,2201,10054
1191,0,2000,2208,10054
247,0,2000,2228,10054
1242,0,1000,2262,10054
234,0,500,2274,10054
106,0,500,2287,10054
954,0,500,2380,10054
259,0,2000,2472,10054
1084,0,500,2484,10054
27,0,500,2484,10054
713,0,1000,2509,10054
1153,0,1500,2540,10054
1494,0,2500,2561,10054
1168,0,2000,2567,10054
754,0,2000,2571,10054
91,0,500,2587,10054
868,0,2500,2600,10054
416,0,1500,2634,10054
1477,0,2000,2641,10054
360,0,2000,2649,10054
209,0,2500,2686,10054
1621,0,2500,2687,10054
1923,0,0,2731,10054
804,0,1000,2789,10054
1997,0,2000,2809,10054
1910,0,2000,2816,10054
217,0,1500,2825,10054
1778,0,1500,2831,10054
1450,0,2000,2897,10054
1908,0,2500,2902,10054
304,0,500,2919,10054
1307,0,2000,2937,10054
1427,0,2500,2955,10054
834,0,1000,2957,10054
1365,0,500,2973,10054
1763,0,3000,3013,10054
1966,0,2000,3089,10054
1297,0,1000,3098,10054
110,0,2500,3103,10054
592,0,500,3168,10054
1072,0,3000,3173,10054
504,0,3000,3180,10054
1809,0,2000,3211,10054
1468,0,1500,3216,10054
1168,0,1500,3218,10054
1631,0,1000,3218,10054
1449,0,1500,3224,10054
186,0,2000,3228,10054
711,0,2500,3282,10054
1772,0,2500,3283,10054
1069,0,1000,3285,10054
1432,0,2500,3293,10054
750,0,2500,3304,10054
57,0,500,3313,10054
1912,0,1000,3322,10054
127,0,3000,3323,10054
1395,0,500,3335,10054
1177,0,500,3339,10054
920,0,1000,3340,10054
1765,0,3000,3354,10054
1652,0,2000,3389,10054
715,0,1000,3393,10054
1718,0,3000,3426,10054
1024,0,500,3427,10054
1674,0,2000,3440,10054
763,0,3000,3454,10054
1851,0,1500,3467,10054
1877,0,500,3483,10054
819,0,500,3491,10054
1324,0,2500,3527,10054
1801,0,3500,3545,10054
197,0,2000,3591,10054
1083,0,2000,3595,10054
1051,0,1500,3606,10054
62,0,3500,3611,10054
1449,0,2500,3632,10054
585,0,2500,3636,10054
1658,0,3500,3693,10054
976,0,2000,3707,10054
554,0,3500,3779,10054
385,0,500,3780,10054
489,0,3500,3792,10054
1186,0,500,3795,10054
1789,0,2000,3797,10054
1677,0,2500,3802,10054
463,0,1500,3805,10054
957,0,3000,3814,10054
1090,0,1500,3843,10054
1585,0,1500,3844,10054
1830,0,2500,3886,10054
276,0,1000,3896,10054
1322,0,2500,3898,10054
1193,0,3000,3911,10054
439,0,3000,3914,10054
377,0,2500,3925,10054
1287,0,3500,3948,10054
1100,0,1000,3959,10054
1544,0,500,3959,10054
271,0,2500,3984,10054
480,0,3000,4000,10054
188,0,2500,4009,10054
709,0,1500,4020,10054
1029,0,4000,4029,10054
1868,0,1500,4037,10054
1590,0,3000,4040,10054
1865,0,1000,4055,10054
492,0,2000,4063,10054
320,0,1500,4071,10054
716,0,2000,4087,10054
1377,0,2000,4089,10054
1378,0,1000,4114,10054
416,0,3000,4123,10054
941,0,4000,4138,10054
1733,0,3500,4155,10054
1334,0,500,4166,10054
377,0,2500,4192,10054
1393,0,3000,4197,10054
568,0,500,4202,10054
1692,0,500,4231,10054
515,0,2000,4232,10054
436,0,4000,4237,10054
396,0,1000,4240,10054
1066,0,3500,4266,10054
1010,0,1500,4281,10054
769,0,1500,4281,10054
1430,0,2000,4289,10054
942,0,2500,4299,10054
590,0,4000,4301,10054
1286,0,2500,4305,10054
1967,0,4000,4319,10054
778,0,2000,4325,10054
332,0,1500,4333,10054
1064,0,1000,4357,10054
853,0,3000,4367,10054
1993,0,2500,4377,10054
