key,value,eventTime,arrivalTime,processedTime
1908,0,500,534,10056
1947,0,500,571,10056
1674,0,500,745,10056
517,0,500,809,10056
219,0,500,859,10056
254,0,500,903,10056
36,0,1000,1078,10056
627,0,1000,1084,10056
1401,0,500,1102,10056
435,0,1000,1105,10056
1552,0,500,1149,10056
1434,0,1000,1171,10056
717,0,1000,1220,10056
1930,0,500,1253,10056
968,0,1000,1301,10056
337,0,1000,1317,10056
826,0,500,1352,10056
1062,0,1000,1354,10056
1761,0,1000,1384,10056
1651,0,500,1387,10056
490,0,1000,1470,10056
5,0,1000,1502,10056
1323,0,1000,1519,10056
1856,0,1500,1561,10056
1111,0,1500,1587,10056
143,0,500,1647,10056
419,0,500,1686,10056
1101,0,500,1689,10056
524,0,500,1731,10056
163,0,1000,1761,10056
474,0,1000,1771,10056
246,0,500,1795,10056
1637,0,1000,1822,10056
1109,0,1500,1846,10056
1133,0,500,1860,10056
1259,0,1500,1895,10056
1357,0,1500,1911,10056
1889,0,500,1922,10056
1055,0,1500,1959,10056
539,0,1000,1961,10056
1462,0,1500,1984,10056
236,0,1000,2000,10056
512,0,1500,2010,10056
1709,0,500,2027,10056
729,0,2000,2127,10056
1101,0,500,2140,10056
1056,0,1000,2146,10056
1763,0,500,2184,10056
911,0,2000,2194,10056
220,0,1000,2201,10056
1191,0,2000,2208,10056
247,0,2000,2228,10056
1242,0,1000,2262,10056
234,0,500,2274,10056
106,0,500,2287,10056
954,0,500,2380,10056
259,0,2000,2472,10056
1084,0,500,2484,10056
27,0,500,2484,10056
713,0,1000,2509,10056
1153,0,1500,2540,10056
1494,0,2500,2561,10056
1168,0,2000,2567,10056
754,0,2000,2571,10056
91,0,500,2587,10056
868,0,2500,2600,10056
416,0,1500,2634,10056
1477,0,2000,2641,10056
360,0,2000,2649,10056
209,0,2500,2686,10056
1621,0,2500,2687,10056
1923,0,0,2731,10056
804,0,1000,2789,10056
1997,0,2000,2809,10056
1910,0,2000,2816,10056
217,0,1500,2825,10056
1778,0,1500,2831,10056
1450,0,2000,2897,10056
1908,0,2500,2902,10056
304,0,500,2919,10056
1307,0,2000,2937,10056
1427,0,2500,2955,10056
834,0,1000,2957,10056
1365,0,500,2973,10056
1763,0,3000,3013,10056
1966,0,2000,3089,10056
1297,0,1000,3098,10056
110,0,2500,3103,10056
592,0,500,3168,10056
1072,0,3000,3173,10056
504,0,3000,3180,10056
1809,0,2000,3211,10056
1468,0,1500,3216,10056
1168,0,1500,3218,10056
1631,0,1000,3218,10056
1449,0,1500,3224,10056
186,0,2000,3228,10056
711,0,2500,3282,10056
1772,0,2500,3283,10056
1069,0,1000,3285,10056
1432,0,2500,3293,10056
750,0,2500,3304,10056
57,0,500,3313,10056
1912,0,1000,3322,10056
127,0,3000,3323,10056
1395,0,500,3335,10056
1177,0,500,3339,10056
920,0,1000,3340,10056
1765,0,3000,3354,10056
1652,0,2000,3389,10056
715,0,1000,3393,10056
1718,0,3000,3426,10056
1024,0,500,3427,10056
1674,0,2000,3440,10056
763,0,3000,3454,10056
1851,0,1500,3467,10056
1877,0,500,3483,10056
819,0,500,3491,10056
1324,0,2500,3527,10056
1801,0,3500,3545,10056
197,0,2000,3591,10056
1083,0,2000,3595,10056
1051,0,1500,3606,10056
62,0,3500,3611,10056
1449,0,2500,3632,10056
585,0,2500,3636,10056
1658,0,3500,3693,10056
976,0,2000,3707,10056
554,0,3500,3779,10056
385,0,500,3780,10056
489,0,3500,3792,10056
1186,0,500,3795,10056
1789,0,2000,3797,10056
1677,0,2500,3802,10056
463,0,1500,3805,10056
957,0,3000,3814,10056
1090,0,1500,3843,10056
1585,0,1500,3844,10056
1830,0,2500,3886,10056
276,0,1000,3896,10056
1322,0,2500,3898,10056
1193,0,3000,3911,10056
439,0,3000,3914,10056
377,0,2500,3925,10056
1287,0,3500,3948,10056
1100,0,1000,3959,10056
1544,0,500,3959,10056
271,0,2500,3984,10056
480,0,3000,4000,10056
188,0,2500,4009,10056
709,0,1500,4020,10056
1029,0,4000,4029,10056
1868,0,1500,4037,10056
1590,0,3000,4040,10056
1865,0,1000,4055,10056
492,0,2000,4063,10056
320,0,1500,4071,10056
716,0,2000,4087,10056
1377,0,2000,4089,10056
1378,0,1000,4114,10056
416,0,3000,4123,10056
941,0,4000,4138,10056
1733,0,3500,4155,10056
1334,0,500,4166,10056
377,0,2500,4192,10056
1393,0,3000,4197,10056
568,0,500,4202,10056
1692,0,500,4231,10056
515,0,2000,4232,10056
436,0,4000,4237,10056
396,0,1000,4240,10056
1066,0,3500,4266,10056
1010,0,1500,4281,10056
769,0,1500,4281,10056
1430,0,2000,4289,10056
942,0,2500,4299,10056
590,0,4000,4301,10056
1286,0,2500,4305,10056
1967,0,4000,4319,10056
778,0,2000,4325,10056
332,0,1500,4333,10056
1064,0,1000,4357,10056
853,0,3000,4367,10056
1993,0,2500,4377,10056
1922,0,2500,4386,10056
1765,0,4000,4419,10056
1101,0,500,4429,10056
61,0,3000,4443,10056
1925,0,1000,4475,10056
1363,0,1500,4481,10056
580,0,500,4487,10056
809,0,2500,4489,10056
1615,0,3500,4493,10056
1036,0,1000,4497,10056
809,0,4000,4498,10056
1837,0,2000,4515,10056
1735,0,2500,4545,10056
145,0,4500,4553,10056
1587,0,2000,4566,10056
526,0,500,4588,10056
316,0,3000,4599,10056
251,0,2500,4615,10056
1505,0,4000,4623,10056
302,0,1500,4635,10056
521,0,2000,4643,10056
690,0,4500,4648,10056
564,0,3500,4655,10056
1706,0,2000,4660,10056
778,0,3000,4666,10056
535,0,4500,4700,10056
1506,0,4000,4716,10056
1830,0,3000,4744,10056
328,0,3500,4754,10056
706,0,3500,4767,10056
531,0,2000,4778,10056
695,0,1000,4794,10056
1508,0,4500,4806,10056
283,0,500,4813,10056
575,0,500,4835,10056
839,0,500,4854,10056
931,0,3000,4879,10056
1748,0,1500,4898,10056
1578,0,1000,4913,10056
1769,0,2500,4919,10056
1439,0,4000,4940,10056
839,0,3500,4962,10056
1651,0,2000,4973,10056
1972,0,2500,4978,10056
537,0,2500,5016,10056
1262,0,4500,5030,10056
1461,0,3500,5040,10056
1010,0,5000,5056,10056
1671,0,1000,5069,10056
17,0,4000,5081,10056
1841,0,5000,5128,10056
1132,0,5000,5141,10056
822,0,3000,5164,10056
316,0,1000,5180,10056
459,0,1500,5193,10056
165,0,1000,5195,10056
729,0,2000,5201,10056
684,0,4500,5208,10056
1322,0,2000,5215,10056
1441,0,4000,5226,10056
1372,0,3500,5231,10056
155,0,1500,5235,10056
1502,0,5000,5244,10056
846,0,4500,5248,10056
901,0,1000,5260,10056
1023,0,3500,5260,10056
276,0,4000,5303,10056
1696,0,2000,5303,10056
989,0,1000,5316,10056
1594,0,1500,5322,10056
773,0,500,5345,10056
524,0,500,5354,10056
357,0,2500,5376,10056
901,0,3500,5385,10056
561,0,2000,5396,10056
846,0,2000,5403,10056
1769,0,5000,5408,10056
1044,0,1000,5409,10056
382,0,3500,5411,10056
1616,0,2000,5425,10056
1481,0,2000,5428,10056
989,0,3000,5436,10056
854,0,4500,5440,10056
256,0,3500,5441,10056
20,0,4500,5444,10056
1307,0,2000,5447,10056
1809,0,1500,5471,10056
533,0,3500,5475,10056
247,0,3500,5482,10056
707,0,2500,5486,10056
831,0,1500,5493,10056
999,0,3000,5495,10056
574,0,2000,5521,10056
1472,0,2500,5538,10056
1791,0,1000,5543,10056
1769,0,5500,5550,10056
1537,0,1000,5555,10056
1302,0,2500,5556,10056
221,0,3500,5562,10056
862,0,1500,5569,10056
1031,0,5500,5580,10056
1434,0,5000,5599,10056
244,0,1000,5614,10056
1681,0,4000,5618,10056
263,0,5500,5628,10056
1868,0,1500,5633,10056
1900,0,4000,5652,10056
1635,0,3500,5690,10056
509,0,1500,5693,10056
1056,0,4500,5699,10056
848,0,2500,5721,10056
1309,0,3500,5736,10056
850,0,2000,5738,10056
1346,0,4000,5743,10056
