key,value,eventTime,arrivalTime,processedTime
1908,0,500,534,10063
1947,0,500,571,10063
1674,0,500,745,10063
517,0,500,809,10063
219,0,500,859,10063
254,0,500,903,10063
36,0,1000,1078,10063
627,0,1000,1084,10063
1401,0,500,1102,10063
435,0,1000,1105,10063
1552,0,500,1149,10063
1434,0,1000,1171,10063
717,0,1000,1220,10063
1930,0,500,1253,10063
968,0,1000,1301,10063
337,0,1000,1317,10063
826,0,500,1352,10063
1062,0,1000,1354,10063
1761,0,1000,1384,10063
1651,0,500,1387,10063
490,0,1000,1470,10063
5,0,1000,1502,10063
1323,0,1000,1519,10063
1856,0,1500,1561,10063
1111,0,1500,1587,10063
143,0,500,1647,10063
419,0,500,1686,10063
1101,0,500,1689,10063
524,0,500,1731,10063
163,0,1000,1761,10063
474,0,1000,1771,10063
246,0,500,1795,10063
1637,0,1000,1822,10063
1109,0,1500,1846,10063
1133,0,500,1860,10063
1259,0,1500,1895,10063
1357,0,1500,1911,10063
1889,0,500,1922,10063
1055,0,1500,1959,10063
539,0,1000,1961,10063
1462,0,1500,1984,10063
236,0,1000,2000,10063
512,0,1500,2010,10063
1709,0,500,2027,10063
729,0,2000,2127,10063
1101,0,500,2140,10063
1056,0,1000,2146,10063
1763,0,500,2184,10063
911,0,2000,2194,10063
220,0,1000,2201,10063
1191,0,2000,2208,10063
247,0,2000,2228,10063
1242,0,1000,2262,10063
234,0,500,2274,10063
106,0,500,2287,10063
954,0,500,2380,10063
259,0,2000,2472,10063
1084,0,500,2484,10063
27,0,500,2484,10063
713,0,1000,2509,10063
1153,0,1500,2540,10063
1494,0,2500,2561,10063
1168,0,2000,2567,10063
754,0,2000,2571,10063
91,0,500,2587,10063
868,0,2500,2600,10063
416,0,1500,2634,10063
1477,0,2000,2641,10063
360,0,2000,2649,10063
209,0,2500,2686,10063
1621,0,2500,2687,10063
1923,0,0,2731,10063
804,0,1000,2789,10063
1997,0,2000,2809,10063
1910,0,2000,2816,10063
217,0,1500,2825,10063
1778,0,1500,2831,10063
1450,0,2000,2897,10063
1908,0,2500,2902,10063
304,0,500,2919,10063
1307,0,2000,2937,10063
1427,0,2500,2955,10063
834,0,1000,2957,10063
1365,0,500,2973,10063
1763,0,3000,3013,10063
1966,0,2000,3089,10063
1297,0,1000,3098,10063
110,0,2500,3103,10063
592,0,500,3168,10063
1072,0,3000,3173,10063
504,0,3000,3180,10063
1809,0,2000,3211,10063
1468,0,1500,3216,10063
1168,0,1500,3218,10063
1631,0,1000,3218,10063
1449,0,1500,3224,10063
186,0,2000,3228,10063
711,0,2500,3282,10063
1772,0,2500,3283,10063
1069,0,1000,3285,10063
1432,0,2500,3293,10063
750,0,2500,3304,10063
57,0,500,3313,10063
1912,0,1000,3322,10063
127,0,3000,3323,10063
1395,0,500,3335,10063
1177,0,500,3339,10063
920,0,1000,3340,10063
1765,0,3000,3354,10063
1652,0,2000,3389,10063
715,0,1000,3393,10063
1718,0,3000,3426,10063
1024,0,500,3427,10063
1674,0,2000,3440,10063
763,0,3000,3454,10063
1851,0,1500,3467,10063
1877,0,500,3483,10063
819,0,500,3491,10063
1324,0,2500,3527,10063
1801,0,3500,3545,10063
197,0,2000,3591,10063
1083,0,2000,3595,10063
1051,0,1500,3606,10063
62,0,3500,3611,10063
1449,0,2500,3632,10063
585,0,2500,3636,10063
1658,0,3500,3693,10063
976,0,2000,3707,10063
554,0,3500,3779,10063
385,0,500,3780,10063
489,0,3500,3792,10063
1186,0,500,3795,10063
1789,0,2000,3797,10063
1677,0,2500,3802,10063
463,0,1500,3805,10063
957,0,3000,3814,10063
1090,0,1500,3843,10063
1585,0,1500,3844,10063
1830,0,2500,3886,10063
276,0,1000,3896,10063
1322,0,2500,3898,10063
1193,0,3000,3911,10063
439,0,3000,3914,10063
377,0,2500,3925,10063
1287,0,3500,3948,10063
1100,0,1000,3959,10063
1544,0,500,3959,10063
271,0,2500,3984,10063
480,0,3000,4000,10063
188,0,2500,4009,10063
709,0,1500,4020,10063
1029,0,4000,4029,10063
1868,0,1500,4037,10063
1590,0,3000,4040,10063
1865,0,1000,4055,10063
492,0,2000,4063,10063
320,0,1500,4071,10063
716,0,2000,4087,10063
1377,0,2000,4089,10063
1378,0,1000,4114,10063
416,0,3000,4123,10063
941,0,4000,4138,10063
1733,0,3500,4155,10063
1334,0,500,4166,10063
377,0,2500,4192,10063
1393,0,3000,4197,10063
568,0,500,4202,10063
1692,0,500,4231,10063
515,0,2000,4232,10063
436,0,4000,4237,10063
396,0,1000,4240,10063
1066,0,3500,4266,10063
1010,0,1500,4281,10063
769,0,1500,4281,10063
1430,0,2000,4289,10063
942,0,2500,4299,10063
590,0,4000,4301,10063
1286,0,2500,4305,10063
1967,0,4000,4319,10063
778,0,2000,4325,10063
332,0,1500,4333,10063
1064,0,1000,4357,10063
853,0,3000,4367,10063
1993,0,2500,4377,10063
1922,0,2500,4386,10063
1765,0,4000,4419,10063
1101,0,500,4429,10063
61,0,3000,4443,10063
1925,0,1000,4475,10063
1363,0,1500,4481,10063
580,0,500,4487,10063
809,0,2500,4489,10063
1615,0,3500,4493,10063
1036,0,1000,4497,10063
809,0,4000,4498,10063
1837,0,2000,4515,10063
1735,0,2500,4545,10063
145,0,4500,4553,10063
1587,0,2000,4566,10063
526,0,500,4588,10063
316,0,3000,4599,10063
251,0,2500,4615,10063
1505,0,4000,4623,10063
302,0,1500,4635,10063
521,0,2000,4643,10063
690,0,4500,4648,10063
564,0,3500,4655,10063
1706,0,2000,4660,10063
778,0,3000,4666,10063
535,0,4500,4700,10063
1506,0,4000,4716,10063
1830,0,3000,4744,10063
328,0,3500,4754,10063
706,0,3500,4767,10063
531,0,2000,4778,10063
695,0,1000,4794,10063
1508,0,4500,4806,10063
283,0,500,4813,10063
575,0,500,4835,10063
839,0,500,4854,10063
931,0,3000,4879,10063
1748,0,1500,4898,10063
1578,0,1000,4913,10063
1769,0,2500,4919,10063
1439,0,4000,4940,10063
839,0,3500,4962,10063
1651,0,2000,4973,10063
1972,0,2500,4978,10063
537,0,2500,5016,10063
1262,0,4500,5030,10063
1461,0,3500,5040,10063
1010,0,5000,5056,10063
1671,0,1000,5069,10063
17,0,4000,5081,10063
1841,0,5000,5128,10063
1132,0,5000,5141,10063
