key,value,eventTime,arrivalTime,processedTime
55,46,500,794,10048
1,844,500,810,10048
63,32,500,828,10048
36,4,500,860,10048
100,354,500,955,10048
34,38,500,961,10048
1,149,500,1019,10048
35,198,500,1072,10048
29,884,1000,1077,10048
7,319,1000,1205,10048
9,377,500,1242,10048
59,76,1000,1276,10048
1,510,500,1284,10048
1,425,500,1339,10048
31,80,1000,1387,10048
79,22,1500,1524,10048
25,949,1000,1549,10048
48,13,1500,1551,10048
17,11,1000,1553,10048
4,112,1000,1614,10048
30,649,1000,1626,10048
1,399,500,1643,10048
57,1,1000,1646,10048
1,825,1500,1719,10048
27,12,1000,1721,10048
1,847,1500,1728,10048
4,121,1500,1772,10048
55,386,1500,1775,10048
11,329,500,1791,10048
1,252,1000,1793,10048
7,22,1500,1798,10048
63,104,1000,1802,10048
1,369,500,1882,10048
17,160,1500,1915,10048
15,233,1000,1971,10048
2,198,1500,1995,10048
19,757,1000,2008,10048
5,42,500,2027,10048
30,404,1500,2068,10048
7,1,1000,2175,10048
3,124,500,2193,10048
64,346,2000,2267,10048
1,408,2000,2299,10048
21,243,1500,2308,10048
7,150,1500,2360,10048
12,49,2000,2410,10048
16,399,500,2418,10048
2,590,500,2423,10048
2,189,1000,2490,10048
20,486,1000,2490,10048
94,703,1000,2526,10048
17,114,2500,2534,10048
4,606,500,2556,10048
6,925,1000,2636,10048
2,435,1500,2667,10048
5,779,2500,2670,10048
7,175,1000,2730,10048
8,75,500,2758,10048
1,146,2500,2771,10048
51,6,1500,2786,10048
1,509,1000,2794,10048
2,812,2000,2824,10048
6,823,500,2867,10048
2,2,500,2888,10048
7,323,2000,2903,10048
56,203,500,2907,10048
4,359,500,2925,10048
7,50,2500,2937,10048
1,15,1500,2996,10048
1,137,0,3012,10048
52,51,2000,3058,10048
1,912,500,3105,10048
4,221,500,3117,10048
25,817,1000,3123,10048
3,18,500,3139,10048
24,558,2500,3142,10048
27,39,3000,3171,10048
7,157,1000,3186,10048
22,14,2500,3203,10048
11,320,1000,3225,10048
