key,value,eventTime,arrivalTime,processedTime
68,46,500,794,10050
1,844,500,810,10050
75,32,500,828,10050
51,4,500,860,10050
100,354,500,955,10050
48,38,500,961,10050
1,149,500,1019,10050
49,198,500,1072,10050
44,884,1000,1077,10050
13,319,1000,1205,10050
16,377,500,1242,10050
71,76,1000,1276,10050
2,510,500,1284,10050
1,425,500,1339,10050
46,80,1000,1387,10050
86,22,1500,1524,10050
38,949,1000,1549,10050
62,13,1500,1551,10050
29,11,1000,1553,10050
7,112,1000,1614,10050
44,649,1000,1626,10050
2,399,500,1643,10050
70,1,1000,1646,10050
1,825,1500,1719,10050
41,12,1000,1721,10050
1,847,1500,1728,10050
7,121,1500,1772,10050
68,386,1500,1775,10050
20,329,500,1791,10050
1,252,1000,1793,10050
14,22,1500,1798,10050
75,104,1000,1802,10050
2,369,500,1882,10050
29,160,1500,1915,10050
27,233,1000,1971,10050
4,198,1500,1995,10050
32,757,1000,2008,10050
9,42,500,2027,10050
44,404,1500,2068,10050
14,1,1000,2175,10050
7,124,500,2193,10050
75,346,2000,2267,10050
1,408,2000,2299,10050
34,243,1500,2308,10050
14,150,1500,2360,10050
22,49,2000,2410,10050
28,399,500,2418,10050
4,590,500,2423,10050
3,189,1000,2490,10050
33,486,1000,2490,10050
96,703,1000,2526,10050
29,114,2500,2534,10050
9,606,500,2556,10050
11,925,1000,2636,10050
4,435,1500,2667,10050
10,779,2500,2670,10050
13,175,1000,2730,10050
16,75,500,2758,10050
2,146,2500,2771,10050
65,6,1500,2786,10050
1,509,1000,2794,10050
4,812,2000,2824,10050
12,823,500,2867,10050
5,2,500,2888,10050
13,323,2000,2903,10050
69,203,500,2907,10050
7,359,500,2925,10050
13,50,2500,2937,10050
1,15,1500,2996,10050
2,137,0,3012,10050
66,51,2000,3058,10050
1,912,500,3105,10050
8,221,500,3117,10050
38,817,1000,3123,10050
6,18,500,3139,10050
38,558,2500,3142,10050
41,39,3000,3171,10050
14,157,1000,3186,10050
35,14,2500,3203,10050
20,320,1000,3225,10050
1,364,1500,3226,10050
23,854,2500,3231,10050
6,19,3000,3238,10050
20,1,2500,3249,10050
1,282,500,3254,10050
9,251,1500,3277,10050
97,992,2500,3279,10050
6,541,2000,3309,10050
48,119,1500,3327,10050
8,221,2500,3342,10050
7,87,2000,3345,10050
21,543,2000,3364,10050
5,282,1500,3369,10050
1,189,1500,3380,10050
12,387,1500,3401,10050
24,56,1500,3413,10050
1,734,1500,3427,10050
2,107,1000,3444,10050
16,251,2000,3490,10050
3,147,2000,3506,10050
15,21,1500,3508,10050
76,1,2500,3514,10050
3,205,3500,3533,10050
40,180,2500,3540,10050
79,143,2000,3553,10050
97,150,3500,3553,10050
27,419,2000,3557,10050
22,6,1000,3566,10050
57,30,2500,3571,10050
11,171,500,3578,10050
6,672,3500,3590,10050
17,14,1000,3590,10050
3,782,3500,3605,10050
15,257,2500,3616,10050
65,369,500,3654,10050
28,498,1500,3672,10050
51,44,1500,3681,10050
86,379,2500,3697,10050
41,318,3500,3721,10050
74,496,2000,3724,10050
1,176,3000,3725,10050
1,646,500,3729,10050
4,999,3000,3756,10050
33,42,500,3756,10050
93,80,3000,3768,10050
4,159,500,3782,10050
18,89,500,3783,10050
78,238,3000,3785,10050
67,66,1500,3789,10050
37,988,1000,3790,10050
3,533,1500,3817,10050
2,779,3000,3837,10050
10,493,2000,3852,10050
1,285,1000,3881,10050
12,973,3000,3914,10050
11,190,2000,3926,10050
1,739,1000,3930,10050
34,538,3000,3932,10050
10,1,2500,3937,10050
12,338,500,3938,10050
69,404,3500,3941,10050
4,430,3500,3941,10050
3,166,2000,3953,10050
23,2,500,3956,10050
1,83,2500,3963,10050
41,176,500,3983,10050
36,819,1500,3984,10050
7,28,1500,4010,10050
37,138,1500,4042,10050
80,38,3500,4049,10050
98,382,4000,4062,10050
26,397,500,4070,10050
22,219,500,4100,10050
11,180,3000,4121,10050
2,961,4000,4129,10050
14,617,2000,4140,10050
14,29,1500,4159,10050
24,42,2000,4177,10050
94,958,4000,4178,10050
7,64,3000,4184,10050
7,37,1500,4191,10050
47,126,1000,4201,10050
19,352,1000,4204,10050
66,276,3000,4207,10050
32,300,2500,4210,10050
1,196,4000,4249,10050
17,50,4000,4288,10050
55,599,2000,4289,10050
5,228,1500,4300,10050
51,256,3000,4302,10050
9,938,4000,4307,10050
26,84,2000,4308,10050
13,326,2000,4309,10050
78,7,1000,4313,10050
73,413,2500,4319,10050
2,804,1000,4370,10050
2,380,2000,4398,10050
3,817,3500,4399,10050
10,838,3500,4422,10050
2,354,2000,4428,10050
1,371,3000,4460,10050
48,130,2500,4489,10050
2,740,1500,4490,10050
2,108,1500,4505,10050
2,795,1000,4509,10050
5,81,500,4550,10050
19,64,2000,4559,10050
51,741,2500,4561,10050
13,109,500,4581,10050
1,207,1000,4601,10050
4,331,1500,4609,10050
15,397,1500,4629,10050
6,954,4500,4632,10050
4,442,1000,4661,10050
7,118,3500,4682,10050
47,533,3500,4683,10050
4,112,500,4694,10050
7,78,2500,4707,10050
1,62,3500,4707,10050
1,277,2000,4709,10050
34,325,4500,4710,10050
37,430,1500,4715,10050
12,100,2500,4715,10050
3,640,2000,4728,10050
9,429,1500,4729,10050
3,118,3000,4734,10050
37,22,3500,4759,10050
9,699,3000,4771,10050
8,166,2000,4790,10050
89,3,1000,4799,10050
15,138,500,4802,10050
3,253,4500,4804,10050
11,68,2500,4843,10050
20,295,1000,4874,10050
80,198,500,4884,10050
11,20,2000,4894,10050
83,148,4000,4943,10050
26,22,1000,4962,10050
7,288,2000,4976,10050
24,312,4500,5003,10050
3,131,500,5005,10050
12,43,1000,5006,10050
13,1,3500,5012,10050
53,314,4500,5016,10050
13,728,2000,5033,10050
1,636,4500,5034,10050
3,163,1500,5048,10050
15,503,2500,5052,10050
1,14,500,5055,10050
18,400,1000,5059,10050
1,60,500,5067,10050
13,607,2000,5067,10050
15,42,2000,5071,10050
6,107,3000,5087,10050
4,243,4500,5091,10050
6,882,4500,5092,10050
4,138,500,5094,10050
5,625,500,5106,10050
15,842,5000,5115,10050
1,286,2500,5164,10050
27,169,4500,5168,10050
12,170,4500,5183,10050
12,60,3500,5187,10050
41,59,4000,5190,10050
97,129,3000,5192,10050
7,931,4000,5205,10050
3,62,3000,5216,10050
3,28,3500,5217,10050
48,745,500,5221,10050
33,57,4000,5234,10050
18,73,4000,5243,10050
4,743,1000,5249,10050
9,221,4000,5263,10050
2,283,3000,5273,10050
39,378,4500,5281,10050
12,12,3000,5282,10050
2,432,2500,5299,10050
13,840,4000,5300,10050
12,671,2000,5302,10050
30,912,5000,5321,10050
13,56,4500,5321,10050
30,160,1500,5324,10050
32,485,3000,5336,10050
31,113,1000,5352,10050
35,576,2500,5356,10050
3,146,1500,5393,10050
3,416,4000,5398,10050
1,255,3000,5416,10050
21,260,2500,5419,10050
4,154,4000,5421,10050
83,276,2000,5434,10050
3,153,2000,5442,10050
47,988,4500,5456,10050
6,801,5000,5462,10050
21,207,4500,5466,10050
10,271,3500,5496,10050
17,479,5500,5506,10050
35,1,3000,5515,10050
98,692,3500,5520,10050
1,662,1500,5524,10050
3,98,5000,5531,10050
8,55,2000,5532,10050
2,715,4500,5547,10050
1,107,1000,5557,10050
17,635,4500,5589,10050
6,877,4500,5594,10050
2,5,5500,5601,10050
1,348,5000,5606,10050
10,15,5000,5611,10050
1,747,5500,5619,10050
5,723,5000,5626,10050
1,396,4000,5632,10050
2,630,5000,5638,10050
5,109,2000,5641,10050
19,206,4000,5652,10050
1,191,4500,5662,10050
