key,value,eventTime,arrivalTime,processedTime
83,46,500,794,10039
2,844,500,810,10039
87,32,500,828,10039
71,4,500,860,10039
100,354,500,955,10039
69,38,500,961,10039
1,149,500,1019,10039
70,198,500,1072,10039
66,884,1000,1077,10039
31,319,1000,1205,10039
37,377,500,1242,10039
85,76,1000,1276,10039
5,510,500,1284,10039
3,425,500,1339,10039
67,80,1000,1387,10039
93,22,1500,1524,10039
61,949,1000,1549,10039
79,13,1500,1551,10039
52,11,1000,1553,10039
21,112,1000,1614,10039
66,649,1000,1626,10039
8,399,500,1643,10039
84,1,1000,1646,10039
1,825,1500,1719,10039
64,12,1000,1721,10039
4,847,1500,1728,10039
20,121,1500,1772,10039
82,386,1500,1775,10039
42,329,500,1791,10039
2,252,1000,1793,10039
34,22,1500,1798,10039
87,104,1000,1802,10039
7,369,500,1882,10039
52,160,1500,1915,10039
50,233,1000,1971,10039
13,198,1500,1995,10039
55,757,1000,2008,10039
26,42,500,2027,10039
66,404,1500,2068,10039
33,1,1000,2175,10039
20,124,500,2193,10039
87,346,2000,2267,10039
2,408,2000,2299,10039
57,243,1500,2308,10039
34,150,1500,2360,10039
44,49,2000,2410,10039
51,399,500,2418,10039
13,590,500,2423,10039
11,189,1000,2490,10039
56,486,1000,2490,10039
98,703,1000,2526,10039
52,114,2500,2534,10039
24,606,500,2556,10039
29,925,1000,2636,10039
15,435,1500,2667,10039
26,779,2500,2670,10039
32,175,1000,2730,10039
36,75,500,2758,10039
6,146,2500,2771,10039
81,6,1500,2786,10039
1,509,1000,2794,10039
14,812,2000,2824,10039
31,823,500,2867,10039
15,2,500,2888,10039
32,323,2000,2903,10039
83,203,500,2907,10039
22,359,500,2925,10039
32,50,2500,2937,10039
2,15,1500,2996,10039
5,137,0,3012,10039
81,51,2000,3058,10039
4,912,500,3105,10039
24,221,500,3117,10039
61,817,1000,3123,10039
18,18,500,3139,10039
60,558,2500,3142,10039
63,39,3000,3171,10039
33,157,1000,3186,10039
58,14,2500,3203,10039
42,320,1000,3225,10039
2,364,1500,3226,10039
46,854,2500,3231,10039
18,19,3000,3238,10039
42,1,2500,3249,10039
1,282,500,3254,10039
25,251,1500,3277,10039
99,992,2500,3279,10039
18,541,2000,3309,10039
69,119,1500,3327,10039
23,221,2500,3342,10039
21,87,2000,3345,10039
43,543,2000,3364,10039
16,282,1500,3369,10039
2,189,1500,3380,10039
31,387,1500,3401,10039
47,56,1500,3413,10039
3,734,1500,3427,10039
5,107,1000,3444,10039
37,251,2000,3490,10039
10,147,2000,3506,10039
34,21,1500,3508,10039
87,1,2500,3514,10039
9,205,3500,3533,10039
62,180,2500,3540,10039
89,143,2000,3553,10039
99,150,3500,3553,10039
50,419,2000,3557,10039
45,6,1000,3566,10039
76,30,2500,3571,10039
29,171,500,3578,10039
19,672,3500,3590,10039
38,14,1000,3590,10039
12,782,3500,3605,10039
35,257,2500,3616,10039
81,369,500,3654,10039
51,498,1500,3672,10039
71,44,1500,3681,10039
93,379,2500,3697,10039
63,318,3500,3721,10039
86,496,2000,3724,10039
4,176,3000,3725,10039
3,646,500,3729,10039
12,999,3000,3756,10039
57,42,500,3756,10039
97,80,3000,3768,10039
12,159,500,3782,10039
40,89,500,3783,10039
89,238,3000,3785,10039
82,66,1500,3789,10039
60,988,1000,3790,10039
11,533,1500,3817,10039
6,779,3000,3837,10039
27,493,2000,3852,10039
3,285,1000,3881,10039
30,973,3000,3914,10039
29,190,2000,3926,10039
1,739,1000,3930,10039
57,538,3000,3932,10039
27,1,2500,3937,10039
30,338,500,3938,10039
83,404,3500,3941,10039
12,430,3500,3941,10039
10,166,2000,3953,10039
46,2,500,3956,10039
4,83,2500,3963,10039
64,176,500,3983,10039
59,819,1500,3984,10039
22,28,1500,4010,10039
59,138,1500,4042,10039
90,38,3500,4049,10039
99,382,4000,4062,10039
49,397,500,4070,10039
45,219,500,4100,10039
29,180,3000,4121,10039
7,961,4000,4129,10039
33,617,2000,4140,10039
