key,value,eventTime,arrivalTime,processedTime
83,46,500,794,10051
2,844,500,810,10051
87,32,500,828,10051
71,4,500,860,10051
100,354,500,955,10051
69,38,500,961,10051
1,149,500,1019,10051
70,198,500,1072,10051
66,884,1000,1077,10051
31,319,1000,1205,10051
37,377,500,1242,10051
85,76,1000,1276,10051
5,510,500,1284,10051
3,425,500,1339,10051
67,80,1000,1387,10051
93,22,1500,1524,10051
61,949,1000,1549,10051
79,13,1500,1551,10051
52,11,1000,1553,10051
21,112,1000,1614,10051
66,649,1000,1626,10051
8,399,500,1643,10051
84,1,1000,1646,10051
1,825,1500,1719,10051
64,12,1000,1721,10051
4,847,1500,1728,10051
20,121,1500,1772,10051
82,386,1500,1775,10051
42,329,500,1791,10051
2,252,1000,1793,10051
34,22,1500,1798,10051
87,104,1000,1802,10051
7,369,500,1882,10051
52,160,1500,1915,10051
50,233,1000,1971,10051
13,198,1500,1995,10051
55,757,1000,2008,10051
26,42,500,2027,10051
66,404,1500,2068,10051
33,1,1000,2175,10051
20,124,500,2193,10051
87,346,2000,2267,10051
2,408,2000,2299,10051
57,243,1500,2308,10051
34,150,1500,2360,10051
44,49,2000,2410,10051
51,399,500,2418,10051
13,590,500,2423,10051
11,189,1000,2490,10051
56,486,1000,2490,10051
98,703,1000,2526,10051
52,114,2500,2534,10051
24,606,500,2556,10051
29,925,1000,2636,10051
15,435,1500,2667,10051
26,779,2500,2670,10051
32,175,1000,2730,10051
36,75,500,2758,10051
6,146,2500,2771,10051
81,6,1500,2786,10051
1,509,1000,2794,10051
14,812,2000,2824,10051
31,823,500,2867,10051
15,2,500,2888,10051
32,323,2000,2903,10051
83,203,500,2907,10051
22,359,500,2925,10051
32,50,2500,2937,10051
2,15,1500,2996,10051
5,137,0,3012,10051
81,51,2000,3058,10051
4,912,500,3105,10051
24,221,500,3117,10051
61,817,1000,3123,10051
18,18,500,3139,10051
60,558,2500,3142,10051
63,39,3000,3171,10051
33,157,1000,3186,10051
58,14,2500,3203,10051
42,320,1000,3225,10051
2,364,1500,3226,10051
46,854,2500,3231,10051
18,19,3000,3238,10051
42,1,2500,3249,10051
1,282,500,3254,10051
25,251,1500,3277,10051
99,992,2500,3279,10051
18,541,2000,3309,10051
69,119,1500,3327,10051
23,221,2500,3342,10051
21,87,2000,3345,10051
43,543,2000,3364,10051
16,282,1500,3369,10051
2,189,1500,3380,10051
31,387,1500,3401,10051
47,56,1500,3413,10051
3,734,1500,3427,10051
5,107,1000,3444,10051
37,251,2000,3490,10051
10,147,2000,3506,10051
34,21,1500,3508,10051
87,1,2500,3514,10051
9,205,3500,3533,10051
62,180,2500,3540,10051
89,143,2000,3553,10051
99,150,3500,3553,10051
50,419,2000,3557,10051
45,6,1000,3566,10051
76,30,2500,3571,10051
29,171,500,3578,10051
19,672,3500,3590,10051
38,14,1000,3590,10051
12,782,3500,3605,10051
35,257,2500,3616,10051
81,369,500,3654,10051
51,498,1500,3672,10051
71,44,1500,3681,10051
93,379,2500,3697,10051
63,318,3500,3721,10051
86,496,2000,3724,10051
4,176,3000,3725,10051
3,646,500,3729,10051
12,999,3000,3756,10051
57,42,500,3756,10051
97,80,3000,3768,10051
12,159,500,3782,10051
40,89,500,3783,10051
89,238,3000,3785,10051
82,66,1500,3789,10051
60,988,1000,3790,10051
11,533,1500,3817,10051
6,779,3000,3837,10051
27,493,2000,3852,10051
3,285,1000,3881,10051
30,973,3000,3914,10051
29,190,2000,3926,10051
1,739,1000,3930,10051
57,538,3000,3932,10051
27,1,2500,3937,10051
30,338,500,3938,10051
83,404,3500,3941,10051
12,430,3500,3941,10051
10,166,2000,3953,10051
46,2,500,3956,10051
4,83,2500,3963,10051
64,176,500,3983,10051
59,819,1500,3984,10051
22,28,1500,4010,10051
59,138,1500,4042,10051
90,38,3500,4049,10051
99,382,4000,4062,10051
49,397,500,4070,10051
45,219,500,4100,10051
29,180,3000,4121,10051
7,961,4000,4129,10051
33,617,2000,4140,10051
33,29,1500,4159,10051
47,42,2000,4177,10051
97,958,4000,4178,10051
21,64,3000,4184,10051
22,37,1500,4191,10051
68,126,1000,4201,10051
41,352,1000,4204,10051
81,276,3000,4207,10051
55,300,2500,4210,10051
1,196,4000,4249,10051
38,50,4000,4288,10051
74,599,2000,4289,10051
15,228,1500,4300,10051
71,256,3000,4302,10051
25,938,4000,4307,10051
49,84,2000,4308,10051
32,326,2000,4309,10051
89,7,1000,4313,10051
86,413,2500,4319,10051
8,804,1000,4370,10051
5,380,2000,4398,10051
9,817,3500,4399,10051
28,838,3500,4422,10051
8,354,2000,4428,10051
2,371,3000,4460,10051
68,130,2500,4489,10051
6,740,1500,4490,10051
5,108,1500,4505,10051
6,795,1000,4509,10051
15,81,500,4550,10051
41,64,2000,4559,10051
71,741,2500,4561,10051
31,109,500,4581,10051
1,207,1000,4601,10051
13,331,1500,4609,10051
35,397,1500,4629,10051
19,954,4500,4632,10051
12,442,1000,4661,10051
21,118,3500,4682,10051
68,533,3500,4683,10051
14,112,500,4694,10051
22,78,2500,4707,10051
2,62,3500,4707,10051
3,277,2000,4709,10051
57,325,4500,4710,10051
60,430,1500,4715,10051
30,100,2500,4715,10051
10,640,2000,4728,10051
25,429,1500,4729,10051
9,118,3000,4734,10051
60,22,3500,4759,10051
25,699,3000,4771,10051
24,166,2000,4790,10051
94,3,1000,4799,10051
35,138,500,4802,10051
11,253,4500,4804,10051
29,68,2500,4843,10051
42,295,1000,4874,10051
90,198,500,4884,10051
28,20,2000,4894,10051
91,148,4000,4943,10051
49,22,1000,4962,10051
21,288,2000,4976,10051
47,312,4500,5003,10051
10,131,500,5005,10051
30,43,1000,5006,10051
32,1,3500,5012,10051
73,314,4500,5016,10051
32,728,2000,5033,10051
3,636,4500,5034,10051
11,163,1500,5048,10051
36,503,2500,5052,10051
5,14,500,5055,10051
39,400,1000,5059,10051
1,60,500,5067,10051
33,607,2000,5067,10051
36,42,2000,5071,10051
19,107,3000,5087,10051
13,243,4500,5091,10051
18,882,4500,5092,10051
15,138,500,5094,10051
16,625,500,5106,10051
35,842,5000,5115,10051
1,286,2500,5164,10051
50,169,4500,5168,10051
31,170,4500,5183,10051
31,60,3500,5187,10051
63,59,4000,5190,10051
99,129,3000,5192,10051
22,931,4000,5205,10051
10,62,3000,5216,10051
9,28,3500,5217,10051
69,745,500,5221,10051
56,57,4000,5234,10051
39,73,4000,5243,10051
14,743,1000,5249,10051
24,221,4000,5263,10051
8,283,3000,5273,10051
61,378,4500,5281,10051
30,12,3000,5282,10051
6,432,2500,5299,10051
32,840,4000,5300,10051
30,671,2000,5302,10051
53,912,5000,5321,10051
31,56,4500,5321,10051
53,160,1500,5324,10051
55,485,3000,5336,10051
54,113,1000,5352,10051
58,576,2500,5356,10051
10,146,1500,5393,10051
10,416,4000,5398,10051
1,255,3000,5416,10051
43,260,2500,5419,10051
13,154,4000,5421,10051
91,276,2000,5434,10051
10,153,2000,5442,10051
68,988,4500,5456,10051
18,801,5000,5462,10051
43,207,4500,5466,10051
27,271,3500,5496,10051
38,479,5500,5506,10051
58,1,3000,5515,10051
99,692,3500,5520,10051
3,662,1500,5524,10051
11,98,5000,5531,10051
22,55,2000,5532,10051
7,715,4500,5547,10051
1,107,1000,5557,10051
38,635,4500,5589,10051
20,877,4500,5594,10051
6,5,5500,5601,10051
4,348,5000,5606,10051
28,15,5000,5611,10051
1,747,5500,5619,10051
15,723,5000,5626,10051
1,396,4000,5632,10051
5,630,5000,5638,10051
16,109,2000,5641,10051
41,206,4000,5652,10051
4,191,4500,5662,10051
93,504,4500,5679,10051
84,359,4000,5689,10051
17,630,4500,5689,10051
58,16,4000,5691,10051
73,169,3000,5723,10051
27,242,4500,5728,10051
53,577,3500,5741,10051
53,938,1500,5750,10051
14,100,4000,5772,10051
1,187,1000,5798,10051
6,584,3500,5812,10051
67,271,1000,5824,10051
44,153,1500,5841,10051
57,90,3500,5847,10051
35,1,5500,5861,10051
61,672,3500,5870,10051
49,507,2500,5879,10051
6,178,1000,5880,10051
13,81,2500,5887,10051
15,37,2500,5887,10051
98,211,3500,5917,10051
24,597,3000,5917,10051
42,62,2000,5920,10051
92,35,3000,5923,10051
95,922,1000,5933,10051
14,678,2000,5949,10051
40,974,4500,5949,10051
54,725,4500,5970,10051
39,91,4500,5978,10051
8,834,1000,5995,10051
62,67,1500,6002,10051
35,740,1500,6004,10051
33,328,6000,6010,10051
3,131,2500,6031,10051
6,894,4000,6033,10051
97,125,6000,6043,10051
22,365,2500,6043,10051
94,5,4500,6076,10051
25,130,3500,6079,10051
53,550,6000,6085,10051
72,479,1500,6097,10051
4,414,3000,6106,10051
38,5,5500,6141,10051
80,32,1500,6151,10051
53,373,3500,6165,10051
62,440,4500,6174,10051
67,379,6000,6179,10051
17,153,5500,6202,10051
13,123,2500,6203,10051
50,32,5500,6203,10051
18,339,2000,6208,10051
84,349,3000,6221,10051
59,929,4500,6232,10051
10,774,6000,6234,10051
37,254,2000,6242,10051
27,339,3000,6250,10051
10,464,5500,6317,10051
30,111,6000,6327,10051
65,55,5000,6337,10051
24,106,5000,6347,10051
32,401,2500,6350,10051
59,42,2000,6355,10051
8,682,2500,6357,10051
49,59,2000,6370,10051
72,847,5500,6382,10051
25,88,2000,6403,10051
12,29,6000,6407,10051
57,236,5000,6408,10051
72,531,3000,6410,10051
30,449,2000,6415,10051
71,847,3500,6420,10051
32,62,6000,6431,10051
42,873,5000,6458,10051
27,261,6000,6479,10051
8,232,6000,6482,10051
66,459,2500,6496,10051
90,12,6500,6501,10051
55,2,5000,6506,10051
95,218,4500,6519,10051
25,415,4000,6530,10051
69,272,5500,6531,10051
46,223,6000,6534,10051
34,889,4000,6555,10051
82,726,3500,6564,10051
46,522,6000,6576,10051
50,493,3500,6601,10051
1,431,2000,6615,10051
34,384,6500,6617,10051
17,333,3000,6621,10051
93,137,2500,6623,10051
68,848,3500,6632,10051
73,108,3000,6634,10051
3,114,4000,6636,10051
52,3,4000,6654,10051
33,95,5500,6660,10051
30,345,5000,6664,10051
56,21,4500,6673,10051
79,948,3000,6678,10051
66,57,3500,6702,10051
54,774,3000,6726,10051
10,973,5000,6739,10051
6,16,5500,6749,10051
48,131,5000,6756,10051
1,898,6000,6775,10051
91,157,5500,6775,10051
77,53,4500,6777,10051
22,805,4500,6796,10051
56,971,2000,6814,10051
11,87,2500,6820,10051
37,98,2500,6826,10051
26,322,3000,6835,10051
6,9,5500,6847,10051
46,487,3000,6858,10051
4,476,6000,6878,10051
1,594,2000,6881,10051
55,605,5500,6901,10051
2,520,2500,6914,10051
31,604,5000,6918,10051
2,141,2000,6930,10051
18,344,6500,6961,10051
52,8,2500,6964,10051
84,944,4500,6966,10051
57,389,2500,6967,10051
13,929,4000,6967,10051
45,7,3500,6998,10051
22,389,6500,7014,10051
65,20,7000,7019,10051
51,2,7000,7024,10051
16,65,5000,7025,10051
64,28,2500,7026,10051
73,880,5500,7047,10051
24,322,5500,7059,10051
53,607,6000,7066,10051
95,218,4500,7071,10051
12,387,2500,7075,10051
59,221,6000,7084,10051
49,360,2500,7093,10051
66,130,7000,7107,10051
44,289,2500,7112,10051
1,140,3000,7114,10051
32,927,3000,7118,10051
37,214,7000,7126,10051
34,2,2500,7131,10051
66,73,5000,7133,10051
75,988,4000,7134,10051
79,806,3000,7138,10051
2,882,7000,7140,10051
47,870,4000,7147,10051
20,372,3500,7155,10051
43,159,7000,7186,10051
34,42,4000,7195,10051
90,627,7000,7205,10051
53,25,5500,7228,10051
5,711,3000,7250,10051
11,102,7000,7259,10051
12,397,7000,7263,10051
36,2,5500,7265,10051
63,933,3500,7267,10051
34,49,3500,7293,10051
65,840,3500,7303,10051
32,821,4000,7312,10051
19,286,4500,7315,10051
39,114,7000,7328,10051
9,322,5000,7347,10051
37,319,4000,7361,10051
84,21,4500,7375,10051
86,16,3500,7378,10051
27,7,4000,7379,10051
3,60,3500,7397,10051
71,428,5000,7399,10051
3,33,5000,7412,10051
84,647,2500,7419,10051
41,429,5000,7429,10051
15,451,5000,7458,10051
42,128,3000,7485,10051
10,772,5500,7492,10051
49,666,3000,7511,10051
50,157,6000,7545,10051
17,628,7500,7551,10051
9,188,4000,7560,10051
20,431,4500,7563,10051
29,715,5500,7564,10051
68,647,4000,7566,10051
30,253,5000,7582,10051
8,201,6500,7591,10051
67,359,4500,7593,10051
4,33,3000,7596,10051
100,119,6000,7611,10051
50,7,3000,7612,10051
4,86,6500,7614,10051
52,955,6500,7634,10051
47,466,4500,7650,10051
10,801,5500,7656,10051
93,508,3500,7676,10051
95,228,5500,7689,10051
27,857,4500,7693,10051
69,244,4500,7712,10051
19,571,5000,7722,10051
48,657,5500,7724,10051
2,802,5500,7739,10051
21,402,7000,7748,10051
24,63,3000,7752,10051
10,82,7000,7756,10051
33,528,3500,7756,10051
45,523,5000,7770,10051
67,79,4500,7772,10051
36,421,5000,7786,10051
12,1,5500,7820,10051
37,183,4000,7824,10051
58,674,3000,7829,10051
79,143,5000,7834,10051
44,2,5500,7850,10051
86,813,6000,7873,10051
52,625,3000,7888,10051
8,417,7500,7892,10051
33,473,7500,7913,10051
3,9,3000,7925,10051
24,629,4000,7929,10051
16,893,5500,7945,10051
87,1,3000,7948,10051
46,649,6000,7950,10051
4,139,7000,7986,10051
99,161,3500,8006,10051
22,96,3500,8011,10051
65,665,5500,8028,10051
56,86,8000,8040,10051
1,71,6000,8065,10051
59,52,4000,8075,10051
31,520,4500,8076,10051
91,1,7000,8085,10051
77,126,3500,8098,10051
9,880,7500,8099,10051
18,188,4000,8100,10051
72,366,7500,8116,10051
24,990,5000,8119,10051
10,997,5500,8124,10051
8,26,7500,8126,10051
35,718,4000,8134,10051
12,394,6000,8159,10051
39,15,6000,8162,10051
10,689,3500,8169,10051
32,132,6500,8181,10051
65,721,6500,8199,10051
75,192,7500,8203,10051
47,715,3500,8210,10051
87,11,3500,8223,10051
44,481,5500,8225,10051
37,3,6500,8230,10051
22,19,7000,8240,10051
82,8,4500,8248,10051
31,228,6500,8253,10051
40,883,6000,8254,10051
59,440,3500,8255,10051
95,75,7000,8262,10051
32,130,3500,8262,10051
38,103,4500,8263,10051
14,479,4000,8273,10051
34,61,6000,8275,10051
3,608,5000,8297,10051
99,923,5000,8301,10051
19,178,4000,8312,10051
99,454,5000,8323,10051
47,37,6500,8332,10051
37,477,5000,8348,10051
1,6,4500,8354,10051
32,768,5000,8367,10051
23,986,3500,8375,10051
2,24,7500,8395,10051
4,709,5000,8410,10051
11,693,5000,8414,10051
27,24,8000,8419,10051
31,520,4500,8449,10051
80,777,7500,8460,10051
92,420,8000,8464,10051
84,300,7000,8466,10051
85,369,7500,8467,10051
84,257,3500,8470,10051
52,32,6500,8471,10051
44,7,6500,8500,10051
32,667,7000,8518,10051
41,118,7500,8520,10051
85,60,6500,8544,10051
3,736,8500,8561,10051
27,567,5000,8575,10051
34,536,5500,8579,10051
34,372,4000,8583,10051
39,51,5500,8583,10051
99,382,4000,8610,10051
5,8,4000,8612,10051
36,371,8000,8612,10051
3,26,5000,8615,10051
68,60,7000,8616,10051
3,18,7000,8624,10051
88,781,5000,8635,10051
3,387,4500,8669,10051
6,304,4000,8671,10051
1,725,5500,8677,10051
52,10,5500,8684,10051
6,782,8500,8690,10051
22,916,8500,8692,10051
40,453,4500,8694,10051
22,345,8000,8719,10051
26,626,8500,8727,10051
33,602,5500,8727,10051
42,644,8500,8741,10051
57,237,4000,8751,10051
6,692,5000,8751,10051
32,498,8000,8755,10051
92,188,6000,8761,10051
3,722,8500,8775,10051
72,983,6500,8775,10051
6,868,6500,8782,10051
34,52,4000,8782,10051
2,54,4000,8839,10051
22,294,7000,8841,10051
79,272,8000,8850,10051
77,2,5000,8851,10051
83,14,7000,8853,10051
66,695,4000,8855,10051
40,214,6500,8857,10051
48,55,5500,8899,10051
95,256,6500,8919,10051
53,177,5500,8937,10051
32,133,5000,8958,10051
60,124,4000,8981,10051
37,297,6500,8984,10051
1,259,5000,9041,10051
67,281,7000,9054,10051
65,137,7000,9069,10051
78,43,8000,9076,10051
91,123,6500,9087,10051
75,400,8500,9109,10051
45,424,8000,9131,10051
80,41,8000,9140,10051
57,253,6500,9148,10051
5,781,8500,9166,10051
16,267,5500,9169,10051
23,673,6500,9172,10051
1,520,6500,9179,10051
49,580,5500,9182,10051
88,259,8500,9191,10051
1,6,8000,9197,10051
10,519,8000,9198,10051
18,127,6000,9211,10051
37,91,9000,9212,10051
60,176,7500,9241,10051
9,135,9000,9243,10051
28,223,9000,9250,10051
31,88,7500,9250,10051
92,28,6500,9261,10051
7,671,8000,9287,10051
92,47,8000,9290,10051
43,2,6000,9305,10051
34,810,9000,9308,10051
3,947,8000,9316,10051
81,893,8500,9350,10051
2,282,8000,9359,10051
17,621,7000,9361,10051
76,967,9000,9373,10051
7,10,6000,9375,10051
8,267,8500,9389,10051
3,390,7000,9395,10051
86,752,8500,9420,10051
99,261,8000,9428,10051
35,15,7500,9429,10051
45,350,4500,9454,10051
18,280,6000,9465,10051
52,59,7000,9473,10051
38,33,9000,9482,10051
63,37,8500,9484,10051
37,987,4500,9486,10051
76,784,5000,9497,10051
12,16,8500,9512,10051
3,127,8000,9529,10051
1,62,9500,9547,10051
45,983,5500,9556,10051
71,13,9500,9559,10051
88,557,7500,9567,10051
44,482,9000,9575,10051
38,272,9000,9582,10051
27,869,9500,9583,10051
69,469,5000,9589,10051
37,386,7500,9598,10051
94,485,5500,9625,10051
46,280,9000,9628,10051
62,847,8000,9639,10051
18,620,9000,9644,10051
100,419,7500,9657,10051
26,52,5500,9658,10051
36,59,8500,9662,10051
7,162,8000,9682,10051
25,578,7000,9683,10051
60,422,8000,9686,10051
49,10,7500,9700,10051
37,154,5500,9708,10051
4,771,6500,9735,10051
2,796,6500,9741,10051
27,97,8000,9762,10051
88,445,5500,9770,10051
71,302,8500,9771,10051
10,271,6500,9773,10051
93,904,7500,9775,10051
63,3,9000,9787,10051
16,86,6000,9791,10051
58,797,8000,9800,10051
45,477,9500,9805,10051
52,31,7000,9812,10051
3,97,8500,9831,10051
4,2,7500,9834,10051
83,272,7000,9848,10051
6,127,7000,9851,10051
2,364,5000,9859,10051
38,8,5500,9867,10051
83,35,7000,9874,10051
49,845,7500,9877,10051
40,470,5500,9883,10051
99,169,9000,9885,10051
62,130,5000,9886,10051
81,858,8500,9894,10051
10,391,5500,9920,10051
37,181,6000,9923,10051
11,804,9500,9928,10051
11,333,5000,9932,10051
67,700,7500,9935,10051
84,135,5000,9942,10051
40,640,6500,9943,10051
97,452,9500,9955,10051
25,227,6000,9964,10051
5,729,9000,9983,10051
23,287,8500,10000,10051
