key,value,eventTime,arrivalTime,processedTime
9,0,3000,5450,199012
10,0,500,7278,199012
6,0,4000,9668,199012
10,0,3500,12377,199012
10,0,1500,13528,199012
8,0,2500,14544,199012
10,0,500,14569,199012
1,0,4500,14986,199012
9,0,5500,15487,199012
6,0,5000,16120,199012
1,0,1000,16549,199012
4,0,1000,17713,199012
6,0,1500,18711,199012
6,0,5500,21470,199012
3,0,1000,21951,199012
5,0,2500,22407,199012
6,0,9500,24848,199012
1,0,3500,25506,199012
4,0,2000,27224,199012
1,0,6000,27307,199012
4,0,7500,28195,199012
7,0,8000,29518,199012
10,0,5000,30405,199012
8,0,7000,30443,199012
2,0,5500,31017,199012
3,0,7000,31172,199012
5,0,7000,31339,199012
5,0,4000,31486,199012
6,0,5000,33126,199012
4,0,4500,34020,199012
9,0,9500,34799,199012
8,0,1000,35127,199012
6,0,3000,37512,199012
3,0,3000,38934,199012
6,0,7000,39042,199012
2,0,2500,39560,199012
9,0,2500,39707,199012
5,0,2000,40624,199012
9,0,3500,42026,199012
6,0,2000,43405,199012
3,0,4500,44360,199012
4,0,1000,44880,199012
2,0,2000,47474,199012
3,0,9500,49233,199012
9,0,500,49386,199012
4,0,9000,50248,199012
2,0,9500,50260,199012
3,0,4000,51286,199012
8,0,9000,51680,199012
8,0,5000,53662,199012
6,0,10000,55113,199012
5,0,7000,56579,199012
7,0,6500,56739,199012
6,0,9000,57010,199012
1,0,8500,57899,199012
3,0,3500,59266,199012
5,0,1000,61198,199012
5,0,6000,61552,199012
3,0,3500,61832,199012
3,0,500,62186,199012
3,0,4000,64178,199012
2,0,1000,64364,199012
4,0,6500,64641,199012
8,0,4500,65519,199012
6,0,9500,67415,199012
1,0,3000,67541,199012
10,0,4000,67676,199012
1,0,5500,67902,199012
2,0,6500,70063,199012
6,0,1500,70642,199012
6,0,1000,71726,199012
2,0,500,72281,199012
6,0,7500,72906,199012
8,0,8500,73598,199012
9,0,3000,73758,199012
1,0,8500,74936,199012
9,0,1000,77675,199012
3,0,5500,78224,199012
7,0,1500,80478,199012
2,0,500,81097,199012
2,0,5500,81188,199012
10,0,2500,82812,199012
8,0,7000,83099,199012
7,0,1500,83514,199012
5,0,10000,85299,199012
1,0,7000,86202,199012
9,0,5000,86403,199012
9,0,4000,87664,199012
9,0,3000,88046,199012
4,0,9500,89780,199012
10,0,7500,90984,199012
7,0,7500,92689,199012
7,0,3500,93047,199012
6,0,1500,93134,199012
8,0,2500,93354,199012
4,0,5500,93708,199012
4,0,3000,93750,199012
1,0,9000,93917,199012
7,0,5500,94139,199012
3,0,1000,94886,199012
2,0,2000,96340,199012
8,0,1500,98152,199012
5,0,9000,99086,199012
