key,value,eventTime,arrivalTime,processedTime
9,0,3000,5450,190024
10,0,500,7278,190024
6,0,4000,9668,190024
10,0,3500,12377,190024
10,0,1500,13528,190024
8,0,2500,14544,190024
10,0,500,14569,190024
1,0,4500,14986,190024
9,0,5500,15487,190024
6,0,5000,16120,190024
1,0,1000,16549,190024
4,0,1000,17713,190024
6,0,1500,18711,190024
6,0,5500,21470,190024
3,0,1000,21951,190024
5,0,2500,22407,190024
6,0,9500,24848,190024
1,0,3500,25506,190024
4,0,2000,27224,190024
1,0,6000,27307,190024
4,0,7500,28195,190024
7,0,8000,29518,190024
10,0,5000,30405,190024
8,0,7000,30443,190024
2,0,5500,31017,190024
3,0,7000,31172,190024
5,0,7000,31339,190024
5,0,4000,31486,190024
6,0,5000,33126,190024
4,0,4500,34020,190024
9,0,9500,34799,190024
8,0,1000,35127,190024
6,0,3000,37512,190024
3,0,3000,38934,190024
6,0,7000,39042,190024
2,0,2500,39560,190024
9,0,2500,39707,190024
5,0,2000,40624,190024
9,0,3500,42026,190024
6,0,2000,43405,190024
3,0,4500,44360,190024
4,0,1000,44880,190024
2,0,2000,47474,190024
3,0,9500,49233,190024
9,0,500,49386,190024
4,0,9000,50248,190024
2,0,9500,50260,190024
3,0,4000,51286,190024
8,0,9000,51680,190024
8,0,5000,53662,190024
6,0,10000,55113,190024
5,0,7000,56579,190024
7,0,6500,56739,190024
6,0,9000,57010,190024
1,0,8500,57899,190024
3,0,3500,59266,190024
5,0,1000,61198,190024
5,0,6000,61552,190024
3,0,3500,61832,190024
3,0,500,62186,190024
3,0,4000,64178,190024
2,0,1000,64364,190024
4,0,6500,64641,190024
8,0,4500,65519,190024
6,0,9500,67415,190024
1,0,3000,67541,190024
10,0,4000,67676,190024
1,0,5500,67902,190024
2,0,6500,70063,190024
6,0,1500,70642,190024
6,0,1000,71726,190024
2,0,500,72281,190024
6,0,7500,72906,190024
8,0,8500,73598,190024
9,0,3000,73758,190024
1,0,8500,74936,190024
9,0,1000,77675,190024
3,0,5500,78224,190024
7,0,1500,80478,190024
2,0,500,81097,190024
2,0,5500,81188,190024
10,0,2500,82812,190024
8,0,7000,83099,190024
7,0,1500,83514,190024
5,0,10000,85299,190024
1,0,7000,86202,190024
9,0,5000,86403,190024
9,0,4000,87664,190024
9,0,3000,88046,190024
4,0,9500,89780,190024
10,0,7500,90984,190024
7,0,7500,92689,190024
7,0,3500,93047,190024
6,0,1500,93134,190024
8,0,2500,93354,190024
4,0,5500,93708,190024
4,0,3000,93750,190024
1,0,9000,93917,190024
7,0,5500,94139,190024
3,0,1000,94886,190024
2,0,2000,96340,190024
8,0,1500,98152,190024
5,0,9000,99086,190024
