key,value,eventTime,arrivalTime,processedTime
9,0,3000,5450,296301
10,0,500,7278,296301
6,0,4000,9668,296301
6,0,10500,10684,0
10,0,3500,12377,296301
10,0,1500,13528,296301
1,0,10500,14264,0
8,0,11000,14273,0
8,0,2500,14544,296301
10,0,500,14569,296301
1,0,4500,14986,296301
9,0,5500,15487,296301
6,0,5000,16120,296301
2,0,11000,16454,0
1,0,1000,16549,296301
4,0,1000,17713,296301
5,0,10500,17815,0
6,0,1500,18711,296301
6,0,17500,18841,0
6,0,5500,21470,296301
3,0,1000,21951,296301
4,0,12500,22176,0
8,0,13500,22396,0
5,0,2500,22407,296301
1,0,18500,22705,0
5,0,16500,22735,0
6,0,21500,22739,0
9,0,19500,24012,0
8,0,10500,24595,0
10,0,23500,24677,0
6,0,9500,24848,296301
3,0,15500,25352,0
1,0,3500,25506,296301
5,0,16000,25805,0
10,0,15000,26181,0
6,0,19500,26441,0
2,0,25500,26795,0
4,0,2000,27224,296301
1,0,6000,27307,296301
4,0,7500,28195,296301
6,0,14500,28572,0
2,0,26000,28753,0
7,0,8000,29518,296301
4,0,21500,29796,0
4,0,29500,30395,0
10,0,5000,30405,296301
8,0,7000,30443,296301
3,0,25500,30511,0
5,0,18500,30707,0
5,0,27000,30858,0
3,0,25000,30909,0
2,0,5500,31017,296301
4,0,30000,31070,0
6,0,30000,31158,0
3,0,7000,31172,296301
5,0,7000,31339,296301
5,0,4000,31486,296301
9,0,32000,32299,0
7,0,22500,32965,0
6,0,5000,33126,296301
9,0,19500,33244,0
4,0,4500,34020,296301
9,0,9500,34799,296301
1,0,19500,34845,0
8,0,1000,35127,296301
10,0,28000,35554,0
1,0,30000,35683,0
9,0,12000,35754,0
2,0,28500,35774,0
8,0,24000,36179,0
8,0,10500,36213,0
6,0,19000,36894,0
6,0,3000,37512,296301
2,0,11000,37731,0
10,0,30000,38595,0
10,0,26000,38878,0
3,0,3000,38934,296301
6,0,7000,39042,296301
1,0,37500,39409,0
2,0,2500,39560,296301
9,0,2500,39707,296301
7,0,21500,39807,0
5,0,13500,39816,0
9,0,33500,39844,0
4,0,13500,40431,0
5,0,2000,40624,296301
2,0,24000,40933,0
2,0,22500,41138,0
8,0,36500,41153,0
2,0,11000,41177,0
10,0,24000,41393,0
5,0,27500,41713,0
10,0,41500,41728,0
9,0,3500,42026,296301
5,0,23000,42272,0
4,0,20500,42337,0
8,0,34500,42352,0
1,0,16000,42449,0
9,0,19000,43041,0
4,0,19500,43255,0
6,0,2000,43405,296301
7,0,44000,44280,0
6,0,11500,44317,0
3,0,4500,44360,296301
7,0,40500,44634,0
7,0,31500,44639,0
4,0,1000,44880,296301
7,0,26000,45203,0
3,0,32500,45262,0
2,0,15000,45613,0
10,0,30500,45939,0
3,0,29500,45970,0
8,0,41000,46059,0
10,0,25000,46086,0
4,0,34500,46320,0
6,0,21000,46377,0
2,0,2000,47474,296301
2,0,31500,47573,0
9,0,41500,47667,0
6,0,11500,47731,0
7,0,25000,48279,0
9,0,31500,48311,0
7,0,47500,48492,0
2,0,12000,48563,0
10,0,33500,48776,0
6,0,11500,48860,0
1,0,28500,48913,0
9,0,43500,49087,0
10,0,14000,49091,0
4,0,45000,49155,0
3,0,9500,49233,296301
4,0,34500,49384,0
9,0,500,49386,296301
6,0,23000,50081,0
10,0,39500,50119,0
10,0,29500,50234,0
4,0,9000,50248,296301
1,0,40000,50256,0
2,0,9500,50260,296301
10,0,21000,50264,0
2,0,11500,50732,0
7,0,22500,50802,0
4,0,23000,50947,0
3,0,4000,51286,296301
9,0,22000,51396,0
2,0,47500,51447,0
3,0,51500,51525,0
8,0,9000,51680,296301
5,0,39000,51888,0
8,0,18500,52891,0
3,0,43500,52906,0
9,0,36500,53022,0
8,0,51500,53179,0
9,0,11500,53260,0
7,0,33000,53278,0
4,0,15000,53307,0
4,0,36500,53392,0
6,0,49000,53541,0
8,0,5000,53662,296301
10,0,47000,53696,0
8,0,17000,53905,0
3,0,38500,54352,0
6,0,13000,54512,0
5,0,36500,54924,0
6,0,10000,55113,296301
7,0,55000,55204,0
6,0,25000,55210,0
10,0,47500,55817,0
7,0,42000,56130,0
1,0,12000,56138,0
