key,value,eventTime,arrivalTime,processedTime
9,0,3000,5450,499962
10,0,500,7278,499962
6,0,4000,9668,499962
10,0,3500,12377,499962
10,0,1500,13528,499962
8,0,2500,14544,499962
10,0,500,14569,499962
1,0,4500,14986,499962
9,0,5500,15487,499962
6,0,5000,16120,499962
1,0,1000,16549,499962
4,0,1000,17713,499962
6,0,1500,18711,499962
6,0,5500,21470,499962
3,0,1000,21951,499962
5,0,2500,22407,499962
6,0,9500,24848,499962
1,0,3500,25506,499962
4,0,2000,27224,499962
1,0,6000,27307,499962
4,0,7500,28195,499962
7,0,8000,29518,499962
10,0,5000,30405,499962
8,0,7000,30443,499962
2,0,5500,31017,499962
3,0,7000,31172,499962
5,0,7000,31339,499962
5,0,4000,31486,499962
6,0,5000,33126,499962
4,0,4500,34020,499962
9,0,9500,34799,499962
8,0,1000,35127,499962
6,0,3000,37512,499962
3,0,3000,38934,499962
6,0,7000,39042,499962
2,0,2500,39560,499962
9,0,2500,39707,499962
5,0,2000,40624,499962
9,0,3500,42026,499962
6,0,2000,43405,499962
3,0,4500,44360,499962
4,0,1000,44880,499962
2,0,2000,47474,499962
3,0,9500,49233,499962
9,0,500,49386,499962
4,0,9000,50248,499962
2,0,9500,50260,499962
3,0,4000,51286,499962
8,0,9000,51680,499962
8,0,5000,53662,499962
6,0,10000,55113,499962
5,0,7000,56579,499962
7,0,6500,56739,499962
6,0,9000,57010,499962
1,0,8500,57899,499962
3,0,3500,59266,499962
5,0,1000,61198,499962
5,0,6000,61552,499962
3,0,3500,61832,499962
3,0,500,62186,499962
3,0,4000,64178,499962
2,0,1000,64364,499962
4,0,6500,64641,499962
8,0,4500,65519,499962
6,0,9500,67415,499962
1,0,3000,67541,499962
10,0,4000,67676,499962
1,0,5500,67902,499962
2,0,6500,70063,499962
6,0,1500,70642,499962
6,0,1000,71726,499962
2,0,500,72281,499962
6,0,7500,72906,499962
8,0,8500,73598,499962
9,0,3000,73758,499962
1,0,8500,74936,499962
9,0,1000,77675,499962
3,0,5500,78224,499962
