key,value,eventTime,arrivalTime,processedTime
9,0,3000,5450,55990
10,0,500,7278,55990
6,0,4000,9668,55990
10,0,3500,12377,55990
10,0,1500,13528,55991
8,0,2500,14544,55991
10,0,500,14569,55991
1,0,4500,14986,55991
9,0,5500,15487,55991
6,0,5000,16120,55992
1,0,1000,16549,55992
4,0,1000,17713,55992
6,0,1500,18711,55992
6,0,5500,21470,55992
3,0,1000,21951,55993
5,0,2500,22407,55993
6,0,9500,24848,55993
1,0,3500,25506,55993
4,0,2000,27224,55993
1,0,6000,27307,55994
4,0,7500,28195,55994
7,0,8000,29518,55994
10,0,5000,30405,55994
8,0,7000,30443,55994
2,0,5500,31017,55994
3,0,7000,31172,55995
5,0,7000,31339,55995
5,0,4000,31486,55995
6,0,5000,33126,55995
4,0,4500,34020,55995
9,0,9500,34799,55996
8,0,1000,35127,55996
6,0,3000,37512,55996
3,0,3000,38934,55996
6,0,7000,39042,55996
2,0,2500,39560,55997
9,0,2500,39707,55997
5,0,2000,40624,55997
9,0,3500,42026,55997
6,0,2000,43405,55997
3,0,4500,44360,55998
4,0,1000,44880,55998
2,0,2000,47474,55998
3,0,9500,49233,55998
9,0,500,49386,55999
