key,value,eventTime,arrivalTime,processedTime
10,0,1000,1034,10066
10,0,1000,1071,10066
9,0,1000,1245,10066
3,0,1000,1309,10066
2,0,1000,1359,10066
2,0,1000,1403,10066
8,0,1000,1602,10066
8,0,1000,1649,10066
10,0,1000,1753,10066
5,0,1000,1852,10066
9,0,1000,1887,10066
1,0,2000,2078,10066
4,0,2000,2084,10066
3,0,2000,2105,10066
1,0,1000,2147,10066
8,0,2000,2171,10066
3,0,1000,2186,10066
6,0,1000,2189,10066
4,0,2000,2220,10066
3,0,1000,2231,10066
2,0,1000,2295,10066
5,0,2000,2301,10066
2,0,2000,2317,10066
6,0,2000,2354,10066
6,0,1000,2360,10066
9,0,2000,2384,10066
10,0,1000,2422,10066
3,0,2000,2470,10066
1,0,2000,2502,10066
7,0,2000,2519,10066
9,0,1000,2527,10066
6,0,1000,2640,10066
9,0,1000,2684,10066
10,0,0,2731,10066
1,0,2000,2761,10066
3,0,2000,2771,10066
2,0,1000,2774,10066
1,0,1000,2787,10066
9,0,2000,2822,10066
5,0,1000,2880,10066
3,0,2000,2961,10066
6,0,1000,2984,10066
1,0,1000,2984,10066
2,0,2000,3000,10066
10,0,3000,3061,10066
1,0,1000,3087,10066
6,0,3000,3087,10066
6,0,2000,3146,10066
2,0,2000,3201,10066
7,0,2000,3262,10066
6,0,3000,3346,10066
7,0,3000,3395,10066
7,0,3000,3411,10066
2,0,1000,3419,10066
6,0,3000,3459,10066
7,0,1000,3473,10066
8,0,3000,3484,10066
4,0,2000,3509,10066
3,0,3000,3510,10066
3,0,1000,3668,10066
5,0,2000,3789,10066
1,0,1000,3813,10066
7,0,1000,3835,10066
6,0,1000,3839,10066
6,0,1000,3927,10066
5,0,2000,3957,10066
10,0,1000,3983,10066
5,0,1000,3991,10066
6,0,3000,4040,10066
7,0,2000,4098,10066
4,0,4000,4127,10066
3,0,3000,4134,10066
5,0,4000,4194,10066
6,0,4000,4208,10066
9,0,2000,4218,10066
2,0,4000,4228,10066
2,0,1000,4280,10066
6,0,2000,4285,10066
6,0,1000,4295,10066
10,0,2000,4322,10066
2,0,3000,4325,10066
9,0,3000,4331,10066
5,0,2000,4340,10066
4,0,2000,4393,10066
8,0,1000,4459,10066
2,0,4000,4472,10066
6,0,4000,4567,10066
4,0,4000,4571,10066
8,0,4000,4641,10066
2,0,4000,4649,10066
7,0,1000,4666,10066
3,0,1000,4702,10066
8,0,3000,4716,10066
6,0,3000,4718,10066
8,0,3000,4724,10066
9,0,1000,4731,10066
10,0,4000,4809,10066
10,0,4000,4816,10066
2,0,2000,4896,10066
8,0,4000,4897,10066
6,0,1000,4929,10066
7,0,4000,4937,10066
6,0,2000,4959,10066
10,0,3000,4967,10066
3,0,1000,4987,10066
10,0,2000,5055,10066
8,0,5000,5061,10066
3,0,1000,5088,10066
10,0,4000,5089,10066
5,0,5000,5100,10066
6,0,3000,5106,10066
7,0,2000,5114,10066
2,0,5000,5186,10066
9,0,5000,5187,10066
10,0,4000,5211,10066
1,0,4000,5228,10066
2,0,2000,5240,10066
3,0,3000,5305,10066
2,0,1000,5313,10066
3,0,1000,5335,10066
6,0,3000,5343,10066
8,0,3000,5344,10066
5,0,1000,5354,10066
6,0,2000,5357,10066
9,0,4000,5389,10066
10,0,5000,5402,10066
9,0,4000,5440,10066
8,0,5000,5455,10066
10,0,2000,5475,10066
6,0,2000,5497,10066
4,0,3000,5520,10066
10,0,3000,5537,10066
2,0,3000,5571,10066
1,0,4000,5591,10066
6,0,4000,5595,10066
1,0,5000,5603,10066
5,0,4000,5707,10066
4,0,3000,5781,10066
6,0,3000,5781,10066
4,0,5000,5782,10066
9,0,5000,5783,10066
8,0,5000,5793,10066
4,0,2000,5794,10066
9,0,4000,5797,10066
4,0,5000,5804,10066
2,0,3000,5833,10066
4,0,1000,5845,10066
3,0,1000,5854,10066
8,0,2000,5913,10066
7,0,3000,5981,10066
9,0,6000,6013,10066
7,0,5000,6027,10066
3,0,4000,6063,10066
9,0,2000,6069,10066
4,0,4000,6087,10066
7,0,4000,6089,10066
8,0,5000,6132,10066
2,0,3000,6135,10066
3,0,5000,6136,10066
6,0,6000,6173,10066
2,0,2000,6180,10066
3,0,6000,6180,10066
1,0,2000,6195,10066
3,0,4000,6232,10066
5,0,2000,6260,10066
8,0,4000,6289,10066
9,0,5000,6302,10066
5,0,2000,6316,10066
1,0,6000,6323,10066
4,0,4000,6325,10066
9,0,6000,6354,10066
10,0,5000,6386,10066
9,0,3000,6398,10066
7,0,5000,6398,10066
6,0,2000,6409,10066
2,0,5000,6425,10066
9,0,6000,6426,10066
4,0,6000,6454,10066
2,0,5000,6484,10066
1,0,5000,6509,10066
10,0,4000,6515,10066
9,0,2000,6543,10066
8,0,2000,6555,10066
8,0,4000,6566,10066
2,0,2000,6614,10066
3,0,4000,6643,10066
9,0,4000,6660,10066
2,0,5000,6692,10066
3,0,3000,6693,10066
1,0,3000,6735,10066
3,0,4000,6778,10066
5,0,5000,6799,10066
7,0,5000,6805,10066
5,0,6000,6814,10066
8,0,3000,6822,10066
10,0,5000,6877,10066
9,0,2000,6884,10066
10,0,5000,6886,10066
1,0,2000,6900,10066
6,0,6000,6911,10066
3,0,6000,6914,10066
10,0,3000,6971,10066
9,0,4000,6973,10066
5,0,5000,6989,10066
5,0,3000,6993,10066
3,0,6000,7000,10066
8,0,6000,7040,10066
9,0,5000,7045,10066
10,0,7000,7045,10066
5,0,3000,7069,10066
1,0,7000,7111,10066
2,0,5000,7115,10066
3,0,6000,7123,10066
10,0,3000,7133,10066
3,0,3000,7193,10066
9,0,7000,7193,10066
7,0,6000,7197,10066
4,0,4000,7201,10066
7,0,4000,7215,10066
10,0,3000,7246,10066
1,0,3000,7260,10066
3,0,7000,7279,10066
3,0,7000,7292,10066
9,0,4000,7303,10066
1,0,3000,7321,10066
5,0,6000,7367,10066
3,0,4000,7396,10066
5,0,3000,7401,10066
5,0,4000,7403,10066
9,0,5000,7419,10066
9,0,4000,7425,10066
8,0,4000,7428,10066
1,0,6000,7443,10066
7,0,4000,7447,10066
7,0,7000,7448,10066
10,0,5000,7478,10066
9,0,3000,7497,10066
4,0,3000,7512,10066
3,0,5000,7516,10066
3,0,4000,7521,10066
4,0,3000,7581,10066
10,0,3000,7582,10066
2,0,6000,7599,10066
1,0,3000,7627,10066
9,0,7000,7655,10066
4,0,6000,7666,10066
7,0,3000,7680,10066
5,0,4000,7738,10066
10,0,6000,7744,10066
6,0,7000,7766,10066
5,0,4000,7797,10066
9,0,3000,7804,10066
2,0,3000,7808,10066
2,0,5000,7876,10066
5,0,6000,7879,10066
7,0,3000,7957,10066
9,0,4000,7967,10066
4,0,5000,7986,10066
9,0,7000,7993,10066
6,0,8000,8029,10066
6,0,4000,8034,10066
8,0,5000,8038,10066
7,0,5000,8056,10066
6,0,4000,8131,10066
5,0,8000,8138,10066
3,0,7000,8155,10066
5,0,6000,8164,10066
5,0,5000,8221,10066
3,0,8000,8237,10066
2,0,7000,8254,10066
4,0,7000,8267,10066
3,0,8000,8301,10066
10,0,8000,8319,10066
10,0,5000,8343,10066
7,0,5000,8399,10066
6,0,4000,8410,10066
9,0,8000,8419,10066
5,0,6000,8436,10066
5,0,7000,8462,10066
5,0,6000,8495,10066
5,0,8000,8498,10066
8,0,7000,8540,10066
8,0,8000,8623,10066
8,0,8000,8716,10066
7,0,7000,8731,10066
5,0,5000,8754,10066
6,0,7000,8760,10066
10,0,5000,8775,10066
9,0,6000,8803,10066
6,0,6000,8881,10066
5,0,7000,8885,10066
9,0,4000,8892,10066
2,0,7000,8911,10066
10,0,6000,8932,10066
10,0,5000,8937,10066
8,0,8000,8940,10066
2,0,7000,8941,10066
3,0,7000,8975,10066
2,0,7000,8982,10066
1,0,5000,9007,10066
1,0,9000,9053,10066
2,0,7000,9062,10066
1,0,8000,9081,10066
2,0,6000,9092,10066
4,0,9000,9148,10066
9,0,7000,9190,10066
3,0,9000,9200,10066
8,0,8000,9226,10066
3,0,6000,9233,10066
7,0,7000,9236,10066
6,0,6000,9251,10066
2,0,8000,9303,10066
10,0,5000,9306,10066
8,0,9000,9306,10066
7,0,7000,9331,10066
10,0,6000,9338,10066
9,0,6000,9408,10066
10,0,5000,9425,10066
6,0,5000,9438,10066
