key,value,eventTime,arrivalTime,processedTime
10,0,100,134,11049
10,0,100,171,11049
1,0,200,278,11049
4,0,200,284,11049
3,0,200,305,11049
9,0,100,345,11049
10,0,300,361,11049
8,0,200,371,11049
6,0,300,387,11049
3,0,100,409,11049
4,0,200,420,11049
2,0,100,459,11049
5,0,200,501,11049
2,0,100,503,11049
2,0,200,517,11049
4,0,400,527,11049
6,0,200,554,11049
8,0,500,561,11049
9,0,200,584,11049
5,0,400,594,11049
5,0,500,600,11049
6,0,400,608,11049
9,0,600,613,11049
2,0,400,628,11049
6,0,300,646,11049
3,0,200,670,11049
2,0,500,686,11049
9,0,500,687,11049
7,0,300,695,11049
8,0,100,702,11049
1,0,200,702,11049
7,0,300,711,11049
7,0,200,719,11049
10,0,700,745,11049
8,0,100,749,11049
6,0,300,759,11049
6,0,600,773,11049
3,0,600,780,11049
8,0,300,784,11049
3,0,300,810,11049
1,0,700,811,11049
6,0,800,829,11049
10,0,100,853,11049
2,0,400,872,11049
9,0,700,893,11049
10,0,500,902,11049
1,0,600,923,11049
5,0,800,938,11049
5,0,100,952,11049
1,0,900,953,11049
9,0,600,954,11049
8,0,500,955,11049
1,0,200,961,11049
6,0,400,967,11049
3,0,200,971,11049
4,0,400,971,11049
3,0,700,979,11049
9,0,100,987,11049
3,0,700,992,11049
9,0,200,1022,11049
9,0,600,1026,11049
3,0,800,1037,11049
8,0,400,1041,11049
4,0,900,1048,11049
2,0,400,1049,11049
4,0,600,1054,11049
6,0,1000,1056,11049
3,0,900,1100,11049
3,0,800,1101,11049
1,0,500,1103,11049
10,0,800,1119,11049
10,0,1000,1128,11049
6,0,1000,1141,11049
7,0,700,1148,11049
9,0,1100,1150,11049
3,0,200,1161,11049
6,0,1100,1180,11049
2,0,200,1200,11049
8,0,900,1206,11049
10,0,400,1209,11049
10,0,400,1216,11049
9,0,800,1219,11049
2,0,1100,1228,11049
8,0,1000,1244,11049
1,0,100,1247,11049
4,0,500,1282,11049
9,0,500,1283,11049
3,0,100,1286,11049
6,0,100,1289,11049
8,0,500,1293,11049
8,0,400,1297,11049
5,0,800,1298,11049
4,0,500,1304,11049
1,0,1200,1307,11049
3,0,100,1331,11049
7,0,400,1337,11049
6,0,300,1340,11049
6,0,200,1346,11049
9,0,700,1355,11049
2,0,100,1395,11049
2,0,200,1401,11049
9,0,1000,1408,11049
1,0,1100,1413,11049
5,0,600,1414,11049
8,0,800,1423,11049
7,0,900,1430,11049
3,0,300,1434,11049
6,0,100,1460,11049
7,0,200,1462,11049
3,0,1100,1464,11049
6,0,700,1466,11049
5,0,1200,1478,11049
2,0,1100,1479,11049
10,0,400,1489,11049
6,0,600,1511,11049
3,0,600,1514,11049
8,0,800,1516,11049
8,0,1400,1518,11049
3,0,1400,1521,11049
10,0,100,1522,11049
5,0,1400,1522,11049
7,0,500,1527,11049
4,0,1100,1542,11049
7,0,1100,1544,11049
7,0,1300,1552,11049
6,0,1400,1561,11049
4,0,1300,1591,11049
8,0,1000,1599,11049
3,0,600,1600,11049
4,0,1500,1604,11049
4,0,900,1608,11049
10,0,400,1611,11049
2,0,1300,1618,11049
2,0,300,1625,11049
9,0,100,1627,11049
1,0,400,1628,11049
9,0,300,1631,11049
8,0,500,1632,11049
3,0,500,1636,11049
8,0,600,1640,11049
5,0,900,1648,11049
5,0,1400,1648,11049
10,0,1100,1668,11049
4,0,1200,1674,11049
8,0,1100,1676,11049
9,0,700,1693,11049
7,0,1600,1708,11049
4,0,200,1709,11049
3,0,600,1723,11049
6,0,100,1740,11049
8,0,800,1740,11049
8,0,1400,1781,11049
9,0,100,1784,11049
9,0,400,1789,11049
9,0,1300,1794,11049
7,0,600,1797,11049
1,0,1400,1797,11049
9,0,500,1802,11049
8,0,1100,1821,11049
6,0,1500,1828,11049
9,0,1300,1830,11049
9,0,400,1840,11049
5,0,900,1840,11049
1,0,900,1844,11049
3,0,700,1855,11049
