key,value,eventTime,arrivalTime,processedTime
10,0,250,284,0
10,0,250,321,0
9,0,250,495,0
3,0,250,559,0
1,0,500,578,0
4,0,500,584,0
3,0,500,605,0
2,0,250,609,0
2,0,250,653,0
8,0,500,671,0
4,0,500,720,0
5,0,500,801,0
10,0,750,811,0
2,0,500,817,0
6,0,750,837,0
8,0,250,852,0
6,0,500,854,0
9,0,500,884,0
8,0,250,899,0
3,0,500,970,0
1,0,500,1002,0
10,0,250,1003,0
7,0,500,1019,0
6,0,750,1096,0
5,0,250,1102,0
4,0,1000,1127,0
9,0,250,1137,0
7,0,750,1145,0
7,0,750,1161,0
5,0,1000,1194,0
6,0,1000,1208,0
6,0,750,1209,0
2,0,1000,1228,0
8,0,750,1234,0
3,0,750,1260,0
1,0,500,1261,0
3,0,500,1271,0
8,0,1250,1311,0
9,0,500,1322,0
5,0,1250,1350,0
1,0,250,1397,0
3,0,250,1436,0
2,0,1250,1436,0
9,0,1250,1437,0
6,0,250,1439,0
3,0,500,1461,0
2,0,1000,1472,0
3,0,250,1481,0
2,0,500,1500,0
9,0,1500,1513,0
2,0,250,1545,0
6,0,1000,1567,0
4,0,1000,1571,0
6,0,250,1610,0
8,0,1000,1641,0
6,0,500,1646,0
2,0,1000,1649,0
10,0,1250,1652,0
10,0,250,1672,0
6,0,1500,1673,0
3,0,1500,1680,0
2,0,500,1701,0
8,0,1250,1705,0
7,0,500,1762,0
9,0,250,1777,0
6,0,750,1790,0
10,0,1750,1795,0
10,0,1000,1809,0
10,0,1000,1816,0
1,0,1500,1823,0
1,0,1250,1853,0
9,0,1500,1854,0
1,0,1750,1861,0
3,0,750,1884,0
6,0,250,1890,0
8,0,1000,1897,0
9,0,1500,1926,0
9,0,250,1934,0
7,0,1000,1937,0
9,0,1750,1943,0
4,0,1500,1954,0
4,0,500,2009,0
2,0,250,2024,0
3,0,1750,2029,0
6,0,2000,2029,0
4,0,1250,2032,0
9,0,1250,2033,0
1,0,250,2037,0
3,0,1750,2042,0
8,0,1250,2043,0
4,0,1250,2054,0
2,0,750,2075,0
9,0,750,2081,0
