key,value,eventTime,arrivalTime,processedTime
10,0,100,134,0
10,0,100,171,0
1,0,200,278,0
4,0,200,284,0
3,0,200,305,0
9,0,100,345,0
10,0,300,361,0
8,0,200,371,0
6,0,300,387,0
3,0,100,409,0
4,0,200,420,0
2,0,100,459,0
5,0,200,501,0
2,0,100,503,0
2,0,200,517,0
4,0,400,527,0
6,0,200,554,0
8,0,500,561,0
9,0,200,584,0
5,0,400,594,0
5,0,500,600,0
6,0,400,608,0
9,0,600,613,0
2,0,400,628,0
6,0,300,646,0
3,0,200,670,0
2,0,500,686,0
9,0,500,687,0
7,0,300,695,0
1,0,200,702,0
8,0,100,702,0
7,0,300,711,0
7,0,200,719,0
10,0,700,745,0
8,0,100,749,0
6,0,300,759,0
6,0,600,773,0
3,0,600,780,0
8,0,300,784,0
3,0,300,810,0
1,0,700,811,0
6,0,800,829,0
10,0,100,853,0
2,0,400,872,0
9,0,700,893,0
10,0,500,902,0
1,0,600,923,0
5,0,800,938,0
5,0,100,952,0
1,0,900,953,0
9,0,600,954,0
8,0,500,955,0
1,0,200,961,0
6,0,400,967,0
4,0,400,971,0
3,0,200,971,0
3,0,700,979,0
9,0,100,987,0
3,0,700,992,0
9,0,200,1022,0
9,0,600,1026,0
3,0,800,1037,0
8,0,400,1041,0
4,0,900,1048,0
2,0,400,1049,0
4,0,600,1054,0
6,0,1000,1056,0
3,0,900,1100,0
3,0,800,1101,0
1,0,500,1103,0
10,0,800,1119,0
10,0,1000,1128,0
6,0,1000,1141,0
7,0,700,1148,0
9,0,1100,1150,0
3,0,200,1161,0
6,0,1100,1180,0
2,0,200,1200,0
8,0,900,1206,0
10,0,400,1209,0
10,0,400,1216,0
9,0,800,1219,0
2,0,1100,1228,0
8,0,1000,1244,0
1,0,100,1247,0
4,0,500,1282,0
9,0,500,1283,0
3,0,100,1286,0
6,0,100,1289,0
8,0,500,1293,0
8,0,400,1297,0
5,0,800,1298,0
4,0,500,1304,0
1,0,1200,1307,0
3,0,100,1331,0
7,0,400,1337,0
6,0,300,1340,0
6,0,200,1346,0
9,0,700,1355,0
2,0,100,1395,0
2,0,200,1401,0
9,0,1000,1408,0
