key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,7353
28425641,1,500,810,7353
79093151,1,500,828,7353
28425641,1,500,860,7353
66489138,1,500,955,7353
44594109,1,500,961,7353
99970880,1,500,1019,7353
87926431,1,500,1072,7353
67959054,1,1000,1077,7353
19819569,1,1000,1205,7353
28425641,1,500,1242,7353
34262661,1,1000,1276,7353
86971226,1,500,1284,7353
10718755,1,500,1339,7353
34262661,1,1000,1387,7353
19819569,1,1500,1524,7353
32747133,1,1000,1549,7353
95290079,1,1500,1551,7353
31895428,1,1000,1553,7353
19819569,1,1000,1614,7353
4448187,1,1000,1626,7353
28425641,1,500,1643,7353
19819569,1,1000,1646,7353
95290079,1,1500,1719,7353
67959054,1,1000,1721,7353
19819569,1,1500,1728,7353
73418408,1,1500,1772,7353
95290079,1,1500,1775,7353
71725719,1,500,1791,7353
63804775,1,1000,1793,7353
73418408,1,1500,1798,7353
89636884,1,1000,1802,7353
87926431,1,500,1882,7353
95290079,1,1500,1915,7353
19819569,1,1000,1971,7353
19819569,1,1500,1995,7353
19819569,1,1000,2008,7353
84484364,1,500,2027,7353
19819569,1,1500,2068,7353
99048844,1,1000,2175,7353
79093151,1,500,2193,7353
45585267,1,2000,2267,7353
68817033,1,2000,2299,7353
73418408,1,1500,2308,7353
58357722,1,1500,2360,7353
7278441,1,2000,2410,7353
28425641,1,500,2418,7353
21863909,1,500,2423,7353
1296214,1,1000,2490,7353
19819569,1,1000,2490,7353
93776043,1,1000,2526,7353
22726351,1,2500,2534,7353
28425641,1,500,2556,7353
32227697,1,1000,2636,7353
95290079,1,1500,2667,7353
25804512,1,2500,2670,7353
93776043,1,1000,2730,7353
82758559,1,500,2758,7353
72523281,1,2500,2771,7353
95290079,1,1500,2786,7353
19819569,1,1000,2794,7353
96673993,1,2000,2824,7353
79093151,1,500,2867,7353
28425641,1,500,2888,7353
77221734,1,2000,2903,7353
28425641,1,500,2907,7353
28425641,1,500,2925,7353
23374822,1,2500,2937,7353
77589042,1,1500,2996,7353
51209364,1,0,3012,7353
25804512,1,2000,3058,7353
28425641,1,500,3105,7353
28425641,1,500,3117,7353
19819569,1,1000,3123,7353
28425641,1,500,3139,7353
25804512,1,2500,3142,7353
79093151,1,3000,3171,7353
19819569,1,1000,3186,7353
72523281,1,2500,3203,7353
32412154,1,1000,3225,7353
95290079,1,1500,3226,7353
32922355,1,2500,3231,7353
86308065,1,3000,3238,7353
22726351,1,2500,3249,7353
28425641,1,500,3254,7353
19819569,1,1500,3277,7353
22726351,1,2500,3279,7353
30003784,1,2000,3309,7353
58357722,1,1500,3327,7353
22726351,1,2500,3342,7353
11723396,1,2000,3345,7353
16133749,1,2000,3364,7353
58357722,1,1500,3369,7353
19819569,1,1500,3380,7353
95290079,1,1500,3401,7353
43581846,1,1500,3413,7353
19819569,1,1500,3427,7353
33071850,1,1000,3444,7353
6456186,1,2000,3490,7353
6456186,1,2000,3506,7353
56511357,1,1500,3508,7353
85360088,1,2500,3514,7353
36488048,1,3500,3533,7353
91599990,1,2500,3540,7353
36374194,1,2000,3553,7353
75282642,1,3500,3553,7353
5023913,1,2000,3557,7353
32412154,1,1000,3566,7353
66538156,1,2500,3571,7353
79093151,1,500,3578,7353
7544903,1,3500,3590,7353
31895428,1,1000,3590,7353
21559768,1,3500,3605,7353
4853279,1,2500,3616,7353
87926431,1,500,3654,7353
19819569,1,1500,3672,7353
58357722,1,1500,3681,7353
99027874,1,2500,3697,7353
44594109,1,3500,3721,7353
25737248,1,2000,3724,7353
43990469,1,3000,3725,7353
51209364,1,500,3729,7353
83488764,1,3000,3756,7353
28425641,1,500,3756,7353
83488764,1,3000,3768,7353
84484364,1,500,3782,7353
5956451,1,500,3783,7353
86308065,1,3000,3785,7353
19819569,1,1500,3789,7353
59066148,1,1000,3790,7353
19819569,1,1500,3817,7353
81783800,1,3000,3837,7353
30003784,1,2000,3852,7353
33071850,1,1000,3881,7353
83488764,1,3000,3914,7353
8345360,1,2000,3926,7353
33071850,1,1000,3930,7353
22701764,1,3000,3932,7353
2673143,1,2500,3937,7353
28425641,1,500,3938,7353
44594109,1,3500,3941,7353
5956451,1,3500,3941,7353
91599990,1,2000,3953,7353
87926431,1,500,3956,7353
72523281,1,2500,3963,7353
28425641,1,500,3983,7353
95290079,1,1500,3984,7353
95290079,1,1500,4010,7353
19819569,1,1500,4042,7353
86308065,1,3500,4049,7353
91962132,1,4000,4062,7353
51209364,1,500,4070,7353
28425641,1,500,4100,7353
83488764,1,3000,4121,7353
3330322,1,4000,4129,7353
16133749,1,2000,4140,7353
98997765,1,1500,4159,7353
18591930,1,2000,4177,7353
40639323,1,4000,4178,7353
44594109,1,3000,4184,7353
95290079,1,1500,4191,7353
19819569,1,1000,4201,7353
93776043,1,1000,4204,7353
83488764,1,3000,4207,7353
72523281,1,2500,4210,7353
91962132,1,4000,4249,7353
14838691,1,4000,4288,7353
58169160,1,2000,4289,7353
19819569,1,1500,4300,7353
7544903,1,3000,4302,7353
17718341,1,4000,4307,7353
85420429,1,2000,4308,7353
18591930,1,2000,4309,7353
4448187,1,1000,4313,7353
80694968,1,2500,4319,7353
68486918,1,1000,4370,7353
11723396,1,2000,4398,7353
75282642,1,3500,4399,7353
44594109,1,3500,4422,7353
7278441,1,2000,4428,7353
22701764,1,3000,4460,7353
22726351,1,2500,4489,7353
58357722,1,1500,4490,7353
95290079,1,1500,4505,7353
19819569,1,1000,4509,7353
28425641,1,500,4550,7353
31508574,1,2000,4559,7353
25804512,1,2500,4561,7353
28425641,1,500,4581,7353
53520052,1,1000,4601,7353
58357722,1,1500,4609,7353
70395304,1,1500,4629,7353
65282171,1,4500,4632,7353
93776043,1,1000,4661,7353
36488048,1,3500,4682,7353
36488048,1,3500,4683,7353
28425641,1,500,4694,7353
22726351,1,2500,4707,7353
79093151,1,3500,4707,7353
30003784,1,2000,4709,7353
53520052,1,4500,4710,7353
95290079,1,1500,4715,7353
4853279,1,2500,4715,7353
91599990,1,2000,4728,7353
95290079,1,1500,4729,7353
66538156,1,3000,4734,7353
5956451,1,3500,4759,7353
7544903,1,3000,4771,7353
2982962,1,2000,4790,7353
33200804,1,1000,4799,7353
16234480,1,500,4802,7353
62524424,1,4500,4804,7353
72523281,1,2500,4843,7353
4448187,1,1000,4874,7353
87926431,1,500,4884,7353
96673993,1,2000,4894,7353
89886461,1,4000,4943,7353
34262661,1,1000,4962,7353
22311271,1,2000,4976,7353
68486918,1,4500,5003,7353
84484364,1,500,5005,7353
62607824,1,1000,5006,7353
86308065,1,3500,5012,7353
61118106,1,4500,5016,7353
63670604,1,2000,5033,7353
73877266,1,4500,5034,7353
95290079,1,1500,5048,7353
