key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,11871
28425641,1,500,810,11871
79093151,1,500,828,11872
28425641,1,500,860,11872
66489138,1,500,955,11872
44594109,1,500,961,11872
99970880,1,500,1019,11873
87926431,1,500,1072,11873
67959054,1,1000,1077,11873
19819569,1,1000,1205,11874
28425641,1,500,1242,11874
34262661,1,1000,1276,11874
86971226,1,500,1284,11874
10718755,1,500,1339,11875
34262661,1,1000,1387,11875
19819569,1,1500,1524,11875
32747133,1,1000,1549,11875
95290079,1,1500,1551,11876
31895428,1,1000,1553,11876
19819569,1,1000,1614,11876
4448187,1,1000,1626,11877
28425641,1,500,1643,11877
19819569,1,1000,1646,11877
95290079,1,1500,1719,11877
67959054,1,1000,1721,11877
19819569,1,1500,1728,11878
73418408,1,1500,1772,11878
95290079,1,1500,1775,11878
71725719,1,500,1791,11878
63804775,1,1000,1793,11879
73418408,1,1500,1798,11879
89636884,1,1000,1802,11879
87926431,1,500,1882,11880
95290079,1,1500,1915,11880
19819569,1,1000,1971,11880
19819569,1,1500,1995,11880
19819569,1,1000,2008,11880
84484364,1,500,2027,11881
19819569,1,1500,2068,11881
99048844,1,1000,2175,11881
79093151,1,500,2193,11882
45585267,1,2000,2267,11882
68817033,1,2000,2299,11882
73418408,1,1500,2308,11883
58357722,1,1500,2360,11883
7278441,1,2000,2410,11883
28425641,1,500,2418,11883
21863909,1,500,2423,11883
1296214,1,1000,2490,11884
19819569,1,1000,2490,11884
93776043,1,1000,2526,11884
22726351,1,2500,2534,11884
28425641,1,500,2556,11885
32227697,1,1000,2636,11885
95290079,1,1500,2667,11885
25804512,1,2500,2670,11885
93776043,1,1000,2730,11885
82758559,1,500,2758,11886
72523281,1,2500,2771,11886
95290079,1,1500,2786,11886
19819569,1,1000,2794,11887
96673993,1,2000,2824,11887
79093151,1,500,2867,11888
28425641,1,500,2888,11888
77221734,1,2000,2903,11888
28425641,1,500,2907,11888
28425641,1,500,2925,11888
23374822,1,2500,2937,11889
77589042,1,1500,2996,11889
51209364,1,0,3012,11889
25804512,1,2000,3058,11889
28425641,1,500,3105,11890
28425641,1,500,3117,11890
19819569,1,1000,3123,11890
28425641,1,500,3139,11890
25804512,1,2500,3142,11890
79093151,1,3000,3171,11891
19819569,1,1000,3186,11891
72523281,1,2500,3203,11891
32412154,1,1000,3225,11892
95290079,1,1500,3226,11892
32922355,1,2500,3231,11892
86308065,1,3000,3238,11892
22726351,1,2500,3249,11893
28425641,1,500,3254,11893
19819569,1,1500,3277,11893
22726351,1,2500,3279,11893
30003784,1,2000,3309,11893
58357722,1,1500,3327,11894
22726351,1,2500,3342,11894
11723396,1,2000,3345,11894
16133749,1,2000,3364,11894
58357722,1,1500,3369,11895
19819569,1,1500,3380,11895
95290079,1,1500,3401,11895
43581846,1,1500,3413,11895
19819569,1,1500,3427,11896
33071850,1,1000,3444,11896
6456186,1,2000,3490,11896
6456186,1,2000,3506,11896
56511357,1,1500,3508,11896
85360088,1,2500,3514,11897
36488048,1,3500,3533,11897
91599990,1,2500,3540,11897
36374194,1,2000,3553,11897
75282642,1,3500,3553,11898
5023913,1,2000,3557,11898
32412154,1,1000,3566,11898
66538156,1,2500,3571,11898
79093151,1,500,3578,11899
7544903,1,3500,3590,11899
31895428,1,1000,3590,11899
21559768,1,3500,3605,11899
4853279,1,2500,3616,11900
87926431,1,500,3654,11900
19819569,1,1500,3672,11900
58357722,1,1500,3681,11900
99027874,1,2500,3697,11901
44594109,1,3500,3721,11901
25737248,1,2000,3724,11901
43990469,1,3000,3725,11901
51209364,1,500,3729,11901
83488764,1,3000,3756,11902
28425641,1,500,3756,11902
83488764,1,3000,3768,11902
84484364,1,500,3782,11902
5956451,1,500,3783,11903
86308065,1,3000,3785,11903
19819569,1,1500,3789,11903
59066148,1,1000,3790,11903
19819569,1,1500,3817,11904
81783800,1,3000,3837,11904
30003784,1,2000,3852,11904
33071850,1,1000,3881,11904
83488764,1,3000,3914,11904
8345360,1,2000,3926,11905
33071850,1,1000,3930,11905
22701764,1,3000,3932,11905
2673143,1,2500,3937,11905
28425641,1,500,3938,11906
44594109,1,3500,3941,11906
