key,value,eventTime,arrivalTime,processedTime
7,38,5,18,8055
5,2,22,24,8055
2,625,9,24,8055
2,81,5,37,8055
9,369,23,53,8055
4,75,19,58,8055
9,203,16,63,8055
5,320,64,67,8055
7,176,7,71,8055
4,138,21,74,8055
2,138,17,82,8055
2,189,43,91,8055
7,745,11,104,8055
9,198,23,118,8055
3,112,71,119,8055
7,884,53,119,8055
6,486,64,121,8055
5,153,95,138,8055
10,922,83,141,8055
2,198,91,148,8055
5,56,163,168,8055
8,479,142,172,8055
1,282,17,181,8055
4,823,3,183,8055
10,354,22,184,8055
5,352,57,194,8055
10,22,91,199,8055
9,76,68,212,8055
1,844,9,215,8055
1,431,176,230,8055
4,397,160,236,8055
2,153,229,243,8055
4,251,191,250,8055
1,510,1,251,8055
1,15,158,257,8055
6,42,245,267,8055
4,728,177,276,8055
3,20,213,278,8055
1,354,171,287,8055
8,32,91,294,8055
2,147,196,296,8055
4,100,304,305,8055
1,146,307,308,8055
2,678,237,310,8055
7,949,26,313,8055
4,98,318,323,8055
10,703,56,344,8055
1,734,97,348,8055
2,109,182,358,8055
1,509,72,363,8055
6,11,61,373,8055
6,114,369,378,8055
3,78,372,384,8055
2,37,383,400,8055
7,28,268,409,8055
1,847,100,422,8055
4,607,234,424,8055
1,83,269,425,8055
5,128,442,453,8055
9,386,154,460,8055
6,625,426,463,8055
8,256,487,489,8055
1,795,76,495,8055
3,493,181,498,8055
4,257,302,502,8055
3,322,401,510,8055
4,387,148,511,8055
2,87,379,513,8055
7,39,457,530,8055
8,599,191,534,8055
3,64,495,538,8055
10,137,348,541,8055
1,137,1,556,8055
3,359,16,571,8055
3,339,416,578,8055
1,283,402,583,8055
1,277,182,589,8055
1,432,374,591,8055
6,774,573,602,8055
2,333,499,630,8055
4,740,137,630,8055
10,992,369,647,8055
6,577,619,649,8055
8,169,541,654,8055
8,741,387,662,8055
10,129,514,662,8055
4,150,128,663,8055
2,112,6,664,8055
4,503,302,670,8055
2,442,59,681,8055
8,126,649,697,8055
1,408,245,707,8055
2,118,389,721,8055
7,126,75,732,8055
7,558,388,738,8055
3,130,742,752,8055
7,533,610,769,8055
6,938,114,780,8055
4,12,415,795,8055
7,817,74,796,8055
2,205,603,796,8055
6,160,117,804,8055
6,243,107,818,8055
9,51,235,828,8055
3,288,190,837,8055
2,339,199,845,8055
3,672,648,848,8055
7,198,25,853,8055
3,37,135,855,8055
1,33,550,874,8055
8,531,447,889,8055
8,847,689,894,8055
6,757,83,900,8055
7,933,673,914,8055
7,840,760,920,8055
2,282,118,923,8055
3,429,141,924,8055
7,57,718,926,8055
10,211,649,930,8055
5,233,84,937,8055
1,54,799,942,8055
1,364,147,946,8055
4,528,615,949,8055
6,373,694,954,8055
7,459,373,958,8055
2,228,92,960,8055
4,319,806,969,8055
4,183,825,983,8055
5,360,336,989,8055
1,107,42,1002,8055
5,62,201,1002,8055
4,319,80,1005,8055
3,597,528,1009,8055
4,840,796,1016,8055
7,649,53,1025,8055
10,276,194,1033,8055
3,938,931,1037,8055
1,196,1012,1044,8055
10,382,895,1059,8055
6,300,336,1063,8055
7,12,53,1064,8055
5,289,281,1077,8055
1,141,261,1112,8055
3,107,409,1114,8055
5,206,1062,1114,8055
6,3,1041,1119,8055
6,971,170,1124,8055
1,894,989,1136,8055
3,118,605,1150,8055
2,416,1071,1159,8055
10,218,1159,1160,8055
10,218,1096,1172,8055
3,96,665,1192,8055
9,1,450,1193,8055
3,68,306,1200,8055
9,104,44,1209,8055
4,56,1097,1211,8055
2,188,1041,1215,8055
2,163,137,1226,8055
4,1,595,1227,8055
10,379,285,1227,8055
2,954,1139,1239,8055
9,346,237,1251,8055
4,449,176,1254,8055
1,711,542,1255,8055
1,636,1217,1277,8055
6,14,270,1283,8055
1,149,19,1283,8055
10,150,720,1285,8055
4,21,130,1296,8055
6,237,968,1298,8055
8,13,143,1307,8055
5,666,500,1308,8055
1,834,35,1309,8055
2,286,1177,1318,8055
2,100,985,1322,8055
5,219,16,1323,8055
4,520,1168,1329,8055
2,999,562,1342,8055
1,817,706,1349,8055
3,221,1050,1361,8055
3,221,363,1374,8055
4,973,408,1392,8055
3,242,1318,1393,8055
6,90,627,1394,8055
3,55,205,1405,8055
3,180,515,1408,8055
3,1,314,1425,8055
5,7,499,1450,8055
2,882,1219,1453,8055
2,693,1452,1461,8055
7,695,951,1464,8055
1,371,439,1470,8055
4,377,16,1471,8055
2,81,320,1482,8055
2,98,1489,1494,8055
7,404,85,1504,8055
5,523,1504,1505,8055
4,133,1443,1506,8055
6,138,93,1522,8055
3,365,355,1529,8055
3,178,834,1536,8055
4,91,1301,1538,8055
6,325,1291,1538,8055
2,159,5,1545,8055
1,396,1088,1545,8055
4,49,637,1548,8055
8,2,1522,1550,8055
1,114,1005,1554,8055
3,629,828,1569,8055
1,692,1474,1571,8055
1,584,681,1581,8055
9,404,745,1583,8055
2,973,1430,1585,8055
6,2,1416,1589,8055
9,944,1099,1591,8055
4,50,941,1608,8055
1,399,16,1623,8055
1,520,275,1630,8055
5,350,1113,1637,8055
3,571,1648,1656,8055
5,64,243,1658,8055
2,333,1582,1673,8055
6,21,1292,1681,8055
5,429,1537,1692,8055
4,338,7,1701,8055
4,253,1581,1706,8055
9,46,18,1709,8055
3,779,298,1710,8055
1,259,1537,1719,8055
5,403,1656,1722,8055
1,747,1725,1738,8055
3,372,747,1757,8055
9,276,536,1758,8055
3,15,1581,1759,8055
2,801,1405,1764,8055
1,188,1065,1765,8055
3,925,30,1768,8055
10,5,1318,1777,8055
8,30,280,1785,8055
4,14,61,1787,8055
1,33,1614,1788,8055
6,725,1094,1798,8055
2,62,529,1803,8055
2,267,1817,1820,8055
2,435,140,1826,8055
2,451,1489,1871,8055
6,1,511,1883,8055
4,715,1862,1885,8055
5,42,255,1891,8055
1,322,1486,1893,8055
7,665,1853,1894,8055
3,221,15,1897,8055
3,52,1890,1911,8055
1,802,1755,1922,8055
4,326,251,1937,8055
1,140,582,1939,8055
1,739,41,1978,8055
6,177,1986,1987,8055
1,364,1528,1990,8055
5,854,291,1996,8055
4,602,1692,2012,8055
2,743,75,2014,8055
4,477,1542,2026,8055
7,79,1152,2034,8055
1,387,1131,2034,8055
3,990,1421,2037,8055
3,271,701,2056,8055
1,898,2045,2063,8055
5,329,3,2066,8055
2,464,1879,2070,8055
2,2,7,2087,8055
2,929,904,2088,8055
4,42,202,2093,8055
1,14,9,2094,8055
9,726,700,2098,8055
8,314,1369,2099,8055
5,493,670,2101,8055
9,496,218,2106,8055
5,507,364,2109,8055
5,466,1364,2118,8055
1,287,2075,2125,8055
9,445,2009,2126,8055
1,740,124,2126,8055
1,304,951,2127,8055
1,804,30,2129,8055
1,425,3,2166,8055
4,1,2012,2168,8055
6,399,10,2169,8055
6,550,2143,2176,8055
1,709,1425,2182,8055
3,227,2053,2193,8055
2,123,328,2194,8055
9,413,321,2209,8055
6,221,2104,2210,8055
1,16,1911,2213,8055
6,538,582,2221,8055
5,522,2216,2224,8055
9,135,1570,2224,8055
4,109,6,2228,8055
2,154,881,2241,8055
3,322,1670,2241,8055
7,271,79,2248,8055
5,218,2246,2249,8055
8,735,2071,2250,8055
1,9,1925,2251,8055
7,318,762,2267,8055
2,65,1649,2276,8055
6,157,2141,2280,8055
7,55,1415,2302,8055
5,312,1316,2303,8055
8,53,1362,2310,8055
5,419,221,2317,8055
2,127,2318,2319,8055
8,948,546,2319,8055
4,604,1452,2333,8055
8,44,121,2339,8055
5,873,1604,2340,8055
7,67,121,2342,8055
6,389,387,2344,8055
4,400,26,2375,8055
3,805,1092,2377,8055
3,121,109,2397,8055
4,258,2313,2413,8055
6,25,1659,2422,8055
7,2,2419,2424,8055
2,723,1533,2425,8055
1,715,1161,2435,8055
4,372,777,2441,8055
7,379,2389,2443,8055
4,768,1570,2444,8055
9,257,703,2451,8055
1,461,2446,2468,8055
1,369,25,2475,8055
1,646,4,2484,8055
9,32,3,2489,8055
5,878,2484,2514,8055
2,271,2509,2523,8055
8,988,1028,2531,8055
1,5,1926,2551,8055
4,103,1143,2572,8055
1,692,2441,2578,8055
4,2,298,2588,8055
8,4,6,2590,8055
2,533,104,2593,8055
10,382,1048,2595,8055
1,285,36,2614,8055
2,331,128,2629,8055
10,906,2480,2629,8055
6,440,614,2636,8055
10,12,2643,2646,8055
5,59,249,2656,8055
9,143,199,2662,8055
6,16,965,2662,8055
3,389,2611,2676,8055
5,84,217,2683,8055
7,80,67,2694,8055
2,19,425,2695,8055
2,253,1377,2695,8055
9,11,609,2705,8055
7,180,300,2709,8055
6,576,355,2712,8055
10,80,524,2712,8055
3,446,2707,2718,8055
2,812,212,2719,8055
5,870,902,2719,8055
3,92,2740,2746,8055
10,692,715,2748,8055
2,391,1676,2752,8055
1,108,141,2753,8055
1,520,2735,2754,8055
4,15,2267,2758,8055
1,60,2,2765,8055
4,889,894,2784,8055
7,130,1549,2786,8055
2,541,185,2791,8055
10,256,2562,2796,8055
1,232,2268,2796,8055
1,348,1415,2805,8055
8,428,1485,2829,8055
4,244,2250,2838,8055
4,401,357,2840,8055
4,5,1811,2860,8055
5,207,1201,2866,8055
9,647,283,2872,8055
3,251,93,2873,8055
7,647,805,2888,8055
6,8,309,2891,8055
1,252,31,2916,8055
10,718,2375,2930,8055
1,961,1066,2930,8055
5,131,1458,2962,8055
5,89,5,2968,8055
1,779,390,2975,8055
1,255,412,2986,8055
3,19,2992,2999,8055
6,113,71,3002,8055
4,29,134,3022,8055
2,344,2822,3043,8055
7,359,1154,3054,8055
7,672,735,3070,8055
4,60,737,3102,8055
7,848,646,3113,8055
3,431,1311,3117,8055
3,88,266,3124,8055
5,640,2475,3133,8055
4,61,2237,3136,8055
2,774,2373,3137,8055
1,439,3140,3141,8055
4,479,1905,3142,8055
4,987,1338,3158,8055
9,12,2434,3159,8055
1,771,2886,3169,8055
3,42,5,3169,8055
5,214,2913,3170,8055
4,107,1831,3172,8055
2,18,9,3172,8055
8,108,531,3172,8055
9,1,83,3191,8055
2,243,1344,3199,8055
4,132,2898,3203,8055
2,280,2044,3208,8055
2,1,1662,3234,8055
2,20,3237,3239,8055
6,10,1741,3250,8055
5,6,62,3253,8055
3,1,3252,3255,8055
2,146,120,3261,8055
10,454,1457,3261,8055
6,988,65,3262,8055
2,621,3262,3265,8055
3,7,877,3279,8055
3,699,469,3290,8055
2,377,3204,3299,8055
