key,value,eventTime,arrivalTime,processedTime
7,38,5,18,10255
5,2,22,24,10255
2,625,9,24,10255
2,81,5,37,10255
9,369,23,53,10255
4,75,19,58,10255
9,203,16,63,10255
5,320,64,67,10255
7,176,7,71,10255
4,138,21,74,10255
2,138,17,82,10255
2,189,43,91,10255
7,745,11,104,10255
9,198,23,118,10255
3,112,71,119,10255
7,884,53,119,10255
6,486,64,121,10255
5,153,95,138,10255
10,922,83,141,10255
2,198,91,148,10255
5,56,163,168,10255
8,479,142,172,10255
1,282,17,181,10255
4,823,3,183,10255
10,354,22,184,10255
5,352,57,194,10255
10,22,91,199,10255
9,76,68,212,10255
1,844,9,215,10255
1,431,176,230,10255
4,397,160,236,10255
2,153,229,243,10255
4,251,191,250,10255
1,510,1,251,10255
1,15,158,257,10255
6,42,245,267,10255
4,728,177,276,10255
3,20,213,278,10255
1,354,171,287,10255
8,32,91,294,10255
2,147,196,296,10255
4,100,304,305,10255
1,146,307,308,10255
2,678,237,310,10255
7,949,26,313,10255
4,98,318,323,10255
10,703,56,344,10255
1,734,97,348,10255
2,109,182,358,10255
1,509,72,363,10255
6,11,61,373,10255
6,114,369,378,10255
3,78,372,384,10255
2,37,383,400,10255
7,28,268,409,10255
1,847,100,422,10255
4,607,234,424,10255
1,83,269,425,10255
5,128,442,453,10255
9,386,154,460,10255
6,625,426,463,10255
8,256,487,489,10255
1,795,76,495,10255
3,493,181,498,10255
4,257,302,502,10255
3,322,401,510,10255
4,387,148,511,10255
2,87,379,513,10255
7,39,457,530,10255
8,599,191,534,10255
3,64,495,538,10255
10,137,348,541,10255
1,137,1,556,10255
3,359,16,571,10255
3,339,416,578,10255
1,283,402,583,10255
1,277,182,589,10255
1,432,374,591,10255
6,774,573,602,10255
2,333,499,630,10255
4,740,137,630,10255
10,992,369,647,10255
6,577,619,649,10255
8,169,541,654,10255
8,741,387,662,10255
10,129,514,662,10255
4,150,128,663,10255
2,112,6,664,10255
4,503,302,670,10255
2,442,59,681,10255
8,126,649,697,10255
1,408,245,707,10255
2,118,389,721,10255
7,126,75,732,10255
7,558,388,738,10255
3,130,742,752,10255
7,533,610,769,10255
6,938,114,780,10255
4,12,415,795,10255
7,817,74,796,10255
2,205,603,796,10255
6,160,117,804,10255
6,243,107,818,10255
9,51,235,828,10255
3,288,190,837,10255
2,339,199,845,10255
3,672,648,848,10255
7,198,25,853,10255
3,37,135,855,10255
1,33,550,874,10255
8,531,447,889,10255
8,847,689,894,10255
6,757,83,900,10255
7,933,673,914,10255
7,840,760,920,10255
2,282,118,923,10255
3,429,141,924,10255
7,57,718,926,10255
10,211,649,930,10255
5,233,84,937,10255
1,54,799,942,10255
1,364,147,946,10255
4,528,615,949,10255
6,373,694,954,10255
7,459,373,958,10255
2,228,92,960,10255
4,319,806,969,10255
4,183,825,983,10255
5,360,336,989,10255
1,107,42,1002,10255
5,62,201,1002,10255
4,319,80,1005,10255
3,597,528,1009,10255
4,840,796,1016,10255
7,649,53,1025,10255
10,276,194,1033,10255
3,938,931,1037,10255
1,196,1012,1044,10255
10,382,895,1059,10255
6,300,336,1063,10255
7,12,53,1064,10255
5,289,281,1077,10255
1,141,261,1112,10255
3,107,409,1114,10255
5,206,1062,1114,10255
6,3,1041,1119,10255
6,971,170,1124,10255
1,894,989,1136,10255
3,118,605,1150,10255
2,416,1071,1159,10255
10,218,1159,1160,10255
10,218,1096,1172,10255
3,96,665,1192,10255
9,1,450,1193,10255
3,68,306,1200,10255
9,104,44,1209,10255
4,56,1097,1211,10255
2,188,1041,1215,10255
2,163,137,1226,10255
4,1,595,1227,10255
10,379,285,1227,10255
2,954,1139,1239,10255
9,346,237,1251,10255
4,449,176,1254,10255
1,711,542,1255,10255
1,636,1217,1277,10255
6,14,270,1283,10255
1,149,19,1283,10255
10,150,720,1285,10255
4,21,130,1296,10255
6,237,968,1298,10255
8,13,143,1307,10255
5,666,500,1308,10255
1,834,35,1309,10255
2,286,1177,1318,10255
2,100,985,1322,10255
5,219,16,1323,10255
4,520,1168,1329,10255
2,999,562,1342,10255
1,817,706,1349,10255
3,221,1050,1361,10255
3,221,363,1374,10255
4,973,408,1392,10255
3,242,1318,1393,10255
6,90,627,1394,10255
3,55,205,1405,10255
3,180,515,1408,10255
3,1,314,1425,10255
5,7,499,1450,10255
2,882,1219,1453,10255
2,693,1452,1461,10255
7,695,951,1464,10255
1,371,439,1470,10255
4,377,16,1471,10255
2,81,320,1482,10255
2,98,1489,1494,10255
7,404,85,1504,10255
5,523,1504,1505,10255
4,133,1443,1506,10255
6,138,93,1522,10255
3,365,355,1529,10255
3,178,834,1536,10255
4,91,1301,1538,10255
6,325,1291,1538,10255
2,159,5,1545,10255
1,396,1088,1545,10255
4,49,637,1548,10255
8,2,1522,1550,10255
1,114,1005,1554,10255
3,629,828,1569,10255
1,692,1474,1571,10255
1,584,681,1581,10255
9,404,745,1583,10255
2,973,1430,1585,10255
6,2,1416,1589,10255
9,944,1099,1591,10255
4,50,941,1608,10255
1,399,16,1623,10255
1,520,275,1630,10255
5,350,1113,1637,10255
3,571,1648,1656,10255
5,64,243,1658,10255
2,333,1582,1673,10255
6,21,1292,1681,10255
5,429,1537,1692,10255
4,338,7,1701,10255
4,253,1581,1706,10255
9,46,18,1709,10255
3,779,298,1710,10255
1,259,1537,1719,10255
5,403,1656,1722,10255
1,747,1725,1738,10255
3,372,747,1757,10255
9,276,536,1758,10255
3,15,1581,1759,10255
2,801,1405,1764,10255
1,188,1065,1765,10255
3,925,30,1768,10255
10,5,1318,1777,10255
8,30,280,1785,10255
4,14,61,1787,10255
1,33,1614,1788,10255
6,725,1094,1798,10255
2,62,529,1803,10255
2,267,1817,1820,10255
2,435,140,1826,10255
2,451,1489,1871,10255
6,1,511,1883,10255
4,715,1862,1885,10255
5,42,255,1891,10255
1,322,1486,1893,10255
7,665,1853,1894,10255
3,221,15,1897,10255
3,52,1890,1911,10255
1,802,1755,1922,10255
4,326,251,1937,10255
1,140,582,1939,10255
1,739,41,1978,10255
6,177,1986,1987,10255
1,364,1528,1990,10255
5,854,291,1996,10255
4,602,1692,2012,10255
2,743,75,2014,10255
4,477,1542,2026,10255
7,79,1152,2034,10255
1,387,1131,2034,10255
3,990,1421,2037,10255
3,271,701,2056,10255
1,898,2045,2063,10255
5,329,3,2066,10255
2,464,1879,2070,10255
2,2,7,2087,10255
2,929,904,2088,10255
4,42,202,2093,10255
1,14,9,2094,10255
9,726,700,2098,10255
8,314,1369,2099,10255
5,493,670,2101,10255
9,496,218,2106,10255
5,507,364,2109,10255
5,466,1364,2118,10255
1,287,2075,2125,10255
9,445,2009,2126,10255
1,740,124,2126,10255
1,304,951,2127,10255
1,804,30,2129,10255
1,425,3,2166,10255
4,1,2012,2168,10255
6,399,10,2169,10255
6,550,2143,2176,10255
1,709,1425,2182,10255
3,227,2053,2193,10255
2,123,328,2194,10255
9,413,321,2209,10255
6,221,2104,2210,10255
1,16,1911,2213,10255
6,538,582,2221,10255
5,522,2216,2224,10255
9,135,1570,2224,10255
4,109,6,2228,10255
2,154,881,2241,10255
3,322,1670,2241,10255
7,271,79,2248,10255
5,218,2246,2249,10255
8,735,2071,2250,10255
1,9,1925,2251,10255
7,318,762,2267,10255
2,65,1649,2276,10255
6,157,2141,2280,10255
7,55,1415,2302,10255
5,312,1316,2303,10255
8,53,1362,2310,10255
5,419,221,2317,10255
2,127,2318,2319,10255
8,948,546,2319,10255
4,604,1452,2333,10255
8,44,121,2339,10255
5,873,1604,2340,10255
7,67,121,2342,10255
6,389,387,2344,10255
4,400,26,2375,10255
3,805,1092,2377,10255
3,121,109,2397,10255
4,258,2313,2413,10255
6,25,1659,2422,10255
7,2,2419,2424,10255
2,723,1533,2425,10255
1,715,1161,2435,10255
4,372,777,2441,10255
7,379,2389,2443,10255
4,768,1570,2444,10255
9,257,703,2451,10255
1,461,2446,2468,10255
1,369,25,2475,10255
1,646,4,2484,10255
9,32,3,2489,10255
5,878,2484,2514,10255
2,271,2509,2523,10255
8,988,1028,2531,10255
1,5,1926,2551,10255
4,103,1143,2572,10255
1,692,2441,2578,10255
4,2,298,2588,10255
8,4,6,2590,10255
2,533,104,2593,10255
10,382,1048,2595,10255
1,285,36,2614,10255
2,331,128,2629,10255
10,906,2480,2629,10255
6,440,614,2636,10255
10,12,2643,2646,10255
5,59,249,2656,10255
9,143,199,2662,10255
6,16,965,2662,10255
3,389,2611,2676,10255
5,84,217,2683,10255
7,80,67,2694,10255
2,19,425,2695,10255
2,253,1377,2695,10255
9,11,609,2705,10255
7,180,300,2709,10255
6,576,355,2712,10255
10,80,524,2712,10255
3,446,2707,2718,10255
2,812,212,2719,10255
5,870,902,2719,10255
3,92,2740,2746,10255
10,692,715,2748,10255
2,391,1676,2752,10255
1,108,141,2753,10255
1,520,2735,2754,10255
4,15,2267,2758,10255
1,60,2,2765,10255
4,889,894,2784,10255
7,130,1549,2786,10255
2,541,185,2791,10255
10,256,2562,2796,10255
1,232,2268,2796,10255
1,348,1415,2805,10255
8,428,1485,2829,10255
4,244,2250,2838,10255
4,401,357,2840,10255
4,5,1811,2860,10255
5,207,1201,2866,10255
9,647,283,2872,10255
3,251,93,2873,10255
7,647,805,2888,10255
6,8,309,2891,10255
1,252,31,2916,10255
10,718,2375,2930,10255
1,961,1066,2930,10255
5,131,1458,2962,10255
5,89,5,2968,10255
1,779,390,2975,10255
1,255,412,2986,10255
3,19,2992,2999,10255
6,113,71,3002,10255
4,29,134,3022,10255
2,344,2822,3043,10255
7,359,1154,3054,10255
7,672,735,3070,10255
4,60,737,3102,10255
7,848,646,3113,10255
3,431,1311,3117,10255
3,88,266,3124,10255
5,640,2475,3133,10255
4,61,2237,3136,10255
2,774,2373,3137,10255
1,439,3140,3141,10255
4,479,1905,3142,10255
4,987,1338,3158,10255
9,12,2434,3159,10255
1,771,2886,3169,10255
3,42,5,3169,10255
5,214,2913,3170,10255
4,107,1831,3172,10255
2,18,9,3172,10255
8,108,531,3172,10255
9,1,83,3191,10255
2,243,1344,3199,10255
4,132,2898,3203,10255
2,280,2044,3208,10255
2,1,1662,3234,10255
2,20,3237,3239,10255
6,10,1741,3250,10255
5,6,62,3253,10255
3,1,3252,3255,10255
2,146,120,3261,10255
10,454,1457,3261,10255
6,988,65,3262,10255
2,621,3262,3265,10255
3,7,877,3279,10255
3,699,469,3290,10255
2,377,3204,3299,10255
3,402,3272,3305,10255
2,82,3308,3312,10255
6,39,2422,3315,10255
5,649,2050,3323,10255
1,476,2411,3330,10255
2,630,1122,3334,10255
4,536,1681,3339,10255
5,175,2093,3355,10255
3,986,620,3358,10255
4,617,227,3360,10255
1,178,72,3407,10255
7,130,3415,3418,10255
4,214,3223,3425,10255
9,471,3035,3459,10255
10,958,907,3468,10255
3,606,16,3470,10255
3,63,388,3471,10255
10,659,3475,3478,10255
3,171,1,3485,10255
6,498,94,3496,10255
5,487,424,3498,10255
2,397,3212,3520,10255
3,415,1023,3521,10255
8,777,3508,3531,10255
1,127,3286,3547,10255
7,281,3256,3562,10255
2,750,3333,3565,10255
5,177,3573,3575,10255
9,112,3581,3585,10255
2,153,1758,3591,10255
1,594,193,3602,10255
2,166,244,3604,10255
10,123,2691,3608,10255
1,497,3497,3609,10255
9,66,84,3623,10255
5,7,2709,3624,10255
3,190,240,3634,10255
7,469,1650,3636,10255
8,135,3169,3651,10255
4,667,3055,3663,10255
9,16,698,3712,10255
8,983,2468,3728,10255
5,1,378,3733,10255
2,479,1004,3733,10255
1,170,2624,3744,10255
4,3,2432,3762,10255
6,52,862,3795,10255
10,413,3122,3803,10255
2,590,18,3817,10255
1,725,1828,3825,10255
9,8,1306,3827,10255
1,187,50,3829,10255
9,369,3828,3834,10255
1,286,289,3839,10255
3,567,1552,3840,10255
5,49,175,3840,10255
5,22,67,3847,10255
3,48,3572,3847,10255
4,50,315,3850,10255
10,157,1893,3854,10255
2,131,5,3893,10255
9,35,2996,3899,10255
1,26,2666,3901,10255
4,73,1024,3905,10255
10,508,744,3925,10255
10,923,1426,3926,10255
7,272,1793,3933,10255
6,740,2163,3943,10255
1,882,3207,3945,10255
10,504,1394,3947,10255
4,671,171,3952,10255
3,351,2956,3956,10255
3,26,3939,3959,10255
8,847,1651,3984,10255
2,772,1850,3986,10255
4,15,3621,3988,10255
4,384,2505,3989,10255
4,429,3361,3991,10255
2,792,3560,4001,10255
6,912,1490,4008,10255
4,175,59,4012,10255
1,207,35,4020,10255
5,470,1967,4028,10255
4,130,683,4039,10255
10,28,2540,4079,10255
5,883,2398,4087,10255
4,51,1886,4094,10255
4,842,1457,4097,10255
4,10,4082,4098,10255
6,738,3743,4104,10255
8,123,3567,4107,10255
1,390,3102,4108,10255
1,62,614,4115,10255
7,700,3861,4118,10255
8,806,423,4131,10255
6,955,2437,4137,10255
1,139,3248,4153,10255
1,189,90,4154,10255
5,845,4036,4156,10255
7,721,2471,4160,10255
1,26,3469,4181,10255
9,238,588,4181,10255
8,192,3700,4188,10255
4,170,1150,4200,10255
7,20,3191,4211,10255
1,3,3910,4221,10255
6,430,156,4222,10255
3,578,3177,4223,10255
1,912,9,4226,10255
10,332,2048,4232,10255
4,520,1213,4235,10255
1,262,2708,4237,10255
4,114,3067,4248,10255
2,142,2917,4270,10255
1,107,27,4272,10255
1,898,3182,4278,10255
8,272,4261,4282,10255
2,102,3356,4292,10255
4,718,988,4296,10255
5,543,224,4297,10255
3,97,4127,4326,10255
2,62,3125,4327,10255
1,131,272,4331,10255
6,605,1854,4336,10255
3,294,3336,4337,10255
10,35,456,4346,10255
6,57,933,4347,10255
5,397,4,4356,10255
3,28,156,4368,10255
9,38,647,4371,10255
1,796,2870,4371,10255
4,95,1876,4379,10255
7,59,1023,4379,10255
10,419,3840,4394,10255
3,166,169,4404,10255
4,2,1767,4413,10255
1,682,279,4422,10255
4,22,114,4431,10255
4,88,4017,4444,10255
1,417,4372,4458,10255
7,74,3929,4459,10255
1,162,4409,4463,10255
4,927,523,4483,10255
6,929,1293,4484,10255
5,189,4253,4494,10255
2,22,3674,4498,10255
5,7,702,4512,10255
1,6,1348,4520,10255
10,75,3270,4529,10255
4,1,25,4542,10255
4,821,1069,4544,10255
2,430,624,4557,10255
9,60,2779,4575,10255
3,931,989,4578,10255
1,47,2954,4602,10255
4,473,3800,4605,10255
3,661,3201,4607,10255
1,212,2478,4617,10255
2,87,2268,4617,10255
1,191,1362,4617,10255
1,18,3019,4625,10255
5,58,3528,4632,10255
3,36,4506,4641,10255
5,928,4628,4644,10255
2,394,2050,4654,10255
1,381,4491,4660,10255
4,217,4683,4686,10255
10,119,2235,4693,10255
1,662,91,4694,10255
9,300,3326,4704,10255
9,7,46,4722,10255
3,87,165,4725,10255
6,485,556,4726,10255
4,254,199,4759,10255
9,813,2375,4763,10255
9,194,4513,4769,10255
2,688,4763,4769,10255
7,378,1345,4783,10255
3,124,3,4796,10255
1,201,2814,4806,10255
5,2,2283,4820,10255
3,877,1118,4821,10255
9,1,345,4821,10255
4,8,1724,4824,10255
5,481,1822,4826,10255
1,453,3713,4831,10255
6,819,151,4834,10255
6,22,626,4834,10255
8,43,4638,4843,10255
4,6,4526,4853,10255
6,674,410,4853,10255
6,397,3889,4859,10255
1,710,2413,4859,10255
6,124,1019,4861,10255
7,119,126,4889,10255
6,42,9,4890,10255
4,42,1011,4906,10255
5,974,1277,4907,10255
2,547,2181,4908,10255
5,118,3746,4911,10255
1,414,579,4918,10255
5,295,46,4919,10255
2,997,1871,4932,10255
3,857,1105,4933,10255
5,375,3080,4936,10255
6,625,2139,4945,10255
10,228,2018,4946,10255
8,101,3518,4949,10255
4,323,217,4950,10255
4,157,74,4951,10255
8,302,4884,4992,10255
7,73,1460,4997,10255
4,43,67,4998,10255
10,3,60,4998,10255
1,530,4998,5034,10255
1,574,3935,5037,10255
3,287,4766,5043,10255
1,417,3630,5062,10255
7,988,1282,5069,10255
6,253,2943,5073,10255
4,371,4495,5083,10255
5,260,309,5086,10255
2,689,627,5101,10255
9,359,802,5103,10255
1,825,153,5104,10255
2,569,4429,5110,10255
5,37,2906,5111,10255
6,160,155,5117,10255
2,640,233,5119,10255
8,880,1663,5121,10255
1,380,187,5125,10255
4,1,5090,5131,10255
9,6,145,5141,10255
4,50,5141,5146,10255
2,387,301,5149,10255
3,637,4748,5173,10255
9,627,3173,5184,10255
2,782,612,5186,10255
2,20,4755,5195,10255
6,2,3032,5196,10255
1,282,4711,5205,10255
7,130,349,5211,10255
10,148,881,5214,10255
9,858,4954,5214,10255
4,500,5222,5223,10255
2,536,4523,5258,10255
10,485,1668,5259,10255
4,328,2394,5264,10255
1,97,5118,5265,10255
7,847,4666,5270,10255
1,630,1398,5303,10255
8,784,1515,5305,10255
1,9,457,5332,10255
3,831,2318,5352,10255
10,649,3033,5355,10255
