key,value,eventTime,arrivalTime,processedTime
7,38,5,18,10050
5,2,22,24,10050
2,625,9,24,10050
2,81,5,37,10050
9,369,23,53,10050
4,75,19,58,10050
9,203,16,63,10050
5,320,64,67,10050
7,176,7,71,10050
4,138,21,74,10050
2,138,17,82,10050
2,189,43,91,10050
7,745,11,104,10050
9,198,23,118,10050
3,112,71,119,10050
7,884,53,119,10050
6,486,64,121,10050
5,153,95,138,10050
10,922,83,141,10050
2,198,91,148,10050
5,56,163,168,10050
8,479,142,172,10050
1,282,17,181,10050
4,823,3,183,10050
10,354,22,184,10050
5,352,57,194,10050
10,22,91,199,10050
9,76,68,212,10050
1,844,9,215,10050
1,431,176,230,10050
4,397,160,236,10050
2,153,229,243,10050
4,251,191,250,10050
1,510,1,251,10050
1,15,158,257,10050
6,42,245,267,10050
4,728,177,276,10050
3,20,213,278,10050
1,354,171,287,10050
8,32,91,294,10050
2,147,196,296,10050
4,100,304,305,10050
1,146,307,308,10050
2,678,237,310,10050
7,949,26,313,10050
4,98,318,323,10050
10,703,56,344,10050
1,734,97,348,10050
2,109,182,358,10050
1,509,72,363,10050
6,11,61,373,10050
6,114,369,378,10050
3,78,372,384,10050
2,37,383,400,10050
7,28,268,409,10050
1,847,100,422,10050
4,607,234,424,10050
1,83,269,425,10050
5,128,442,453,10050
9,386,154,460,10050
6,625,426,463,10050
8,256,487,489,10050
1,795,76,495,10050
3,493,181,498,10050
4,257,302,502,10050
3,322,401,510,10050
4,387,148,511,10050
2,87,379,513,10050
7,39,457,530,10050
8,599,191,534,10050
3,64,495,538,10050
10,137,348,541,10050
1,137,1,556,10050
3,359,16,571,10050
3,339,416,578,10050
1,283,402,583,10050
1,277,182,589,10050
1,432,374,591,10050
6,774,573,602,10050
2,333,499,630,10050
4,740,137,630,10050
10,992,369,647,10050
6,577,619,649,10050
8,169,541,654,10050
8,741,387,662,10050
10,129,514,662,10050
4,150,128,663,10050
2,112,6,664,10050
4,503,302,670,10050
2,442,59,681,10050
8,126,649,697,10050
1,408,245,707,10050
2,118,389,721,10050
7,126,75,732,10050
7,558,388,738,10050
3,130,742,752,10050
7,533,610,769,10050
6,938,114,780,10050
4,12,415,795,10050
7,817,74,796,10050
2,205,603,796,10050
6,160,117,804,10050
6,243,107,818,10050
9,51,235,828,10050
3,288,190,837,10050
2,339,199,845,10050
3,672,648,848,10050
7,198,25,853,10050
3,37,135,855,10050
1,33,550,874,10050
8,531,447,889,10050
8,847,689,894,10050
6,757,83,900,10050
7,933,673,914,10050
7,840,760,920,10050
2,282,118,923,10050
3,429,141,924,10050
7,57,718,926,10050
