key,value,eventTime,arrivalTime,processedTime
7,38,5,18,10037
5,2,22,24,10037
2,625,9,24,10037
2,81,5,37,10037
9,369,23,53,10037
4,75,19,58,10037
9,203,16,63,10037
5,320,64,67,10037
7,176,7,71,10037
4,138,21,74,10037
2,138,17,82,10037
2,189,43,91,10037
7,745,11,104,10037
9,198,23,118,10037
3,112,71,119,10037
7,884,53,119,10037
6,486,64,121,10037
5,153,95,138,10037
10,922,83,141,10037
2,198,91,148,10037
5,56,163,168,10037
8,479,142,172,10037
1,282,17,181,10037
4,823,3,183,10037
10,354,22,184,10037
5,352,57,194,10037
10,22,91,199,10037
9,76,68,212,10037
1,844,9,215,10037
1,431,176,230,10037
4,397,160,236,10037
2,153,229,243,10037
4,251,191,250,10037
1,510,1,251,10037
1,15,158,257,10037
6,42,245,267,10037
4,728,177,276,10037
3,20,213,278,10037
1,354,171,287,10037
8,32,91,294,10037
2,147,196,296,10037
4,100,304,305,10037
1,146,307,308,10037
2,678,237,310,10037
7,949,26,313,10037
4,98,318,323,10037
10,703,56,344,10037
1,734,97,348,10037
2,109,182,358,10037
1,509,72,363,10037
6,11,61,373,10037
6,114,369,378,10037
3,78,372,384,10037
2,37,383,400,10037
7,28,268,409,10037
1,847,100,422,10037
4,607,234,424,10037
1,83,269,425,10037
5,128,442,453,10037
9,386,154,460,10037
6,625,426,463,10037
8,256,487,489,10037
1,795,76,495,10037
3,493,181,498,10037
4,257,302,502,10037
3,322,401,510,10037
4,387,148,511,10037
2,87,379,513,10037
7,39,457,530,10037
8,599,191,534,10037
3,64,495,538,10037
10,137,348,541,10037
1,137,1,556,10037
3,359,16,571,10037
3,339,416,578,10037
1,283,402,583,10037
1,277,182,589,10037
1,432,374,591,10037
6,774,573,602,10037
2,333,499,630,10037
4,740,137,630,10037
10,992,369,647,10037
6,577,619,649,10037
8,169,541,654,10037
8,741,387,662,10037
10,129,514,662,10037
4,150,128,663,10037
2,112,6,664,10037
4,503,302,670,10037
2,442,59,681,10037
8,126,649,697,10037
1,408,245,707,10037
2,118,389,721,10037
7,126,75,732,10037
7,558,388,738,10037
3,130,742,752,10037
7,533,610,769,10037
6,938,114,780,10037
4,12,415,795,10037
7,817,74,796,10037
2,205,603,796,10037
6,160,117,804,10037
6,243,107,818,10037
9,51,235,828,10037
3,288,190,837,10037
2,339,199,845,10037
3,672,648,848,10037
7,198,25,853,10037
3,37,135,855,10037
1,33,550,874,10037
8,531,447,889,10037
8,847,689,894,10037
6,757,83,900,10037
7,933,673,914,10037
7,840,760,920,10037
2,282,118,923,10037
3,429,141,924,10037
7,57,718,926,10037
10,211,649,930,10037
5,233,84,937,10037
1,54,799,942,10037
1,364,147,946,10037
4,528,615,949,10037
6,373,694,954,10037
7,459,373,958,10037
2,228,92,960,10037
4,319,806,969,10037
4,183,825,983,10037
5,360,336,989,10037
1,107,42,1002,10037
5,62,201,1002,10037
4,319,80,1005,10037
3,597,528,1009,10037
4,840,796,1016,10037
7,649,53,1025,10037
10,276,194,1033,10037
3,938,931,1037,10037
1,196,1012,1044,10037
10,382,895,1059,10037
6,300,336,1063,10037
7,12,53,1064,10037
5,289,281,1077,10037
1,141,261,1112,10037
3,107,409,1114,10037
5,206,1062,1114,10037
6,3,1041,1119,10037
6,971,170,1124,10037
1,894,989,1136,10037
3,118,605,1150,10037
2,416,1071,1159,10037
10,218,1159,1160,10037
10,218,1096,1172,10037
3,96,665,1192,10037
9,1,450,1193,10037
3,68,306,1200,10037
9,104,44,1209,10037
4,56,1097,1211,10037
2,188,1041,1215,10037
2,163,137,1226,10037
4,1,595,1227,10037
10,379,285,1227,10037
2,954,1139,1239,10037
9,346,237,1251,10037
4,449,176,1254,10037
1,711,542,1255,10037
1,636,1217,1277,10037
6,14,270,1283,10037
1,149,19,1283,10037
10,150,720,1285,10037
4,21,130,1296,10037
6,237,968,1298,10037
8,13,143,1307,10037
5,666,500,1308,10037
1,834,35,1309,10037
2,286,1177,1318,10037
2,100,985,1322,10037
5,219,16,1323,10037
4,520,1168,1329,10037
2,999,562,1342,10037
1,817,706,1349,10037
3,221,1050,1361,10037
3,221,363,1374,10037
4,973,408,1392,10037
3,242,1318,1393,10037
6,90,627,1394,10037
3,55,205,1405,10037
3,180,515,1408,10037
3,1,314,1425,10037
5,7,499,1450,10037
2,882,1219,1453,10037
2,693,1452,1461,10037
7,695,951,1464,10037
1,371,439,1470,10037
4,377,16,1471,10037
2,81,320,1482,10037
2,98,1489,1494,10037
7,404,85,1504,10037
5,523,1504,1505,10037
4,133,1443,1506,10037
6,138,93,1522,10037
3,365,355,1529,10037
3,178,834,1536,10037
4,91,1301,1538,10037
6,325,1291,1538,10037
2,159,5,1545,10037
1,396,1088,1545,10037
4,49,637,1548,10037
8,2,1522,1550,10037
1,114,1005,1554,10037
3,629,828,1569,10037
1,692,1474,1571,10037
1,584,681,1581,10037
9,404,745,1583,10037
2,973,1430,1585,10037
6,2,1416,1589,10037
9,944,1099,1591,10037
4,50,941,1608,10037
1,399,16,1623,10037
1,520,275,1630,10037
5,350,1113,1637,10037
3,571,1648,1656,10037
5,64,243,1658,10037
2,333,1582,1673,10037
6,21,1292,1681,10037
5,429,1537,1692,10037
4,338,7,1701,10037
4,253,1581,1706,10037
